price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Lộ giới,Hướng
"46,86 tỷ VNĐ","Trần khát chân, thanh nhàn, hai bà trưng, hà nội", 142m2, 66, 5, 10, 10,"
    Bán nhà mặt phố Trần Khát Chân 142m2 x 5t, mt 6m
 
Cần bán nhà mặt phố Trần Khát Chân 142m2 x 5 tầng, mặt tiền 6m
Vị trí đẹp, khu vực dân trí cao, trước nhà sạch sẽ thoáng mát, vỉa hè rộng, đỗ ô tô thoải mái.
 
Giao thông thuận tiện kêt nối Lò Đúc, Kim Ngưu, Xã Đàn, Võ Thị Sáu, Đại Cồ Việt, Phố Huế.
 
Rất tiện lợi cho để ở, cho thuê kinh doanh, kết hợp cả hai. Phù hợp mọi loại hình kinh doanh, nhà hàng, cafe, ngân hàng, công ty .v.v….
 
Sổ đỏ chính chủ vuông vắn, sẵn sàng giao dịch
 
Giá: Nhỉnh 46 tỷ, có thương lượng
 
Anh chị có nhu cầu mua nhà LH: Đức 0947588228. Trung gian và môi giới vui lòng không làm phiên
",05/04/2022,Tin thường,batdongsan_so_com_vn_1673828411.0373168,,
"9,9 tỷ VNĐ","KIM NGƯU, HAI BÀ TRƯNG, HÀ NỘI.", 40m2, 4, 4, 3,," Mô tả: + Nhà mới xây, 5 tầng, Ở đỉnh, kinh doanh sầm uất. + Gần các tiện ích  300m ra chợ. Bệnh viện, trường học cấp 1,2. + Mặt ngõ rộng 6m, ô tô đỗ cửa, vào nhà oki. 20m ra mặt phố lớn. + Tầng 1,2 kinh doanh rất ok, khu phố văn minh, dân trí cao. + DT40m2, 5T. Gần các tiện ích như 300m ra chợ, trường học, bệnh viện lơn. + Giá chào 9.9 tỷ, có thương lượng. + Tư vấn, xem nhà Miễn phí 100%. + Liên Hện xem nhà: Nguyễn Dương – 0825920555.",05/04/2022,Tin thường,batdongsan_so_com_vn_1673828412.143358, 6,
"7,5 tỷ VNĐ",Hà Cầu- Hà Đông, 55m2,, 5,,,"Bán nhà cạnh Biệt Thự Hyundai, Hà Cầu, 55mx5 tầng, ô tô tránh, kinh doanh đỉnh -         Người thân gửi bán nhà đẹp vị trí hiếm trong khu vực, khu nhà giàu, xung quanh kinh doanh sầm uất ngày đêm, thông ra Tô Hiệu, Lê Hồng Phòng, chạy xung quanh các con phố cổ Hà Đông. -         Nhà tự xây tâm huyết, đường trước nhà ô tô tránh, vỉa hè rộng, hướng mát, khu vực đông dân cư sầm uất, kinh doanh đủ các loại hình, mặt tiền rộng 5m, nhà thoáng sáng, 5 tầng vừa ở vừa kinh doanh hoặc làm văn phòng quá đỉnh. -         Chủ cần bán nhanh xử lý việc gia đình, gia lộc cho khách thiện chí. -         Sổ vuông, nở hậu sẵn sàng giao dịch. -         Giá: 7.5 tỷ (  có gia lộc). Liên hệ ngay với em Huyền Thổ cư Hà Đông- KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",05/04/2022,Tin thường,batdongsan_so_com_vn_1673828413.2543864,,
"7,52 tỷ VNĐ",Mỗ Lao- Hà Đông, 56m2,, 5,,,"SIÊU PHẨM!  Mỗ Lao, Hà Đông, 56m, 5 tầng, ô tô tránh, kinh doanh, văn phòng đỉnh -         Cần bán nhà vị trí đẹp đắc địa thông tứ tung các ngả, đường trước nhà ô tô tránh, vỉa hè rộng kinh doanh đa dạng, xung quanh các trường đại học lớn: Công nghệ Bưu chính Viễn Thông, Học viện An ninh, Nhạc họa trung ương, Kiến Trúc...khu an sinh đỉnh, văn minh, đông đúc người qua lại. -         Nhà tự xây đẹp khung cột chắc chắn, mặt tiền rộng hiếm, vị trí đẹp nhất khu, phù hợp kinh doanh hoặc làm văn phòng, xung quanh đầy đủ tiện ích. -         Giá: 7.52 tỷ ( có gia lộc). Liên hệ ngay với em Huyền Thổ cư Hà Đông- KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",05/04/2022,Tin thường,batdongsan_so_com_vn_1673828414.29161,,
"7,52 tỷ VNĐ",Mỗ Lao- Hà Đông, 56m2,, 5,,,"SIÊU PHẨM!  Mỗ Lao, Hà Đông, 56m, 5 tầng, ô tô tránh, kinh doanh, văn phòng đỉnh -         Cần bán nhà vị trí đẹp đắc địa thông tứ tung các ngả, đường trước nhà ô tô tránh, vỉa hè rộng kinh doanh đa dạng, xung quanh các trường đại học lớn: Công nghệ Bưu chính Viễn Thông, Học viện An ninh, Nhạc họa trung ương, Kiến Trúc...khu an sinh đỉnh, văn minh, đông đúc người qua lại. -         Nhà tự xây đẹp khung cột chắc chắn, mặt tiền rộng hiếm, vị trí đẹp nhất khu, phù hợp kinh doanh hoặc làm văn phòng, xung quanh đầy đủ tiện ích. -         Giá: 7.52 tỷ ( có gia lộc). Liên hệ ngay với em Huyền Thổ cư Hà Đông- KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",05/04/2022,Tin thường,batdongsan_so_com_vn_1673828415.2610173,,
"7,5 tỷ VNĐ",Hà Cầu- Hà Đông, 55m2,, 5,,,"Bán nhà cạnh Biệt Thự Hyundai, Hà Cầu, 55mx5 tầng, ô tô tránh, kinh doanh đỉnh -         Người thân gửi bán nhà đẹp vị trí hiếm trong khu vực, khu nhà giàu, xung quanh kinh doanh sầm uất ngày đêm, thông ra Tô Hiệu, Lê Hồng Phòng, chạy xung quanh các con phố cổ Hà Đông. -         Nhà tự xây tâm huyết, đường trước nhà ô tô tránh, vỉa hè rộng, hướng mát, khu vực đông dân cư sầm uất, kinh doanh đủ các loại hình, mặt tiền rộng 5m, nhà thoáng sáng, 5 tầng vừa ở vừa kinh doanh hoặc làm văn phòng quá đỉnh. -         Chủ cần bán nhanh xử lý việc gia đình, gia lộc cho khách thiện chí. -         Sổ vuông, nở hậu sẵn sàng giao dịch. -         Giá: 7.5 tỷ (  có gia lộc). Liên hệ ngay với em Huyền Thổ cư Hà Đông- KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn. -          ",05/04/2022,Tin thường,batdongsan_so_com_vn_1673828416.2314103,,
"12,5 tỷ VNĐ",Văn Phú, 90m2, 5, 4, 4, 4,"- Chính chủ bán LK Văn Phú, Phú La, Hà Đông. Nhà 4 tầng rộng 90m2, đường 13m có gara ô tô. Giá 12.5 tỷ. Hướng Tây Nam.- Hướng Đông Tứ Trạch, mặt tiền 4.5m - Vị trí ngôi nhà năm trong khu Văn Phú cực kì sầm uất, dân trí cực cao, có đầy đủ tiện ích. Gần Công viên Văn Phú, đầy đủ trường cấp 1 cấp 2 Văn Phú, trường cấp 3 Quang Trung, Lê Lợi... Xung quanh có siêu thị Vinmart..- Giáp với đường Lê Trọng Tấn Hà Đông, Victoria Hà Đông, Metro Hà Đông, khu Đồng Hồ Lacasta...- Nhà 4 tầng. Xây dựng kiên cố.+ Tầng 1: Gara ô tô, phòng khách, bếp vệ sinh.+ Tầng 2 + 3: Phòng ngủ + vệ sinh.+ Tầng 4: Phòng thờ sân phơi, sân thượng.- Giá có có thể thương lượng nếu khách nhiệt tình.- Liên hệ Mr. Khắc Anh để biết thêm thông tin. ",05/04/2022,Tin thường,batdongsan_so_com_vn_1673828417.494076,, Tây nam
"10,2 tỷ VNĐ",Phố Ngô Thì Nhậm, 42m2, 5, 3, 3, 3,"HIẾM NHÀ BÁN – 1 CĂN DUY NHẤT – MẶT PHỐ NGÔ THÌ NHẬM - PHỐ KINH DOANH SẦM UẤT NHẤT HÀ ĐÔNG + Vị trí đẹp nhất phố, gần nhà thi đấu Hà Đông, Chung cư Ngô Thì Nhậm, giao thông thông thước các tuyến phố Quang Trung, Cầu Đơ, Ngô Quyền, Nguyễn Viết xuân. + Đường rộng 30m vỉa hè rộng 5m phù hợp mọi loại hình kinh doanh như Nhà hàng, Showroom, Văn phòng, Siêu thị, Spa... + Nhà thiết kế thông sàn kinh doanh, 2 thoáng 1 mặt phố và 1 mặt ngõ nên rất tiện cho kinh doanh. + Sổ đỏ chính chủ, giao dịch ngay. + Giá chào 10 tỷ 2 ( Có thương lượng) + Liên hệ xem nhà: 0902.083.139",05/04/2022,Tin thường,batdongsan_so_com_vn_1673828418.7387018,,
"1,95 tỷ VNĐ","Chính chủ bán đất xen kẹt nở hậu có sẵn nhà C4 sịn sò p.Minh Khai, Bắc Từ Liêm, 1,95 tỷ, 0971581668", 50m2,,,,,"Chính chủ bán đất xen kẹt nở hậu có sẵn nhà C4 sịn sò p.Minh Khai, Bắc Từ Liêm, 1,95 tỷ, 0971581668 Diện tích: 50m2 + Đường rộng, xe 2,5T chạy qua ngõ thông cạnh sân chơi nhà văn hoá  + Ngõ 60 phố nguyên xá  + Mặt tiền đường 4,41m nở hậu 4,6m, dài 11,19m  + Hiện đag là nhà cấp 4 cửa cuốn điện sịn, cửa kính, nhà vệ sinh khép kín có lên gác lửng + Có hồ sơ thửa đất công chứng, giấy tờ mua bán viết tay, có thể mua ở hoặc đầu tư sinh lời cao + Xung quanh đã có sổ đỏ, sau đến đợt là làm sổ  + Giá bán :1,950 tỷ, có thương lượng cho khách hàng thiện chí  + Thông tin liên hệ: Anh Tụ : 0971.581.668 + Địa chỉ: Phố Nguyên Xá, phường Minh Khai, quận Bắc Từ Liêm, Hà Nội      http://www.sanbatdongsanviet.com.vn",05/04/2022,Tin thường,batdongsan_so_com_vn_1673828419.815829,,
"3,8 tỷ VNĐ",Kim Giang, 36m2,, 5, 5,,"Vị trí: ngõ to rộng, thông thoáng, ô tô tránh, quay xe thoải mái, cách mặt phố 5m. Nhà dân tự xây chắc chắn, các phòng đều có cửa sổ thoáng mát. Chủ tặng lại nội thất, đầy đủ công năng sử dụng. Gần chợ, trường học, đi lại thuận tiện. Sổ chính chủ, sẵn sàng giao dịch. Liên hệ em Thảo chuyên thổ cư Hà Nội.",05/04/2022,Tin thường,batdongsan_so_com_vn_1673828420.8600287,,
