price,address,Diện tích,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số toilet,Hướng
"4,9 tỷ VNĐ","Lê Lợi, Nguyễn Trãi, Hà Đông", 62m2, 3, 3," # Cần bán nhà mặt ngõ đường Lê Lợi, Hà Đông, Hà Nội. phù hợp ở, hoặc xây tòa CCMN đều hợp lý . DT 62m, 3T, MT 4m, giá chỉ 4.9 tỷ. + Vị Trí: tiện ích, thuận tiện, tuyệt đẹp trung tâm phố cổ phường Nguyễn Trãi quận Hà Đông. + Gần Chợ Lớn Hà Đông, Sân Vận Động Hà Đông, Ngân Hàng, TTTM, trường C1,2,3, khu vui chơi, trung tâm phố tiện ích. + Giao thông: di chuyển Tô Hiêu, Lê Hồng Phong, Chưng Nhị, Quang Trung, Bà Triệu, Phùng Hưng, 19/5, Trần Phú, Nguyễn Trãi quận Thanh Xuân vô cùng thuận lợi. + Nhà mới 3T khung cột chắc, thiết kế cơ bản cầu thang giữa, mỗi tầng 2 phòng rộng thoáng sáng, đầy đủ công năng. + Giá chỉ 4.9 tỷ. + Sổ đỏ đẹp chính chủ, sẵn sàng giao dịch. # HotLine: 0983858722 Tình nhà phố ( chuyên mua, bán, nhận ký gửi, có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",09/06/2022,Tin thường,batdongsan_so_com_vn_1673820767.8343694,,,,
"4,75 tỷ VNĐ","Bà Triệu, Hà Trì, Hà Đông", 53m2, 5, 4,"Chính Chủ Bán Gấp, 53m2 x 5T, Chỉ 4.75 Tỷ,Mới Đẹp, Khu Bà Triệu, Hà Trì, Hà Đông. Bà Triệu, Hà Trì– Hà Đông – Mới Đẹp – Ở Luôn + Diện tích 53m2, mặt tiền 3.9 m. + Vị trí trung tâm, gần trường mầm non, THCS,THPH Lê Lợi đường thông các ngả, gần sân bóng Hà Đông, Bệnh Viện Quân Y 103, chợ Hà Đông. + Nhà Đẹp, chủ tâm huyết thuê kỹ sư Thiết kế phong cách hiện đại, đầy đủ công năng, tổng 3 PN, Phòng Khách, Bếp, Phòng thờ, sân phơi... + Nội thất ĐẸP phong cách hiện đại + Nhà thuộc khu an ninh tốt, dân trí cao. + Pháp Lý: Sổ đỏ chính chủ, sẵn sàng giao dịch. + Giá bán: 4.75 tỷ ( Có thương lượng ). Liên hệ trực tiếp 24/7 để đi xem nhà miễn phí.                                                                                                                                                                                 - Ms Luyện 0911779569 – Thổ Cư Hà Đông. - Chuyên Nhà đất Thổ cư các phân khúc từ 1 tỷ đến trên 100 tỷ.  “TRAO GỬI NIỀM TIN_ NHẬN LẠI YÊU THƯƠNG”",09/06/2022,Tin thường,batdongsan_so_com_vn_1673820769.4101532, 3, 3, 3,
,Đường Vũ Miện phường Yên Phụ,, 7, 8,"Em cần bán gấp căn nhà mặt phố Vũ Miên, nhìn ra Hồ Tây .khu vực Tây ở, giao dịch thường xuyên, cho thuê giá trị cao.Khu vực vị trí siêu ViP, kinh doanh sầm uất, không khí trong lành, siêu thoáng.Đường trước nhà rộng rãi, thoáng vĩnh viễn, sử dụng cả 02 vỉa hè.Nhà hiện xây đẹp, Đang cho thuê kinh doanh, Có 8 phòng ngủ. Sổ đỏ, nở hậu, sẵn sàng giao dịchLiên hệ Hồng BĐS Hà Nội để biết chi tiết",09/06/2022,Tin thường,batdongsan_so_com_vn_1673820770.481288,, 1, 1,
"4,4 tỷ VNĐ",Trung Kính - Yên Hòa - Cầu Giấy - Hà Nội, 46m2,,,"NHÀ ĐẸP - NỘI THẤT ĐẸP - BỐ TRÍ HỢP LÝ- TIỆN SINH HOẠT - ĐẨY ĐỦ CÔNG NĂNG - 2 THOÁNG - GẦN CHỢ - GẦN TRƯỜNG HỌC CÁC CẤP.- Nhà chủ tự xây, có thiết kế, bố trí hợp lý, tiện sinh hoạt, sau nhà có giếng trời thu hút nhiều vượng khí, ở cực sướng.- Vị trí tuyệt vời, giao thông thuận lợi, đi đâu cũng tiện kết nối Trần Duy Hưng, Nguyễn Khang, Vũ Phạm Hàm,...gần chợ, gần trường học các cấp, gần Đại Học Phương Đông, LĐXH, Học Viện Phụ Nữ...- Giá : 4.4 Tỷ - có thương lượng -- Mô tả : - T1 : Khu để xe , phòng bếp, wc.- T2 : Phòng khách + phòng ngủ, wc.- T3,4 : 2 ngủ + wc giữa.- T5 : Phòng thờ + sân phơi.- Khu vực gần rất nhiều trường học các cấp, trung tâm thương mại và hành chính, đi đâu cũng thuận tiện. Hàng xóm lịch sự, văn minh.Liên hệ : Nguyễn Tiến Hoàng - 0976817296 - tư vấn chuyên nghiệp, nhiệt tình vui vẻ 24/24.",09/06/2022,Tin thường,batdongsan_so_com_vn_1673820772.3353274,,,,
"10,5 tỷ VNĐ",Đường Nguyễn Đình Chiểu phường Lê Đại Hành, 48m2, 6, 6,"+ Khu vực hiếm nhà bán, an sinh đỉnh gần Công viên Thống Nhất. 10m ra mặt phố, 5 phút lên Bờ Hồ. Xung quanh nhiều tiện ích. + Nhà 6 tầng mới thang máy, chủ xây tâm huyết để cho con trai ở do nhu cầu công việc nên phải chuyển đổi. Nội thất dùng toàn đồ xịn, phòng nào cũng lắp điều hoà chủ mới chỉ việc xách vali về ở. Thiết kế cầu thang giữa, phía sau có khe thoáng hơn 1m phòng nào cũng thoáng sáng. - T1: Phòng khách, để xe, wc. - T2,3,5: Mỗi tầng 2 ngủ, wc. - T4: Bếp, 1 phòng, wc. - T6: Phòng thờ, sân phơi.",09/06/2022,Tin thường,batdongsan_so_com_vn_1673820773.5590544, 3, 3, 7,
"4,4 tỷ VNĐ",Tung Kính - Yên Hòa - Cầu Giấy - Hà Nội, 46m2,,,"NHÀ ĐẸP - NỘI THẤT ĐẸP - BỐ TRÍ HỢP LÝ- TIỆN SINH HOẠT - ĐẨY ĐỦ CÔNG NĂNG - 2 THOÁNG - GẦN CHỢ - GẦN TRƯỜNG HỌC CÁC CẤP.- Nhà chủ tự xây, có thiết kế, bố trí hợp lý, tiện sinh hoạt, sau nhà có giếng trời thu hút nhiều vượng khí, ở cực sướng.- Vị trí tuyệt vời, giao thông thuận lợi, đi đâu cũng tiện kết nối Trần Duy Hưng, Nguyễn Khang, Vũ Phạm Hàm,...gần chợ, gần trường học các cấp, gần Đại Học Phương Đông, LĐXH, Học Viện Phụ Nữ...- Giá : 4.4 Tỷ - có thương lượng -- Mô tả : - T1 : Khu để xe , phòng bếp, wc.- T2 : Phòng khách + phòng ngủ, wc.- T3,4 : 2 ngủ + wc giữa.- T5 : Phòng thờ + sân phơi.- Khu vực gần rất nhiều trường học các cấp, trung tâm thương mại và hành chính, đi đâu cũng thuận tiện. Hàng xóm lịch sự, văn minh.Liên hệ : Nguyễn Tiến Hoàng - 0976817296 - tư vấn chuyên nghiệp, nhiệt tình vui vẻ 24/24.",09/06/2022,Tin thường,batdongsan_so_com_vn_1673820774.7089787,,,,
"3,3 tỷ VNĐ",Đường An Trạch phường Quốc Tử Giám, 33m2, 4, 3,"
    Nhà trung tâm Quận Đống Đa.
Gần Phố Đoàn Thị Điểm, Quốc Tử Giám
Gần nhà có bãi gửi xe ô tô.
Trước nhà có sân chung to thoáng sáng, rộng rãi.

Thiết kế : 
Mỗi tầng 1 phòng + WC
+ Nhà xây KCBT chắc chắn. Có thể lên thêm tầng nếu thích.+ Sổ đỏ chính chủ sẵn giao dịch., chuyên nhà đất thổ cư khắp Hà Nội từ 1 - 333 tỷ. Tôi phục vụ khách hàng với tiêu chí giúp người là giúp chính mình, quý chữ tín hơn vàng, vươn tới tầm cao mới.",09/06/2022,Tin thường,batdongsan_so_com_vn_1673820775.8878295, 4, 5, 4,
33 triệu VNĐ/m2,"Đường Võ Chí Công, KĐT Ciputra, quận Tây Hồ, Hà Nội", 168.1m2,, 3,"☀️  CÒN 2 CĂN DUY NHẤT GIÁ CHỈ #33TR/M2 SỞ HỮU NGAY CĂN HỘ 3 PHÒNG NGỦ TẠI TRUNG TÂM QUẬN TÂY HỒ, CHIẾT KHẤU NGAY 4%, QUÀ TẶNG TÂN GIA 30 TRIỆU📞 Hotline VPBH Hải Phát Land: 0977 568 223📍 Vị trí: Mặt đường Võ Chí Công, thuộc KĐT Ciputra, quận Tây Hồ, Hà Nội 🍀 Pháp Lý + Chính Sách Tốt- Kí trực tiếp CĐT- Sổ lâu dài- Được vay vốn tối đa 70% giá trị căn hộ- Tặng ngay 5 chỉ vàng ️- Chiết khấu tới 4%- Thanh toán 30% ký hợp đồng mua bán- Miễn 2 năm phí dịch vụ 🌱 Thông tin căn hộ- Diện tích thông thủy: 168,1m2- Gồm 3 ngủ, 2 vệ sinh, 2 ban công, 1 logia- Phòng khách + bếp: 75m2 (siêu thoáng)- View sông Hồng, view nội khu- Nhận nhà ở ngay không phải chờ đợi- Ban công Tây Nam, cửa vào Đông Bắc ♻️ Cam kết bán hàng- Giá tốt nhất khu vực Tây Hồ- Thủ tục nhanh gọn- Hỗ trợ khách hàng từ lúc mua đến khi về ở- Bảo mật tuyệt đối thông tin khách hàng- Mật độ cư dân thấp, chỗ để xe rộng rãi- Sổ hồng trao tay, sử dụng lâu dài 👉 Vị Trí mặt tiền đường lớn Võ Chí Công, đối diện Lotte Mall, cách Hồ Tây 500m❗ Dự án sở hữu kết nối giao thông thuận tiện 15 phút sang Cầu Giấy, 12p tới sân bay Nội Bài, 20p tới trung tâm phố cổ ❗ Hưởng trọn hệ thống tiện ích của 3 KĐT lớn liền kề đó là : KĐT Ciputra, KĐT Ngoại Giao Đoàn, KĐT Tây Hồ Tây❗ Tầm nhìn ôm trọn sông Hồng, hồ Tây và cây cầu lớn nhất Hà Nội cầu Nhật Tân👉👉👉 Tiềm năng tăng giá trị trong tương lai là không giới hạn☀️☀️LỰA CHỌN AN CƯ VỪA TẦM LÝ TƯỞNG  🔰 Chi tiết liên hệ: Hải Phát Land ☎ Hotline Ms Vân Anh:  0977 568 223",09/06/2022,Tin thường,batdongsan_so_com_vn_1673820777.1165376,,, 2, Đông bắc
992 ngàn VNĐ,Đường Bắc Hồng phường Bắc Hồng, 62m2,,,"Bán đất phù liễn Bắc Hồng Đông Anh giá chỉ 1X  oto đỗ cửa  Diện Tích: 62.5m.Chiều rộng: 5m.Đường ô tô đỗ cửa. Bán đất Bắc Hồng Đông Anh: Gần UBND xã Bắc Hồng, Trường mầm non, cấp 1,2, chợ Bắc Hồng. Cách Khu công nghiệp Bắc Thăng Long 5km. Gần dự án Ga Bắc Hồng là điểm trung chuyển tương lai của Đông Anh. Tầm tiền nhỏ, dễ đầu tư hoặc công nhân mua ở định cư lâu dài.",09/06/2022,Tin thường,batdongsan_so_com_vn_1673820778.2475135, 5,,,
"7,65 tỷ VNĐ","Tô Vĩnh Diện, Khương Trung, Thanh Xuân, Hà Nội", 62m2,,,"PHÂN LÔ TÔ VĨNH DIỆN - THANH XUÂN – 62M - 4T – 7,65 TỶ  + Ngõ to như phố, giáp Hoàng Văn Thái, Vương Thừa Vũ, Nguyễn Ngọc Nại, Lê Trọng Tấn… Là khu vực của các Cán Bộ trong ngành Quân Đội, dân trí và an sinh tuyệt vời. Nhà xây dựng đẹp, thiết kế hợp lý, có khe thoáng sau nhà; vào nhà mát mẻ vào mùa hè, ấm vào mùa đông… + Thiết kế 4 tầng chắc chắn, mỗi tầng 2 ngủ + Sổ đỏ đẹp, giao dịch ngay + Giá: 7,65 tỷ có thương lượng + Liên hệ: 0362368485; 0964399436",09/06/2022,Tin thường,batdongsan_so_com_vn_1673820779.5081398,,,,
