price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Hướng,Lộ giới,Số toilet
"3,65 tỷ VNĐ",Phương Liệt Thanh Xuân Hà Nội, 35m2, 4, 4, 4,"+ Cần bán nhà phố Phương Liệt, quận Thanh Xuân, Hà Nội. + Ngõ đẹp, gần phố, vị trí đỉnh, nhà khách về ở ngay, đầy đủ công năng cho gia đình nhiều người với 4 phòng ngủ. + Vị trí giao thông thuận tiện, gần ngã tư Vọng, là khu trung tâm các quận Thanh Xuân, Hoàng Mai, Hai Bà Trưng, Đống Đa. + Diện tích 35m2, 4 tầng, mặt tiền 4m, 4 phòng ngủ. + Sổ đỏ chính chủ, giao dịch phút mốt. + Giá 3.65 tỷ ( thương lượng khi khách thiện chí mua ) + Khách hàng hợp nhu cầu xin liên hệ: Nguyễn Minh Quang 0327085656",20/11/2022,Tin thường,batdongsan_so_com_vn_1673786881.685031,,,
460 triệu VNĐ,"Đường Ngọc Khánh, Ngọc Khánh, Ba Đình", 35m2, 4, 3, 3,"
    Bán đất tặng nhà 3 tầng còn ở tốt.Nhà cách mặt phố Ngọc Khánh 30m. Ngõ thông khắp ngả, kinh doanh (hiện tại chủ đang cho thuê 10tr 1 tháng. 10 năm chưa đổi giá).Ngõ rộng, thoáng, dân trí và tiện ích đỉnh cao.Sổ đỏ đẹp, nở hậu.Giá 4,6 tỷ có thương lượng.",20/11/2022,Tin thường,batdongsan_so_com_vn_1673786882.5746531, Đông, 3, 2
"21,5 tỷ VNĐ","Đường Nguyễn Khả Trạc, Mai Dịch, Cầu Giấy", 80m2, 4, 7, 10," TOÀ 7 TẦNG MỚI ĐẸP - 2 MẶT THOÁNG - GARA THANG MÁY - KINH DOANH - MẶT PHÂN LÔ - VIẢ HÈ, OTO TRÁNH..!
 TƯƠNG LAI 2 MẶT PHỐ - SAU NHÀ MP HOÀNG QUỐC VIỆT KÉO DÀI .!!!!
 Khu vực phân lô cực Vip kinh doanh sầm uất

 Tương lai nhà mình mặt tiền sau nhà là mặt phố Hoàng Quốc Việt kéo dài, giá trị tương lai.
* Giáp các trường Đại học, khu dân trí cao nhiều văn phòng, giao thông thuận tiện
* Nội thất đẹp long lanh, thang máy hịn ( Có 1 phòng masage cực Víp đẳng cấp )

 Sổ đỏ đẹp ( Sẵn giao dịch )
Sổ đỏ DT 55m2 thực tế từ tầng 1 DT 81m2

 Nhà vừa hoàn thiện thiết kế cầu thang ...
",20/11/2022,Tin thường,batdongsan_so_com_vn_1673786883.517202,, 10, 11
"21,5 tỷ VNĐ","Đường Nguyễn Khả Trạc, Mai Dịch, Cầu Giấy", 80m2, 4, 7, 10," TOÀ 7 TẦNG MỚI ĐẸP - 2 MẶT THOÁNG - GARA THANG MÁY - KINH DOANH - MẶT PHÂN LÔ - VIẢ HÈ, OTO TRÁNH..!
 TƯƠNG LAI 2 MẶT PHỐ - SAU NHÀ MP HOÀNG QUỐC VIỆT KÉO DÀI .!!!!
 Khu vực phân lô cực Vip kinh doanh sầm uất

 Tương lai nhà mình mặt tiền sau nhà là mặt phố Hoàng Quốc Việt kéo dài, giá trị tương lai.
* Giáp các trường Đại học, khu dân trí cao nhiều văn phòng, giao thông thuận tiện
* Nội thất đẹp long lanh, thang máy hịn ( Có 1 phòng masage cực Víp đẳng cấp )

 Sổ đỏ đẹp ( Sẵn giao dịch )
Sổ đỏ DT 55m2 thực tế từ tầng 1 DT 81m2

 Nhà vừa hoàn thiện thiết kế cầu thang ...
",20/11/2022,Tin thường,batdongsan_so_com_vn_1673786884.5374725,, 10, 11
10 tỷ VNĐ,Nguyễn Đình Chiểu Hai Bà Trưng Hà Nội, 50m2, 4, 5, 5,"+ Vì gia đình có định hướng mới cần bán ngay nhà Phố Nguyễn Đình Chiểu, phường Lê Đại Hành, Hai Bà Trưng, Hà Nội. + Vị trí quá đẹp, cách phố 15m, gần công viên Thống Nhất, mát mẻ, khu trung tâm ở cực kỳ đẳng cấp. + Diện tích 50m2, xây 5 tầng, mặt tiền 4m, tổng 5 phòng ngủ. + Khu vực rất hiếm nhà bán, hiếm có căn diện tích rộng, gần phố, khách về ở ngay. + Giá 10 tỷ ( thương lượng khi khách thiện chí mua ) + Khách hàng hợp nhu cầu xin liên hệ: Nguyễn Minh Quang 0327085656",20/11/2022,Tin thường,batdongsan_so_com_vn_1673786885.7006307,,,
23 tỷ VNĐ,"Đường Đại lộ Thăng Long, An Khánh, Hoài Đức", 160m2, 7, 5, 4,"Cực Hiếm Có 1 0 2 Bán BTLK Vinhome Thăng Long Bình yên trốn quay về 160m 23 tỷ  - An sinh tuyệt vời, gần gũi thiên nhiên, tiện ích đầy đủ. Hệ thống trường học Vinschool, khu vui chơi thể thao..  - Biệt thự đẳng cấp từ trong nhà ra cửa. Khuôn viên phong cảnh sân vườn trong lành.  - Nội thất cao cấp thiết kế công năng đầy đủ ánh sáng tự nhiên, khí tươi trong lành.  - Giao thông thuận tiện, Đại lộ Thăng long, Lê Trọng Tấn.. 10 phút đi xe tới trung tâm Thành phố, Bến xe Mỹ Đình.. - Sổ sách rõ ràng sẵn sàng giao dịch.  - Xem nhà liên hệ Mr Đức Nhà Đẹp 0898839292.",20/11/2022,Tin thường,batdongsan_so_com_vn_1673786886.70463,, 10, 3
4 tỷ VNĐ,"Đường Văn Chương, Thổ Quan, Đống Đa", 38m2, 3, 5, 6,"Bán nhà ngõ Văn Chương, 38m2 x 5 tầng, MT 3m, ngõ rộng, nhỉnh 4 tỷ + Vị trí đẹp gần Hồ Văn Chương, Hồ Linh Quang, thông ra phố Tôn Đức Thắng, Khâm Thiên, ... + Trung tâm Đống Đa tiện ích đầy đủ, gần chợ, bệnh viện, công viên, ... + Nhà xây 5 tầng đầy đủ công năng, chắc chắn, chủ giữ gìn vẫn còn mới, chủ tặng nội thất, khách mua về vào ở ngay. + Sổ đỏ đẹp giao dịch ngay + Giá: Thương lượng LH: Đức Anh, 0332618488. Hỗ trợ nhiệt tình 24/7 để khách hàng có thể mua căn nhà phù hợp trước Tết. ",20/11/2022,Tin thường,batdongsan_so_com_vn_1673786887.63913,, 6, 6
"6,6 tỷ VNĐ","Đường Điện Biên Phủ, Điện Biên, Ba Đình", 30m2, 4, 6, 4,"Nhà Điện Biên Phủ,Ba Đình 30m, 6tầng,giá 6,6tỷ– Liên hệ : Em Trang 0971995729, xem nhà 24/7.+ Nhà có vị trí cực đẹp, ô tô đỗ.. Dân trí cao, khu an ninh quân đội cực kỳ tốt. Ở sướng.+ Nhà 6 tầng.– T1: Khách, , wc.– T2: bếp ,WC.– T3-4-5 Ngủ , WC– T6:, thờ, sân phơi.+ Sổ vuông đẹp, chính chủ.– Chủ nhà có tuổi, rất giữ gìn căn nhà, giờ muốn bán để về sống chung cư với các con .– Liên Hệ : Em Trang chuyên BĐS Tây Hồ - Ba Đình và rất nhiệt tìnhđể hỗ trợ tư vấn và gặp chủ nhà ngay khi cần.– Miễn MG và QC.",20/11/2022,Tin thường,batdongsan_so_com_vn_1673786888.8273184,, 1, 5
"3,1 tỷ VNĐ","Đường Nguyễn Ngọc Vũ, Trung Hòa, Cầu Giấy", 77m2, 8, 7, 2,"+ Chính chủ cần bán căn hộ chung cư 137 Nguyễn Ngọc Vũ Phường Trung Hòa, Quận Cầu Giấy diện tích 77m2 tầng 7 giá 3,1 tỷ. + Vị trí đẹp giữa lòng Thủ Đô, nằm ngay mặt đường Nguyễn Ngọc Vũ, bên phải là Láng Hạ - Lê Văn Lương, bên trái là Trần Duy Hưng - Nguyễn Chí Thanh  + Căn hộ được thiết kế 2 phòng ngủ, 2 wc + Hướng cửa chính: Tây Nam + Hướng ban công: Đông Bắc (View sông Tô Lịch)  ❤️ SỔ ĐỎ CHÍNH CHỦ CẤT KÉT, VUÔNG ĐẸP, PHÁP LÝ CHUẨN. SẴN GIAO DỊCH. + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất,thổ địa hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7",20/11/2022,Tin thường,batdongsan_so_com_vn_1673786890.0380812,, 50, 2
"8,1 tỷ VNĐ","Đường Hồng Hà, Phúc Xá, Ba Đình", 47m2, 3, 5, 8,"✝️ Vị trí: Nhà bán Mặt  Phố ngay Chợ Đầu Mối Long Biên. Đường hai chiều ô tô tránh, dừng đỗ, vỉa hè, kinh doanh. Từ đây thông sang phố, Tân Ấp, Yên Phụ, Phúc Xá, An Xá, Nghĩa Dũng...Tiện ích vô vàn chợ Phúc Xá, trường cấp 1,2,3 nghĩa dũng, trường trung cấp kế toán Tân Ấp, Bệnh Viện Hoè Nhai, BV Mdlatec,... Cách Hồ Hoàn Kiếm chỉ 10 phút đi bộ.✝️ Thiết Kế: 5 tầng KCBT, chắc chắn, có 8 phòng thoáng sáng. Vừa ở vừa kinh doanh thì oki.✝️ Sổ đỏ chính chủ, vuông như tờ A4.✝️Giá thương lượng 8.1 tỷ.LH: xem nhà 0979393221 Lê Tiến.
",20/11/2022,Tin thường,batdongsan_so_com_vn_1673786891.197977,, 5, 4
