price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Mặt tiền,Lộ giới,Số phòng ngủ,Số toilet
43 triệu VNĐ/m2,92 Mai Động, 77m2,"💥💥Đ𝗶̉𝗻𝗵 𝗰𝗮𝗼 𝟱 𝗦𝗮𝗼 𝗕𝗮𝗼 𝗻𝗵𝗮̀ 𝗴𝗶𝗮́ đ𝗲̣𝗽 𝟰𝟯𝘁𝗿/𝗺𝟮 . 𝗩𝗶̣ 𝘁𝗿𝗶́ 𝘃𝗮̀𝗻𝗴 𝗛𝗼𝗮̀𝗻𝗴 𝗠𝗮𝗶,𝗖𝗵𝗼̂́𝗻 𝗔𝗻 𝗰𝘂̛ 𝘁𝗵𝘂𝗮̣̂𝗻 𝗹𝗼̛̣𝗶. 𝗦𝗶𝗻𝗵 𝗹𝗼̛̀𝗶 𝗰𝗮𝗼 đ𝗲̂̉ đ𝗮̂̀𝘂 𝘁𝘂̛.𝗔̂𝗻 𝗵𝗮̣𝗻 𝗻𝗼̛̣ 𝗴𝗼̂́𝗰 𝟬% đ𝗲̂́𝗻 𝟭𝟴 𝘁𝗵𝗮́𝗻𝗴. 𝗡𝗴𝗮̂𝗻 𝗵𝗮̀𝗻𝗴 𝘁𝗵𝗮̂̉𝗺 đ𝗶̣𝗻𝗵 𝘃𝗮𝘆 𝗻𝗵𝗮𝗻𝗵.  💝Lung linh vẻ đẹp thiết kế 3 Khối Fantasy, Tropical, Zen. Hầm để xe thông tòa. Bãi đỗ xe nổi hiện đại 6 tầng💎6 Lý Do để chọn ngay FeLiz Homes💓 Sàn, trần thạch cao, điều hòa âm trần multi, hệ thống điện Legrand, Thiết bị vệ sinh full, vách kính tắm, bình nóng lạnh, khóa từ smartkey💓Tiện ích chuẩn 5 sao đẹp lung linh với vườn dạo bộ chân mây, vườn thiền, bể bơi i-on âm💓 Trung tâm của các tuyến đường vành đai 2,5. Vành đai 3. Tuyến đường trên cao Minh Khai💓 Bán kinh 5 km : ✅Hồ Hoàn Kiếm, Trung Tâm thương mại lớn : Vicom, Tràng Tiền Plaza🛒🛒🛒✅ Bệnh viện Bạch Mai, Thanh Nhàn, Vinmec..💓Tâm điểm các hệ thống trường học : ĐH Bách Khoa, Xây Dựng, KTQD. Cấp 1, 2 Mai Động, Đền Lừ, Tân Mai... 💰 Giá bán căn hộ hiện tại:- Căn 1 ngủ (45m2): giá 1,9 tỷ - 2,1 tỷ- Căn 2 ngủ+ 64m2: Giá 2,7 tỷ - 3 tỷ+ 73,1m2: Giá 2,9 tỷ - 3,2 tỷ+ 77,6m2: Giá 3,1 tỷ - 3,5 tỷ- Căn 3 ngủ+ 96m2 (căn góc): Giá 3,7 tỷ - 4,3 tỷ.+ 114m2: 4,5 tỷ - 5 tỷ.️🍀️🍀️🍀Tinh hoa đất Việt, Tài Lộc đâm chồi ☎️ 𝐇𝐨𝐭𝐥𝐢𝐧𝐞 : 𝟎𝟗𝟖𝟑𝟐𝟐𝟑𝟗𝟏𝟏🏠𝐕𝐏𝐁𝐇 𝐂Đ𝐓 : 𝐍𝐠𝐨̃ 𝟗𝟐 𝐌𝐚𝐢 Đ𝐨̣̂𝐧𝐠 - 𝐐𝐮𝐚̣̂𝐧 𝐇𝐨𝐚̀𝐧𝐠 𝐌𝐚𝐢 - 𝐇𝐚̀ 𝐍𝐨̣̂𝐢",24/05/2022,Tin thường,batdongsan_so_com_vn_1673823507.9292622,,,,,
"2,7 tỷ VNĐ",Phúc Lợi Long Biên, 42m2,"Bán nhà Phúc Lợi - Long Biên 42m2 x 5 tầng, Full nội thất giá 2,7 tỷ, có thương lượng- Nhà mới xây, đầy đủ công năng.- Full nội thất.- Hàng xóm Vinhome Riverside Long Biên.- Khu dân trí cao, yên tĩnh thoáng mát.Liên hệ xem nhà : Mr Thành 0978.600.980",24/05/2022,Tin thường,batdongsan_so_com_vn_1673823509.1111004, 5,,,,
"2,7 tỷ VNĐ",Ngọc Thuỵ, 35m2,"Bán nhà Ngọc Thuỵ Long Biên, ngay chân cầu Long Biên, gần Mipec Long Biên, gần chợ Ngọc Thuỵ Đi xe 3 phút ra phố Ngọc Lâm, 5 phút sang nội thành. Vị trí đẹp, giao thông thuận tiện, tiện ích ngập tràn. - Diện tích 35m2 x 4 tầng với đầy đủ công năng  - Nhà dân xây dựng rất tâm huyết, thiết kế bắt mắt  Liên hệ xem nhà : Mr Thành 0978600980",24/05/2022,Tin thường,batdongsan_so_com_vn_1673823510.2450664, 4,,,,
"5,2 tỷ VNĐ",Cự Lộc, 40m2,"+ Bán nhà Cự Lộc, Thanh Xuân, diện tích 40M2, 4 tầng, 4 phòng ngủ, phòng khách, phòng thờ, ngõ nông, trước sau nhà đều thoáng, ô tô đỗ cách nhà chỉ vài bước chân.+ Vị trí đẹp, nhà xây KCBT chắc chắn, nội thất đầy đủ công năng sử dụng, khách chỉ việc xách va li đến ở, khu vực an sinh tốt, dân trí cao.+Nằm ngay trung tâm Ngã Tư Sở, giao thông thuận tiện..+ Sổ vuông đẹp, sẵn sàng giao dịch.+ Liên hệ: Phùng Trang  0975124520.",24/05/2022,Tin thường,batdongsan_so_com_vn_1673823511.2932622,,,,,
29 tỷ VNĐ,Đường Hoàng Cầu phường Ô Chợ Dừa, 110m2,"
    + Vị trí trung tâm, Ô Tô vào nhà, cách phố chỉ vài bước chân. Khu vực dân trí cao, an sinh đỉnh. Gần hồ Hoàng Cầu, chợ, trường học, TTTM, các tòa chung cư, văn phòng, siêu thị. Cho thuê luôn kín phòng.+ Nhà xây khung cột bê tông cốt thép chắc chắn, vuông vắn, lô góc 2 mặt thoáng. + Thiết kế Apartment 8 nổi 1 hầm, có thang máy. Doanh thu 200 triệu/tháng- Tầng 1: hầm để xe, - Tầng 2: có 2 căn hộ, và cửa hàng cho thuê. - Tầng 3-8: mỗi tầng 4 căn hộ. - Tầng 9 : 2 phòng + sân phơi. - Các phòng đều bố trí đầy đủ nội thất. Khách đến chỉ việc xách quần áo đến ở. + Sổ đỏ chính chủ sẵn sàng giao dịch.+ GIÁ: 29 tỷ ( thương lượng )+ Liên hệ để xem nhà miễn phí, miễn trung gian, báo mạng.📞 0926.89.1993 ( Liệu )
",24/05/2022,Tin thường,batdongsan_so_com_vn_1673823512.3823514, 9, 8, 4, 28, 30
"3,7 tỷ VNĐ","Cổ Dương, Tiên Dương, Đông Anh", 83m2,"- Vị trí đất nằm ngay khu đấu giá Cổ Dương, gần trường Archimedes School, 10m ra đường ô tô tránh vỉa hè hai bên. - Cách chợ rau Vân Trì 500m, ra TT Đông Anh 1km, khu đô thị Cổ Dương đang phát triển từng ngày - Bán kính 1km ra BV Đa Khoa Đông Anh, Chợ trung Tâm, Nhà văn Hóa Đông Anh. - Mảnh đất được thừa hưởng hai mặt đường, trước nhà và sau nhà, thông thoáng. - Gần đường Võ Nguyên Giáp đi vào TT Hà Nội , sân bay Nội Bài chỉ 15 phút. - Khu dân cư đông đúc, dân trí cao mua ở hay đầu tư gia tăng tài sản quá tốt. - Pháp lý chuẩn, sổ đỏ chính chủ giao dịch ngay - Giá chào 3x tỷ có thương lượng nhiệt tình, (Miễn Trung Gian & MG). - LH : 0889995548/0915126183  Đồng Thái Dự. ",24/05/2022,Tin thường,batdongsan_so_com_vn_1673823513.4854016,, 4,,,
15 tỷ VNĐ,Hà Nội, 68m2,"Đường ô tô tải tránh - Trung tâm Đống Đa - Kinh doanh tuyệt vời - Tiện ích đầy đủ.Nhà nằm tại khu vực dân trí cao, an ninh tuyệt vời, đi lại xung quanh rất tiện.Kết nối Thái Hà, Trần Quang Diệu, Hoàng Cầu, Mai Anh Tuấn, Giảng Võ, Láng Hạ, Huỳnh Thúc Kháng, Nguyễn Chí Thanh, Phương Mai…Nhà diện tích 68 m2, 7 tầng kết cấu khung cột chắc chắn, thiết kế đẹp, nội thất hoàn hảo.Sổ đỏ vuông đẹp, sẵn sàng giao dịch.Giá chào chỉ 15 tỷ thương lượng mạnh.Liên hệ ngay em Thanh - 0366 555 258.",24/05/2022,Tin thường,batdongsan_so_com_vn_1673823514.5056713,,,,,
"4,8 tỷ VNĐ",quang trung, 45m2,"+ Bán nhà. Cầu Đơ, Hà Đông. Ô tô Kinh Doanh 45m2 x 3 tầng, Mặt tiền 4m. Giá 4.8 tỷ.  NGÕ THÔNG Ô TÔ - KINH DOANH - AN SINH TIỆN ÍCH NGẬP TRÀN - MẶT TIỀN TO  + Nhà bán nằm trên mặt ngõ thông, mặt tiền rộng có thể kết hợp vừa ở vừa kinh doanh như Nail. Tóc, tạp hóa, nhiều loại hình dịch vụ. + Nhà cách đường Quang Trung 100m, gần ga tàu điện trên cao, gần trường học, siêu thị, và các trung tâm thương mại lớn. + Nhà xây 3 tầng bê tông cốt thép chịu lực, phong cách kiến trúc hiện đại. + Móng xây rất chắc chắn dự định lên 5 tầng nhưng do nhu cầu gia đình không sử dụng hết lên mới để 3 tầng. Thiết kế: - Tầng 1: Phòng khách, bếp, WC, vị trí để xe - Tầng 2: 02 Phòng ngủ rộng WC - Tầng 3: 01 phòng ngủ, phòng thờ sân phơi.   + Sổ đỏ cất két, sẵn sàng giao dịch.  LH: E KHÁNH: 0984568179",24/05/2022,Tin thường,batdongsan_so_com_vn_1673823515.6346545, 3, 4,, 3, 3
"2,65 tỷ VNĐ",Đường Đông Ngạc phường Đông Ngạc, 41m2,"+ Nhà nằm trên mặt ngõ thông, thoáng mát. Thiết kế: Tầng 1: PK, Bếp, có giếng trời thoáng, WC.  + Gần trường học các cấp, chợ, nhà văn hóa, sân chơi..v + Liên hệ: E Long. (Miễn-TG-MG)
",24/05/2022,Tin thường,batdongsan_so_com_vn_1673823516.6958098, 3, 3, 3, 3, 2
"2,5 tỷ VNĐ",Minh Khai - Hà Nội, 45m2,"Căn nhà tọa lạc tại vị trí quá ư là đắc địa ngay nút giao trung tâm Kim Ngưu – Minh Khai – Tam Trinh trung tâm của các trung tâm.-Hơn thế nữa ngôi nhà còn cực kỳ gần phố chỉ 1 bước chân là  ra mặt  phố lớn không thể  gần hơn. Ngõ to sáng thoáng  trước cửa nhà có sân rộng như sân phơi thóc. Nhà có công có việc thì khỏi lo.-Đường Minh Khai là tuyết đường huyết mạch của thủ đô nay đã quy hoạch ổn định chỉ đợi hoàn thiện giá đất khu vực chỉ có lên chứ không có xuống. Từ nhà thuận tiện tỏa đi khắp ngả sang Time City, Bờ hồ, Tây Hồ,….hay đến các bệnh viện lớn như Bạch Mai, Thanh Nhà,….hoặc các trường đại học nổi tiếng như Xây Dựng, Bách Khoa, Kinh Tế Quốc Dân…..- Căn nhà là tâm huyết  bao năm của chủ nhà dân trong ngành xây dựng,vô cùng kiên cố vững chắc– Gia chủ có tuổi con cái thành đạt ra nước ngoài định cư hết rồi, dịch rã nguy hiểm nên đành phải dứt ruột bán đi về quê an hưởng tuổi già, vô cùng thiện trí có gia lộc cho khách hữu duyên giá chào 2.5  tỷ Chi tiết LH: em Nhật 0977194820 (Chuyên Nhà đất Thổ cư).Phương châm làm việc :- Bán nhà bằng cái tâm và cái tầm.- Không kênh giá chủ nhà- Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư vấn pháp lý ",24/05/2022,Tin thường,batdongsan_so_com_vn_1673823517.7250578,,,,,
