price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Số toilet,Hướng,Mặt tiền,Lộ giới
"3,8 tỷ VNĐ",Nam Từ Liêm, 36m2,"+ Kinh doanh buôn bán các mặt hàng rất tốt. ——————————– + Các công trình nổi bật ở khu như: Trung tâm hội nghị Quốc Gia, Khu liên hiệp thể thao Quốc Gia, Keangnam Hanoi Landmark 72, Mỹ Đình Pearl, bệnh viện Hồng Ngọc, The Manor, cung văn hoá hữu nghị Việt- Trung, đường đua F1, Khu chức năng đô thị TP xanh – Vinhomes Gardenia. + Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng giao dịch. + Hãy gọi Anh Hiệp để xem nhà ngay: 0963 005 936.",19/03/2022,Tin thường,batdongsan_so_com_vn_1673829755.370348,,,,,,
"6,4 tỷ VNĐ",NGỌC HỒI HÀ NỘI, 45m2,"Mô tả chi tiết.phân lô ,ô tô vào ra thỏa mái,cách mặt phố 10m. +Nhà 5 tầng mới thiết kế.Tầng 1.Gara ô tô.bếp +Tầng 2 Phòng khách.   +Tầng 3.4:Mỗi tầng 2 ngủ+wc +Tầng 5 phòng thờ ,sân phơi +An ninh tốt,hàng xóm thân thiện,giao thông thuận tiện.gần chợ,trường học,bệnh viện +Sổ nở hậu đẹp sẵn sàng sang tên.Chủ thiện chí bán +LH:0989.364.334.Trần Hiệp chuyên  nhà đất thổ cư Hoàng Mai",19/03/2022,Tin thường,batdongsan_so_com_vn_1673829756.7975712, 5, 4, 5,,,
4 tỷ VNĐ,Xuân Đỉnh, 48m2,"Vị trí rất đẹp giao thông thuận tiện, vài chục m ra phố. Nhà chủ tự xây kiên cố chắc chắn, phòng nào cũng thoáng sáng, ở sướng, kinh doanh nhỏ được. Khu an sinh tốt, hàng xóm thân thiện. Gần chợ, gần Công viên Hoà Bình, gần trường ĐH lớn... Vài phút ra các tuyến đường lớn: Cầu Giấy, Lạc Long Quân, Hoàng Quốc Việt, Hồ Tây, Võ Chí Công, Xuân La, Phạm Văn Đồng... Sổ đỏ chính chủ, pháp lý rõ ràng, chủ thiện chí bán. Trịnh Hiền (gọi hoặc inbox 24/24) chuyên nhà thổ cư, sở hữu thông tin trên 10.000 căn nhà trên địa bàn Hà Nội, đủ các phân khúc giá tốt cần thanh khoản gấp. Miễn phí xem nhà, gặp chính chủ thương lượng giá. Hỗ trợ thủ tục pháp lý, sang tên chuyển nhượng, hỗ trợ vay vốn ngân hàng 24/7. Xin cảm ơn anh/ chị đã quan tâm tin đăng.",19/03/2022,Tin thường,batdongsan_so_com_vn_1673829757.778905,,,,,,
"8,35 tỷ VNĐ",Giếng Sen La Khê Hà Đông, 50m2,"- Chính chủ cần bán liền kề Giếng Sen La Khê Hà Đông. Nhà 5 tầng, 50m2, giá 8.35 tỷ, ô tô vào nhà kinh doanh được. Có thang máy.- Hướng Đông Bắc, mặt tiền 4m. Đường vào 13m. Vỉa hè cây xanh.- Vị trí nằm trong khu vực đông dân cư, dân trí cao với nhiều nhà cao tầng, không khí trong lành cây xanh, gần hồ. Gần trường cấp 1 cấp 2, chợ. Giáp với đường Lê Trọng Tấn, khu Part city, đường TỐ Hữu, Thiên Đường Bảo Sơn.- Nhà 5 tầng xây dựng mới kiên cố, hiện đại với gỗ lim, trần thạch cao... nội thất đầy đủ cao cấp chỉ việc mang đồ về ở. Có thang máy+ Tầng 1: Thông tầng kinh doanh để xe vệ sinh+ Tầng 2: Phòng khách bếp và vệ sinh+ Tầng 3 +4 : Phòng ngủ + vệ sinh+ Tầng 5: Phòng thờ sân phơi.- Giá cả có thương lượng- Liên hệ Mr. Khắc Anh để biết thêm thông tin.",19/03/2022,Tin thường,batdongsan_so_com_vn_1673829758.982731, 5, 4, 4, Đông bắc, 4,
"4,25 tỷ VNĐ",ngõ 559 Kim Ngưu, 45m2,"Bán nhà ngõ phố Kim Ngưu Hai Bà Trưng , Hà Nội.Diện tích 45m2x 5 tầng xây mới, giá 4.25  tỷ . 2 mặt thoáng trước sau xây dựng khung cột bê tông, móng bè chắc chắn. Nội thất cao cấp, chính hãng, trang trí ấm cúng bắt mắt, trần thạch cao, cửa chính 2 lớp, cửa thông phòng và tay vịn cầu thang làm bằng gỗ lim._Thiết kế hiện đại bao gồm:- Tầng 1: sân để xe .Phòng Khách, vệ sinh, bếp ăn- Tầng 2,3,4 Mỗi tầng 2 phòng ngủ rộng, vệ sinh giữa.- Tầng 5: Phòng thờ,sân phơi -Vị trí đẹp  khu dân trí cao xung quanh nhiều tiện ích Giao thông thuận tiện,cách mặt phố Kim Ngưu 100m  thông sang  khu đô thị Times City đi nên phố cổ mất 5 phút gần bệnh viện Thanh Nhàn, bệnh viện Bạch mai, bệnh viện việt pháp gần nhiều trường cấp 1,cấp 2, cấp 3 và nhiều trường Đại Học nổi tiếng như Bách Khoa, Xây Dựng, Kinh Tế-sổ đỏ chính chủ pháp lý sạch giá 4.25 tỷ có thương lượng .liên hệ chị Yến ĐT:0702138238",19/03/2022,Tin thường,batdongsan_so_com_vn_1673829760.0648363, 5, 6, 4, Nam, 3, 3
19 tỷ VNĐ,Hà Nội, 63m2,"Chính chủ gửi bán gấp nhà phân lô phố Lê Thanh Nghị, quận Hai Bà Trưng - LH: 0856 968 656. + Vị trí vàng sát phố, mặt ngõ thông ô tô tránh, lô góc thoáng vĩnh viễn 2 mặt, kinh doanh đỉnh. + Diện tích 63m2, mặt tiền 5mGiá chào chỉ 19 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn. - Thiết kế đẹp, xây dựng kiên cố 7 tầng, nội thất xịn, thang máy cao cấp. + Khu vực quy hoạch ổn định, xung quanh toàn nhà cao tầng từ 7 đến 10 tầng. + Dân trí cao, an ninh tốt, nhiều tiện ích. + Nhà sổ đỏ chính chủ, sổ vuông vắn, yên tâm về vấn đề pháp lý. + Miễn phí dịch vụ 100%. + Khách chủ gặp nhau thương lượng. + Liên hệ ngay để tìm nhà phù hợp nhất.Vui lòng liên hệ 24/7 Mr Bình, để xem nhà 0856 968 656.",19/03/2022,Tin thường,batdongsan_so_com_vn_1673829761.1259983,,,,,,
"7,5 tỷ VNĐ",mặt ngõ nguyễn an ninh, 55m2,"Bán nhà mặt ngõ Nguyễn An Ninh thông 176 Trương Định diện tích 55m2x5 tầng thang máy kinh doanh, ô tô, giá 7.5 tỷ.Nhà do gia đình tâm huyết xây dựng 5 tầng thoáng đẹp. Kiến trúc độc đáo, hiện đại và kiên cố, không gian trong nhà luôn thoáng và nhiều sánh sáng. Bao gồm:- Tầng 1: Thông sàn kinh doanh.- Tầng 2: Thiết kế phòng khách và phòng bếp rộng thông nhau như 1 sàn chung cư-Tầng 3,4: Mỗi tầng 2 phòng ngủ rộng, vệ sinh giữa- Tầng 5: Phòng thờ, phòng kho cùng sân phơi thoáng rộngNhà được gia đình tự hoàn thiện nội thất hoàn hảo, tỉ mỉ đến từng chi tiết nhỏ, tất cả các tầng đều sử dụng trần thạch cao, hệ thống sàn gỗ Malaysia, buồng tắm kính, thiết bị vệ sinh nhập ngoại...Ngõ trước nhà thoáng, ô tô 7 chỗ đỗ cửa, có thể kinh doanh mọi loại mặt hàng... ngay gần sân Bóng đá Minh Kiệt, nhà Thi đấu Hai Bà Trưng, gần trường học, chợ. Thuận tiện giao thông, cách Bách Khoa, Bạch Mai, Tân Mai, Giải Phóng chỉ 1km. Sổ đỏ chính chủ. Giá 7.5 tỷ (có thương lượng) liên hệ chị Yến ĐT:0702138238",19/03/2022,Tin thường,batdongsan_so_com_vn_1673829762.3806415, 5, 4, 4, Đông bắc, 4, 3
"5,579 tỷ VNĐ","Đường Võ Chí Công, Phường  Phú Thượng, quận Tây Hồ, Hà Nội", 168m2,Chỉ 33tr/m2 sở hữu căn hộ tại Tây Hồ    ☑Miễn phí 02 năm phí dịch vụ.    ☑Cam kết giá rẻ nhất khu vực.   ☑️ Hỗ trợ vay ngân hàng đến 50% với lãi xuất 0% trong 12 tháng và 24 tháng.    ☑Căn 84m2 và 86m2 (Căn góc 2PN-1WC)    ☑Căn 168m2 (3PN-2WC)    ☑Căn 148m2 (Căn góc 4PN-2WC)    ☑Căn Duplex 195-255-272-295m2   ☎️☎️☎️ Hotline : 0977568223 (zalo) Vân Anh (24H/7),19/03/2022,Tin thường,batdongsan_so_com_vn_1673829763.515606, 1, 3, 2, Tây,,
5 tỷ VNĐ,"Nguyễn Lân, Hà Nội", 45m2,"NHÀ ĐẸP Ở NGAY NGUYỄN LÂN, THANH XUÂN, DIỆN TÍCH 45M2, MẶT TIỀN 5M, GIÁ NHỈNH 5,0 TỶ THƯƠNG LƯỢNG. + Nhà nằm trên một ngõ rộng thông nhau, cách phố Nguyễn Lân 20m, dân trí cao, nhộn nhịp, có thể kết hợp vừa ở vừa kinh doanh. + Nhà 5 tầng chắc chắn móng lên tầng, thiết kế nội thất cực đẹp đẳng cấp, cầu thang bậc ốp gỗ, tay vịn gỗ, sàn nhà ốp gỗ, cửa gỗ lim. + Chủ giữ gìn nhà cẩn thận nay bán lại chủ mới lên chung cư ở các con và dành tiền làm ăn. + Sổ đỏ vuông vắn chủ để trong két sắt sẵn sàng giao dịch ngay. + Liên hệ em Thái để biết thông tin chi tiết về ngôi nhà.",19/03/2022,Tin thường,batdongsan_so_com_vn_1673829764.7512991,,,,,,
"6,2 tỷ VNĐ",Hàng Bè Kiến Hưng Hà Đông, 49m2,"- Chính chủ cần bán lô góc Hàng Bè Kiến Hưng Hà Đông 49m2. 6.2 tỷ. Đường 13m ô tô vào nhà kinh doanh siêu đỉnh.-- Hướng tây nam.- Đất nằm trong Khu đô thị Kiến Hưng Hà Đông với đầy đủ tiện ích như sân bóng công viên, bể bơi, 200 m ra đến chợ. 200m đến trường cấp 1 cấp 2. Vinmart .- Khu có dân trí cao, đông dân cư, xung quanh kín nhà cao tầng.- Đất phù hợp với cả đầu tư lẫn để ở. - Liên hệ Mr. Khắc Anh để biết thêm thông tin. ",19/03/2022,Tin thường,batdongsan_so_com_vn_1673829765.7895236,,,, Tây nam, 15,
