price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Số toilet,Hướng
"7,4 tỷ VNĐ","Đường Cự Lộc, Hạ Đình, Thanh Xuân", 35m2, 5, 10, 5, 4,"+ Chính chủ cần bán nhà 35m2 x 5 tầng giá chào bán 7,38 tỷ, mặt phố cự lộc, Quận Thanh Xuân, phố kinh Doanh sầm uất ngày đêm. + Nhà xây mới tuyệt đẹp, nội thất cực xịn, nhà gần đường nguyễn trãi, nhìn sang RoyalCity. + Nhà vị trí đắc địa, đẹp nhất Quận Thanh Xuân, khu dân trí cao, tiện ích gập tràn. +Pháp Lý:sổ đỏ chính chủ đẹp sẵn sàng giao dịch. +LH: Hoàng Bắc, ĐT: 0377610275, chuyên nhà đất Hà Nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7",15/01/2023,Tin thường,batdongsan_so_com_vn_1673779722.9976292,,
"8,5 tỷ VNĐ","Đường Khuất Duy Tiến, Nhân Chính, Thanh Xuân", 42m2, 4, 3, 4, 6,"+ Chính chủ cần ban nhà diện tích 42 m2 x 4 tầng giá 8.5 tỷ. + Nhà kiên cố chủ tự xây tâm huyết ở vô cùng có lộc. Thiết kế tầng 2 phòng cầu thang và vệ sinh ở giữa. Tổng có 5 phòng, 3 vệ sinh.   + Khách mua về chỉ việc thêm thùng sơn là lại lung linh. Ô tô vào nhà, khu dân cư toàn cán bộ dân trí cao. Có thể kinh doanh cho thuê văn phòng.   + Vị trí đẹp cách mặt ngõ chỉ 10m, cách đường Khuất Duy Tiến chỉ 50m. Ngõ thông ô tô tránh sang Nguỵ Như Kon Tum. Giao thông thuận tiện.  + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7",15/01/2023,Tin thường,batdongsan_so_com_vn_1673779724.812404,,
"3,85 tỷ VNĐ","Đường Ngọc Khánh, Ngọc Khánh, Ba Đình", 35m2, 4, 3, 4, 3,"+ Chủ nhà anh Toàn đã mua nhà mới, cần bán gấp nhà phố Ngọc Khánh - Ba Đình - Hà Nội. Diện tích: 35m2 - 4 Tầng - Mặt tiền 4m. Khu dân trí cao, an ninh tốt.+ Vị trí đẹp, ngõ rộng thênh thang, vào bước chân ra ô tô tránh. An sinh đỉnh, gần Hồ Giảng Võ, bãi gửi ô tô, trường học, bệnh viện Xanh Pôn, ga tàu điện ngầm, chợ, ngân hàng, gần nhiều nhà hàng, quán cafe.+ Giao thông thuận tiện kết nối phố Ngọc Khánh - Giảng Võ - Kim Mã - Nguyễn Công Hoan - Nguyễn Chí Thanh - Láng Hạ - La Thành.+ Nhà chủ tự xây 4 tầng chắc chắn, thiết kế hiện đại, đầy đủ công năng.+ Tặng lại toàn bộ nội thất cho khách thiện chí.+ Sổ đỏ chính chủ sẵn sàng giao dịch.+ Giá: 3.85 tỷ ( có thương lượng ).Liên hệ Mr Liệu để xem nhà miễn phí, làm việc chính chủ, miễn trung gian.",15/01/2023,Tin thường,batdongsan_so_com_vn_1673779727.2134106, 3,
"10,2 tỷ VNĐ","Đường Trần Quốc Hoàn, Dịch Vọng Hậu, Cầu Giấy", 50m2, 5, 4, 5, 4,"BÁN NHÀ PHỐ TRẦN QUỐC HOÀN, Cầu Giấy 50M 5T Ô tô Nhỉnh 10 TỶ  + Vị trí siêu đẹp P. Lô, Trung tâm phát triển cực mạnh. Nối liền Phố Ẩm thực Tô Hiệu, Phố thời trang SV Chợ Xanh, Công viên..  +Giao thông thuận tiên. Đường thông khắp các ngả Đường chính lớn Cầu giấy,Phạm Văn Đồng, Nguyễn Phong Sắc, Tô Hiệu..,  +Gần các Trường học từ Mầm non đến Đại Học đều xịn xò. ĐH Sư Phạm HN, ĐH Quốc Gia, ĐH Điện Lực..  +Thiết kế tuyệt vời, công năng tối đa, Khu nhà Cán bộ, An sinh cực tốt.  +Sổ đẹp, pháp lý sạch, sẵn sang tên nhanh gọn. Thiện trí xem nhà gọi Mr Đức Nhà Đẹp 0898839292.",15/01/2023,Tin thường,batdongsan_so_com_vn_1673779731.1625516, 3,
"6,5 tỷ VNĐ","Đường Láng, Láng Hạ, Đống Đa", 45m2, 5, 4, 5, 3,"Bán nhà đường Láng, Đống Đa, ô tô đỗ cửa, kinh doanh. + Vị trí đắc địa, giao thông các tuyến: Nguyễn Chí Thanh, Láng Hạ, Vũ Ngọc Phan, đường Láng,… + Ô tô 7 chỗ đỗ cửa, 1 nhà ra ô tô tránh, kinh doanh. + Thiết kế:  Tầng 1: Khách, bếp, vệ sinh. Tầng 2, 3,4 : Mỗi tầng 1 ngủ, vệ sinh. Tầng 5: Phòng thờ, sân phơi. + Sổ đỏ nở hậu, chủ rất thiện chí. + Cam kết thông tin chính xác 100% Gọi ngay cho tôi 24/24 để được tư vấn và xem nhà hoàn toàn miễn phí, gặp trực tiếp chủ nhà thương lượng giá.",15/01/2023,Tin thường,batdongsan_so_com_vn_1673779733.714208, 3,
27 tỷ VNĐ,"Đường Tạ Quang Bửu, Bách Khoa, Hai Bà Trưng", 80m2,, 7, 5, 3,"CHÍNH CHỦ BÁN NHÀ MẶT NGÕ 40 TẠ QUANG BỬU, DT 39/42 M2, MT 3.4MX5 TẦNG, VỊ TRÍ ĐẮC ĐỊAĐịa chỉ: ngõ 40 Phố Tạ Quang Bửu, Phường Bách Khoa, Hai Bà Trưng, Hà Nội SĐCC bán nhà mặt ngõ 40 Tạ Quang Bửu, Bách khoa.Diện tích 39/42 m², mặt tiền 3.4 m x 5 tầng. Ngõ rộng, ô tô vào nhà.Ngõ đẹp nhất và đắt nhất khu vực Bách Khoa. Giá bán chính chủ tốt nhất thị trường, nhà bên cạnh đang bán 300tr/m².Tiện ích full, gần trường học Lê Văn Tám, trường mầm non Bách Khoa, ĐH Xây dựng, Kinh Tế, ĐH Bách Khoa. Gần sát bể bơi, sân vận động Bách Khoa, chợ Bách khoa, siêu thị Circle K, bệnh viện Bạch Mai Có thể xây văn phòng cho thuê, chung cư mini. Tặng người mua thiết kế nhà 5 tầng thang máy + 1 tum Duplex như hình.– Giá bán hiện trạng 7.8 tỷ (4 tầng 1 tum).– Giá bán khi thiết kế sang 5 tầng, có ô chờ tháng máy: 8.3 tỷ.Nhà đang trong quá trình sửa theo thiết kế 5 tầng ô chờ thang máy đến tết âm lịch hoàn thiện bàn giao nhà.Có nhận xây chìa khoá trao tay theo thiết kế. Liên hệ chính chủ Minh Đức: 0904 504 858",15/01/2023,Tin thường,batdongsan_so_com_vn_1673779737.1536753, 2,
15 tỷ VNĐ,"Đường Nguyễn Cơ Thạch, Mỹ Đình, Nam Từ Liêm", 37m2, 4, 40, 4, 4,"Bán nhà mặt phố Nguyễn Cơ Thạch, kinh doanh tốt.  Khu vực sầm uất, cư dân đông đúc Nhà 3 mặt tiền Thông tin chi tiết: 37m2 3.5 tầng Mặt tiền hơn 4m Hướng Đông Giá bán: 15 tỷ Kết nối với các tuyến phố lớn như: Lê Đức Thọ, Hồ Tùng Mậu, Cầu Giấy, đường 70, Lê Quang Đạo, Phạm Hùng Gần khu hành chính công quận Nam Từ Liêm Khách xem nhà xin liên hệ Vân Trang 0907023278 ",15/01/2023,Tin thường,batdongsan_so_com_vn_1673779739.595047, 3, Đông
95 tỷ VNĐ,"Đường Lê Đức Thọ, Mỹ Đình 2, Nam Từ Liêm", 267m2, 15, 13, 4, 4,"20 căn biệt thự độc bản, giành cho giới nhà giàu, đặt tại khu nhà giàu. Vip nhất quận Nam Từ Liêm Cách nhà 200m là công viên 15ha, với hồ điều hòa siêu to. Mang đến không khí trong lành dù đang sống giữa lòng thủ đô Nhà giáp ranh giữa quận Cầu Giấy và quận Nam Từ Liêm Kết nối đi Sân Bay, các cơ quan trọng yếu của Nhà nước thuận tiện Biệt thự đơn lập diện tích lớn 270m2 Giá bán từ 95 tỷ/ căn Chủ đầu tư chịu chi. Toàn bộ rào, cổng đều bằng đồng. Mỗi căn biệt thự có 2 cây Mộc cổ, giá không dưới 1 tỷ/ cây Hotline dự án: 0907023278",15/01/2023,Tin thường,batdongsan_so_com_vn_1673779742.8889852, 7, Tây nam
"11,5 tỷ VNĐ","Đường Thanh Liệt, Thanh Liệt, Thanh Trì", 83m2, 5, 11, 4, 4,"Cần tiền lo việc gia đình bán gấp căn liền kề 2 mặt thoáng. Dự án The Eden Rose.  Vị trí: Thanh Liệt, Thanh Trì, Hà Nội Khu an nình tuyệt đối, yên tĩnh. Phù hợp với người mua để nghỉ dưỡng Đường còn 1 đoạn sẽ thông ra đường Đại lộ Chu Văn An. Đã làm sẵn đầu chờ - Thông tin chi tiết:  + Diện tích: 83m2, tổng diện tích sàn xây dựng: 180m2 + Mặt tiền: 5m, sâu 16.5m + Hướng Tây Bắc, sau nhà view thoáng, không bị chắn nhà sau + Đủ đồ + Giá bán: 11.5 tỷ + Xây 3 tầng, 1 tum + Kiến trúc hiện đại rất thoáng - Liên hệ xem nhà: 0907023278",15/01/2023,Tin thường,batdongsan_so_com_vn_1673779745.3374178, 5, Tây bắc
"15,9 tỷ VNĐ","Đường Nhân Mỹ, Mỹ Đình 2, Nam Từ Liêm", 118m2, 30,,,,"+ Vị trí đắc địa, mảnh đất vàng duy nhất còn xót lại tại khu vực Mỹ Đình, thông số hoa hậu, mặt tiền siêu rộng, phù hợp đầu tư, xây phân lô cực đẹp. + Mảnh đất thuộc ngõ 322 Mỹ Đình ( Nhân Mỹ) khu vực dân cư đông đúc, nhiều sinh viên, nhu cầu thuê phòng rất cao, đầu tư xây chung cư mini thì dòng tiền cực tốt. Sổ đỏ đẹp, sẵn sang tên. + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7 ",15/01/2023,Tin thường,batdongsan_so_com_vn_1673779748.5204246,,
