price,address,Diện tích,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Hướng
"9,5 tỷ VNĐ","395 Lạc Long Quân, quận Cầu Giấy, Hà Nội", 107m2, 2,"Chính chủ cần bán hoặc cho thuê căn hộ cao cấp tại toà B khu chung cư cao cấp Watermark Hồ Tây. Địa chỉ 395 Lạc Long Quân, Hà Nội. - Căn hộ studio tầng 10 vị trí viewtoàn cảnh hồ tây đẹp nhất. - Diện tích 107m2, 1 phòng ngủ lớn, 1 phòng sinh hoạt chung lớn, 2 toilet, căn hộ đã cải tạo và thay toàn bộ thiết bị cao cấp + full đồ khách chỉ việc về ở. Căn hộ đã nâng cấp nội thất cao cấp sơn sửa toàn bộ căn hộ so với lúc mới nhận nhà từ Chủ Đầu Tư. - Giá thuê: 1,700 USD/tháng. Khách thanh toán các phí dv, điện nước, mạng Internet có cung cấp thêm dịch vụ vệ sinh nếu khách có nhu cầu. - Giá bán : 9,5 tỷ ( có thương lượng ) - Liên hệ xem nhà: chị Bình 0834558855",11/07/2022,Tin thường,batdongsan_so_com_vn_1673815243.9904935,,,,,
"8,9 tỷ VNĐ",Đường Mậu Lương phường Kiến Hưng, 60m2, 5,"-Thiết kế: Thang máy, 6 tầng 4 ngủ 4 wc. Tầng 1 thông sàn Gara  +
",11/07/2022,Tin thường,batdongsan_so_com_vn_1673815245.3279142, 5, 1, 6, 5,
3 tỷ VNĐ/m2,"Đường Hoàng Mai, Quận Hoàng Mai", 30m2,,"Vị trí rất đẹp, bãi xe ngay bên cạnh, thông sang nhà máy nước, hồ đền lừ, nhà ngay đầu ngõ. Nhà 5 tầng khung cột chắc chắn, xây được 5 năm. Thiết kế hiện đại mỗi tầng 1 phòng tổng 3 ngủ, mặt tiền rộng. Sổ đỏ chính chủ, sẵn sàng giao dịch. Cần tư vẫn rõ chi tiết thì liên hệ e : Long (zalo). ",11/07/2022,Tin thường,batdongsan_so_com_vn_1673815246.5149817, 5, 5, 5, 4,
69 tỷ VNĐ,Đường Kim Mã phường Cống Vị, 160m2, 5,"
    

BIỆT THỰ KIM MÃ- 160M2- 5 TẦNG- MẶT TIỀN 12M- BA ĐÌNH- GIÁ 69 TỶ
 
 BIỆT THỰ 3 MẶT TIỀN - PHÂN LÔ VIP BA ĐÌNH - THỬA ĐẤT XÂY DỰNG TOÀ NHÀ HIẾM CÓ.
 
GỌI NGAY E QUYÊN 0587998899 ĐỂ XEM NHÀ VÀ TƯ VẤN TRỰC TIẾP.

 Mô tả:

+ Vị trí: Toạ lạc tại trung tâm Quận Ba Đình, đi bộ ra Hồ Ngọc Khánh, Công viên Thủ Lệ, Lotte Liễu Giai, Khách sạn Daewoo .... Tiện ích cao cấp xung quanh đáp ứng đầy đủ nhu cầu của khách khó tính nhất. 

+Lợi thế lô góc, 3 mặt tiền nên căn nhà vô cùng thoáng sáng, vượng lộc.
+ Xung quanh toàn dinh thự quan chức, tướng lĩnh cấp cao, thể hiện sự đẳng cấp của gia chủ khi sở hữu. 

 Thiết kế: 

Căn nhà được kiến trúc sư nổi tiếng của Bộ Quốc Phòng thiết kế, thi công cực kỳ tâm huyết và tỉ mỉ. 

Căn nhà sử dụng toàn bộ thiết bị vệ sinh, bếp nhập ngoại, đồ gỗ trong nhà (cửa, tủ, sàn, bàn ghế...) tất cả đều sử dụng gỗ tự nhiên quý hiếm. Căn nhà trước đây đã từng được đại sứ quán Mỹ lựa chọn thuê làm trụ sở. 

+ Tầng 1: Phòng khách, bếp, phòng ăn, phụ, gara ô tô.
+ Tầng 2: 3 phòng ngủ rộng, phòng tắm rộng. 
+ Tầng 3: hai phòng ngủ, phòng thờ, phòng đọc sách, 2 phụ.
+ Tầng 4: bể bơi , khu tổ chức tiệc, vườn trà, quầy Bar, phòng xông hơi.
+ Tầng 5: Tum. 

Sổ phân lô vuông vắn, đẹp, hiếm, giao dịch ngay.
LH e Quyên 0587998899 để xem nhà miễn phí.
",11/07/2022,Tin thường,batdongsan_so_com_vn_1673815248.3490748, 12, 6, 5, 5,
"3,8 tỷ VNĐ",ngõ 120 Dương Văn Bé, 35m2, 4,"Bán nhà ngõ 120 vĩnh tuy thông Dương Văn Bé, Hai Bà Trưng. Diện tích 35m2, xây mới 5 tầng đẹp, sau trường Tiểu Học Vĩnh Tuy. Thiết kế hiện đại: Tầng 1 là phòng khách, bếp, phòng ăn. Tầng 2,3,4 thiết kế mỗi tầng 1 phòng ngủ lớn, vệ sinh khép kín. Tầng 5 là phòng thờ và sân phơi. Nhà gia chủ đầu tư nội thất xịn, sàn gỗ nhập khẩu. Hệ thống cửa bằng nhôm hệ. Hệ thống tiết kiệm điện, bể nước, đầy đủ thiết bị. Giao thông thuận tiện, gần trường học, gần Times City.. SĐCC, Giá bán 3,8 tỷ (có thương lượng – bao sang tên).liên hệ chị Yến ĐT:0702138238",11/07/2022,Tin thường,batdongsan_so_com_vn_1673815249.8121617, 3, 3, 5, 3, Bắc
"4,7 tỷ VNĐ",ngõ phố Phương Liệt, 43m2, 4,"(ẢNH THẬT+NHÀ THẬT+TT THẬT 100%)Bán nhà mặt ngõ phố Phương Liệt, Thanh Xuân, Cách hồ Sen (Phương Liệt) chỉ 100 mDiện tích 43m2 xây 5 tầng mới đẹp- Tầng 1 : Phòng khách, bếp ăn, vệ sinh- Tầng 2,3,4 : Mỗi tầng 1 phòng, cầu thang, vệ sinh các tầng- Tầng 5 : Phòng thờ và sân phơiNội thất hiện đại, phong cách Châu Âu, thiết bị trong nhà toàn đồ cao cấp chính hãng.- Ngõ rộng đều 2.8m, ô tô cách nhà 50m. Khu cán bộ dân trí cực kỳ cao Thuận tiện di chuyển, nằm gần trường đại học KTQD, Xây Dựng, gần bệnh viện Bạch Mai, Tai Mũi Họng, gần bến xe Giáp Bát, Nước Ngầm.Sổ đỏ chính chủ, giá: 4.7 tỷ (có thương lượng)Liên hệ chị Yến ĐT:0702138238",11/07/2022,Tin thường,batdongsan_so_com_vn_1673815251.4388456,, 3, 5, 3,
7 tỷ VNĐ,văn quán, 60m2, 4,"Bán Nhà, Chiến Thắng, Hà Đông. Ô Tô Kinh Doanh 60m2 x 5 tầng. Mặt Tiền 4.5m Giá 7 Tỷ.  NHÀ MẶT PHỐ – NHÀ Ở SIÊU ĐỈNH – KINH DOANH BẮT CHẤP – NHÀ MỚI.  + Nhà  mặt phố Chiến Thắng cách đường Trần Phú 100m. Ngả đi các hướng Ngã Tư Sở, Ba La, Bến Xe Yên Nghĩa, nhà gần tuyến xe buýt, ga tàu điện trên cao, giao thông rất thuận tiện cho việc di chuyển đi các khu vực khác. + Nhà gần trường học các cấp 1,2,3, gầnTrung Tâm Thương Mại Roal Anl CiTy, chợ đầu mối, siêu thị Bigc Hà Đông, Siêu Thị Coopmax, gần Đại Học Mật Mã, Đại Học Kiến Trúc, Bưu Chính Viễn Thông, bệnh viện 103, cách Hồ Văn Quán chỉ vài trăm mét. an sinh đỉnh, an ninh an toàn,kinh doanh sinh lời siêu đỉnh rất nhiều dịch vụ tiện ích xung quanh. Sinh sống siêu thuận lợi.  + Nhà thiết kế 5 tầng khung cột bê tông chắc chắn;                                                                                                          - Tầng 1: Phòng khách, bếp, wc - Tầng 2,3,4: Mỗi tầng 2 phòng ngủ và wc - Tầng 5: Phòng thờ và sân phơi. + Nhà chủ tâm huyết thiết kế, chuẩn từng mi li mét.  Sổ đỏ chính chủ, sẵn sàng giao dịch.   LH: E KHÁNH: 0984568179 ",11/07/2022,Tin thường,batdongsan_so_com_vn_1673815252.6177325, 4,, 5, 6,
170 triệu VNĐ/m2,"nguyễn Văn Cừ.Long Biên, Hà Nội", 210m2,,"+Chính chủ cần bán nhà trung tâm Gia Thụy, đất phân lô hàng không,    khu VIP, nhiều nhà đẹp + Nhà thiết kế 3 tầng rất chắc chắn,2 thoáng phòng nào cũng có cửa sổ      rộng siêu thoáng. + Tiện ích đầy đủ không thiếu thứ gì, gần trường học các cấp, trường quốc tế Wellspring, bệnh viện cao cấp...vài phút sang phố cổ - T 1:  Khách, bếp, sân vườn, wc. - T 2:  2 Phòng ngủ rộng, wc khép kín. - T 3:  Phòng ngủ, phòng thờ sân phơi, wc. + Sổ đỏ đẹp Xin liên hệ Tuấn Dũng để làm việc trực tiếp chủ nhà ĐT, zalo : 0988521921",11/07/2022,Tin thường,batdongsan_so_com_vn_1673815253.8484402,,,,,
"6,6 tỷ VNĐ",Kiến Hưng, 52m2, 3,"+ Tôi cần bán căn nhà tại Kiến Hưng có diện tích 52m2 4 tầng, 4 phòng ngủ, mặt tiền 6.5m giá 6.6 tỷ (có thương lượng). + Xung quanh đầy đủ trường học, gần các trường đại học, bệnh viện, sân bóng, hàng xóm KĐT Xala, KĐT Kiến Hưng. - Thiết kế: + Nhà xây dựng khung BTCT chắc chắn 4 tầng 4 phòng ngủ và 2 phòng đọc sách. + Nhà thiết kế 4 tầng: - Tầng 1: Bếp ăn, phòng ăn, phòng khách, khu để xe và WC. - Tầng 2 + 3: 02 phòng ngủ và WC. - Tầng 4: Phòng thờ, sân phơi. + Đường trước nhà ô tô qua và đỗ, ô tô 4 chỗ vào nhà. + Nhà mặt tiện rộng, phía sau có khe thoáng hơn 1 m nên phòng nào cũng có ánh sáng tự nhiên. + Khu vực an ninh tốt, dân trí cao, ô tô chạy vòng quanh nhà.  THÔNG TIN HÌNH ẢNH ĐÚNG 100% Sổ đỏ đẹp sẵn sàng giao dịch.  Liên hệ A Thanh 0866073986 để xem nhà Miễn Phí.",11/07/2022,Tin thường,batdongsan_so_com_vn_1673815255.1858652, 6,, 4, 4,
"5,8 tỷ VNĐ",Đường Văn Quán phường Văn Quán, 35m2, 4,Nhà khu phân lô – ô tô tránh – vỉa hè – kinh doanh – Văn Quán – Hà Đông -         Hiện trạng nhà dân xây KCBT đầy đủ chắc chắn -         Tầng 1: PK + PB ,11/07/2022,Tin thường,batdongsan_so_com_vn_1673815256.8300912, 3, 10, 4, 3,
