price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Số toilet,Lộ giới
"6,6 tỷ VNĐ","Cổ Bi, Gia Lâm.", 82m2, 7,"+ Nhà mình bán đã cũ không có nhiều mô tả, trước nhà ô tô tránh đỗ, yên tĩnh, cách Đường Cổ Bi 20m. + Quanh chu vi 200m đủ tiện ích không thiếu gì, trường cấp 1-2-3, chợ Vàng, ngân hàng, ủy ban, khu vực hành chính Gia Lâm, Ngã Tư Trâu Quỳ. + Mảnh đất đẹp tuyệt và duy nhất ở hoặc xây cho Giáo Viên thuê dạy thêm cho HS các trường học xung quanh thì dòng tiền đều, hoặc xây khách sạn, nhà dịch vụ cũng tốt, giữ tiền cũng rất dễ thanh khoản.  + Xung quanh hàng xóm toàn là giáo viên, người có học thức dân trí cao, ở cực sướng. Hiện tại đang cho các giáo viên thuê để dạy học thêm. + Sổ đỏ hoa hậu, sẵn sàng giao dịch. - Lh Mr Trác: 0965492571 (xem nhà và tư vấn miễn phí)  ",09/08/2022,Tin thường,batdongsan_so_com_vn_1673809876.529448,,,,
"2,45 tỷ VNĐ","Ngõ 1 Phố Bùi Xương Trạch, Thanh Xuân, Hà Nội", 26m2, 3,"Bán nhà Ngõ 1 Phố Bùi Xương Trạch, Khương Trung, Thanh Xuân NGON BỔ RẺ QUÁ, NGÕ Ô TÔ THÔNG, NHÀ CÒN MỚI ĐẸP, HIỆN ĐẠI, 2 THOÁNG, * Vị trí: Cực đẹp, ngõ to đùng, ô tô thông, giao thông thuận tiện, an ninh dân trí rất tốt. + Xung quanh rất nhiều tiện ích, trường, chợ.... * Thiết kế: Đẹp và hiện đại, nhà còn rất mới, mua về ở ngay, ko phải sửa chữa gì. Đặc biệt nhà có giếng trời, 2 mặt sáng, thoáng, vào nhà mát mẻ vượng khí. + Tầng 1: Phòng khách, bếp, wc. + Tầng 2,3: Mỗi tầng 1 ngủ, wc khép kín. + Tầng 4: Phòng thờ, sân phơi, phòng giặt. * Sổ đỏ vuông vắn nở hậu, không lỗi phong thủy, sang tên ngay. Gọi ngay cho tôi 24h/7: Mr. Hồng Hải 0961771396. (miễn Trung gian, Môi giới, Quảng cáo làm phiền)",09/08/2022,Tin thường,batdongsan_so_com_vn_1673809878.9289567, 4, 3, 3,
"3,5 tỷ VNĐ",Thượng Đình, 34m2, 3,"+ Trung tâm Phố Nguyễn Trãi, gần Ngã Tư Sở, Royal City, gần nhiều trường Đại học lớn, bệnh viện và công viên. + Vị trí nhà cách mặt Phố Nguyễn Trãi 10m giao thông thuận tiện, vừa ở hoặc kinh doanh đều tuyệt; khu dân trí cao, an ninh đảm bảo. + Thiết kế nhà hiện đại, nhà lô góc thoáng sáng đón ánh sáng trời, nội thất cao cấp, đầy đủ công năng sử dụng. + Sổ đỏ vuông đẹp, pháp lý chuẩn, sang tên nhanh. LH: Em Hoan, chuyên thổ cư Hà Nội, nhiệt tình, vui vẻ dẫn khách, miễn phí xem nhà 24/7",09/08/2022,Tin thường,batdongsan_so_com_vn_1673809880.2745535, 5,,,
"3,7 tỷ VNĐ",phố Lạc Trung, 42m2,,"+ Nhà năm tại phố Lạc Trung, gần các tuyến phố chính như Kim Ngưu, Minh Khai, Thanh Nhàn.. + Nhiều tiện ích : Time City, Bệnh Viện Thanh Nhàn, trường các cấp quanh nhà.. + Nhà trong khu phân lô, dân trí cao, an ninh tuyệt đối. + Ngõ thông,60m ra phố Lạc Trung. + Diện tích sổ đỏ 42  x 5 tầng. + Nhà mới xây, thiết kế hiện đại, Chủ xây cực kỳ tâm huyết. + Chủ TẶNG TOÀN BỘ NỘI THẤT. + Sổ đỏ chính chủ, đảm bảo pháp lý, sẵn sàng giao dịch. + Giá 3 Tỷ700  Liên hệ: em Dũng chính chủ  - 094 567 6597",09/08/2022,Tin thường,batdongsan_so_com_vn_1673809882.2235522,,,,
,"40M, 4.6MT Mỹ Đình Nam Từ Liêm ngõ thông kinh doanh giá 4.4 tỷ LH:0845681666.", 40m2,,"40M, 4.6MT Mỹ Đình Nam Từ Liêm ngõ thông kinh doanh giá 4.4 tỷ LH:0845681666.Nhà Mỹ Đình Nam Từ Liêm  gần nhiêu đường lớn như Phạm Hùng, Thiên Hiền, Mễ Tri, Lê Quang Đạo, Lê Quang Đạo, Hàm Nghi.Nhà chủ đang tự kinh doanh, vị trí hiếm nhà bán ngõ thông, nha 4 tầng lô góc nhiều phòng ngủ, mặt tiền rộng oto cách 20m, quá tiện để kinh doanh.Vị trí nhà nhiều tiên ích siêu thị chợ Trường cấp 1, 2, 3 Mỹ Đình, cấp 3 Trí Đức Trần Quôc Tuấn, công viên Hồ Điều Hoà, Bể Bơi Quốc Gia.Pháp lý sổ đỏ sẵn sàng giao dịch ngay.LH Trần Hảo 0845681666 để có giá tôt tư vấn xem nhà miễn phí 24/7.Luôn mang lại Giá Tri - Uy - Tín Niềm Tin tới khách hàng.",09/08/2022,Tin thường,batdongsan_so_com_vn_1673809883.4632435,,,,
"8,5 tỷ VNĐ",Mỹ đình, 90m2,,"
    HIẾM ! BÁN NHÀ LÊ ĐỨC THỌ, MỸ ĐÌNH 90M 7T Ô TÔ THANG MÁY NHỈNH 8 TỶ QUÁ RẺ
+ BÁN CCMN, VĂN PHÒNG, NHỈNH 8 TỶ
+ Vị trí đẹp: Gần Trường Đại Học Thương Mại, ĐH Sư PHạm, Quốc Gia.. Bến Xe Mỹ Đình...
+ Đông học sinh,sinh viên, công nhân viên đi làm.
+ Giao thông thuận lợi, thông các ngả , trước nhà thoáng.
+ Sổ đẹp, pháp lý rõ ràng, sẵn sàng giao dịch nhanh gọn.
+ Thiện trí xem nhà liên hệ tôi Anh Đức 0898839292
",09/08/2022,Tin thường,batdongsan_so_com_vn_1673809884.7298553,,,,
"1,9 tỷ VNĐ",hà nội, 43m2,,"Hiện nay chúng tôi đang phân phối quỹ căn hộ Imperia Smart City với đa dạng các loại diện tích: Studio - 1PN - 2PN - 3PN và tầng, hướng, view công viên hồ trung tâm đẹp nhất dự án (đặc biệt có căn vip giá độc quyền đã bán hết trên bảng hàng chúng tôi đều có) với chính sách ưu đãi khủng:- Thanh toán 10% ký ngay hợp đồng mua bán.- Tặng tiền mặt lên đến 65 triệu/căn hộ.- Chiết khấu 19% khi thanh toán sớm.- Chiết khấu 10% khi thanh toán theo tiến độ thường.- Hỗ trợ vay lên đến 70 - 80% giá trị căn hộ.- Vay vốn lãi suất 0% trong 24 tháng.- Miễn phí dịch vụ trong 5 năm.Hotline: 0983253694.Thông tin dự án Imperia Smart City:- Chủ đầu tư: Công ty cổ phần HBI.- Chiều cao: 38 - 39 tầng.- Diện tích: Từ 28.3m2 đến 75.6m2.- Dự kiến bàn giao: Quý 2/2023Tiện ích dự án:- Một bước chân tới ngay công viên hồ trung tâm 10.2 ha.- Gần sát nhà để xe 10 tầng đáp ứng nhu cầu của cư dân mà các phân khu khác chưa làm được.- Cạnh trường học VinSchool đã đi vào hoạt động.- Gần các tuyến ga metro số 5,6,7 dễ dàng di chuyển các khu vực trong và ngoài thành phố.- Gần trung tâm thương mại Vincom Mega Mall.- Tham quan vườn nhật lớn nhất Đông Nam Á hàng ngày mà không mất bất kỳ khoản phí nào.- Bể bơi hơn 1000m2 ngay chân tòa nhà.- Tổ hợp 15 công viên thể thao ngay trước mặt dự án.- Cư dân Imperia được hưởng tất cả quyền lợi của cư dân Vinhomes và được hưởng thêm quyền lợi riêng của CĐT.Liên hệ tư vấn, nhận bảng giá và chính sách mới nhất:0983253694",09/08/2022,Tin thường,batdongsan_so_com_vn_1673809886.4399881,, 1, 1,
"3,7 tỷ VNĐ",Mỹ Đình Nam Từ Liêm, 55m2,,"55Mx4T Mỹ Đình Nam Từ Liêm 3 thoáng oto cách 1 nhà ra phố LH: 0845681666.Nhà Mỹ Đình Nam Từ Liêm  gần nhiêu đường lớn như Phạm Hùng, Thiên Hiền, Mễ Tri, Lê Quang Đạo, Lê Quang Đạo, Hàm Nghi.Chủ nhà công chức muốn bán nha mua chung cư cao cấp, nhà ở có lộc, thiết kế 4 ngủ đẹp công năng đầy đủ tiện nghỉ.Vị trí nhà nhiều tiên ích siêu thị chợ Trường cấp 1, 2, 3 Mỹ Đình, cấp 3 Trí Đức Trần Quốc Tuấn, công viên Hồ Điều Hoà, Bể Bơi Quốc Gia.Pháp lý sổ đỏ sẵn sàng giao dịch ngay.LH Trần Hảo 0845681666 để có giá tốt tư vấn xem nhà miễn phí 24/7.Luôn mang lại Giá Tri - Uy - Tín Niềm Tin tới khách hàng.",09/08/2022,Tin thường,batdongsan_so_com_vn_1673809887.7924218,,,,
18 triệu VNĐ/m2,"Bán đất tặng nhà tại Xóm Tây Thượng, thôn Đa phúc, Sài Sơn, Quốc Oai, 18tr/m2; 0936167588", 201m2,,"Bán đất tặng nhà tại Xóm Tây Thượng, thôn Đa phúc, Sài Sơn, Quốc Oai, 18tr/m2; 0936167588 – Diện tích : 201m2– Nhà 2 tầng, 1 tum. Xóm Tây Thượng, thôn Đa Phúc– Full thổ cư, xe ô tô nhỏ vào được (đoạn ngõ hẹp nhất là 1,85m). 2 phút ra trung tâm Chùa Thầy, xung quanh dân trí cao ( Toàn giáo viên và kinh doanh), an minh tốt nhiều cây xanh, không gian yên tĩnh, thoáng mát.– Nhà xây dựng kiểu biệt thự Pháp rất đẹp và chắc chắn.– Sổ đỏ chính chủ.– Vị trí nhà đẹp, giao thông đi lại thuận tiện, dân cư đông đúc, khu an ninh tốt, xung quanh có đầy đủ tiện ích như: chợ, trường học… Giá bán : 18 tr/m2MỌI NHU CẦU VUI LÒNG XIN LIÊN Hệ: 0936167588 (miễn quảng cáo làm phiền)      http://www.sanbatdongsanviet.com.vn",09/08/2022,Tin thường,batdongsan_so_com_vn_1673809889.3652172,,,,
"5,45 tỷ VNĐ",Đường Phú Diễn phường Phú Diễn, 41m2, 3,"
    PHÂN LÔ Ô TÔ - Ô TÔ TRÁNH 10M - NHÀ SIÊU ĐẸP
Chính chủ cần bán gấp nhà Phú Diễn 41m2x 5 tầng, 5.45 tỷ 
- Nhà xây 5 tầng, cầu thang giữa tổng 6 phòng ngủ.
- Vị trí cực đẹp oto đỗ cửa, oto tránh nhau 10m.
- Ngõ Phú Diễn là ngõ phân lô cực kỳ đẹp, cạnh đây là quy hoạch đường Hoàng Quốc Việt kéo dài. Tương lai tăng giá mạnh.
- Sổ vuông đẹp
",09/08/2022,Tin thường,batdongsan_so_com_vn_1673809890.7884068, 5, 6,, 3
