price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số phòng ngủ,Số toilet
"4,55 tỷ VNĐ",Vạn Phúc- Hà Đông, 44m2, 5,"Bán gấp nhà Vạn Phúc, Hà Đông, ô tô, kinh doanh, ngõ thông, 44mx 5 tầng Chủ nhà gửi bán kín nhà đẹp phong cách hiện đại xây vô cùng tâm huyết trước sau thoáng sáng với 5 tầng đầy đủ công năng, mặt ngõ thông ô tô, kết hợp vừa ở vừa kinh doanh, mặt tiền rộng, vài bước ra phố. Nhà bán có vị trí trung tâm đắc địa giao thông thuận lợi giáp Ngô Quyền, hàng xóm Đại Mỗ, vài bước ra Yết Kiêu cạnh Quang Trung, dọc sang Văn Quán và MỖ Lao Xung quanh nhà đầy đủ tiện ích chợ Vạn Phúc, gần phố cổ làng lụa, chợ cây cảnh, siêu thị, bưu điện, ngân hàng,… Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 4.55 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",15/06/2022,Tin thường,batdongsan_so_com_vn_1673819724.426239,,,,
"4,6 tỷ VNĐ",Cầu Đơ- Hà Đông, 45m2, 5,"Bán nhà riêng Cầu Đơ, Hà Đông, mặt ngõ thông KD, ô tô, 45m, 5 tầng Cần bán nhà đẹp hiếm khu vực Cầu Đơ, Hà Đông. Nhà thiết kế vô cùng tâm huyết hiện đại với 5 tầng thoáng sáng đầy đủ công năng sử dụng, ngõ rộng thông ô tô dừng đỗ, mặt ngõ phù hợp vừa ở vừa kinh doanh rất tốt. Nhà cách chợ cổ Hà Đông chỉ 200m, bao quanh các con phố cổ Lê Lợi, giáp lê Hồng Phong gần siêu thị Metro,chạy dọc xuống Tô Hiệu, vắt ngang Bà Triệu,…rất gần siêu thị Metro, các bệnh viện lớn, thông ra đường sắt trên cao, di chuyển vô cùng thuận lợi. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 4.6 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn. Bán nhà riêng Cầu Đơ, Hà Đông, mặt ngõ thông KD, ô tô, 45m, 5 tầng Cần bán nhà đẹp hiếm khu vực Cầu Đơ, Hà Đông. Nhà thiết kế vô cùng tâm huyết hiện đại với 5 tầng thoáng sáng đầy đủ công năng sử dụng, ngõ rộng thông ô tô dừng đỗ, mặt ngõ phù hợp vừa ở vừa kinh doanh rất tốt. Nhà cách chợ cổ Hà Đông chỉ 200m, bao quanh các con phố cổ Lê Lợi, giáp lê Hồng Phong gần siêu thị Metro,chạy dọc xuống Tô Hiệu, vắt ngang Bà Triệu,…rất gần siêu thị Metro, các bệnh viện lớn, thông ra đường sắt trên cao, di chuyển vô cùng thuận lợi. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 4.6 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn. ",15/06/2022,Tin thường,batdongsan_so_com_vn_1673819725.9312444,,,,
51 tỷ VNĐ,Đường Trần Kim Xuyến phường Yên Hòa, 155m2, 5,"+ BIỆT THỰ ĐẸP – ĐẲNG CẤP NHẤT KHU ĐÔ THỊ YÊN HÒA - HỆ THỐNG THANG MÁY XỊN – KINH DOANH ĐỈNH. ----------------------------------------------------------  + Vị trí: Gần phố, đường rộng vỉa hè 2 bên rộng ô tô dừng đỗ ngày đêm, gần vườn hoa, công viên, bãi trông giữ xe ô tô 24h với vô vàn tiện ích. Ngõ thông Vũ Phạm Hàm, Trần Kim Xuyến, Hạ Yên…  + Biệt thự 5 tầng, Ful diện tích, thiết kế cực đẳng cấp mang phong cách Châu Âu, nội thất đẹp như khách sạn 5* Metropol với 16 phòng khép kín. Hiện chủ không ở đang cho thuê kinh doanh Khách sạn cực đông khách.  + Pháp lý: Sổ đỏ siêu đẹp, mặt tiền 10m sẵn sàng giao dịch.  + Liên hệ: Mr Huấn 0862385889 – miễn Môi giới.",15/06/2022,Tin thường,batdongsan_so_com_vn_1673819731.0579276, 10, 15, 16, 17
"26,5 tỷ VNĐ",Tây Hồ Lạc Long Quân, 110m2, 5,"Bán Gấp Biệt Thự Kinh Doanh VP, Ô Tô Tránh Lạc Long Quân, Võ Chí Công. Bán gấp (Giá rẻ nhất khu vực này) nhà gần Quận Ủy Tây Hồ, Lạc Long Quân, Võ Chí Công, ô tô tránh, kinh doanh văn phòng ok, vài bước ra đường lớn, gần Hồ Tây Nhật Chiêu,( 2 con Rồng). Diện tích sổ 110m2, nhà 85m2 mặt sàn, 5 tầng, tầng 2 phòng khép kín, nở hậu, mặt tiền 5,5m, hậu 6m, trước nhà có sân, đường thông ô tô tránh, kinh doanh nhà hàng, văn phòng công ty, gần Quận ủy Tây Hồ- khu liên cơ 8 sở ban ngành nhà nước thành phố Hà Nội, trước đó cho thuê 50tr/tháng. Chủ mới mua về ở hoặc kinh doanh hoặc chuyển đổi đập đi xây mới tòa văn phòng cho thuê. - Vị trí tập trung của dân văn phòng - Phố kinh doanh sầm uất. - Nhà chỉ cách phố vài bước chân. - Sổ đẹp - Chủ nhà làm bên quân đội - Rất thiện chí bán - Giá rất hợp lý mua đầu tư. - Sổ đỏ nở hậu. Giá bán 26.5 tỷ. Ngô Tuấn Hồ Tây 0979136836.",15/06/2022,Tin thường,batdongsan_so_com_vn_1673819733.1125178, 5, 6, 5, 5
"9,2 tỷ VNĐ","Quang Trung, Hà Đông, Hà Nội.", 35m2, 5," # Bán nhà # mặt tiền đường Quang Trung, Hà Đông. vỉa hè đá bóng, đường ô tô đua, kinh doanh hối hả. DT 35m, 5T giá chỉ xíu 9 tỷ. + Vị Trí: kim cương, đẹp nhất, đắc địa nhất, mặt phố, trục chính đường huyết mạch Quang Trung quận Hà Đông. + Gần Nhà thi đấu, Bưu Điện, KĐT Văn Phú, Siêu thị Melinh Plaza, KĐT Ngô Thì Nhậm, Bệnh viện Đa Khoa Hà Đông. + Nhà chủ tự xây 5T khung cột chắc, thiết kế T1 thông sàn để kinh doanh, từ T2 lên trên mỗi tầng 2 phòng rộng + WC, đầy đủ công năng. + Giá chỉ 9.2 tỷ ( Thương Lượng ). + Sổ đỏ chính chủ, sẵn sàng giao dịch. * HotLine: 0906113879 Tình nhà phố ( chuyên mua, bán, nhận ký gửi, có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",15/06/2022,Tin thường,batdongsan_so_com_vn_1673819734.0459883,, 30, 4,
"6,3 tỷ VNĐ",Đường Dương Văn Bé phường Vĩnh Tuy, 64m2, 3,"+Vị trí giao thông đi lại vô cùng thuận tiện thông ra các ngả. +Chủ xác định bán đất tặng nhà, diện tích 64m, mặt tiền 5m , 3 tầng . T1: khách bếp, để xe. T2: 2 ngủ. T3: phòng thờ, sân phơi. Giá bán thanh lý, + Sổ đỏ vuông đẹp, sẵn sàng giao dịch ngay. + Giá chỉ 6,3 tỷ (có thương lượng). Liên hệ: E Nhung 0902213777 để được xem nhà",15/06/2022,Tin thường,batdongsan_so_com_vn_1673819735.2009044, 5, 2, 2, 2
3 tỷ VNĐ,Đường Phú Minh phường Minh Khai, 30m2, 5,,15/06/2022,Tin thường,batdongsan_so_com_vn_1673819736.3009613, 3, 3, 3, 3
6 tỷ VNĐ,Đường Nguyễn Trãi, 45m2, 5,"+ Cần bán nhà Nguyễn Trãi - Thanh Xuân, 45m2, 5 Tầng, Ô TÔ vào nhà, Nhỉnh 6 Tỷ. + Vị trí đắc địa, cách Đường Nguyễn Trãi gần 100m, ngõ rộng 2 Ô TÔ tránh nhau, KINH DOANH bất chấp.+ Chủ là dân thiết kế, nhà khung cột chắc chắn, nội thất từ trên xuống dưới bằng gỗ lim, chủ tặng lại hết cho khách.+ Sổ đỏ vuông đẹp, pháp lý chuẩn, sang tên nhanh. LH: Em Hoan, 0925088355, chuyên thổ cư Hà Nội, miễn phí xem nhà 24/7.",15/06/2022,Tin thường,batdongsan_so_com_vn_1673819737.2643847,,,,
"10,5 tỷ VNĐ",Phố Nguyễn Văn Lộc, 50m2, 4,"+ KĐT Mỗ Lao – Hà Đông + Diện tích 50m – Nhà 4 Tầng – MT4.1m – 10.5 tỷ + Vị trí nhà thuộc KĐT Mỗ Lao gần BigC Hà Đông, gần Ngã 4 Trần Phú, Vũ Trọng Khánh, Nguyễn Khuyến .. sát Làng Việt Kiều Châu Âu, tiện ích quanh nhà không thiếu thứ gì.+ Đường trước nhà ô tô tải tránh có vỉa hè, vìa hè 3m ô tô dừng đỗ, ô tô để trong nhà hooặc ngoài đường thoải mái, an ninh an sinh cực đỉnh.+ Nhà phù hợp vừa ở, vừa kinh doanh, khu dân trí cao, thông nhiều phố lớn.+ Thiết kế tầng 2 phòng cầu thang giữa. Tầng 1 kinh doanh.+ Giá bán: 10.5 tỷ (Có thương lượng).+ Sổ đỏ chính chủ. Chủ nhà thiện chí, hợp tác muốn bán gấp. + Liện hệ xem nhà: 0902.083.139",15/06/2022,Tin thường,batdongsan_so_com_vn_1673819738.3454916, 4,, 4, 4
8 tỷ VNĐ,Kim Chung, 146m2,," BÁN NHÀ KIM CHUNG HOÀI ĐỨC 146m MẶT 12M Ô TÔ ĐỖ NHỈNH 8 TỶ GIA ĐÌNH CHUYỂN LÊN PHỐ CẦN BÁN NHÀ 146m 2 MẶT TIỀN 12m Ô TÔ ĐỖ NGÀY ĐÊM Khu phát triển nhanh như giá xăng. Đường vành đai, khu đô thị, TTTM mọc lên như nấm sau mưa. Gần các Trường Đại Học Công Nghiệp Hà Nội, Đại Học Thành Đô. Trường Trung học, Gần Chợ, Bệnh Viện Huyện.. Đường Quốc Lộ 32, Đại Lộ Thăng Long, Đường Xuân Phương.. Sổ đẹp sẵn sang tên nhanh gọn. Gia thương lượng. Có nhu cầu thực sự, thiện trí xem nhà liên hệ Mr Đức  0898839292.",15/06/2022,Tin thường,batdongsan_so_com_vn_1673819739.2949512, 12,,,
"3,1 tỷ VNĐ",Kim Hoa Đống Đa H.N, 30m2, 4,"💫 Mô tả:+ Nhà nằm trong quần thể hồ Ba Mẫu, chỉ vài phút đi bộ ra phố Xã Đàn , Phạm Ngọc Thạch, Đào Duy Anh, Lê Duẩn, Giải Phóng, Đại Cồ Việt, Trần Nhân Tông. Giao thông đi lại thuận tiện , là con phố luôn tấp nập ngày đêm với các siêu thị ,  nhà hàng ,khách sạn Kim Liên, trung tâm mua sắm thời trang quanh phố Xã Đàn, Phạm Ngọc Thạch, Đào Duy Anh.+ Phố Kim Hoa là trung tâm của quận Đống Đa, nơi hội tụ đầy đủ về an sinh , dân trí , khu vui chơi giải trí như: công viên Thống Nhất , kế bên là Vin Com Bà Triệu, trường ĐH Bách Khoa Hà Nội, trường ĐH Kinh Tế Quốc dân, ĐH Y Hà Nội, + Thiết kế: Khách mua chỉ việc sách Va li về ở luôn. 🔹 Tầng 1: Phòng khách + Bếp + để xe.🔹 Tầng 2,3: Phòng ngủ rộng + WC + Ban công.🔹 Tầng 4: Phòng thờ + Giặt + Sân phơi.+ Sổ đỏ chính chủ cất két sẵn sàng giao dịch.+ Liên hệ tư vấn miễn phí nhiệt tình Ms  Lan chuyên nhà đất thổ cư Hà Nội.",15/06/2022,Tin thường,batdongsan_so_com_vn_1673819740.429917, 3,, 2, 2
