price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Lộ giới,Số tầng,Mặt tiền,Số phòng ngủ,Số toilet,Hướng
7 tỷ VNĐ,xã Liên Ninh, 95m2,"+ Bán đất Liên Ninh, Thanh Trì, Hà Nội+ Vị trí đất nằm trong khu phân lô TĐC Liên Ninh. Đường 2 ô tô tránh, vỉa hè rộng. Đất đẹp vuông vắn trước sau. Phía sau có ngõ đất có thể chia 2 lô tuyệt đẹp.+ Thanh Trì điểm nóng của BĐS thu hút một lượng khách Đầu Tư khổng lồ từ giữa năm 2020, giá đất tăng mạnh, các dự án, các tuyến đường được đầu tư triển khai đồng bộ, quỹ đất ngày càng hiếm…+ Sổ đỏ chủ cất két, giao dịch nhanh trong ngày. ",18/08/2022,Tin thường,batdongsan_so_com_vn_1673807825.6261094,,,,,,
"12,89 tỷ VNĐ",Đường Hoàng Như Tiếp phường Bồ Đề, 97m2,"Nhà trong ngõ thông ra Hoàng Minh Đạo, 500m ra mặt phố Nguyễn Văn Cừ, Nguyễn Sơn, Hồng Tiến, ô tô vào nhà nếu muốn, Xung quanh tiện ích đẳng cấp vườn hoa, chợ, trường QT Wellspring, BVĐK QT Tâm Anh ngay gần nhà  Nhà dân xây 97m2 x 4 tầng cũ còn chắc chắn, mặt tiền 6,6m ô tô vào nhà dễ dàng, có sân trước nhà rất tiện dụng. Tổng có 7 phòng ngủ khép kín,phòng khách, phòng thờ, bếp ăn và các phòng chức năng khác  Gọi ngay ĐT / Zalo: 0357613689 Em Quyết tư vấn và xem nhà miễn
",18/08/2022,Tin thường,batdongsan_so_com_vn_1673807827.1191163, 1,,,,,
4 tỷ VNĐ,Quan Nhân, 42m2,"Bán nhà Giá Rẻ Phố Quan Nhân, Thanh Xuân 42m2x5T, Nhỉnh 4 Tỷ. + Giao thông thuận tiện, cách mặt phố 30m, gần chợ, trường học, bãi xe ô tô 20m.  + Nhà còn mới đẹp, nội thất cao cấp, khách mua về ở ngay. + Sổ đỏ vuông đẹp, pháp lý chuẩn, sẵn sàng dao dịch. LH: Em Hoan, 0925088355, chuyên thổ cư Thanh Xuân, Đống Đa với nguồn nhà hơn 13 000 căn, miễn phí xem nhà 24/7.",18/08/2022,Tin thường,batdongsan_so_com_vn_1673807828.5502918,, 5,,,,
"5,4 tỷ VNĐ",Đường Lò Đúc phường Phạm Đình Hổ, 39m2,"+ Chủ nhà là giáo sư về hưu nay càn bán chuyển về ở cùng con cái + Thiết kế căn nhà 4 tầng + T4: P thờ, sân phơi ",18/08/2022,Tin thường,batdongsan_so_com_vn_1673807830.1071265, 2, 4, 5, 4, 4,
11 tỷ VNĐ,Đường Bùi Ngọc Dương phường Bạch Mai, 93m2,"
    + Vị trí trung tâm quận Hai Bà Trưng, phù hợp mở siêu thị, văn phòng, TT ngoại ngữ,... Trước đó chủ đã cho 1 công ty Hàn Quốc thuê 2000 USD/ tháng.+ Sổ đỏ chính chủ, pháp lý đầy đủ, sẵn sàng giao dịch.+ Liên hệ gặp Tuấn Kiệt 0342.168.022 ",18/08/2022,Tin thường,batdongsan_so_com_vn_1673807831.4599507, 5, 4, 11, 4, 4,
6 tỷ VNĐ,Trịnh văn bô - Hoài Đức - Hà Nội, 70m2,"BAN QLDA: 0961.831.835 - Mở bán độc quyền Liền kề Shophouse Sơn Đồng Center, dự án trung tâm Quận Hoài Đức, mặt đường quy hoạch rộng 30m đang thi công và phố Trần Hữu Dực 40m (kéo dài từ Mỹ Đình qua dự án đến Vành đai 4), dự án đón đầu BDS khi Hoài Đức đang gấp rút hoàn thiện thủ tục cuối cùng để chính thức lên Quận vào năm 2022.1. Vị trí khu đấtMặt đường hai trục đường DT422 và Trịnh Văn Bô (Trần Hữu Dực), ngay trung tâm Quận - Ngã tư Làng nghề gỗ Xã Sơn Đồng (Làng nghề tượng gỗ nổi tiếng khắp cả nước và các nước láng giềng. Dự án nằm ngay trục huyết mạch của Quận Hoài Đức, kết nối trực tiếp: QL32, Tỉnh lộ 70, Vành đai 3.5 và Vành đai 4 – Đại lộ Thăng Long, đây sẽ là khu đáng đầu tư và đáng sống nhất Quận Hoài Đức.Liên kết vùng dự án- Dự án cách UBND Quận Hoài Đức 3km- Cách DT422B (Nối Vành đai 4 – Tỉnh lộ 70) chỉ 200m- Cách Vành đai 4 700m, QL32 3km, Vành đai 3.5 2km, Mỹ Đình 5km- Dự án nằm trong trung tâm quận, gần 4 trường THPT Top đầu Quận Hoài Đức bán kính 100m-1km- Cách Đại lộ Thăng Long – Lê Trọng Tấn chỉ 4.5km2. Mặt bằng khu đô thị- Dự án gồm 150 lô đất shophouse, cùng nhiều công trình công cộng: bãi đỗ xe, công viên cây xanh.- Các tuyến đường trong dự án+. Đường nội bộ: 6,5m – 10m – 11m+. Đường DT422 hiện trạng rộng 13m (sau này sẽ mở rộng 50m)+. Đường Trần Hữu Dực 40m- Diện tích đất: 64 – 103m2, Mật độ XD 80% đất, chiều cao giới hạn đồng bộ 4 tầng (18m)- Mặt tiền siêu rộng: 5,25 – 6,25 – 7,5m, đảm bảo 100% các lô ô tô vào tận nhà, lợi thế lớn cho cư dân bản địa tại Sơn Đồng và khu vực lân cận, sở hữu đất mặt phố lớn, khắc phục bất lợi nhà ngõ nhỏ ô tô không thể vào nhà- Giá bán đầu tư, chính sách thanh toán linh hoạt, chiết khấu ưu đãi cho 10 khách đặt mua sớm nhấtLIÊN HỆ TƯ VẤN HOÀN TOÀN MIỄN PHÍ: 0961.831.835 – 0916.55.8388 Thông tin chi tiết dự án: https://duancondotel.info/datsondonghoaiduc-p795299.html",18/08/2022,Tin thường,batdongsan_so_com_vn_1673807833.0257618, 40, 5, 6, 4, 4,
"24,5 triệu VNĐ/m2",Thành Trung - Trâu quỳ - Gia Lâm - Hà Nội, 60m2,"Văn phòng bán hàng chủ đầu tư, cập nhật quỹ hàng căn ngoại giao và chuyển nhượng  cần bán tại dự án Hanhome Blue Star Gia Lâm, chung cư thương mại tốt nhất và duy nhất để đầu tư sinh lời hoặc mua ở tốt trong năm 2022, tiến độ hiện nay đã hoàn thiện 100% công trình nhà, đang hoàn thiện nốt hạ tầng cảnh quan, bàn giao cuối tháng 9, đầu tháng 10/2022. Mua nhà tại chung cư Blue Star, quý khách sẽ nhận được các ưu đãi Nhận nhà ở ngay mà không mất tiền đi thuê nhà hay lo lắng về tiến độ hoàn thiện công trình Được ngân hàng BIDV hỗ trợ 70% giá trị nhà trong 20 năm Nhận sổ hồng sở hữu lâu dài chỉ trong 60 ngày kể từ ngày bàn giao Sinh sống tại dự án có sở hữu quần thể dịch vụ tiện ích đẳng cấp, không gian xanh thoáng mát, view hồ tự nhiên sát bên cạnh 19ha Là hàng xóm của siêu đô thị Vinhomes Ocean Park mà mua giá rẻ chỉ bằng một nửa của Vin Diện tích căn hộ linh hoạt: từ 2 - 3 phòng ngủ: 57 - 60 - 63 - 74 - 75m Quỹ căn đẹp giá tốt chỉ từ 24.5tr/m2 Chi tiết xin liên hệ: 0961831835 – 0916558388 để được tư vấn Thông tin dự án: https://duancondotel.info/chungcuhanhomebluestar-p781413.html",18/08/2022,Tin thường,batdongsan_so_com_vn_1673807834.5945647, 30,,, 2, 2,
48 triệu VNĐ/m2,Khu đô thị Hud Mê Linh - Vành đai 4 - Mê Linh - Hà Nội, 120m2,"Tổng hợp quỹ căn chuyển nhượng shophouse, biệt thự song lập vị trí đẹp, giá đầu tư Dự án HUD Mê Linh NV07A - dt 104m2 mặt vành đai 4: 6.xxx NV07A – dt 150 m2 góc 3 mặt tiền hiếm nhất dự án: 10.xxx NV07B – dt 104m2 mặt sau vành đai 4: 5.xxx NV01 – dt 117m2: giá 48.5tr/m2 BT02 – dt 250m2 view công viên: 10.xxx Giá bán đã bao gồm giá đất, xây thô hoàn thiện mặt ngoài, bao sang tênNgoài ra còn một số căn vị trí đẹp NV01, BT04, BT*01, BT*02. Dư án nằm tại trung tâm hành chính của huyện Mê Linh, hạ tầng hoàn thiện, đồng bộ, có xe bus đưa đón, trường học bệnh viện sát cạnh, các tuyến đường lớn, giao thông thuận tiện. +. Cách TTTM Mê Linh Plaza: 4 km +. Cách BV Nội Tiết Trung Ương: 4 km +. Cách trung tâm Hà Nội: 20 km +. Cách BV Đa Khoa Mê Linh: 3 km +. 10 phút tới Cao tốc HN - Lào Cai - Để biết về vị trí và giá bán từng căn quý khách vui lòng liên hệ: 0961831835 – 0902130300 - Thông tin chi tiết: https://duancondotel.info/hudmelinhcentral-p798723.html",18/08/2022,Tin thường,batdongsan_so_com_vn_1673807836.1814077, 14, 3, 6, 4, 3,
55 triệu VNĐ/m2,khu đô thị Kim Chung Di Trạch - Vành đai 3.5 - Hoài Đức - Hà Nội, 95m2,"Mở bán đợt cuối. Quỹ căn chủ đầu tư và bảng hàng chuyển nhượng đợt 1 dự án Hinode Royal Park - Kim Chung Di Trạch.Suất ngoại giao siêu vip. Đường 30m - 33m và 51m: LK 36 - 37 - 38 và LK 41 - Lk 42 - Lk45: Giá đầu tư.*** Quỹ căn chuyển nhượng- Shophouse phố Thịnh Vượng: LK32, LK35, LK36, Lk39, LK40,41,42... Giá từ 8x tr/m2 đất.- Khu phố đi bộ LK22, LK23, Lk24 đường 17m giá từ 7x tr/m2.- Shophouse LK08, LK09, LK19, LK25... Mặt đường 33m giá từ 10x tr/m2 đất.- Shop LK5,7,9 LK22, LK23, LK26, LK31... Mặt đường 30m giá từ 10xtr/m2 đất.- Liền kề 16,20... Đường 24m vào hồ giá từ 8xtr/m2.- Liền kề 6,15,16,17... Mặt đường 17m giá từ 7xtr/m2.- Lk28 hướng Đông Nam đường 12m giá 65tr/m2.- Lk12 đường 12m giá 5xtr/m2.- Lk29 đường 12m giá 6xtr/m2.- Lk28 đường 30m giá 11xtr/m2.- Lk17 đường 17m giá 80tr/m2.- Lk2 đường 17m giá 6xtr/m2.- Lk13 đường 12m giá 6xtr/m2.- LK31.2x giá hơn 9 tỷ.- LK26. Xx đường 30m giá gần 16 tỷ.- LK23. Xx phố đi bộ giá 90tr/m2 hơn 10 tỷ.- LK17.1x view vườn hoa giá 80tr/m2 gần 11 tỷ.Còn nhiều hàng lô đẹp, giá chuyển nhượng có cắt lỗ từ 55tr/m2. Chưa bao gồm xây thô.Liên hệ Phòng Bán Hàng: 0961.831.835",18/08/2022,Tin thường,batdongsan_so_com_vn_1673807837.4021418, 17, 5, 5, 4, 4,
"4,7 tỷ VNĐ","Giáp Nhị, Hoàng Mai, Hà Nội", 52m2,"52 + Nằm ở vị trí trung tân Quận Hoàng Mai, giao thoa với các đường Trương Định,Lương Khánh Thiện, Giáp Bát, Thịnh Liệt…Gần nhà có đầy đủ tiện ích xã hội như: Bến xe, chợ dân sinh, các trường Đại học, bệnh viện Bạch Mai, khu vui chơi và nhiều tiện ích khác… + Chủ nhà xây tâm huyết để ở,khung cột chắc chắn, thiết kế hiện đại, ánh sáng ngập tràn, tối ưu hóa công năng sử dụng, khách mua về ở ngay, Phù hợp cho 2 hoặc 3 thế hệ để ở, di chuyển 15 phút đến Bờ Hồ, 10 phút đến Công viên Yên Sở. + Sổ đỏ chính chủ, đảm bảo pháp lý, sẵn sàng giao dịch. + Gọi ngay đến, Mr Quân – 0911303899 (zalo-messenger). Chuyên khu vực Hoàng Mai,Hai Bà Trưng.Để được tư vẫn miễn phí, còn rất nhiều căn nhà cùng khu vực với tài chính từ 3-10 tỷ.",18/08/2022,Tin thường,batdongsan_so_com_vn_1673807839.3339736,, 5, 4, 6, 5, Đông bắc
