price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Số toilet,Lộ giới,Hướng
"1,14 tỷ VNĐ",Đường Việt Hùng phường Việt Hùng, 63m2, 4,"Bán đất Lỗ Giao Việt Hùng Đông Anh – Nhỉnh 1 tỷ – khổ đất đẹp Thông số lô đất: Diện tích 63.5 m2Mặt tiền 4.5 mKhổ đất siêu đẹp Vị trí lô đất Việt Hùng Đông Anh:   Vị trí đắc địa nằm ngay gần Nhà văn hóa Lỗ Giao, đi 990m đến chợ Dục Nội kinh doanh cực kì sầm uất Cách trường Tiểu học Việt Hùng 1km, trường THCS Việt Hùng 900m Bán đất Lỗ Giao Việt Hùng cách cầu Nhật Tân 7p lái xe, cách sân bay Nội Bài 15p lái xe  Thuộc khu vực đang phát triển rất rầm rộ giá đất tăng lên từng ngày Gần đường vành đai 3 chuẩn bị mở kết nối vs cầu Tứ Liên  Em Tùng 0979.090.313
– Tư vấn nhà đất Đông Anh miễn phí.
– Kiểm tra quy hoạch mới nhất giá rẻ.
– Hỗ trợ vay vốn ngân hàng
",26/05/2022,Tin thường,batdongsan_so_com_vn_1673823128.7460513,,,,,
"6,5 tỷ VNĐ",Phố Vương Thừa vũ, 80m2,,"BÁN NHÀ NGÕ PHỐ VƯƠNG THỪA VŨ, 80M2, 4 TẦNG, GIÁ CỰC TỐT 6,5 TỶ Diện tích đất 80m2, 4 tầng, mặt tiền 5m. Tầng 1: Phòng khách + bếp + WC Tầng 2,3: mỗi tầng đều có 2PN + WC Tầng 4: Phòng thờ + Sân phơi đồ + Cây cảnh Giá chỉ 6,5 tỷ, sổ đổ sẵn sàng giao dịch. Nhà xây mới thiết kế đẹp, có sân, ban công đón thiên nhiên. Nội thất toàn gỗ tự nhiên ca cấp. Ngõ xe máy tránh, chỉ cách điểm đỗ ô tô chỉ 70m. Quý khách vui lòng liên hệ: Mr Tiến Lucky – chuyên BĐS Thổ cư -  ĐT: 0979.160085",26/05/2022,Tin thường,batdongsan_so_com_vn_1673823129.8929465, 4, 4, 3,,
6 tỷ VNĐ,"Hoàng Hoa Thám, Hà Đông, Hà Nội.", 30m2,," # Mặt phố Hoàng Hoa Thám, Hà Đông, vỉa hè, ô tô tránh kinh doanh sầm uất. DT 30m2, 5T, giá  chỉ 6 tỷ. + Vị trí trục lõi phố cổ thuộc phường Nguyễn Trãi khu vực đắc địa kinh doanh sầm uất nhất nhì quận Hà Đông. + Đường trước nhà ô tô tránh, vỉa hè kinh doanh, giao thông thuận lợi.  + Khu vực buôn bán sầm uất phù hợp nhiều loại hình. + Nhà thiết kế thông sàn các tầng, công năng đầy đủ + Chủ mới mua về chỉ việc đến ở, kết hợp ở làm VP hoặc kinh doanh theo lĩnh vực của mình. + Giá chỉ 6 tỷ ( Có Ra Lộc ) + Sổ đỏ chính chủ, pháp lý chuẩn, giao dịch nhanh. # HotLine: Tình nhà phố 0983858722 ( chuyên nhà đẹp, nhà phố, nhà tiềm năng, dòng tiền, có uy tín trong giới nhà đất quận Hà Đông - Hà Nội ).",26/05/2022,Tin thường,batdongsan_so_com_vn_1673823131.1465943, 5, 4,, 10,
"6,6 tỷ VNĐ",Kiến Hưng- Hà Đông, 62m2,,"Bán đất đấu giá Kiến Hưng, Hà Đông, 62m, vỉa hè, mặt tiền 5.5m, đường ô tô tránh - Cần tiền đầu tư nhà xưởng, máy móc nên bán gấp mảnh đất đẹp của gia đình trong vòng 1 tuần, đất nằm vị trí đắc địa gần trường học các cấp, gần chợ, công viên, các chung cư,..xung quanh đầy đủ tiện ích. - Khu vực tiềm tương lai sáng ngời, quy hoạch ổn định, pháp lý rõ ràng, phù hợp xây 7 tầng thang máy ở kết hợp làm văn phòng hoặc kinh doanh tuyệt vời. - Giao thông đi đâu cũng thuận tiện: xuống Đa Sỹ, giáp các Khu đô thị Xa La, cạnh văn Phú, hàng xóm Đa Sỹ, xuôi xuống Thanh Trì,… - Giá: 6.6 tỷ ( có gia lộc). - Sổ đẹp vuông sẵn sàng giao dịch. - Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",26/05/2022,Tin thường,batdongsan_so_com_vn_1673823132.9078808,,,,,
23 tỷ VNĐ,"ngã ba Đức Giang, Long biên ,Hà Nội", 129m2, 4,"Thông tin mô tả + Nhà vị trí đẹp, ngay ngã ba với phố Đức Giang, mặt trước vỉa hè rộng 15m, mặt sau là ngõ 6 Đức Giang ô tô tránh. + Nhà 3 tầng, một mặt phố Ngô Gia Tự, một mặt Ngõ rộng oto tránh Hiện chủ đang kinh doanh rất đông khách. + Sổ đỏ nở hậu, 129 m2, MT 4.6m - Giá nhỉnh 20 tỷ, tính ra có 210 triệu/m, quá rẻ so với khu vực - Liên hệ A Dũng, ĐT hoặc nt zalo 0988521921 làm việc chính chủ.",26/05/2022,Tin thường,batdongsan_so_com_vn_1673823134.0239022, 3, 4, 5,,
"5,3 tỷ VNĐ",Kiến Hưng- Hà Đông, 50m2,,"Siêu phẩm đất dịch vụ Kiến Hưng, Hà Đông, 50m, vỉa hè, lô góc, gần trường học, ô tô tránh Anh tôi cần bán mảnh đất đẹp lô góc thoáng sáng có 1 không 2 ở khu vực đất dịch vụ Kiến Hưng trung tâm gần chợ, gần các toà chung cư, vỉa hè rộng kinh doanh sầm uất, đường trước nhà ô tô thông vòng quanh. Cở sở hạ tầng hiện đại, đất có giá trị gia tăng hàng năm rất lớn, phù hợp cho các nhà đầu tư. Mảnh đất đẹp thích hợp xây 7 tầng thang vừa ở kết hợp kinh doanh hoặc làm văn phòng quá đẹp. Xung quanh đầy đủ tiện ích, giao thông vô cùng thuận lợi hàng xóm Đa Sỹ, cạnh Xa La, gần Văn Phú đi lên Văn Quán rất thuận tiện.      -    Giá: 5.3 tỷ ( có gia lộc).      -    Sổ đẹp vuông sẵn sàng giao dịch      -    Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",26/05/2022,Tin thường,batdongsan_so_com_vn_1673823135.4760528,,,,,
25 tỷ VNĐ,"Quan Nhân, Thanh Xuân , Hà Nội", 70m2, 6,"TOÀ NHÀ VĂN PHÒNG TRUNG TÂM THANH XUÂN – MẶT PHỐ VỈA HÈ RỘNG – 70M2 X 8 TẦNG MẶT TIỀN 6M – OTO TRÁNH KINH DOANH ĐA DẠNG SẦM UẤT – LH 0363848024 Mô tả : - Nhà bán nằm trên một trông những măt phố đẹp nhất quận thanh xuân , kinh doanh sầm uất , đ dạng mọi loại hình . Căn nhà thuộc khu vực cự kỳ dân trí.- Vị trí cực đẹp, đường ô tô tránh, vỉa hè. Ô tô dừng đỗ để ở kết hợp kinh doanh nhà hàng, cafe, văn phòng, sapa ... Vv. Đều rất tuyệt vời.- Nhà 8 tầng, mới đẹp long lanh, thang máy, thang hàng nhập khẩu, nội thất, sàn toàn gỗ hương  xịn sò từ cầu thang đến cửa và sàn nhà, điều hòa daikin nhật mới tinh. - Thiết kế: Diện tích 70m2 , 8 tầng , mặt tiền 6m , vuông vắn .+ Tầng 1,2, 3, 4: Thông sàn KD + Wc.+ Tầng 5 : 2 phòng ngủ khép kín.+ Tầng 6: Phòng Master + Nhà Tắm 5*.+ Tầng 7: Phòng khách + Wc.+Tầng 8: P thờ, p ăn, bếp, vs, sân chơi.+ Tầng thượng sân chơi rộng.- Sổ vuông đẹp, sẵn sàng giao dịch ngay .Liên hệ em Đức để xem nhà : 0363848024 (có zalo) .",26/05/2022,Tin thường,batdongsan_so_com_vn_1673823136.8014712, 8, 3, 8, 10, Đông nam
"5,3 tỷ VNĐ",Kiến Hưng- Hà Đông, 50m2,,"Siêu phẩm đất dịch vụ Kiến Hưng, Hà Đông, 50m, vỉa hè, lô góc, gần trường học, ô tô tránh Anh tôi cần bán mảnh đất đẹp lô góc thoáng sáng có 1 không 2 ở khu vực đất dịch vụ Kiến Hưng trung tâm gần chợ, gần các toà chung cư, vỉa hè rộng kinh doanh sầm uất, đường trước nhà ô tô thông vòng quanh. Cở sở hạ tầng hiện đại, đất có giá trị gia tăng hàng năm rất lớn, phù hợp cho các nhà đầu tư. Mảnh đất đẹp thích hợp xây 7 tầng thang vừa ở kết hợp kinh doanh hoặc làm văn phòng quá đẹp. Xung quanh đầy đủ tiện ích, giao thông vô cùng thuận lợi hàng xóm Đa Sỹ, cạnh Xa La, gần Văn Phú đi lên Văn Quán rất thuận tiện.      -    Giá: 5.3 tỷ ( có gia lộc).      -    Sổ đẹp vuông sẵn sàng giao dịch      -    Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",26/05/2022,Tin thường,batdongsan_so_com_vn_1673823137.8955438,,,,,
"6,6 tỷ VNĐ",Kiến Hưng- Hà Đông, 62m2, 5,"Bán đất đấu giá Kiến Hưng, Hà Đông, 62m, vỉa hè, mặt tiền 5.5m, đường ô tô tránh - Cần tiền đầu tư nhà xưởng, máy móc nên bán gấp mảnh đất đẹp của gia đình trong vòng 1 tuần, đất nằm vị trí đắc địa gần trường học các cấp, gần chợ, công viên, các chung cư,..xung quanh đầy đủ tiện ích. - Khu vực tiềm tương lai sáng ngời, quy hoạch ổn định, pháp lý rõ ràng, phù hợp xây 7 tầng thang máy ở kết hợp làm văn phòng hoặc kinh doanh tuyệt vời. - Giao thông đi đâu cũng thuận tiện: xuống Đa Sỹ, giáp các Khu đô thị Xa La, cạnh văn Phú, hàng xóm Đa Sỹ, xuôi xuống Thanh Trì,… - Giá: 6.6 tỷ ( có gia lộc). - Sổ đẹp vuông sẵn sàng giao dịch. - Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",26/05/2022,Tin thường,batdongsan_so_com_vn_1673823138.873927,,,,,
,Phường Xuân Đỉnh Quận Bắc Từ Liêm, 99m2,,"Cực Hiếm. Bán Đất mặt tiền Nguyễn Hoàng Tôn. 99m2, MT 3.5m. Kinh doanh, ô tô vào nhà. Giá nhỉnh 100tr/m2.+ Vị trí đắc địa trung tâm Quận Bắc Từ Liêm mặt tiền, ô tô tránh. Kinh doảnh đỉnh cao, tiện ích miễn bàn.+ Đường tuyến chính quốc lộ đi thông các Phường, Quận, Huyện nội và ngoại thành.+ Gần ngay khu Đô thị cao cấp CIPUTRA, công viên nước Hồ Tây… + Sổ đỏ chính chủ vuông vắn sẵn sàng giao dịch.+ Giá:Thỏa thuận.Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, thủ tục sang tên nhanh gọn. + Tư vấn 24/7.",26/05/2022,Tin thường,batdongsan_so_com_vn_1673823140.221323,,,,,
