price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Số toilet
5 tỷ VNĐ,Đường Khuất Duy Tiến phường Thanh Xuân Nam, 38m2, 1, 10, 4, 3,"CẦN BÁN GẤP NHÀ KHUẤT DUY TIẾN-THANH XUÂN-Ô TÔ TẢI ĐỖ CỬA-NGÕ RỘNG THOÁNG-THÔNG CÁC NGẢ. LH 0986353662 Nhà cách 10m ra mặt đường Khuất Duy Tiến, Thanh Xuân, diện tích 38m2-giá 5,85 tỷ. -Vị trí nhà nằm trên mặt ngõ rộng, cực thoáng, gần ngã tư Lê Văn Lương, Ô tô đỗ cửa, Xung quanh có rất nhiều trường Đại Học. -Khu vực dân trí cao,an ninh tốt, hàng xóm thân thiện, xung quanh tiện ích gì cũng có: Chợ, siêu thị tiện ích, trường mần non,TH, THCS. -Nhà dân tự xây rất kiên cố và chắc chắn. + Sổ đỏ nở hậu, pháp lý sạch, sẵn sàng giao dịch. Quýkhách có nhu cầu liên hê 0986353662 để xem nhà trực tiếp miễn phí.",28/07/2022,Tin thường,batdongsan_so_com_vn_1673812021.4414322,
14 tỷ VNĐ,"Nguyễn Xiển, Thanh Xuân", 55m2,,,,,"NGUYỄN XIỂN -NHÀ ĐẸP Ở NGAY- 55M - 6 TẦNG THANG MÁY - 2 MẶT NGÕ Ô TÔ – 14.5 TỶ.+ Bán nhà Nguyễn Xiển, diện tích 55m, 6 tầng nhà đẹp long lanh, thiết kế hiện đại, đầy đủ công năng+ Thang máy nhập khẩu+ Vị trí ngay gần nút giao Nguyễn Xiểm - Khuất Duy Tiến - Nguyễn Trãi, giao thông cực kỳ thuận lợi.+ 2 mặt ngõ ô tô tránh, ở hay kinh doanh đều đẹp. + Khu trung tâm đông dân cư, gần trường, chợ, bệnh viện, làm văn phòng, công ty, kinh doanh hoặc để ở. +Sổ đỏ chính chủ sẵn sàng giao dịch.+ Liên hệ: Phùng Trang  0975 124 520.",28/07/2022,Tin thường,batdongsan_so_com_vn_1673812023.249651,
"4,5 tỷ VNĐ","Tây Nam hồ Linh Đàm, Hoàng Liệt, Hoàng Mai, Hà Nội", 100m2,,,, 3,"1. Thông tin tổng quan:- Dự án chung cư cao cấp Linh Đàm. Tên thương mại: HaNoi Melody Residences.- Tọa lạc ngay khu đô thị Tây Nam Linh Đàm, P. Hoàng Liệt, Q. Hoàng Mai, Hà Nội.- Phát triển dự án: Tập đoàn Hưng Thịnh uy tín.- Diện tích: 3.28 ha. Mật độ xây dựng 30%.- Gồm 4 block căn hộ.- Hiện chỉ mở bán tòa thương mại N02, N03, N04.- Quy mô: 27 - 29 tầng + 3 tầng hầm thông minh.- Diện tích căn hộ: 72 - 83 - 95 - 121 - 147m2 (2 PN & 3 PN).- Với 100% Căn hộ có 2 logia đón nắng gió và ánh sáng tự nhiên.- Pháp lý: Sổ hồng sở hữu lâu dài. 2. Vị trí thuận lợi.- Nằm ở vị trí đắc địa tại trung tâm tp Hà Nội từ chung cư Tây Nam Linh Đàm có thể dễ dàng di chuyển đến các điểm:+ Đường vành đai 3 thuận lợi di chuyển qua các Tỉnh lân cận như Hưng Yên, Hải Dương, Hà Nam, Nam Định, Ninh Bình, Thanh Hóa...+ Gần hệ thống các trường đại học lớn: Trường đại học Kinh Tế Quốc Dân, trường đh Bách Khoa, Đại Học Y, Đại Học Xây Dựng. 3. Tiện ích nội khu:- Tiện ích: Bể bơi (rộng gần 1000m2), sân Tennis, sân bóng rổ, TTTM, sân vườn, BBQ, Gym&Spa, nhà trẻ, khu vui chơi trẻ em, đường dạo bộ...- Thanh toán vô cùng hấp dẫn: 21 đợt (mỗi đợt 2,5 - 4%). 4. Tiện ích ngoại khu:- 4 Phút đến Cầu Dậu.- 5 đến 7 Phút đến Trường THCS, THPT.- 3 Phút đến CV Linh Đàm, Bắc Linh Đàm.- 7 - 15 Phút đến ĐH Thăng Long, Bách Khoa.- BV Nội Tiết, BV K, BV 103 gần kề.- 10 phút đến Công viên Yên Sở.- 15 phút đến Bệnh Viện Bạch Mai, BV Tai mũi họng trung ương.- 10 phút Metro Hoàng Mai.- 5 - 10 phút đến BX Giáp Bát, Nước Ngầm.- 20 phút Hồ Gươm, trung tâm thủ đô. 5. Thanh toán:- Ký HĐ chỉ 15%.- Sau đó thanh toán 21 đợt (mỗi đợt 2,5 - 4% cách nhau 45 ngày). 6. Ưu đãi.- Chiết khấu 3% cho 100 căn đầu tiên.- Chiết khấu 2% từ căn 101 - 200.- Chiết khấu 1% từ căn 201 - 300.- Chiết khấu 1% khi khách hàng mua từ căn 02 trở lên.- Khách hàng không vay ngân hàng chiết khấu ngay 3%.- Khách hàng cư trú hoặc làm việc tại quận Hoàng Mai, CK thêm 1%.- Khách hàng thanh toán sớm sẽ tính lãi 15%/năm.- Hỗ trợ phí quản lý 50% trong 2 năm.- Hỗ trợ vay ngân hàng mua nhà lãi suất 0% trong 24 tháng. (ân hạn lãi và gốc trong 24 tháng).- Ngân hàng cho vay: Tp bank, Vp bank, Vietcom bank.- Booking chọn căn theo thứ tự ưu tiên 50 triệu/căn (không mua chủ đầu tư sẽ hoàn lại tiền). Mở bán căn hộ Hà Nội Melody, giá chỉ từ 3tỷ2/căn - 75m2.",28/07/2022,Tin thường,batdongsan_so_com_vn_1673812024.7626023, 2
6 ngàn VNĐ,Đường  phường Yên Nghĩa, 50m2, 4, 7, 4, 3,,28/07/2022,Tin thường,batdongsan_so_com_vn_1673812026.334397, 3
25 tỷ VNĐ,Đường Lê Hồng Phong phường Hà Cầu, 140m2, 5, 20, 4, 4,"Vị trí kinh doanh sầm uất, cách cổng chợ Hà Đông vài trăm mét, vỉa hè kinh doanh , Nhà mặt phố hiếm nhà bán. Phố Lê Hồng Phong thông sang Lê Lợi, Tô Hiệu,Bà Triệu, Văn Phú , Quang Trung thông khắp ngả.- Mặt phố cổ Hà Đông vị trí đẹp, hiếm nhà bán. - tòa nhà 4 tầng lừng lững xây chắc chắn hiện đại , - thích hợp làm trụ sở công ty , trung tâm thương mại, hay tòa văn phòng cao cấp Sổ vuông đẹp , giao dịch nhanhLh : e Giỏi để được tư vấn chi tiết và hỗ trợ xem nhà.",28/07/2022,Tin thường,batdongsan_so_com_vn_1673812027.7645714, 4
"4,8 tỷ VNĐ/m2","Đường Láng, quận Đống Đa", 40m2, 5,, 6,,"Vị trí nằm ở trung tâm Đống Đa, ngõ thông tứ tung. Thiết kế nhà cực chắc chắn, thông sàn nên các phòng rất rộng, thoáng trước sau, 6 tầng, chỉ việc đến ở. Sổ đỏ chính chủ, sẵn sàng giao dịch. Cần biết thêm chi tiết LH (zalo) em Long.",28/07/2022,Tin thường,batdongsan_so_com_vn_1673812029.0072474,
"3,1 tỷ VNĐ",Đường Lê Trọng Tấn phường Khương Mai, 50m2, 4,,,,"
    Mở hội xem đất- Lô đất vàng còn sót lại khu vực Thanh Xuân ô tô Lexus đỗ cửa
Lê Trọng Tấn- Trung Tâm quận Thanh Xuân- lô đất vàng 50m2 mt 3,6m ô tô vào nhà- giá 3,1 Tỷ- sổ đỏ chính chủ.
Khu vực xung quanh tiện ích bạt ngàn, trước nhà có bãi đô xe ô tô rộng rãi để ngày đêm
Chủ nhà cần bán gấp trong 1 tuần- LH em Hưng để đặt lịch xem đất sớm nhất.
 
LH: em Hưng 
",28/07/2022,Tin thường,batdongsan_so_com_vn_1673812030.3995235,
11 tỷ VNĐ,Quận Cầu Giấy, 75m2,,,,,"Cực Hiếm. Nhà Nguyễn Văn Huyên. 75m2* 5 tầng, MT 5m. Giá 11 tỷ. 0962745289+ Vị trí đep, khu vực hiếm nhà bán, đường lớn ô tô tránh, Trung tâm Quận Cầu Giấy. Tiện ích nhất khu vực.+ Khu phố VIP quận Cầu Giấy, gần ngay nhiều trường ĐH, khu phố ẩm thực, café, spa, tập trung buôn bán tấp nập ngày đêm.+ Sổ đỏ chính chủ sẵn sàng giao dịch.+ Giá:Thỏa thuận. + Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, sang tên thủ tục nhanh gọn. + Tư vấn 24/7. ",28/07/2022,Tin thường,batdongsan_so_com_vn_1673812031.6451895,
950 triệu VNĐ,Giải Phóng, 27m2,, 3, 2,,"+ Nhà nằm ngay nút giao Kim Đồng, Giải Phóng. + Ngõ rộng 3m5, nhà xây 2 tầng, công năng đầy đủ. + Đầy đủ pháp lý - Sẵn sàng giao dịch. 0️⃣9️⃣4️⃣4️⃣1️⃣8️⃣5️⃣3️⃣5️⃣4️⃣ LH: E. Vân Anh – 0356551091 / 0944 185 354. Chuyên nhà thổ cư Đống Đa, xem nhà miễn phí, làm việc trực tiếp với chủ.",28/07/2022,Tin thường,batdongsan_so_com_vn_1673812032.942719,
"5,7 tỷ VNĐ","Tân Mai, Hoàng Mai, Hà Nội", 50m2,,,,,"BÁN NHÀ TÂN MAI - Ô TÔ - VÀI BƯỚC CHÂN RA HỒ ĐỀN LỪ - NHÍCH NHẸ GA TỚI LUÔN KIM ĐỒNG - GIÁP BÁT. Bán nhà Tân Mai, Phường Tân Mai, Hoàng Mai. Vị trí nhà đẹp, dân trí cao, tiện ích xung quanh ko thiếu thứ gì, thuận tiện đi Kim Đồng, Giải Phóng, Giáp Bát, Trương Định, Đền Lừ,… Nhà thiết kế hợp lý gồm 1 phòng khách, 6phòng ngủ, 4 nhà WC. Nội thất VIP. Đã lắp đặt đầy đủ nóng lạnh, bếp từ, hút mùi nhập khẩu. Giá: 5,7 tỷ Sổ đỏ chính chủ, cất giữ cẩn thận, sẵn sàng giao dịch. + Liên hệ: Em Phượng: 0362368485 để được tư vấn và xem nhà miễn phí.",28/07/2022,Tin thường,batdongsan_so_com_vn_1673812034.2232947,
