price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Lộ giới,Hướng
"4,95 tỷ VNĐ",Đường Hoàng Văn Thái, 35m2,"+ Vị trí: Nhà nằm vị trí đẹp, lô góc 2 mặt thoáng, khách mua về ở, hoặc kinh doanh đều được, ngõ thông thoáng tứ bề. + Thiết kế: 4 tầng, mỗi tầng 2 phòng, tổng cộng 6 phòng. - Sổ đỏ chính chủ, sẵn sàng giao dịch. + LH: Trần Anh: 0912918139. - Để được xem nhà ngay miễn phí, tư vấn hỗ trợ nhiệt tình 24/7.",10/05/2022,Tin thường,batdongsan_so_com_vn_1673825422.023356,,,,,,
"6,1 tỷ VNĐ",Đường Tô Vĩnh Diện, 38m2,"+ Vị trí đắc địa đẹp, vài bước chân là ra phố Tô Vĩnh Diện, ngõ nông, rộng thoáng lưu thông thuận tiện. + Nhà phân lô, thiết kế mới hiện đại, lô góc hai mặt thoáng sáng, Khu vực an ninh tốt, dân trí cao, có rất nhiều tiện ích khác. + Thiết kế 5 tầng: -Tầng 1: Phòng khách + bếp + wc. - Tầng 2,3: Mỗi tầng 2 phòng + wc. - Tầng 4: Phòng ngủ + phòng thờ + sân phơi. - Tầng 5: Tum. - Sổ đỏ vuông vắn, pháp lý sạch, sẵn sàng giao dịch. + LH: Trần Anh. 0912918139. - Để được xem nhà ngay miễn phí",10/05/2022,Tin thường,batdongsan_so_com_vn_1673825423.4295924,,,,,,
"3,7 tỷ VNĐ",khâm thiên đống đa hà nội, 60m2,"Ngõ ba gác, cực gần phố, gần các trường đại học. Đầy đủ tiện nghi, trung tầm Đống Đa.                                                                                + Tầng 1 sân để xe riêng? 1 phòng khách, 1 phòng ngủ trên gác xép, bếp + Tầng 2: 2 phòng ngủ + Tầng 3: phòng thờ, sân phơi sáng.                                           Sỏ đỏ chính chủ, pháp lý chuẩn, sang tên nhanh. Em Toản. 0326359774.",10/05/2022,Tin thường,batdongsan_so_com_vn_1673825424.6014621, 5, 3, 3, 2,,
"3,6 tỷ VNĐ",Khương Đình, 30m2,"- Diện tích 30m2, mặt tiền 3.4m, 3.6 tỷ.- Tọa lạc vị trí trung tâm, cách Ngã Tư Sở 2 phút đi xe.- Ngõ Thông sang Hạ Đình, lượng người ở tấp nập. - Tiện ích xung quanh đầy đủ, gần trường học các cấp.- 50m ra phố, ngõ xe ba gác tránh.- Sổ đỏ chính chủ, sẵn sàng giao dịch. Liên hệ em Đạt để được tư vấn và dẫn đi xem nhà miễn phí! LH: 0973838798.",10/05/2022,Tin thường,batdongsan_so_com_vn_1673825427.994269,,,,,,
"4,95 tỷ VNĐ",Phan Chu Chinh - Hà Đông, 44m2,"Bán nhà 3 tầng, ngõ thông lô góc 2 mặt thông thoáng diện tích 44m2, mặt tiền 6,8m kinh doanh đỉnh. Vị trí: Nhà nằm sau bưu điện Hà Đông, khu kinh doanh sầm uất, giao thông đi lại thuận tiện gần trường tiểu học Nguyễn Trãi, Yết Kiêu Hà Đông, gần chợ, siêu thị Vinmac số 8 Quang Trung, Vườn hoa Hà Đông + Nhà xây  tầng gồm 2 phòng ngủ và 2 vệ sinh, mặt tiền rộng, lô góc thoáng + Sổ đỏ sẵn sàng giao dịch Liên hệ: Mr Luyện thổ cư: 0911779569",10/05/2022,Tin thường,batdongsan_so_com_vn_1673825431.7383366, 6, 3, 2, 2, 3,
2 tỷ VNĐ,Nam Từ Liêm, 48m2,"+ Phù hợp xây nhà ở cho thuê, chung cư mini. + Vị trí tây bắc của quận Nam Từ Liêm trung tâm hành chính thương mại mới của Hà Nội, phía tây giáp huyện Hoài Đức, phía bắc giáp quận Bắc Từ Liêm. + Các công trình đang làm và dự kiến hoàn thành trong tương lai như: đường trục Hồ Tây- Ba Vì, Công viên văn hoá Thị Cấm. + Hỗ trợ khách hàng có nhu cầu vay vốn ngân hàng. + Sẵn sàng tư vấn pháp lý, ngân hàng về bất động sản.",10/05/2022,Tin thường,batdongsan_so_com_vn_1673825432.7885258,,,,,,
"4,3 tỷ VNĐ","Kim Giang, Thanh Xuân", 40m2,"BÁN NHÀ KIM GIANG – THANH XUÂN, 5 TẦNG 40M2 NGÕ THÔNG Ô TÔ, 4.3 TỶ - Nhà 5 tầng 40m2 chỉ việc về ở. Ô tô nhỏ đỗ cửa. Sát khu đô thị ĐỊnh Công - Ngõ phân lô vuống vắn. Nhà cách ô tô tránh, dừng đỗ ngày đêm 20m. Thuận tiện đi Nguyễn Xiển, Nguyễn Trãi, khu đô thị Linh Đàm, Định Công ... Tiện ích đầy đủ - Sổ đỏ chính chủ, sẵn sàng giao dịch, thương lượng trực tiếp với chủ nhà - Liên hệ: 0918120568",10/05/2022,Tin thường,batdongsan_so_com_vn_1673825433.8487477, 4, 5, 3, 4,,
"1,8 tỷ VNĐ",đại lộ thăng long, 80m2,"
    HOT HOT HOT 
Siêu Phẩm nằm ngay sát tại Ngã Tư Miễu
- Cách đại lộ Thăng Long 100m
- Đối diện Đại học Quốc Gia
- Xung quanh có đầy đủ tiện ích
- trục chính đi vào khu biệt thự Xanh Villas
- Đảm bảo rẻ hơn so với thị trường 1-2 giá
Liên hệ ngay Mr. Nhật 0399007203 để được hỗ trợ nhiều nhất
Tặng ngay 2 chỉ vàng cho khách có xuất hiện giao dịch trong tuần này
",10/05/2022,Tin thường,batdongsan_so_com_vn_1673825434.8790255, 5,,,, 6,
"22,5 tỷ VNĐ",phố thái hà, 115m2,"BÁN NHÀ PHỐ THÁI HÀ, Ô TÔ VÀO NHÀ, KINH DOANH, THANG MÁY, DIỆN TÍCH 115M2, GIÁ 22.5 TỶCc cần bán nhà phố Thái Hà, trung tâm quận Đống Đa, mặt ngõ ô tô tránh nhau, nhà đẹp 5 tầng+ Nhà có vị trí đẹp siêu đẹp tại phố Thái Hà, con phố Vip và trung tâm của quận Đống Đa, nhà mặt ngõ nhưng ngõ o tô tránh nhau, ngõ thông các hướng và từ đầu ngõ tới cuối ngõ kinh doanh tấp nập ngày đêm không khác gì mặt phố.+ Nhà có diện tích siêu to nên xây dựng thiết kế được 1 tòa nhà quá đẹp, tổng 115m2 xây 5 tầng khung cột bê tyoong chắc chắn, mặt tiền 5m nên ô tô thoái mái cho vào nhà nếu gia chủ có nhu cầu để xe vào gara+ Nhà thích hợp vừa ở vừa kinh doanh hiện gia đình tôi đang sử dụng tầng 1 làm kinh doanh thời trang và được 2 phòng kho rộng để đồ. Còn từ tầng 2 là không gian sinh hoạt của gia đình. Mỗi tầng thiết kế 4 phòng ngủ nên nhà cangf thích hợp để kinh doanh căn hộ cho thuê, Trường mầm non tư thục hoặc văn phòng công ty, phòng khám.+ Thái Hà giáp với Huỳnh Thúc Kháng, thông ra ngã tư Nguyễn Chí Thanh, Chùa Láng, Nguyên Hồng, Hoàng Ngọc Phách, tiếp giáp với ngã tư Chùa Bộc, Tây Sơn, thông ra Ngã Tư Sở, Nguyễn Lương Bằng, song song với tuyến phố Thái Thịnh, Đặng Tiến Đông, Hoàng Cầu, Yên Lãng, Láng Hạ, Mai Anh Tuấn+ Sổ đỏ vuông đẹp, chính chủ, giá bán 22.5 tỷ có thương lượng cho khách thiện chí mua.+ Liên hệ: 0886083333, gia đình chỉ gặp trực tiếp người mua, miễn MG trung gian",10/05/2022,Tin thường,batdongsan_so_com_vn_1673825436.1447349,, 5, 10,,,
"13,5 tỷ VNĐ",Đường Hoàng Quốc Việt phường Nghĩa Đô, 79m2,"nhà  PHÂN LÔ - Ô TÔ vào nhà.( đường 2ô tô tránh cách 20m) xung quanh tiện ích ngập tràn ,giao thông thuận tiện. tiếp giáp các trục đường Nguyễn văn Huyên , Nghĩa Đô, Nghĩa Tân , Bưởi..v.v.. Gần các trường đại học như ĐH KH và Công Nghệ,Học viện Bưu Chính Viễn Thông, Cao đẳng Công Thương .v.v.. Dân Cư đông đúc , Dân trí cao, An Ninh, An sinh  tuyệt vời. nhà xây chắc chắn , chủ nhà xây tâm huyết. DT 79m2 x 5 Tầng , MT 7.7m  Tầng 1 Phòng Khách , để xe. Tầng 2,3,4 mỗi tầng 3 PN ,wc. Tầng 5 sân phơi.Phòng thờ. Pháp lý rõ ràng, Sổ Đỏ sẵn sàng giao dịch ngay. Giá 13.5 tỷ ( thương lượng ) liên hệ ngay để được tư vấn ,hướng dẫn xem nhà hoàn toàn miễn phí.",10/05/2022,Tin thường,batdongsan_so_com_vn_1673825437.3326132, 7, 5, 6, 5, 4,
