price,address,Diện tích,Hướng,Mặt tiền,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Lộ giới,Số toilet
7 tỷ VNĐ,"Trâu QUỳ, Gia Lâm, Hà Nội", 70m2, Đông nam, 7, 2, 4,"Cần Bán Nhanh Căn Nhà 70m2 Thị Trấn Trâu Quỳ Đường ô tô tránh nhau   DT: 70m2. MT: 7m. Đường trước nhà trải nhựa ô tô tránh (vỉa hè) Khu dân cư đông đúc, đã xây nhà full. Vị trí lô Góc hai mặt thoáng cực đẹp Chia đôi đẹp, giá trị cao. Gần trường các cấp.  Cách đường Trâu QUỳ chỉ 50m, gần ngay Học Viện Nông Nghiệp Khu dân cư qua lại đông đúc, giao thông thuận tiện Đất sổ đỏ, sẵn sàng chia đôi, bán nhanh.  Hotline: 0399 643 640 để xem nhà #congbdsgialam #trâu_quỳ",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814847.8333654,,
"9,56 tỷ VNĐ",Đường Quang Trung phường La Khê, 50m2,, 4, 7, 7,"CHÍNH CHỦ NHỜ BÁN GẤP NHÀ LIỀN KỀ BỜ HỘI, LA KHÊ: - Tiếp giáp các kđt Văn Khê, Văn Phú Park City, Dương Nội,....(chủ nhà mượn được mảnh đất trống bên cạnh gửi ô tô cho khách khi cần)- Hệ thống THANG MÁY nhập khẩu chạy êm ru
",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814849.3942316, 7, 6
"4,4 tỷ VNĐ",Phố Cự Lộc - Thượng Đình - Thanh Xuân - Hà Nội, 39m2,, 4, 5, 4,"THANH XUÂN - BA GÁC ĐUA - NHÀ ĐẸP - 3 BƯỚC RA PHỐ - TIỆN ÍCH NGẬP TRÀN - 39M2X5T - 4.4 TỶ + Vị trí trung tâm, ngay ngã tư sở, phố Chính Kinh nối Nguyễn Trãi sang Quan Nhân. Giao thông thuận tiện, tiện ích ngập tràn. + Nhà đẹp ngõ to gần phố, trước nhà ngõ rộng ba gác . + Ba bước ra chợ , trường học , gần bãi gửi oto , khu an ninh dân trí cao .  + Sổ hoa hậu , cất két sẵn sàng giao dịch .",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814850.7981513,, 4
"3,9 tỷ VNĐ",Phố Khương Hạ -Khương Hạ - Thanh Xuân - Hà Nội, 33m2,, 5, 5, 4,"SIÊU HIẾM -TRUNG TÂM TIỆN ÍCH -  MẶT NGÕ - NGÕ THÔNG - THOÁNG VĨNH VIỄN 2 MẶT- 33M2X5T - 3.9 TỶ  Mô tả: + Vị trí siêu của siêu đẹp, nhà nằm trên mặt ngõ , sát ủy ban Phường, trường học, bãi gửi ô tô, hồ Khương Hạ, khu vui chơi thể dục. Khu an ninh dân trí, trung tâm tiện ích, an sinh đỉnh.+ Nhà xây đẹp mới lung linh, hiện đại, nội thất tặng lại, ở luôn, thoáng trước thoáng sau ( mặt sau là cơ quan) thoáng vĩnh viễn 2 mặt, ban công nên thơ trữ tình. + Pháp lý sạch, sổ đỏ đầy đủ, nở hậu. + Quá hiếm, quá hót  khu vực trung tâm tiện ích , ở luôn, công năng đầy đủ.",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814852.552504,, 4
"10,65 tỷ VNĐ",Đường A phường Trâu Quỳ, 90m2,, 6, 4, 4,"Bán căn Hải Phát ở ngay vị trí trung tâm huyện Gia Lâm , vị trí đắc địa bậc nhất.-Diện tích :90m2, mặt tiền 6m , đường trước nhà 11m xây 4 tầng hoàn thiện bên ngoài-Nằm ngay vị trí trung tâm, xung quanh là hàng loạt chuỗi nhà hàng , tổ hợp nhà phố , biệt thự , chung cư.... không thiếu 1 thứ gì.Kết nối với các khu vực , các độ thị như Vin Ocean Park, KĐT Đặng Xá. Các dự án đang triển khai như TQ5, EUROWINDOW, METROL POLITAN,...-Cơ sở hạ tầng giá trị thực , tiềm năng tăng giá caogiá đảm bảo rẻ hơn thị trường 1 tỷLh:0346996426",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814853.867984, 15, 4
"3,2 tỷ VNĐ",Đường Khu đô thi mới tây nam linh đàm phường Hoàng Liệt, 68m2,, 6,, 2,"TẦM NÀY ANH EM CÓ NHU CẦU KHÔNG MUA CON NÀY CỦA HƯNG THỊNH PHÍ QUÁ LUÔN 🍇🍇🍇 🚩🚩 Vốn từ 600 triệu sở hữu ngay căn hộ 2 PN tại Chung cư Hà Nội Melody Linh Đàm - Ký hợp đồng trực tiếp với chủ đầu tư Tập Đoàn Hưng Thịnh. 🔥Chính sách ưu đãi cực lớn chỉ ngay trong tháng này:- Hỗ trợ vay tới 70% với lãi suất 0% trong 24 tháng.- Đóng giãn 15-20 đợt, 3-5% mỗi đợt.- Full Nội Thất Bàn Giao Nhà. 🍀Trọn vẹn những tiện ích đẳng cấp của 1 căn hộ cao cấp:- Hồ Bơi chuẩn quốc tế 4 mùa, gym, yoga, khu vui chơi ngoài trời, nhà thuốc, BBQ ngoài trời,...- 3 hầm để xe siêu rộng, 12 thang máy/tòa.- 100% căn hộ có 2 lô gia đón nắng, gió và ánh sáng tự nhiên.- Không gian linh hoạt: 68m2; 76m2; 82m2; 98m2; 121m²; 147m² (2-3 PN). 🔥Đặc biệt với với khả năng sinh lời cực lớn khi mua nhà từ móng do sự khan hiếm chung cư tại Hà Nội. Quá dễ dàng, chỉ cần 600 triệu đã sở hữu ngay căn hộ cao cấp tại quận Hoàng Mai, view hồ Linh Đàm, cách trung tâm Hà Nội 8km. 📞Liên hệ để được hổ trợ",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814859.9565814, 2, 3
"4,55 tỷ VNĐ",Đường 3 phường Nguyên Khê, 70m2,, 5,,,"
    Lô 19, 13, 07, 14, 09, 10
",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814861.0557752,,
9 tỷ VNĐ,Đường Hồng Tiến phường Ngọc Thụy, 71m2,, 5, 3, 3,"Bán nhà 3T 71m2 sân vườn phố Hồng Tiến - Long Biên . Khu vực trung tâm , gần BV Tâm Anh,gần trường quốc tế, gần AEON, gần cầu trần hưng đạo sắp làm.  Nhà xây dựng khung cột bê tông rất chắc chắn tổng 3 ngủ 3wc   Sổ đỏ chính chủ giao dịch ngay   ",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814862.2686708, 3, 3
"3,7 tỷ VNĐ","mỹ đình, nam từ liêm", 40m2,,,,,"Bán nhà Mỹ Đình, Nam Từ Liêm 40m, 4 tầng, giá 3.7 tỷ + Nhà vị trí đẹp, ngõ rộng ba gác tránh xe máy, cách oto 20m, nhà đi vào được từ nhiều hướng, giao thông đi lại thuận tiện + Nhà nằm ở khu trung tâm quận Nam Từ Liêm, tiện ích đầy đủ, kinh doanh sầm uất, vài bước chân là ra chợ, gần bến xe Mỹ Đình, các trường đại học, bệnh viện…. + Chủ nhà tự xây để ở tâm huyết, khung cột chắc chắn, thiết kế hợp lý Sổ đỏ chính chủ, sẵn sàng giao dịch Lh Mr Tùng 0969541111( Chuyên Thổ Cư Hà Nội)",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814863.4944324,,
"11,495 tỷ VNĐ",Khu đô thị Văn Khê - Hà Đông, 83m2,, 5, 4, 4,"RẺ NHẤT KĐT VĂN KHÊ - PHÂN LÔ Ô TÔ TRÁNH - VỈA HÈ THÊNH THANG - KINH DOANH, VĂN PHÒNG TUYỆT ĐẸP - Liền kề Văn Khê - Hà Đông, 5 tầng  83m2 – Tiêu chuẩn của nhà Liền kề Khu đô thị Văn Khê. Tiện ích sống hoàn hảo. Trường học các cấp, siêu thị, bệnh viện nằm trong khuôn viên khu đô thị… - Vỉa hè thênh thang, mặt tiền rộng, kinh doanh văn phòng hoặc ở đều tuyệt. - Thiết kế nhà cơ  bản:  Gara ô tô, phòng khách, bếp, phòng ăn. 4 phòng ngủ,phòng thờ, sân phơi. Nhà 2 thoáng tràn ngập ánh sáng tự nhiên - Sổ đỏ phân lô vuông đét, sẵn sàng giao dịch. Chủ thiện chí. - Liên hệ: K.S Phương – 0918120568 - để được hướng dẫn xem nhà 24/7 và gặp trực tiếp chủ nhà đàm phán giá tốt.",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814864.8120728,, 4
3 tỷ VNĐ,Đường 1 phường Ngọc Thụy, 35m2,, 3, 5, 3," BÁN NHÀ NGỌC THỤY - LONG BIÊN 5TẦNG -DT 35M2, MT 3,6M Nhà mới ở được 4 năm nên còn rất mới,nội thất full. +Vị trí nhà cách mặt phố Ngọc Thụy 100m, ngõ vào nhà rộng, ô tô đỗ cách 15m, ngõ trước nhà 2m, trước nhà có khoảng sân rộng để đc nhiều xe máy. +Nhà gần học viện hậu cần , khu đô thị khai sơn, trường Pháp, gần trường nầm non, cấp 1,2.. +Nhà thiết kế khung cột bê tông chắc chắn, đầy đủ nội thất gồm : bàn ghế, giường tủ,nóng lạnh, 4 điều hòa, chủ tặng hết cho khách mua. +Tầng 01 Phòng khách , bếp wc, +Tầng 2,3,4: mỗi tầng 01 phòng ngủ +Tầng 5 Phòng thờ+Sân phơi + khu trồng rau sạch. +Sổ đỏ chính chủ , giao ngay trong 1 nốt nhạc +Gía 3 tỷ. +Liên hệ : MR Nhất 0963585191 (miễn phí tư vấn xem nhà chốt nhà 100%)_",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814866.4656494, 3, 4
"6,5 tỷ VNĐ",Phạm Văn Đồng, 45m2,, 4, 5, 3,"NHÀ XÂY MỚI, NGÕ THÔNG, Ô TÔ VÀO NHÀ, 30M RA MẶT PHỐ S = 45m2, 5 tầng, mặt tiền 4m, giá 6.5 tỷ + Vị trí đắc địa, gần mặt phố, cách Công viên Hoà Bình 100m, ngõ thông Xuân Đỉnh, Ngoại Giao Đoàn. + Đầu ngõ có chỗ để xe thoải mái nếu không thích để trong nhà. + Thiết kế mới đẹp, cầu thang gỗ:   T1: Gara +Bếp + khách + vệ sinh. T2,3,4 : Thông sàn + vệ sinh cuối. T5 : Phòng thờ + sân phơi. + Gần nhiều trường đại học lớn: Đh Tài nguyên Môi trường, Đh mỏ Địa chất, Đh Tài chính Ngân hàng,… + Sổ đỏ đẹp, nở hậu 2cm. * Liên hệ em Bình để xem nhà miễn phí, không tiếp môi giới. ",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814867.6574621,, 4
