price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Hướng,Số phòng ngủ,Số toilet,Lộ giới
,Phú Lãm, 1235m2,"Chính chủ bán gấp mảnh đất giá 70 triệu/m2 tại Phú Lãm, gần mặt đường, kinh doanh tốt, LH Mr.Phi để xem đất Chủ cần bán gấp đất Phú Lãm, Hà Đông 123,5m2, ngõ ô tô, ngõ thông, kinh doanh đỉnh. - Giao thông thuận tiện ngõ thông các ngả, trục lớn Thanh Lãm thông ra Quốc Lộ 21B và bến xe Yên Nghĩa. - Tiện ích xung quanh đầy đủ, buôn bán, kinh doanh sầm uất, khu vực đông dân cư. An ninh tốt. - Sổ đỏ chính chủ, pháp lý chuẩn. - Giá chỉ nhỉnh 70tr/m2 (có thương lượng với khách thiện chí). Liên hệ ngay: Em Phi: 0378447658 để hiểu rõ nhất về căn nhà và được chủ nhà tiếp đón tốt nhất.",30/03/2022,Tin thường,batdongsan_so_com_vn_1673828937.6903157,,,,,,
"6,8 tỷ VNĐ","Tỉnh lộ 422, Sơn Đồng, Hoài Đức, Hà Nội", 92m2,"✅ SƠN ĐỒNG CENTER🎉 Mở bán Shophouse Trung Tâm huyện Hoài Đức, tiềm năng tăng giá 150%-200% trong 1-2 năm tới📍Shophouse mặt đường Trịnh Văn Bô kéo dài (con đường huyết mạch nối Hoài Đức và Mỹ Đình)📍 Shophouse mặt đường Sơn Đồng (cách ngã tư Sơn Đồng 300m)📍 Shophouse làng nghề 800 năm tuổi tại Hà Nội————-ƯU ĐÃI ĐẶC BIỆT ĐỢT 1 : ( Số lượng giới hạn )⚡️ Tặng 5 chỉ vàng cho khách hàng nhanh tay sở hữu⚡️ Cơ hội bốc thăm may mắn 1 chiếc Mercedes C200 tại buổi lễ mở bán (dự kiến 20/03/2022)⚡️ Tiềm năng tăng giá X3 khi tuyến đường Trịnh Văn Bô hoàn thành⚡Chưa đầy 7 tỷ đồng sở hữu Shophouse tại Hoài Đức, pháp lý hoàn chỉnh, sổ đỏ từng lô—✔️ Liện hệ lấy bảng giá : 0779273787",30/03/2022,Tin thường,batdongsan_so_com_vn_1673828938.917032, 6, 5,,,,
"2,43 tỷ VNĐ",Bắc Từ Liêm, 35m2,"+ Kinh doanh buôn bán các mặt hàng rất tốt. + Phù hợp các gia đình trẻ. + Khu vực có tốc độ đô thị hoá với tốc độ cao. ——————————— + Chủ bán cần bán gấp giá cả thương lượng, đàm phán. ",30/03/2022,Tin thường,batdongsan_so_com_vn_1673828939.9532614,,,,,,
"11,5 tỷ VNĐ",19A TỨ LIÊN, 59m2,"❤️ NHÀ ĐẸP LÔ GÓC TỨ LIÊN Chỉ có 11.5 tỷ.Nhà đẹp xây mới phong cáCh Châu Âu, thang máy, không khí trong sạch, an ninh tốt, nhà KD, ÔTÔ lô góc..Nhà hội tụ đủ các yêu tố, nhất cận thị nhì cận giang.Đường đi thuận tiện, ra đường đê Yên Phụ, tỏa đi 4 phương 8 hướng, 5"" vào phố cổ, 10"" ra sân bay quốc tế Nội Bài, gần chợ hoa Quảng An, chợ đầu mối Long Biên, gần phủ tây hồ, đường thanh niên, sông hồng thơ mộng.Mô tả:❤️ DT 59m2, 5 Tầng, MT 4,72mThiết kế:❤️ Tầng 1: gara hoạc kd, wc,❤️ Tầng 2: Khách. Bếp. Vs❤️ Tầng 3,4: 2 phòng ngủ, wc❤️ Tầng 5: phòng thờ, sân phơi.❤️ SDCC không vướng quy hoạch",30/03/2022,Tin thường,batdongsan_so_com_vn_1673828941.1540952, 5, 5, Tây nam, 2, 4,
"17,8 tỷ VNĐ",Trường Chinh-Phương Liệt-Thanh Xuân-Hà Nội, 128m2,"+ Ngõ rộng ô tô tránh nhau, kinh doanh đẹp, thông tứ tung, vài bước chân ra toà nhà Artemis. + Đối diện là bệnh viện Đại học Y Hà Nội, cạnh Khu Quân đội an ninh an toàn tuyệt đối. + Nhà xây 4 tầng thiết kế đẹp,kiên cố chắc chắn. + Phù hợp khách hàng mua về ở, làm trụ sở hoặc đập đi xây toà nhà văn phòng thang máy. + Sổ đỏ vuông đẹp, pháp lý sạch, sẵn sàng giao dịch. Giá :17.8 tỷ, có thương lượng Liên hệ: Em Nguyễn Đại -0963883403 để được tư vấn và xem nhà miễn phí.",30/03/2022,Tin thường,batdongsan_so_com_vn_1673828942.6709893, 6, 4,,,,
"20,672 triệu VNĐ","Khu đấu giá 31ha, Trâu Quỳ, Gia Lâm, Hà Nội", 136m2,"- Cần bán nhanh thửa đất tại khu đấu giá 31ha trung tâm TT Trâu Quỳ - Gia Lâm – Hà Nội. - Diện tích đất 136m2, mặt tiền 6.82m, vỉa hè 5m, đường nhựa 22, là trục chính hướng từ Ngô Xuân Quảng , quốc lộ 5a vào trung tâm thị trấn và ủy ban nhân dân Huyện. - Kinh doanh vô đối đặc biệt về mảng dịch vụ ăn uống và giải trí, dân cư sầm uất, nhiều nhà hàng, café, quán bia,.. nơi tiếp khách trong và ngoài huyện. - Khu vực trung tâm đang có rất nhiều dư địa tốt như: các dự án nhà phố thương mại và biệt thự đang được triển khai Euro Windows, Hải Phát, Sông Hồng, Vinhomes Ocean Park…đặc biệt là công viên trung tâm và 2 hồ 9 và 19ha sắp được thi công. - Sổ đỏ chính chủ, thiện trí bán sẵn sang giao dịch, giá chỉ 152tr/m2. Liên hệ xem đất và biết thêm thông tin chi tiết 0982852808, 0948584888",30/03/2022,Tin thường,batdongsan_so_com_vn_1673828943.8129582, 7,, Đông bắc,,, 22
"3,95 tỷ VNĐ",Nguyễn Trãi Thanh Xuân Hà Nội., 35m2,"+ Vị trí đẹp 5m ra ô tô tránh, ngõ cực nông ra mặt phố Nguyễn Trãi, Bên cạnh có sân chơi cho trẻ nhỏ và người lơn tập thể dục, gần nhiều trường học các cấp, chợ, TTTM Royal city... tiện ích không thiếu thứ gì.  + Giao thông kết nối Nguyễn Trãi , Láng, Trường Chinh, Tây Sơn, Thái Hà,  đi lại thuận tiện các quận Đống Đa, Cầu Giấy , Hà Đông . Khu vực dân trí cao, an sinh tốt. + Nhà gia chủ tự thiết kế khung cột bê tông chắc chắn, công năng sử dụng hợp lý. Với tầm tiền này không thể kiếm đâu được nhà đep hơn. + Sổ đỏ vuông vắn, chính chủ, sẵn sàng giao dịch. + Giá: 3,95 tỷ (có TL). + Liên hệ: Ms Tuyết Nhung chuyên khu vực Thanh Xuân                 0963401959 (Miễn phí xem nhà 24/7)",30/03/2022,Tin thường,batdongsan_so_com_vn_1673828944.8262246,,,,,,
"5,15 tỷ VNĐ","Ngõ Phố Nguyễn Khang, Cầu Giấy, Hà Nội", 42m2,"✅  Bán nhà mới thiết kế cực đẹp, công năng tiện nghi, thoáng mát. Vị trí dân trí cao và đắc địa, an ninh rất tốt. Khu đất được mệnh danh là đất sinh Anh Tài và đất Tài Lộc để gia chủ An Cư. Diện tích 42m2 x 5 tầng. --------------------------------------------------------- ✔️  Thiết kế, công năng: Kiến trúc Tân cổ điển.  - Diện tích 42m2, 5 tầng mới cực đẹp. - Tầng 1: Phòng khách VIP + Phòng bếp và ăn. - Tầng 2, 3, 4: Phòng ngủ Master + Vệ sinh. - Tầng 5: Phòng thờ.Tiểu cảnh ngoài trời, kho, sân phơi. ✔️  Vị trí: - Nhà tại vị trí dân trí cao, an ninh cực tốt. Nằm trên đất Thiện Thời Địa Lợi Nhân Hòa. - Nhà gần các khu trung tâm thương mại, trường học, cơ quan Quận, bệnh viện Quân Y, ngân hàng,… - Một vị trí đáng để gia chủ An Cư Lập Nghiệm cho sự Thịnh Vượng của gia đình. ✔️  Nội thất: - Được làm tỉ mỉ với chủ đạo là gỗ: Các cửa, cầu thang, tủ bếp. Sàn gỗ Malaysia chống trơn trượt nên rất sang trọng và đẳng cấp. - Thiết bị điện cao cấp, dây Trần Phú đi GEN cẩn thận.Đèn LED. Thiết bị vệ sinh TOTO nhập khẩu, vách tắm đứng. ✔️  Pháp lý: Cam kết sổ đỏ chính chủ, Giấy phép xây dựng.",30/03/2022,Tin thường,batdongsan_so_com_vn_1673828946.0399764, 4, 5,, 4, 4, 3
15 tỷ VNĐ,Hà Nội, 77m2,"Bán nhà Thành Công, quận Ba Đình - LH: 0856 968 656.Diện tích 77 m2, 7 tầng thang máy, 5 m mặt tiền.Nhà chủ tự xây chắc chắn, thuê kiến trúc sư thiết kế đẹp.Toàn bộ nội thất nhập khẩu, chỉ việc ở luôn.Nằm ngay trung tâm quận Ba Đình cực hiếm.Ngõ to hai ô tô tránh nhau, nương tựa trịnh văn quyết kinh doanh mọi mặt hàng.Khu dân trí cao, an ninh tốt, nhiều tiện ích.Sổ đỏ chính chủ.Giá chào chỉ 15 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Liên hệ ngay 24/7: 0856 968 656.",30/03/2022,Tin thường,batdongsan_so_com_vn_1673828947.109118,,,,,,
"3,46 tỷ VNĐ","Đường Võ Chí Công, phường Phú Thượng, quận Tây Hồ, Hà Nội", 85m2,"Bán chung cư 2N giá tốt nhất khu vực Tây Hồ. “NHẬN NHÀ NGAY - DỌN VÀO Ở LUÔN” Nằm trên mặt đường Võ Chí Công, Phú Thượng, Tây Hồ Miễn 2 năm phí dịch vụ Hỗ trợ 70% GTCH trong 24 tháng 📞0977568223",30/03/2022,Tin thường,batdongsan_so_com_vn_1673828948.1862352,,, Đông, 2, 2,
