price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Lộ giới,Số toilet,Hướng
"69,9 tỷ VNĐ","Nguyễn Chí Thanh, Đống Đa", 69m2,"Bán nhà 4 tầng Nguyễn Chí Thanh – Nhà đẹp hoa hậu, lô góc, khu phân lô, ngõ thẳng tắp,  an sinh, tiện ích đỉnh cao, bãi gửi xe ngay đầu ngõ, khu vực hiếm nhà bán. Hàng xóm dân trí cao toàn quan chức Bộ Ngoại Giao, Bác sỹ, Hiệu Trưởng trường Chuyên... + Thông số quá đẹp: 69m x 4 tầng, mặt tiền 4.3m. + Nhà chủ tự xây rất tâm huyết KCBT chắc chắn, không nứt chỗ nào. Thiết kế cơ bản như sau: Tầng 1: Phòng khách, bếp, wc. Tầng 2,3: Mỗi tầng 2 phòng wc giữa. Tầng 4: Phòng thờ sân phơi rất rộng. + Giá chào: 6.99 tỷ + Liên hệ : Anh Đức - Chuyên nhà đất thổ cư Hà nội và ngoại ô.",25/02/2022,Tin thường,batdongsan_so_com_vn_1673831539.9808154,,,,,,
"7,9 tỷ VNĐ","Đống Đa, Hà Nội", 66m2,"Bán nhà 4 tầng Thái Thịnh, trung tâm Đống Đa. Nhà mới sịn sò, dạng biệt thự mini, đẹp như cung điện. + Sát mặt phố, lô góc, 4 mặt thoáng + Nhà 4 tầng 5 ngủ , nội thất sịn sò. Tặng lại hết nội thất cho khách mua. + Có cổng riêng, sân riêng biệt để được nhiều xe máy, không lo dắt vào nhà mùi xăng dầu, cháy nổ.. + Ngõ đẹp, thẳng, rộng nông, sát ô tô, giao cắt Thái Thịnh Thái Hà Thịnh Quang Ngã Tư Sở Tây Sơn Chùa Bộc. Vị trí kinh doanh nhỏ được + Sổ đỏ đẹp xịn xò. + Thông số: 66m x 4 tầng, mặt tiền 7.3m + Giá chào: 7.9 tỷ + Liên hệ : Anh Đức - Chuyên nhà đất thổ cư Hà nội và ngoại ô.",27/02/2022,Tin thường,batdongsan_so_com_vn_1673831541.1875875, 7, 4, 5,,,
27 tỷ VNĐ,Nguyễn Thị Định, 102m2,"Chủ ra nước ngoài định cư, cần bán lại căn biệt thự liền kề phố Nguyễn Thị Định khu đô thị Trung Hòa Nhân Chính.Căn liền kề thiết kế có hầm với mặt tiền lớn. Đường trước nhà rộng rãi oto đỗ cửa. Tầng hầm đỗ được 2 ô tô và gần chục xe máy. Các tầng đều có ban công phía trước.Diện tích: 102m2 x 5 tầng, mặt tiền 6.8mGiá: 27 tỷ (CÒN THƯƠNG LƯỢNG, LÀM VIỆC TRỰC TIẾP CHỦ NHÀ)BIỆT THƯ NHỎ CÓ HẦM - TRUNG TÂM CẦU GIẤY - KINH DOANH - OTO ĐỖ CỬALiên hệ xem nhà và nhận thông tin chi tiết: 0981367887- Thửa đất vuông đẹp nở hậu, sổ pháp lý chuẩn cất két sẵn sàng giao dịch",27/02/2022,Tin thường,batdongsan_so_com_vn_1673831542.347485, 6, 5, 5, 11, 6,
"17,2 tỷ VNĐ",Hà Nội, 89m2,"Chính chủ gửi bán gấp tòa nhà phố Nguyễn Huy Tưởng, trung tâm thủ đô Hà Nội - LH: 0856 968 656.Tòa nhà 9 tầng, ngõ thông siêu thoáng, đường ô tô tránh ô tô, vỉa hè rộng, dòng tiền 100 triệu/tháng. - Vị trí trung tâm thủ đô, giữa các trục đường lớn Lê Văn Lương, Nguyễn Trãi, vành đai 3..., tiện ích xung quanh cái gì cũng có. - Đường trước nhà ô tô chạy vù vù, thông các ngả. - Nhà xây 9 tầng, trang bị toàn bộ nội thất cao cấp, thang máy loại 850kg...Diện tích 89 m2, mặt tiền 8m. + T1: Gara, kinh doanh. + T2, T3, T4, T5, T6, T7, T8: Các phòng, WC. + T9: Phòng thờ + Sân phơi + Vườn hoa tiểu cảnh. - Giá chào chỉ 17.2 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn. - Sổ đỏ chính chủ. - Hiện nhà đang cho công ty Hàn Quốc thuê full làm văn phòng, bàn giao lại hợp đồng cho chủ mới.Chi tiết liên hệ: Mr. Bình - 0856 968 656.",27/02/2022,Tin thường,batdongsan_so_com_vn_1673831543.5592422,,,,,,
"5,95 tỷ VNĐ",Hà Nội, 57m2,"BA ĐÌNH - NHÀ ĐẸP Ở NGAY - CÁCH PHỐ 20M - 2 THOÁNG VĨNH VIỄN - SH QUAY ĐẦU.-Diện tích: 57 m2, 4 tầng, mặt tiền 4m. Mô tả:+ Nhà nằm trên mặt ngõ nông thẳng, cách mặt phố Phan Kế Bính khoảng 20m. Ngõ trước nhà rộng 3m, xe SH quay đầu thoải mái.+ Chủ tự xây KCBT chắc chắn, mới được vài năm, móng có thể chồng thêm 2 tầng nữa. Nhà có sân trước, sân sau nên 2 thoáng vĩnh viễn, phòng nào cũng trổ cửa, sáng thoáng vô cùng.+ Nhà gần phố Đội Cấn, Liễu Giai, Văn Cao… + Thiết kế:- Tầng 1 gồm sân để xe + phòng khách + bếp rộng.- Tầng 2, 3 mỗi tầng 2 phòng rộng (phòng nào cũng có cửa sổ to)+ Wc giữa. - Tầng 4 phòng thờ + sân phơi + tiểu cảnh. + Sổ đỏ chính chủ, giao dịch được ngay. Giá 5.95 tỷ (có thương lượng) Liên hệ: Vân Anh nhà đẹp mặt phố: 0949 – 518 – 288 - Chuyên BĐS đất thổ cư.(Miễn Môi giới)",27/02/2022,Tin thường,batdongsan_so_com_vn_1673831544.6703894, 4, 4, 4, 3, 2,
"16,4 tỷ VNĐ",Hà Nội, 72m2,"Chính chủ gửi bán gấp nhà lô góc, gara, kinh doanh phố Nguyễn Xiển - LH: 0856 968 656. Diện tích 72 m2, 8 tầng, trang bị toàn bộ nội thất cao cấp, thang máy nhập khẩu.Giá chào chỉ 16.4 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn. + Nhà có vỉa hè rộng ô tô đỗ ngày đêm - kinh doanh rất hiệu quả. + Cách mặt phố Nguyễn Xiển vài bước chân. + Xây rất đẹp chắc chắn, thiết kế hoàn hảo phù hợp kết hợp giữa việc ở và kinh doanh mọi loại hình dịch vụ... + Nằm trong khu VIP Hà Nội, tiếp giáp toàn trục đường chính: Nguyễn Trãi, Lê Văn Lương, Khuất Duy Tiến... Thông thương giữa các quận như Hà Đông, Hoàng Mai, Cầu Giấy nên hưởng trọn tiện ích của các quận đang phát triển từng ngày. + Sổ đỏ chính chủ.Liên hệ: Mr. Bình - 0856 968 656.",27/02/2022,Tin thường,batdongsan_so_com_vn_1673831548.4911575,,,,,,
"3,75 tỷ VNĐ",Vạn Phúc- Hà Đông, 37m2,"Vạn Phúc, Hà Đông, 2 thoáng, ô tô gần, dân xây, tặng nội thất, 37mx5 tầng Cần bán gấp nhà đẹp khu vực đáng sống bậc nhất Hà Đông – Vạn Phúc, nhà xây chắc chắn chủ tâm huyết thuê thiết kế và xây theo ý mình, nhà như biệt thự, nội thất sang xịn đẹp nhất khu, với 5 tầng rộng thoáng sáng trước sau, hàng xóm cực kì thân thiện, chuyển nhà rộng hơn bán đi rất tiếc. Nhà rất gần bãi ô tô, xung quanh đầy đủ trường học từ tư nhân đến quốc tế, nằm cạnh Khu đô thị Văn Quán xa hoa đẹp bậc nhất, tiện ích không thiếu thứ gì, nhà rất mới chỉ xách vali đến ở. Giao thông di chuyển thuận lợi: Ngô Quyền, Tố Hữu, Chu Văn An, Mỗ Lao, Nguyễn Trãi, Phùng Hưng, Quang Trung,... Sổ đỏ vuông, pháp lý sạch. Giá: 3.75 tỷ ( có thương lượng). Liên hệ ngay với em Huyền : 0965472910 ( miễn trung gian).",14/02/2022,Tin thường,batdongsan_so_com_vn_1673831551.044452,, 5,,,,
"3,75 tỷ VNĐ",Phúc La- Hà Đông, 37m2,"Phúc La, Hà Đông, 2 thoáng, ô tô gần, dân xây, tặng nội thất, 37mx5 tầng Bán nhà đẹp gần viện 103 khu vực an sinh đỉnh nhất Hà Đông, khu trung tâm hành chính, nhà xây chắc chắn chủ tâm huyết thuê thiết kế và xây theo ý mình, nhà như biệt thự, nội thất sang xịn đẹp nhất khu, 5 tầng rộng thoáng sáng trước sau, hàng xóm cực kì thân thiện, chủ chuyển nhà rộng hơn bán đi rất tiếc. Nhà rất gần bãi ô tô, xung quanh đầy đủ trường học từ tư nhân đến quốc tế, nằm cạnh Khu đô thị Văn Quán xa hoa đẹp bậc nhất, tiện ích không thiếu thứ gì, nhà rất mới chỉ xách vali đến ở. Giao thông di chuyển thuận lợi: Văn Quán, Phùng Hưng, Nhuệ Giang, Hà Cầu, Bà Triệu, Nguyễn Trãi,.... Sổ đỏ vuông, pháp lý sạch. Giá: 3.75 tỷ ( có thương lượng). Liên hệ ngay với em Huyền : 0965472910 ( miễn trung gian). ",14/02/2022,Tin thường,batdongsan_so_com_vn_1673831551.9704854,, 5,,,,
"3,68 tỷ VNĐ",Cầu Am- Hà Đông, 37m2,"Ô tô gần, dân xây, tặng nội thất xịn, 37mx5 tầng, Cầu Am, Hà Đông Bán nhà đẹp trung tâm Phường Vạn Phúc- Hà Đông, khu trung tâm hành chính, nhà xây chắc chắn chủ tâm huyết thuê thiết kế và xây theo ý mình, nội thất sang xịn gỗ Lim chủ để lại gần hết nội thất, 5 tầng rộng thoáng sáng trước sau, hàng xóm cực kì thân thiện. Giao thông di chuyển thuận lợi: Văn Quán, Phùng Hưng, Nhuệ Giang, Hà Cầu, Bà Triệu, Nguyễn Trãi,Chu Văn An, Ngô Quyền, Yết Kiêu, Thanh Bình, Trần Phú.... Nhà rất gần bãi ô tô, xung quanh đầy đủ trường học từ tư nhân đến quốc tế, tiện ích không thiếu thứ gì, nhà rất mới chỉ xách vali đến ở. Sổ đỏ vuông, pháp lý sạch. Giá: 3.68 tỷ ( có thương lượng). Liên hệ ngay với em Huyền : 0965472910 ( miễn trung gian). ",16/02/2022,Tin thường,batdongsan_so_com_vn_1673831552.8531244,, 5,,,,
"3,5 tỷ VNĐ",Xa La- Hà Đông, 36m2,"Bán nhà gần ô tô, dân xây, tặng nội thất xịn, 36mx5 tầng, Xa La, Hà Đông Bán nhà đẹp trung tâm cạnh Khu đô thị Xa La- Hà Đông, khu trung tâm hành chính, nhà xây chắc chắn chủ tâm huyết thuê thiết kế và xây theo ý mình, nội thất sang xịn gỗ Lim chủ để lại gần hết nội thất, 5 tầng rộng thoáng sáng trước sau, hàng xóm cực kì thân thiện. Chỉ việc xách vali đến ở. Giao thông di chuyển thuận lợi: Văn Quán, Phùng Hưng, Yên Xá, Mậu Lương, Đa Sỹ,... Nhà rất gần bãi ô tô, xung quanh đầy đủ trường học từ tư nhân đến quốc tế, ngân hàng, trung tâm mua sắm, chợ, siêu thị,.... tiện ích không thiếu thứ gì: Sổ đỏ vuông, pháp lý sạch. Giá: 3.5 tỷ ( có thương lượng). Liên hệ ngay với em Huyền : 0965472910 ( miễn trung gian).",18/02/2022,Tin thường,batdongsan_so_com_vn_1673831554.0030482,, 5,,,,
