price,address,Diện tích,Mặt tiền,Số tầng,Details,Ngày đăng,Loại tin,id,Hướng,Số phòng ngủ,Số toilet,Lộ giới
10 tỷ VNĐ,"Hà Huy Tập, Gia Lâm", 122m2, 8, 3,"- Nhà Nằm Mặt ngõ kinh doanh đa dạng các loại hình, tiền cho thuê đặt biển quảng cáo tháng hơn chục triệu - Ngay ngã 5 Hà Huy Tập, giao thương buôn bán tấp nập, đặc biệt hơn là gần nhà của Tuyển Thủ Việt Nam! Đỗ Hùng Dũng - Nhà thiết kế 3 Tầng : + Tầng 1 : PK + Kinh Doanh (Xe Máy ) + Bếp + 1 PN nhỏ + Tầng 2 : 3 PN Khéo kín + Tầng 3 : P Thờ + Sân Phơi - Sổ đỏ chính chủ sẵn sàng giao dịch Alo hoặc Zalo: 0965492571, Trác Gia Lâm để xem nhà/đất",17/05/2022,Tin thường,batdongsan_so_com_vn_1673824475.9789405,,,,
"3,3 tỷ VNĐ",Bán nhà riêng phố Tân Mai 40m 5t mt4m lô góc nhỉnh 3 tỷ, 50m2,,,"Bán nhà riêng phố Tân Mai 40m 5t mt4m lô góc nhỉnh 3 tỷ  Tân Mai, cách đường to Tân Mai 60m, ngõ thông sang Nguyễn An Ninh, Lương Khánh Thiện. Gần trường Mầm Non, Tiểu Học Tân Mai, THCS, chung cư Hòa Phát, gần chợ Đầu Mối phía nam, Hồ Đền Lừ.. Thiết kế 4 ngủ, phòng thờ, sân phơi. Thoáng trước, thoáng sau vĩnh viễn. Khu dân cư dân trí cao, an ninh tốt.  Hàng xóm thân thiện, cơ sở hạ tầng xung quanh tốt, gần chợ, gần trường học các cấp, gần các khu trung tâm thương mại, khu vui chơi giải trí, vài bước chân ra phố kinh doanh sầm uất, an sinh tuyệt vời.  Liên hệ: Kim Hạnh 0383698622 – 0946553655",25/06/2021,Tin thường,batdongsan_so_com_vn_1673824477.0800061,,,,
6 tỷ VNĐ,Tôn Đức thắng, 40m2,,,"TÔN ĐỨC THẮNG NGÕ Ô TÔ - KINH DOANH 38M 5T GIÁ NHỈNH 6 TỶ   + Sổ đỏ đẹp như tranh vẽ, sẵn sàng giao dịch. + Nhà đẹp, mặt ngõ kinh doanh đỉnh, trung tâm Đống Đa, chợ, nhiều hàng quán, dân sinh đông đúc. + Tầng 1: Kinh doanh, cầu thang cuối phù hợp nhu cầu kinh doanh của khách, ô tô 5 tạ, taxi qua nhà vào ngã ba có thể quay đầu thoải mái. + Đáp ứng 3 ngủ, phòng thờ, sân phơi và của hàng tự doanh. + Gần các trường học, siêu thị , bệnh viện, các ngành dịch vụ. + Các phố 70m, thuận tiện di chuyển các tuyến phố như Xã Đàn, Nguyễn Chí Thanh, Đào Tấn... Ra phố cổ chỉ vẻn vẹn 15p đồng hồ. + Nơi mà nhiều thương nhân muốn sở hữu để vừa ở, vừa kinh doanh.  Liên hệ: Kim Hạnh 0383698622 – 0946553655",26/06/2021,Tin thường,batdongsan_so_com_vn_1673824477.9856102,,,,
4 tỷ VNĐ,"Đống Đa, Hà Nội", 46m2,,,"Bán nhà gần Xã Đàn 46m 5 tầng giá nhỉnh 4 tỷ  + Vị trí trung tâm đắc địa, cách ngã tư Xã Đàn - Nam Đồng chưa đến 200m, ngõ trước nhà rộng 2,8m xe máy thoải mái tránh nhau và quay xe. + Cách trường Bách Khoa, Xây Dựng, Kinh Tế, bệnh viện Bạch Mai, Việt Pháp... Chỉ 1km, thuận tiện đi lên phố cổ, Hoàn Kiếm, Ba Đình... + Thiết kế móng bè kiên cố, chắc chắn, đẹp và rất mới thích hợp cho gia đình đến ở ngay. Chủ nhà rất cẩn thận tỉ mỉ từng chi tiết, tối ưu với mọi công năng sử dụng: 5 ngủ, đủ phòng thờ, sân phơi. + Sổ đỏ pháp lý rõ ràng. Liên hệ: Kim Hạnh 0383698622 – 0946553655",23/06/2021,Tin thường,batdongsan_so_com_vn_1673824479.0158548,,,,
"2,45 tỷ VNĐ","Bán nhà riêng ngõ Gốc Đề, Minh Khai 30m 5t giá 2.45 tỷ", 30m2,,,"Bán nhà riêng ngõ Gốc Đề, Minh Khai 30m 5t giá 2.45 tỷ  + Vị trí lô góc, thoáng, xây kiên cố, đảm bảo đẹp và phù hợp với nhiều gia đình + Nhà mới ở luôn, SĐCC, đáp ứng 30m một sàn, đủ 3 ngủ, phòng khách, bếp, phòng thờ, sân phơi. + Gần các trường như KTQD, XD, bệnh viện Bạch Mai, ĐH Y... + Ngõ 169 Hoàng Mai thông ngõ 254 Minh Khai, Gốc Đề là ngõ ôtô đỗ, xe ba gác vào tận cửa nhà. + Xung quanh toàn ngõ to, cách nhà khoảng 50m là đường ô tô tải tránh nhau. 5 phút xe máy là đến Times City. An sinh đỉnh.  Liên hệ: Kim Hạnh 0383698622 – 0946553655",26/06/2021,Tin thường,batdongsan_so_com_vn_1673824480.1079395,,,,
,"Xuân La, Tây Hồ, Hà Nội", 46m2,,,"        Siêu phẩm mùa EURO Tây Hồ 46m 4.99 Tỷ.  + Sổ đỏ chính chủ. + Vị Trí Siêu Đắc Địa! Ngõ 38 Xuân La - quận Tây Hồ. Đáp ứng: Nhất cận thị, nhị cận giang. Tam cận lộ. + Xây khung cột chắc chắn, kiên cố, đủ 6 ngủ, 1 thờ, 1 sân phơi. + Đường trước nhà 2.8m, cách mặt ngõ ô tô tránh nhau 65m cách mặt ngõ 38 Xuân La 70m, cách khu Kosmo, nhà phố Dreamland 100m, cách Võ Chí Công 200m, khu Ngoại Giao Đoàn, đại sứ quán Hàn Quốc 500m. + Khu vực với vô vàn tiện ích kể cả ngày không hết. + Nhà bàn giao hoàn thiện đầy đủ đồ liền tường chỉ việc mang đồ rời đến ở. + Nội thất sang, xịn, mịn, để tận hưởng chỉ cần thêm một nốt nhạc. + Gia đình bán do chuyển giao công việc, gia chủ xây tâm huyết, nhượng lại cho khách là dứt lòng như chia tay người yêu vì gia đình không môn đăng hộ đối.     Liên hệ: Kim Hạnh 0383698622 – 0946553655  ",30/06/2021,Tin thường,batdongsan_so_com_vn_1673824481.2838511,,,,
"4,75 tỷ VNĐ","Vĩnh Phúc, Ba Đình, Hà Nội", 41m2,,,"         Nhà đẹp lô góc Vĩnh Phúc 41m 4.75 Tỷ   + Vị trí vô cùng đắc địa, khu dân trí cao an ninh tốt. +Thiết kế thông sàn, 1 phòng 1 WC. Các phòng đều ngập tràn ánh sáng, nhà CĐT xây chất lượng như VINHOMES. + Nhà mới sách vali đến ở luôn, 5 tầng đáp ứng 6 ngủ, phòng thờ, sân phơi, ban công rộng thoáng mỗi tầng. + Gần các trường  học, siêu thị , bệnh viện, các ngành dịch vụ.  + Ngõ trước nhà 3 gác phóng ầm ầm, an ninh và dân trí trong khu vực rất tốt. Sổ đỏ chính chủ, vuông vắn nở hậu nhẹ. Cất két, bàn giao nhà ngay.  Liên hệ: Kim Hạnh 0383698622 – 0946553655 ",01/07/2021,Tin thường,batdongsan_so_com_vn_1673824482.3170872,,,,
"6,5 tỷ VNĐ","Phương Liệt, Thanh Xuân, Hà Nội", 34m2,,,"          Bán Nhà đẹp Phương Liệt, Thanh Xuân 43m 6.5 tỷ  + Nhà mặt phố đẹp, kinh doanh đỉnh, đường rộng xe công tránh nhau, chạy vù vù. 200m ra đường Trường Chinh bước ra Ngã tư Vọng. + Ngõ rộng, tầng 1 có gara ô tô, vị trí đẹp, thuận tiện đi lại, Khu dân trí cao, an ninh tốt, gần bệnh viện, trường học, chợ, gần Bạch Mai. + Tầng 1 xây 40m từ tầng 2 là 43m. Nhà hoàn thiện mới đẹp, long lanh, tự tay gia chủ thiết kế và giám sát thi công. + Gia đình không có nhu cầu nhiều phòng nên chỉ 3PN, 1 phòng thờ, 1 ban công! + Hai mặt thoáng trước và sau, nhà xây 4 tầng chắc chắn, mặt tiền 4m nhà ở hoặc làm văn phòng công ty. + Nhà gần Bệnh Viện Bạch Mai, Đại Học Kinh Tế Quốc Dân, Hồ Phương Liệt, cách Ngã Tư Vọng chỉ 150m, gần UBND phường, trường mầm non Phương Liệt 20m... + Trước cửa nhà có sân rộng để được nhiều xe máy. + Tầng 1 - 4: Đều tầng 1 phòng, 1 phụ, thang bộ và thang máy chờ ở cuối nhà. + Các thay đổi về kiến trúc nhà nếu Quý khách có nhu cầu, gia chủ sẽ hỗ trợ tối đa. + Ô chờ thang máy sẵn có, chỉ cần thêm 500 hơn, kém là có một không gian tuyệt đỉnh.    Liên hệ: Kim Hạnh 0383698622 – 0946553655",01/07/2021,Tin thường,batdongsan_so_com_vn_1673824483.3403537,,,,
5 tỷ VNĐ,279 Hoàng Mai Hà Nội, 114m2,,,"𝐓𝐨̀𝐚 Zen hot 𝟏 vài căn 3 𝐧𝐠𝐮̉ 𝐜𝐮𝐨̂́𝐢 𝐜𝐮̀𝐧𝐠 𝐥𝐚̀ 𝐤𝐞̂́𝐭 𝐭𝐡𝐮́𝐜 𝐛𝐚̉𝐧𝐠 𝐡𝐚̀𝐧𝐠 đợt 1. 𝐁𝐚́𝐜 𝐧𝐚̀𝐨 𝐜𝐡𝐨̂́𝐭 𝐠𝐨̣𝐢 𝐞 𝐧𝐠𝐚𝐲 𝐧𝐡𝐞́ 👉 0944570096👉𝐍𝐡𝐚̀ 𝐦𝐚̂̃𝐮 𝐜𝐨́ 𝐬𝐚̆̃𝐧----------------------------🍀𝐓𝐡𝐨̂𝐧𝐠 𝐭𝐢𝐧 𝐜𝐚̆𝐧 𝐡𝐨̣̂: - Diện tích thông thủy: 114m2- Tầng 17 và 23- Giá bán: 4.8xx tỷ (Đã VAT)- Hướng Tây, Hướng Đông- Bàn giao nội thất cơ bản, điều hòa âm trần.- Sổ hồng lâu dài- Quý 2 năm 2023 nhận nhà----------------------------𝐓𝐢𝐞̂́𝐧 đ𝐨̣̂ 𝐭𝐡𝐚𝐧𝐡 𝐭𝐨𝐚́𝐧 𝐯𝐚̀ 𝐜𝐡𝐢́𝐧𝐡 𝐬𝐚́𝐜𝐡 𝐛𝐚́𝐧 𝐡𝐚̀𝐧𝐠 𝐚́𝐩 𝐝𝐮̣𝐧𝐠Đặt cọc: 100tr📌𝐕𝐚𝐲 𝐧𝐠𝐚̂𝐧 𝐡𝐚̀𝐧𝐠: 𝐶Đ𝑇 𝐻𝑇𝐿𝑆 0% 𝑡𝑜̛́𝑖 𝑘ℎ𝑖 𝑛ℎ𝑎̣̂𝑛 𝑛ℎ𝑎̀, 𝑎̂𝑛 ℎ𝑎̣𝑛 𝑔𝑜̂́𝑐- Đợt 1: 15% - Ký HĐMB - Trong vòng 10 ngày cọc- Đợt 2: 15% - sau 30 ngày Đợt 1- Ngân hàng giải ngân 70% theo thông báo CĐT📌𝐊𝐡𝐨̂𝐧𝐠 𝐯𝐚𝐲 𝐧𝐠𝐚̂𝐧 𝐡𝐚̀𝐧𝐠 𝑀𝑖𝑒̂̃𝑛 2% 𝑘𝑖𝑛ℎ 𝑝ℎ𝑖́ 𝑏𝑎̉𝑜 𝑡𝑟𝑖̀ + 1 𝑛𝑎̆𝑚 𝑝ℎ𝑖́ 𝑑𝑖̣𝑐ℎ 𝑣𝑢̣- Đợt 1: 30% - Ký HĐMB - Trong vòng 10 ngày cọc- Đợt 2-3-4-5: mỗi đợt 10% - Cách nhau 30 ngày- Đợt 6: 25% - Bàn giao căn hộ- Đợt 7: 5% - Nhận sổ----------------------------𝐇𝐨𝐭𝐥𝐢𝐧𝐞: 0944570096Địa chỉ xem căn hộ mẫu: Ngõ 92 Mai Động, Hoàng Mai, Hà Nội",17/05/2022,Tin thường,batdongsan_so_com_vn_1673824484.5331583,,,,
,"Ngô Gia Tự, Long Biên", 40m2,,,"-Lô đất Ngô Gia Tự - Long Biên, vị trí siêu thoáng, giao thông thuận tiện các hướng đi nội thành Hà Nội, Đông Anh, Từ Sơn-Bắc Ninh.-Khu phân lô dân trí cao -Đa dạng tiện ích: chợ, nhà hàng, trường học các cấp -Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng giao dịch Lh: Hữu Thuận, 0976683183. Hỗ trợ xem nhà miễn phí. Tư vấn phong thủy. Hỗ trợ vạy vốn ngân hàng. Hướng dẫn thủ tục sang tên đổi chủ.",17/05/2022,Tin thường,batdongsan_so_com_vn_1673824485.5953178,,,,
