price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Mặt tiền,Số phòng ngủ,Số toilet,Hướng,Lộ giới
"1,9 tỷ VNĐ","Tôi cần bán gấp gian căn hộ 30m2 tầng 1 P.101 nhà E2 khu 7,2 ha P.Vĩnh Phúc, Ba Đình, 1,9 tỷ; 0913219758", 30m2,"Tôi cần bán gấp gian căn hộ 30m2 tầng 1 P.101 nhà E2 khu 7,2 ha P.Vĩnh Phúc, Ba Đình, 1,9 tỷ; 0913219758  - Nhà hai mặt tiền tiện kinh doanh các loại  - Nhà đã sửa sang chỉ việc vào ở và kinh doanh - Khu an ninh tốt, giao thông thuận tiện, dân trí cao  - Giá: 1,9 tỷ - Ai có nhu cầu liên hệ trực tiếp số đt: 0913219758       http://www.sanbatdongsanviet.com.vn",25/01/2022,Tin thường,batdongsan_so_com_vn_1673832556.9918523,,,,,,
"3,3 tỷ VNĐ",Đường Ngọc Thụy phường Ngọc Thụy, 37m2,"CC nhờ bán nhà Ngọc Thụy . Mô tả.+ Nhà đẹp mới xây, thiết kế 5 tầng, đầy đủ công năng cho hộ gia đình, tặng full nội thất, khách chỉ xách valy về ở.+ Cách 50m ra ô tô. Gần trường Việt Pháp,chợ, 500m ra cầu Long Biên. Xung quanh nhiều tiện ích.Lh: Ms Mai 0983724773.",24/01/2022,Tin thường,batdongsan_so_com_vn_1673832558.4369874,,,,,,
"2,85 tỷ VNĐ",Ngô Quyền- Hà Đông, 37m2,"Căn nhà siêu đẹp duy nhất Ngô Quyền, Hà Đông 37mx4 tầng, ô tô gần, ngõ thông. - Căn nhà siêu đẹp phố Ngô Quyền, trung tâm khu hành chính quận Hà Đông, thủ đô Hà Nội, khu vực sầm uất, dân trí cao, đáng sống bậc nhất quận Hà Đông. Giao thông vô cùng thuận lợi thông thương : Vạn Phúc, Ngô Thì Nhậm, Phan Đình Giót, Văn Khê,.... - Nhà xây dựng trên mảnh đất vượng khí rộng 38m2, với 4 tầng thiết kế đẹp, đủ công năng sử dụng. Khu dân trí cao, trí thức về đây tụ họp rất nhiều. Cảm giác quan chức nhiều như quần long hội tụ vậy. - Chủ nhà thương gia con cái thành đạt bán đi định cư nước ngoài, mong muốn bán nhanh, giá cả rất tốt so với khu vực. - Sổ đỏ chính chủ sẵn sàng giao dịch. - Giá chỉ 2.85 tỷ cho căn nhà siêu đẹp ( có thương lượng). - Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.         - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",12/01/2022,Tin thường,batdongsan_so_com_vn_1673832559.463242, 4,,,,,
"6,29 tỷ VNĐ",Phùng Hưng- Hà Đông, 61m2,"Bán nhà trước tết, 61m2x5T, Phùng Hưng, Hà Đông, nhỉnh 6 tỷ, ô tô ngõ thông Chủ gửi bán nhà đẹp mới, ở ngay, nhà tự xây chắc chắn đầy đủ công năng sử dụng, phòng nào cũng có cửa sổ đón nắng gió với 5 tầng rộng đẹp nhất khu vực, có giếng trời rất thoáng sáng đường trước nhà ô tô tránh, sổ nở hậu tuyệt vời, thiết kế lệch tầng hiện đại. Ngõ rộng thông, ô tô vào nhà, vừa ở- kinh doanh hoặc cho thuê văn phòng quá đẹp, khu vực không có căn thứ 2. Giao thông di chuyển các phố: Văn Quán, Yên Phúc, Xa La, Quang Trung, Thanh Bình, Vạn Phúc, Yết Kiêu, gần bến xe bus,vài bước ra phố. Xung quanh đầy đủ tiện ích: Trường học, chợ, bệnh viện lớn, ngân hàng, trung tâm mua sắm sầm uất bậc nhất Hà Đông, không ở đây quá phí.Hàng xóm toàn quan chức, khu văn minh, an ninh tuyệt đối. Giá: 6.29 tỷ ( có thương lượng). Sổ đỏ vuông, pháp lý sạch. Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",12/01/2022,Tin thường,batdongsan_so_com_vn_1673832560.6161573, 5,,,,,
"6,31 tỷ VNĐ",Trần Phú- Hà Đông, 62m2,"Nhỉnh 6 tỷ, Trần Phú, Hà Đông, ngõ thông, ô tô, 62mx 5 tầng Phố Trần Phú, Hà Đông khu vực đáng sống bậc nhất, nổi tiếng môi trường trong lành, dân trí cao quan chức về đây rất nhiều như quần long tụ tụ, xung quanh đầy đủ tiện ích không thiếu thứ gì. Nhà bán rất đẹp chủ tự thuê thiết kế, phong cách Châu Âu hiện đại, nội thất xịn đẳng cấp, khu vực rất hiếm nhà bán, không có căn thứ 2, các phòng thoáng sáng đầy đủ công năng, vài bước chân ra phố. Thiết kế giếng trời làm cho không gian nhà thoáng mát, các phòng lệch tầng hiện đại. Giao thông thuận lợi di chuyển các phố: Phùng Hưng, Nhuệ Giang, Văn Quán, Yết Kiêu, Trần Phú, Quang Trung, Nguyễn Khuyến, Mỗ Lao, gần bến xe bus, bệnh viện lớn, ngân hàng, trường học các cấp... Giá: 6.31 tỷ ( có thương lượng). Sổ đỏ vuông, pháp lý sạch. Liên hệ: Em Huyền ( Cháu gái chủ nhà) 0965472910- 0363703491- Miễn trung gian.",12/01/2022,Tin thường,batdongsan_so_com_vn_1673832561.7052426, 5,,,,,
"6,35 tỷ VNĐ",Thanh Bình- Hà Đông, 61m2,"Nhỉnh 6 tỷ, Thanh Bình, Hà Đông, ngõ thông, ô tô, 61mx 5 tầng Phố Thanh Bình, Hà Đông khu vực đáng sống bậc nhất, nổi tiếng môi trường trong lành, dân trí cao quan chức về đây tụ họp rất nhiều như quần long tụ tụ, xung quanh đầy đủ tiện ích không thiếu thứ gì. Nhà bán rất đẹp chủ tự thuê thiết kế, phong cách Châu Âu hiện đại, nội thất xịn đẳng cấp, khu vực rất hiếm nhà bán, không có căn thứ 2, các phòng thoáng sáng đầy đủ công năng, vài bước chân ra phố. Giao thông thuận lợi di chuyển các phố: Phùng Hưng, Nhuệ Giang, Văn Quán, Yết Kiêu, Trần Phú, Quang Trung, gần bến xe bus, bệnh viện lớn, ngân hàng, trường học các cấp... Giá: 6.35 tỷ ( có thương lượng). Sổ đỏ vuông, pháp lý sạch. Liên hệ: Em Huyền ( Cháu gái chủ nhà) 0965472910- 0363703491- Miễn trung gian.",11/01/2022,Tin thường,batdongsan_so_com_vn_1673832567.7734895, 5,,,,,
"2,86 tỷ VNĐ",Hà Cầu- Hà Đông, 38m2,"Căn nhà siêu đẹp duy nhất Hà Cầu, Hà Đông 38mx4 tầng, ô tô gần, ngõ thông. - Căn nhà siêu đẹp phố Hà Cầu, trung tâm khu hành chính quận Hà Đông, thủ đô Hà Nội, khu vực sầm uất, dân trí cao, đáng sống bậc nhất quận Hà Đông. Giao thông vô cùng thuận lợi thông thương : Lê Lợi, Bà Triệu, Tô Hiệu, Đa Sỹ, Văn Quán, Phùng Hưng.... - Nhà xây dựng trên mảnh đất vượng khí rộng 38m2, với 4 tầng thiết kế đẹp, đủ công năng sử dụng. Khu dân trí cao, trí thức về đây tụ họp rất nhiều. Cảm giác quan chức nhiều như quần long hội tụ vậy. - Chủ nhà thương gia con cái thành đạt bán đi mở rộng kinh doanh, mong muốn bán nhanh, giá cả rất tốt so với khu vực. - Sổ đỏ chính chủ sẵn sàng giao dịch. - Giá chỉ 2.86 tỷ cho căn nhà siêu đẹp ( có thương lượng). - Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.         - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",16/01/2022,Tin thường,batdongsan_so_com_vn_1673832568.8346002, 4,,,,,
"2,85 tỷ VNĐ",Xa La- Hà Đông, 37m2,"Cần bán nhà trước tết Xa La, Hà Đông, ô tô gần, 37m, 4 tầng nhỉnh 2 tỷ. + Chủ cần tiền bán gấp căn nhà đẹp Xa La, Quận Hà Đông, diện tích 37m2, 4 phòng ngủ rộng. + Nhà nằm trên trục chính nối liền các tuyến phố quan trọng bậc nhất Hà Đông: Phùng Hưng, Đa Sỹ, Mậu Lương, Yên Xá, Yên Phúc, Văn Quán, Thanh Hà, Văn PHú, Phú Lương,...  + Khu vực rất hiện đại đầy đủ : trường học, siêu thị, ngân hàng, chợ,... + Chủ thiện chí, cần bán gấp lấy tiền đầu tư nhà xưởng, máy móc. + Sổ đỏ vuông đẹp như viên gạch, pháp lý sạch + Giá chỉ 2.85 tỷ ( có thương lượng). - Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.         - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý. ",16/01/2022,Tin thường,batdongsan_so_com_vn_1673832569.8857884, 4,,,,,
"6,3 tỷ VNĐ",Văn Quán- Hà Đông, 61m2,"Cần bán nhanh nhà 61m2x5T, Văn Quán, Hà Đông, ngõ thông ô tô Chủ gửi bán nhà đẹp tự xây chắc chắn đầy đủ công năng sử dụng, phòng nào cũng có cửa sổ đón nắng gió với 5 tầng rộng đẹp nhất khu vực, có giếng trời rất thoáng sáng đường trước nhà ô tô tránh, sổ nở hậu tuyệt vời, thiết kế lệch tầng hiện đại. Ngõ rộng thông, ô tô vào nhà, vừa ở- kinh doanh hoặc cho thuê văn phòng quá đẹp, khu vực không có căn thứ 2. Giao thông di chuyển các phố: Nguyễn Khuyến, Chiến Thắng, Trần Phú, Mỗ Lao,... gần bến xe bus,vài bước ra phố. Xung quanh đầy đủ tiện ích: Trường học, chợ, bệnh viện lớn, ngân hàng, Siêu thị Big C, Coop mark....Hàng xóm toàn quan chức, khu văn minh, an ninh tuyệt đối. Giá: 6.3 tỷ ( có thương lượng). Sổ đỏ vuông, pháp lý sạch. Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",17/01/2022,Tin thường,batdongsan_so_com_vn_1673832571.018867, 5,,,,,
"2,86 tỷ VNĐ",Vạn Phúc- Hà Đông, 38m2,"Bán gấp nhà  Vạn Phúc, Hà Đông, ô tô gần, 38m, 4 tầng nhỉnh 2 tỷ. + Chủ gửi bán nhà đẹp trước tết, nhà tự xây vô cùng chắc chắn, gần phố, ngõ thoáng với 4 tầng rộng đẹp, ban công đón nắng gió, tầm tiền khu vực không có căn thứ 2. + Nhà nằm trên trục chính nối liền các tuyến phố quan trọng bậc nhất Hà Đông: Phùng Hưng, Tố Hữu, Thanh Bình, Yết Kiêu, Ngô Quyền, Quang Trung,...  + Khu vực rất hiện đại đầy đủ : trường học, siêu thị, ngân hàng, chợ nằm giáp trung tâm Phố Lụa. + Chủ thiện chí cần bán gấp để mở rộng kinh doanh. + Sổ đỏ vuông đẹp như viên gạch, pháp lý sạch + Giá chỉ 2.86 tỷ ( có thương lượng). - Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.         - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý.",17/01/2022,Tin thường,batdongsan_so_com_vn_1673832571.899462, 4,,,,,
