price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Số toilet,Hướng
"5,2 tỷ VNĐ",Đường Chính Kinh phường Hạ Đình, 42m2, 5, 6, 5, 4,"+  lung linh.Nhà cên +  phòng, trên+ Nếu đ   , chuyên nhà đất Hà Nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7
",24/09/2022,Tin thường,batdongsan_so_com_vn_1673799532.0329027,,
"9,1 tỷ VNĐ","Phố Hoàng Văn Thái, Phường Khương Mai.", 58m2, 5, 3, 6, 5,"SIÊU VIP, PHỐ HOÀNG VĂN THÁI, 2 MẶT THOÁNG SÁNG, NHÀ MỚI, THANG MÁY, ĐẸP XUẤT SẮC.- Thiết kế 6 tầng.- Tầng 1 thông sàn, với 5 phòng ngủ khép kín, phòng thờ, sân phơi.- Thang máy nhập khẩu chạy êm ru.- Diện tích: 58m.- Sổ đỏ chính chủ, cất két chờ giao cho chủ mới.- Giá chào 9.1 tỷ, có thương lượng.- Gần chợ dân sinh và TTTM lớn.- Gần Trường Đại Học Y, HV Ngân Hàng, Đại Học Thủy Lợi, Đại Học Công Đoàn...- Gần Bệnh viện Đại Học Y....- Gần nhiều trường học liên cấp đạt chuẩn quốc gia...- Cô Bác Quan tâm vui lòng liên hệ:Nguyễn Dương: Zalo, SMS. 0825920555.",24/09/2022,Tin thường,batdongsan_so_com_vn_1673799533.5079885, 5,
"5,98 tỷ VNĐ","Chính chủ bán nhà Ngọc Khánh, Ba Đình, SĐCC, bao nét, mua 1 được 2 luôn; 5,98 tỉ; 0916629559", 47.2m2,,,,,"Chính chủ bán nhà Ngọc Khánh, Ba Đình, SĐCC, bao nét, mua 1 được 2 luôn; 5,98 tỉ; 0916629559  - Địa chỉ: Số nhà 10/112/97 Ngọc Khánh - Ba Đình - Hà Nội. - Giá: 5.98 tỉ ( có thương lượng) - Diện tích: 47,2m2 - Hướng cửa Đông Nam Không gian: * Chia làm 2 căn: 1 căn 5 tầng và 1 căn 4 tầng • Căn 5 tầng: 2 phòng ngủ, 1 phòng khách, 1 bếp, 3 nhà vệ sinh • Căn 4 tầng: 2 phòng ngủ, 2 nhà vệ sinh ( hiện đang cho thuê) * Phong thủy rất tốt, các phòng đều rất thoáng và sáng, công năng sử dụng hợp lí. * Nhà đẹp, kết cấu làm khung chắc chắn và mới sơn sửa tân trang, chỉ xách vali về ở. Nội thất thợ Thạch Thất, yên tâm về chất lượng. - Vị trí đắc địa, giao thông đi lại thuận lợi, thuộc khu dân cư đông đúc, dân trí cao. Ngõ rộng, thoáng, ô tô đi qua nhà. - Từ nhà ra ngõ Ngọc Khánh để ô tô 20m. Cách bãi xe thông minh Ngọc Khánh 150m. Nằm ở khu vực không mất điện và an ninh cực tốt. - Tiện ích xung quanh: Gần trường học các cấp, chợ và cây xăng trong ngõ.  - Giá: 5.98 tỉ ( có thương lượng)
- LH trực tiếp hoặc ib zalo, viber,fb Mr. Xuân Anh: 0916629559
      http://www.sanbatdongsanviet.com.vn",24/09/2022,Tin thường,batdongsan_so_com_vn_1673799534.7785873,,
"3,85 tỷ VNĐ","Thịnh Liệt, Hoàng Mai, HN", 30m2,,,,,"
    + Nhỉnh 3 tỷ ô tô đỗ cửa, bãi đỗ ô tô ngay cạnh nhà. 

",24/09/2022,Tin thường,batdongsan_so_com_vn_1673799536.530899,,
"4,7 tỷ VNĐ",Đường Đội cấn phường Ngọc Hà, 38m2, 5, 3, 5, 3,"
    
Bán nhà đẹp 11 căn 5tầng nhỉnh 4tỷ siêu rẻ phố Đội Cấn Ba Đình (1)
- Nhà nằm ở khu an ninh, dân trí cao, khu vực nhiều người nước ngoài sinh sống và tìm nhà cho thuê ở. 

- Nhà mới đẹp ở luôn, rất gần phố, gần đường ôtô, khu trung tâm, VIP Ba Đình điện nước, quy hoạch ổn định, tiện ích phong phú, giao thông thuận lợi. Thửa đất vuông vắn mặt tiền rộng, nở hậu nhẹ có lộc

Tầng 1 phòng khách, bếp, wc
Tầng 2,3,4: mỗi tầng 1 phòng ngủ 1 wc
Tầng 5: phòng thờ, phòng giặt, sân phơi.
- Sổ đỏ chính chủ vuông vắn, cất két sẵn sàng giao dịch
Liên hệ ngay A. Hoàng Anh 0934266313
",24/09/2022,Tin thường,batdongsan_so_com_vn_1673799539.704181, 4,
11 tỷ VNĐ,"Hai Bà Trưng, Hà Nội", 65m2, 4,, 7,,"Bán chung cư Mini tặng kèm nội thất gần KDT Times City. - Vị trí đắc địa, giao thông thuận tiện - Nhiều cửa hàng, quán ăn xung quanh. Tiện ích đầy đủ không thiếu gì. - Khu vực đông đúc, gần các tòa văn phòng nhiều khách thuê. Nhà mới xây, thiết kế sang trọng. - DT 65m2, mặt tiền 4,2m. Xây dựng 7 tầng , 14 phòng khép kín - Nhà mới sửa lại mới tinh, chắc chắn - sáng thoáng , có thang máy , có ban công - Đầu tư thu lại dòng tiền 750 triệu/năm Giá bán 11 tỷ (có thương lượng) Liên hệ: 0886820221",24/09/2022,Tin thường,batdongsan_so_com_vn_1673799542.4005063,,
17 triệu VNĐ/m2,"Làng Phúc Đức, Sài Sơn, Quốc Oai, Hà Nội", 107m2, 6,,,,"Chỉ hơn 1tỷ ,anh chị đã sở hữu ngay lô đất hơn 107m2 full thổ cư tại Làng Phúc Đức- Sài Sơn, tiện ích 500m ra đến trung tâm chùa thầy k thiếu thứ gì. - Vị trí: Bên Làng Phúc Đức, Sài Sơn, Quốc Oai. - Diện tích: 107.1m2. MT 6.8m. Nở hậu - Khu dân cư đông đúc hàng xóm thân thiện, gần chợ, trường, đường lớn, khu du lịch Chùa Thầy, Tuần Châu, KCN Thạch Thất - Quốc Oai - Sổ đỏ CC, SS giao dịch - Giá 1x tr/m2 Lh 0967205590 để chốt giá và cọc đất",24/09/2022,Tin thường,batdongsan_so_com_vn_1673799543.6970382,, Tây nam
"2,1 tỷ VNĐ",Đường Cổ Linh phường Long Biên, 30m2,, 2, 1, 1,"+ Vị trí thửa đất cách mặt phố Cổ Linh chưa đầy 100m, ngõ rộng, kinh doanh sầm uất, khu dân trí cao an ninh cực tốt.+ Tuyến cao tốc Cổ Linh đi các tỉnh rất thuận lợi. Khu vực tiềm năng phát triển, lô đất còn sót lại nhỏ tiền rất hiếm. + Diện tích 32M2, ô tô đỗ cổng, ngõ nông, thuận tiện đi các ngả.+ Sổ đỏ Hoa Hậu, giá chào 2.1 tỷ có thương lượng.+ Liên hệ: 0979057536 Trung Kiên để được tư vấn và xem nhà miễn phí.+ CAM KẾT THÔNG TIN NHÀ và ẢNH THẬT 100%",24/09/2022,Tin thường,batdongsan_so_com_vn_1673799544.7611928, 1,
"16,96 tỷ VNĐ",Dươnng Khuê - Cầu Giấy, 74m2, 9,, 5, 5,"DƯƠNG KHUÊ – CẦU GIẤY, 5 TẦNG 73M2 MẶT TIỀN 9M, 16.96  TỶ - Nhà  5 tầng 73 m2 phố Dương Khuê, vỉa hè rộng kinh doanh sầm uất ngày đêm. Nhà hiện tại đang cho thuê nửa ở tầng 1 với giá 10 triệu/ tháng. - Nhà chủ tự xây tâm huyết chắc chắn. Khách mua về chỉ vôi ve lại là đẹp. Tầng 1: Cửa hàng kinh doanh. Tầng 2: Phòng khách. Tầng 3,4: Mỗi tầng 2 ngủ + vệ sinh. Tầng 5: Phòng thờ + sân phơi. - Nhà phù hợp khách hàng mua về vừa ở vừa kinh doanh, cho thuê hoặc đập đi xây toà nhà văn phòng. - Sổ đỏ chính chủ.  Sẵn sàng giao dịch. - Liên hệ: K.S Phương – 0918120568 để được tư vấn về ngôi nhà và gặp chủ đàm phán trực tiếp.",24/09/2022,Tin thường,batdongsan_so_com_vn_1673799548.1680782, 5,
"6,1 tỷ VNĐ",Đường Đỗ Đức Dục phường Mỹ Đình 2, 48m2, 5,,,,"+ Hiện trạng mặt ngõ thông rộng Ô TÔ qua đất Kinh Doanh sầm uất   , chuyên nhà đất hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7
",24/09/2022,Tin thường,batdongsan_so_com_vn_1673799550.2445245,,
