price,address,Diện tích,Mặt tiền,Lộ giới,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Số toilet
"1,95 tỷ VNĐ","Đường Viên, Cổ Nhuế 2, Bắc Từ Liêm", 21m2, 3, 2,"-Phù hợp gia đình nhỏ hoặc mua nhà cho con đi học -Ngõ 32 Phố Viên là ngõ gần trường Đại học Mỏ Địa Chất, ngõ rộng ô tô đi lại. Từ nhà ra đường ô tô khoảng 20m. Nhà gần các trường Đại học Mỏ, Học viện Tài Chính, Cảnh Sát, gần bệnh viện Phương Đông, gần chợ, ... -Nhà lô góc, 2 mặt ngõ thoáng sáng. Nhà dân xây, thiết kế khung cột bê tông chắc chắn, có thể thêm tầng. -Sổ đỏ sẵn sàng giao dịch; -Liên hệ: Em Trà 0386931168 Xem nhà là mua! ",12/12/2022,Tin thường,batdongsan_so_com_vn_1673783770.6646008,,,
"1,2 tỷ VNĐ","Đường Cát Linh, Cát Linh, Đống Đa", 39m2,, 10,"Chính chủ bán căn hộ tập thể t5 cầu thang 1 khu tập thể 27B1 ngõ 27 phố cát linh.Diện tích sổ 25.7m diện tích sử dụng 37m, ngõ rộng xe tải đi vào được.Nhà gồm 2 phòng, ngõ thông. Ra phố An Trạch, Cát Linh. Vị trí trung tâm gần chợ trường học các cấp giáo thông đi lại và sinh hoạt vô cùng thuận tiện.Giá bán 1.2 tỷ Liên hệ chủ nhà 0989991659 không tiếp trung gian môi giới.",12/12/2022,Tin thường,batdongsan_so_com_vn_1673783771.5443418, 3, 2, 1
20 tỷ VNĐ,"Đường Kim Đồng, Giáp Bát, Hoàng Mai", 120m2, 5, 7,"- Vị trí trung tâm thành phố, có 1 không 2, thiết kế theo dạng biệt thự Pháp.- Nhà nhìn ra mặt hồ, đường rộng ô tô tránh, 2 vỉa hè.- An ninh tuyệt đối 24/24. Cửa không cần khóa, xe để ngoài vỉa hè ngày đêm.- Nhà ở luôn hoặc có thể xây mới tòa nhà 10 tầng tùy khách.- Sổ phân lô, đẹp vuông, nở hậu.- Giá: 20 tỷ (có thương lượng).- Liên hệ: Lê Đình Phúc0979 934 ***. Hỗ trợ miễn phí, giao dịch chính chủ, cam kết không kênh giá.",12/12/2022,Tin thường,batdongsan_so_com_vn_1673783772.428975, 4, 4, 5
140 triệu VNĐ/m2,"Trâu Qùy , Gia Lâm, Hà Nội", 34m2,,,"+. Mặt Tiền 3m , Đất Trống +. Hướng Đất Bắc , Đường Kinh Doanh 20m +. Cách Quận Ủy Gia Lâm Chỉ 300m +.Tiện Ích Gần Bệnh Viện Gia lâm , Trường Học Câp 1, 2 +. Mua Một Lô Cũng Bán  +. Quay Về Đường Ven Đang Làm , Đường 5, KDT Đặng Xá Đường Tàu , Đường Kinh Doanh 20m +. Giá 140tr/ m2",12/12/2022,Tin thường,batdongsan_so_com_vn_1673783773.4113472,,,
"34,5 tỷ VNĐ","Đường Lâm Hạ, Bồ Đề, Long Biên", 120m2, 6, 9,"+ Khu Vip quận Long Biên, hàng xóm toàn quan chức cấp cao. Tiện ích ngút ngàn: Trường học Quốc Tế, Bv Tâm Anh, nhà hàng, khách sạn sang trọng … + Một phút đi xe là lên cầu Trần Hưng Đạo, cây cầu hứa hẹn HOT nhất nối quận Long Biên sang trung tâm Hà Nội. + Tổng diện tích 120m2, vuông đẹp, thiết kế 7 tầng, phong cách hiện đại: Thang máy, điều hòa âm trần, chủ nhà đầu tư nội thất sang trọng và tâm huyết. * Tầng 1: Phòng khách rộng, sân trước, sau. * Tầng 2: Bếp, phòng ăn, wc. * Tầng 3,4,5: Mỗi tầng 2 phòng, wc khép kín. (Đầy đủ công năng: Gym, yoga, phòng ngủ …) * Tầng 6: Phòng thờ. * Tầng 7: Sân vườn kết hợp  + Sổ đỏ phân lô, pháp lý chuẩn, giao dịch ngay. + Giá bán: 34.5 tỷ (còn thương lượng và gia lộc). Liên hệ: Hoàng Duy (Duy Nhà Đẹp) – 0945950386 (miễn trung gian). ",12/12/2022,Tin thường,batdongsan_so_com_vn_1673783774.3858125, 7, 6, 6
26 tỷ VNĐ,"Đường Lâm Hạ, Bồ Đề, Long Biên", 120m2, 6, 9,"+ Vị trí nhà ngay gần Bệnh viện Tâm Anh, trường Quốc Tế WellSpring, Chung cư cao cấp HC Golden, công viên Bồ Đề xanh ... khu vực trung tâm quận, toàn nhà hàng, khách sạn, tổ hợp shophouse ... Ở hay kinh doanh đều tốt. + Nằm gần trục đường chuẩn bị xây dựng cầu Trần Hưng Đạo, đi sang Hoàn Kiếm chỉ tầm 5 phút. + Nhà xây 7 tầng xây thô, thiết kế đầy đủ công năng: + Diện tích: 120m², mặt tiền: 6m. Sổ vuông như tờ A4, giao dịch ngay. + Giá bán: 26 tỷ. Liên hệ: Hoàng Duy (Duy Nhà Đẹp), 0945950386 (miễn trung gian).",12/12/2022,Tin thường,batdongsan_so_com_vn_1673783775.4571311, 7, 6, 6
"5,3 tỷ VNĐ","Đường Ngọc Thụy, Ngọc Thụy, Long Biên", 65m2, 5, 3,"NHÀ MỚI ĐẸP ĐÓN TẾT - HÀNG XÓM MIPEC -  NGÕ NÔNG - Ô TÔ ĐỖ CỔNG - TIỆN ÍCH NGẬP TRÀN - AN SINH ĐỈNH  + Vị trí nhà đầu khu vực Ngọc Thụy, hàng xóm Mipec, gần cầu Long Biên, Chương Dương, chỉ 5 phút sang phố Cổ.  Tiện ích ngập tràn. + Ngõ nông, 10m ra ô tô, gần nhà có bãi gửi xe ô tô ngày đêm. + Nhà chủ xây mới, thiết kế 4 tầng, 4 ngủ, sân cổng rộng rãi. Nội thất thiết kế đẹp. Khách chỉ xách valy về ở. - Tầng 1 : Sân cổng+ Phòng khách+ Bếp + wc - Tầng 2 + 3 : Mỗi tầng 2 Phòng ngủ+ wc - Tầng 4 : Phòng thờ+ sân phơi. + Nhà diện tích rộng, nhiều phòng ngủ rất phù hợp cho các gia đình ở đông người. Liên hệ em Hoàn 0868.246.333 tư vấn đi xem trực tiếp Em Hoàn chuyên mua bán, ký gửi BĐS thổ cư ",12/12/2022,Tin thường,batdongsan_so_com_vn_1673783776.4454389, 4, 5, 5
"4,75 tỷ VNĐ","Đường Khương Đình, Hạ Đình, Thanh Xuân", 40m2, 3, 2,"💥💥💥SIÊU PHẨM NHÀ ĐẸP NGÕ 460 KHƯƠNG ĐÌNH, 40M2 5 TẦNG FULL NỘI THẤT, NGÕ RỘNG THOÁNG, CHỈ 4.75 TỶ. - Trước nhà rộng, xe ba gác vào tận cửa nhà. - Xung quanh tiện ích đầy đủ, sát hồ điều hoà, an sinh đỉnh, hàng xóm thân thiện. Thiết kế: Nhà xây 5 tầng cực kì chắc chắn, hiện đại: - Tầng 1: Để xe, bếp. - Tầng 2: Phòng khách. - Tầng 3, 4: Mỗi tầng 2 ngủ, vệ sinh giữa. - Tầng 5: Phòng thờ sân phơi. - Hàng xóm láng giềng toàn công an bộ đội, dân trí cao, an ninh tốt, an sinh đỉnh, yên tĩnh vô cùng.  Sổ đỏ đẹp, vuông đét. Chính chủ sẵn sàng giao dịch.",12/12/2022,Tin thường,batdongsan_so_com_vn_1673783777.6452284, 5, 4, 4
2 tỷ VNĐ,Hoàng Mai, 26m2,,,"- Chính chủ cần bán nhà đường Hoàng Mai, nhà xây mới, 4 tầng hiện đại.- Mặt tiền: 4m Diện tích: 26m2 x 4,5 tầng. - Vị trí: Trung tâm Hà Nội, gần ngã tư Bạch Mai, chợ Mơ. - Giao thông thuận tiện, trước nhà thông thoáng. - Gần trường ĐH Bách Khoa, KTQD, Xây Dựng, gần bệnh viện Bạch Mai, bến xe Giáp Bát, Lương Yên, Times City, hồ Đền Lừ, Hồ Gươm rất gần và tiện. - Gần nhiều chợ lớn, trường học trường mẫu giáo, tiện đưa đón.- Khu dân cư chủ yếu là các ông bà đã nghỉ hưu công tác tại nhà máy hoa quả rất thân thiện, đoàn kết, an ninh tốt, yên tĩnh… Công năng: Nhà dùng để hộ gia đình ở, hoặc cho sinh viên thuê rất tốt. Liên hệ: 0986.270.765 Mr Vượng",08/12/2022,Tin thường,batdongsan_so_com_vn_1673783778.6475468,,,
"6,8 tỷ VNĐ",phường mai dịch quận cầu giấy, 32m2,,,"GIÁ SỐC NHÀ ĐẸP LÔ GÓC PHỐ MAI DỊCH Ô TÔ TRÁNH KINH DOANH 32M2 MẶT TIỀN 6M NHỈNH 6 TỶ LH 0962745289. Chủ mua được nhà to hơn muốn bán nhanh trong Tết.+ Vị trí. Nhà lô góc khu phân lô ô tô tránh, ô tô vào nhà. Kinh doanh đỉnh. Tiện ích miễn bàn.+ Giao thông thuận tiện thông Doãn Kế Thiện – Trần Vĩ – Hồ Tùng Mậu – Nguyễn Cơ Thạch…Gần Trường học các cấp, Đại Học Thương Mại, Đại Học Sân Khấu Điện Ảnh, Đại học Quốc gia Hà Nội…Khu vực nhiều sinh viên nội trú, kinh doanh buôn bán tấp nập. + Sổ đỏ phân lô A4 cất két sẵn sàng giao dịch.+ Giá thương lượng.+ Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, sang tên thủ tục nhanh gọn.+ Tư vấn 24/7. ",12/12/2022,Tin thường,batdongsan_so_com_vn_1673783779.583199,,,
