price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Mặt tiền
16 tỷ VNĐ,Hà Nội, 85m2," - Bán gấp nhà phố Láng Hạ - SĐT: 0366 555 258.  - Diện tích 85m2, mặt tiền 7.5m giá chỉ 16 tỷ thương lượng mạnh. - Vị trí tốt, phân lô ô tô tránh, vỉa hè rộng, kinh doanh đỉnh, dân trí cao.  - Nhà xây 7 tầng thang máy, nội thất nhập khẩu Châu Âu. - Sổ đỏ chính chủ, pháp lý sạch, giao dịch nhanh chóng. - Liên hệ Ms. Thanh, miễn trung gian và môi giới - 0366 555 258.",06/03/2022,Tin thường,batdongsan_so_com_vn_1673830971.5024178,,,,,
16 tỷ VNĐ,Hà Nội, 57m2,"Chính chủ gửi bán gấp nhà phố Láng Hạ, quận Ba Đình - LH: 0856 968 656.Ngõ phân lô, ô tô tránh, nhiều cây xianh phố Láng Hạ ở sướng, kinh doanh tốt.Nhà siêu đẹp, trang bị đầy đủ thang máy, nội thất cao cấp, gara ô tô…Gần trường điểm các cấp, gần công viên Indira Gandhi, khách sạn Fortuna Hotel Hanoi, đại sứ quán Mỹ...Khu vực hiếm nhà bán, dân trí cao, an ninh tốt, đất lành nhiều lộc.Diện tích 57 m2.Nhà 7 tầng chủ tự xây chắc chắn năm 2019.Sổ đỏ chính chủ.Giá chào 16 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Liên hệ 0856 968 656 để biết thêm chi tiết.Cảm ơn Anh/Chị xem tin!",06/03/2022,Tin thường,batdongsan_so_com_vn_1673830972.9605174,,,,,
18 tỷ /tháng,Hà Nội, 55m2,"Chính chủ gửi bán gấp nhà phố Nguyễn Chí Thanh, quận Ba Đình - LH: 0856 968 656.Diện tích 55m2 x 5 tầng.Mặt tiền 5.5 m.Giá chào chỉ 18 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Ngõ thông, ô tô tránh ô tô, hàng xóm VTV, gần hồ Ngọc Khánh, đại sứ quán Úc, Nhật Bản, công viên Thủ Lệ...Nhà đẹp kinh doanh tốt, trang bị thang máy và toàn bộ nội thất cao cấp.Mặt tiền rộng - Đất lành nhiều lộc - Dân trí cao - Kinh doanh đỉnh.Sổ đẹp sẵn sàng giao dịch.Liên hệ em Bình - 0856 968 656.",06/03/2022,Tin thường,batdongsan_so_com_vn_1673830974.0515976,,,,,
"2,85 tỷ VNĐ",đường Nam Dư, 35m2,"Chủ làm ăn được cần bán nhà mua biệt thự, giá hiếm có khó tìm. nội thất cao cấp tặng hết cho chủ mới lấy lộc.gọi ngay 0345752279*Chi tiết:+Diện tích: 35m2 , 4 tầng ( mỗi tầng đều có phòng ngủ khép kín). Thiết kế hợp lý, công năng sử dụng tuyệt vời.+Ngõ đường nhựa, ô tô chạy ầm ầm, thông các ngả ra Lĩnh Nam, Nam Dư, trường học, chợ Lĩnh Nam,...+Chào giá chỉ 2,85 tỷ quá đẹp, quá rẻ, gia lộc mạnh cho khách nhanh gọn.  +Sổ đỏ chính chủ vuông đét sẵn sàng giao dịch ngay.  *Liên hệ em Bình để được hỗ trợ, xem nhà miễn phí mọi khung giờ!  *Lưu ý : Không tiếp môi giới.",06/03/2022,Tin thường,batdongsan_so_com_vn_1673830975.224483, 4, 4, 4, 5,
"6,8 tỷ VNĐ",đường Nguyễn An Ninh-Hai Bà Trưng, 60m2,"Chủ cần bán gấp nhà riêng phố Nguyễn An Ninh để lo công việc nên giá cực tốt, tặng nội thất thiết bị đẳng cấp. Nhấc máy gọi ngay 0345752279*Mô tả:+Nhà cực đẹp mặt ngõ to cách mặt đường chỉ chưa đến 1 phút,bãi gửi ô tô quanh nhà, thoáng trước sau vĩnh viễn.+Ngõ nông, thông bàn cờ thuận tiện di chuyển ra Trương Định, Phố Vọng, Minh Khai, Đại La,…+Diện tích: 60m2, 4 tầng, 5 ngủ, thiết kế hiện đại đầy đủ công năng.* Giá chào 6.8 tỷ gia lộc mạnh cho khách nhiệt tình.*Sổ đỏ chính chủ vuông đẹp sẵn sàng sang tên chủ mới.*Liên hệ em Bình dể được tư vấn ,  xem nhà hoàn toàn miễn phí mọi khung giờ!*Lưu ý: Không tiếp môi giới.",05/03/2022,Tin thường,batdongsan_so_com_vn_1673830976.508086, 3, 4, 5, 5, 4
"3,5 tỷ VNĐ",Vĩnh Hưng-Hoàng Mai, 36m2,"*Vì để lo công việc, chính chủ cần bán gấp nên giá cực đẹp, nội thất đầy đủ. *Mô Tả: +Nhà diện tích sử dụng 36m2 ,mặt tiền 4m với 6 tầng, 4 ngủ, 5 phòng vệ sinh , phòng nào cũng có cửa sổ đón nắng, ở hay cho thuê đều đẹp. +vị trí đẹp 2 phút ra phố, ngõ thông tiện lợi. +Nhà rất mới,lô góc 3 mặt thoáng vĩnh viễn, thiết kế hợp lý , sang trọng . +Sổ đỏ vuông đẹp sẵn sàng sang tên. *Liên hệ trực tiếp hoặc nhắn tin zalo: Bình bds Hoàng Mai sdt 0345752279 để được tư vấn và xem nhà hoàn toàn miễn phí 24/24! *Lưu ý: Không tiếp môi giới ",01/03/2022,Tin thường,batdongsan_so_com_vn_1673830977.5992115,, 6, 4,, 4
"3,75 tỷ VNĐ",đường Lĩnh Nam- Hoàng Mai- Hà Nội, 36m2,"*Chủ cần bán gấp nhà ngõ 467 Lĩnh Nam nên giá cực rẻ, tặng full nội thất gỗ xịn sò.Gọi ngay sdt 0345752279 *Chi tiết: + Diện tích 36m2, 5 tầng, 5 ngủ,thiết kế hiện đại hợp lý, đầy đủ công năng. +Nhà nằm trên ngõ 467 Lĩnh Nam là ngõ ô tô tránh, thông sang Nam Dư, Thanh Lân, gần chợ Lĩnh Nam, trường mầm non,… +Chào giá chỉ 3.75tỷ quá đẹp, quá rẻ, gia lộc mạnh cho khách nhanh gọn. +Sổ đỏ chính chủ sẵn sàng giao dịch ngay. *Liên hệ em Bình để được hỗ trợ, xem nhà miễn phí mọi khung giờ!",03/03/2022,Tin thường,batdongsan_so_com_vn_1673830978.865849,, 5, 5, 5, 4
"2,7 tỷ VNĐ",ngõ 467 Lĩnh Nam-Hoàng Mai, 35m2,"*Chủ cần bán gấp nhà Lĩnh Nam nên giá cực rẻ, tặng full nội thất hiện đại.Gọi ngay sdt 0345752279 *Chi tiết: + Diện tích 35m2, 4 tầng , 4 ngủ, các phòng khép kín , thiết kế hiện đại hợp lý, đầy đủ công năng. +Nhà nằm trên ngõ 467 Lĩnh Nam là ngõ ô tô tránh, thông sang Nam Dư, Thanh Lân, gần chợ Lĩnh Nam, trường mầm non,… +Chào giá chỉ 2,7 tỷ quá đẹp, quá rẻ, gia lộc mạnh cho khách nhanh gọn. +Sổ đỏ chính chủ sẵn sàng giao dịch ngay. *Liên hệ em Bình để được hỗ trợ, xem nhà miễn phí mọi khung giờ! *Lưu ý : Không tiếp môi giới.",04/03/2022,Tin thường,batdongsan_so_com_vn_1673830980.1184757,, 4, 4, 4, 4
"4,3 tỷ VNĐ","Gần oto, bán nhà ở Xuân Đỉnh, DT 62m, MT 7m, chỉ 4 tỷ 3.", 62m2,"Vị trí đẹp gần oto. Nhà xây kiên cố khung cột chắc chắn, nhà đẹp về ở ngay. Phòng nào cũng thoáng sáng, đầy đủ công năng sửu dụng. Xung quanh tiện ích vô vàn không thiếu thứ gì, hàng xóm thân thiện, gần bãi gửi oto. Khu dân trí, an ninh tốt, gần Ủy ban, gần chợ đầu mối Xuân Đỉnh, gần trường Mần non, Tiểu học Xuân Đỉnh, ĐH lớn như: trường ĐH Nội Vụ, Ngoại Giao Đoàn, Đại Sứ Quán Hàn...Vài phút ra Công viên Hòa Bình, các tuyến phố lớn Phạm Văn Đồng, Võ Chí Công, Xuân La, Lạc Long Quân, Tây Hồ...Sổ đỏ vuông đẹp nở hậu, sẵn sàng giao dịch. Trịnh Hiền 0963839587-0915999462 (gọi hoặc inbox 24/24) chuyên nhà thổ cư, sở hữu thông tin trên 10.000 căn nhà trên địa bàn Hà Nội, đủ các phân khúc giá tốt cần thanh khoản gấp. Miễn phí xem nhà, gặp chính chủ thương lượng giá. Hỗ trợ thủ tục pháp lý, sang tên chuyển nhượng, hỗ trợ vay vốn ngân hàng 24/7. Xin cảm ơn anh/ chị đã quan tâm tin đăng.",06/03/2022,Tin thường,batdongsan_so_com_vn_1673830981.2564335,,,,,
"4,3 tỷ VNĐ","Gần oto, bán nhà ở Xuân Đỉnh, DT 62m, MT 7m, chỉ 4 tỷ 3.", 62m2,"Vị trí đẹp gần oto. Nhà xây kiên cố khung cột chắc chắn, nhà đẹp về ở ngay. Phòng nào cũng thoáng sáng, đầy đủ công năng sửu dụng. Xung quanh tiện ích vô vàn không thiếu thứ gì, hàng xóm thân thiện, gần bãi gửi oto. Khu dân trí, an ninh tốt, gần Ủy ban, gần chợ đầu mối Xuân Đỉnh, gần trường Mần non, Tiểu học Xuân Đỉnh, ĐH lớn như: trường ĐH Nội Vụ, Ngoại Giao Đoàn, Đại Sứ Quán Hàn...Vài phút ra Công viên Hòa Bình, các tuyến phố lớn Phạm Văn Đồng, Võ Chí Công, Xuân La, Lạc Long Quân, Tây Hồ...Sổ đỏ vuông đẹp nở hậu, sẵn sàng giao dịch. Trịnh Hiền 0963839587-0915999462 (gọi hoặc inbox 24/24) chuyên nhà thổ cư, sở hữu thông tin trên 10.000 căn nhà trên địa bàn Hà Nội, đủ các phân khúc giá tốt cần thanh khoản gấp. Miễn phí xem nhà, gặp chính chủ thương lượng giá. Hỗ trợ thủ tục pháp lý, sang tên chuyển nhượng, hỗ trợ vay vốn ngân hàng 24/7. Xin cảm ơn anh/ chị đã quan tâm tin đăng.",06/03/2022,Tin thường,batdongsan_so_com_vn_1673830982.9689186,,,,,
