price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Mặt tiền,Số toilet,Hướng,Lộ giới
"2,83 tỷ VNĐ",Quang Trung- Hà Đông, 42m2, 4,"Bán nhà gần tàu điện Cát Linh, Hà Đông, ngõ thoáng, gần ô tô, 42mx4 tầng Nhà bán nằm vị trí đẹp giao thông vô cùng thuận lợi trục chính Quang Trung, di chuyển các hướng Phan Đình Giót, Yên Nghĩa, Ba La, Văn Phú, Văn La, Trần Đăng Ninh, Lý Thường Kiệt,Hà Cầu, Tố Hữu...cạnh các phố chính kinh doanh sầm uất, nhiều tiện ích. Xung quanh: siêu thị, các bệnh viện lớn, ngân hàng, chợ, trung tâm thương mại, công viên... Nhà được thiết kế khung cột chắc chắn, các phòng thoáng sáng đầy đủ công năng, chỉ việc ở ngay. Cạnh park city. Sổ đỏ vuông, pháp lý chuẩn. Giá: 2.83 tỷ ( có thương lượng). Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.       - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn. ",18/12/2021,Tin thường,batdongsan_so_com_vn_1673835549.2457948,,,,,
"2,78 tỷ VNĐ",Mậu Lương- Hà Đông, 41m2,,"Nhỉnh 2 tỷ nhà đẹp gần Khu đô thị Mậu Lương, Hà Đông, 41m, 4 ngủ rộng , ngõ thông, ô tô đỗ cửa Chủ nhờ bán gấp nhà đẹp trong tháng, vị trí trung tâm đắc địa gần các bệnh viện lớn Học viện Quân y 103, Đa Khoa Hà Đông, Viện Bỏng...an sinh đỉnh nhất khu vực. Cạnh Khu đô thị Xa La, Phú Lương, Văn Phú,Thanh Hà... sầm uất ngày đêm. Vị trí thông thương các tuyến phố : Phùng Hưng, Tân Triều, Yên Xá, Yên Phúc, Văn Quán, Phú Lương, Yên Phúc, ....chợ đầu mối 365 gần nhà. Nhà ngõ rộng thông thoáng, gần phố ô tô tránh, tiện ích xung quanh ngút ngàn siêu thị, chợ trường học, ngân hàng, bể bơi, sân bóng... Nhà chủ xây tâm huyết, khung cột chắc chắc, các phòng đều sáng đầy đủ công năng sử dụng với 4 tầng đẹp mê li nhìn là thích, nội thất nhập xịn ở đỉnh. Sổ đỏ chính chủ, pháp lý sạch. Giá: 2.78 tỷ ( có thương lượng). Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.    - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn. ",18/12/2021,Tin thường,batdongsan_so_com_vn_1673835551.07755, 4,,,,
30 tỷ VNĐ,"Vũ Tông Phan, Thanh Xuân, Hà Nội", 120m2,,"Chính chủ bán tòa nhà mặt phố Vũ Tông Phan DT 120m2*8T, giá 30 tỷ.- Mặt phố Vũ Tông Phan, vị trí tiếp giáp với các đường Nguyễn Trãi, Định Công, Kim Giang, Nguyễn Xiển, khu vực có nhiều tòa nhà văn phòng, trung tâm thương mại, giao thông thuận tiện, tiềm năng phát triển mạnh.- Tòa nhà văn phòng vỉa hè rộng, có hầm để xe. Trung tâm thương mại, khách sạn,- Sổ đỏ đẹp, chính chủ, sẵn sàng giao dịch.- Chủ thiện chí bán, chuyển định cư nước ngoài cần bán nhanh, có thương lượng.- Liên hệ: A Thành 0912525146",18/12/2021,Tin thường,batdongsan_so_com_vn_1673835553.3172982,,,,,
16 tỷ VNĐ,Nguyễn Xiển - Hạ Đình - Thanh Xuân - Hà Nội, 60m2, 7,"Bán nhà mặt phố Nguyễn Xiển 60m x 7 tầng x 3,8m mặt tiền, THANG MÁY, VỈA HÈ RỘNG, nhỉnh 16tỷ.- Vị trí: Mặt phố kinh doanh sầm uất Nguyễn Xiển - Thanh Xuân.- Thiết kế: 60m x 7 tầng x 3,8m Thang máy hiện đại.+ T1: Gara oto+ T2,3,3,4: Văn phòng công ty.+ T5,6: 4 ngủ.+ T7: Phòng thờ, sân phơi.- Pháp lý: Sổ đỏ vuông vắn, chính chủ.Liên hệ trực tiếp 0902253303. Minh Hoàng.",17/06/2021,Tin thường,batdongsan_so_com_vn_1673835557.0457456,, 4,,,
50 tỷ VNĐ,Hoàng Văn Thái - Thanh Xuân - Hà Nội, 200m2, 10,"BÁN NHÀ MẶT PHỐ HOÀNG VĂN THÁI 200M, 8M MẶT TIỀN, NHỈNH 50TY.  Vị trí: Mặt phố Hoàng Văn Thái kết nối Lê Trọng Tấn, Vương Thừa Vũ, Trường Chinh. Thiết kế: Phù hợp tòa nhà văn phòng 1 hầm, 9 nổi, thang máy cực đẹp. Tiện ích: Gần Đại học Y Hà Nội, các tòa nhà văn phòng Trường Chinh, Lê Trọng Tấn, chỉ mấy bước sang quận Đống Đa, giao thông vô cùng thuận lợi với Ngã Tư Sở rẽ đi các hướng, tương lai gần đường vành đai 2.5 giá trị tăng cao. Pháp lý: Sổ đỏ vuông vắn sẵn sàng sao dịch ngay. Liên hệ: 0902253303 Minh Hoàng zalo/facebook.",21/10/2021,Tin thường,batdongsan_so_com_vn_1673835559.0826883, 10, 8, 10,,
17 tỷ VNĐ,Cát Linh - Đống Đa - Hà Nội, 50m2, 6,"Bán nhà mặ phố Cát Linh Đống Đa, 6 tầng, 6m mặt tiền, kinh doanh sầm uất, nhỉnh 17 tỷ. Vị trí: Phố Cát Linh lõi trung tâm quận Đống Đa, hàng xóm Ba Đình, Hoàn Kiếm. Tiện ích: Phố Cát Linh kinh doanh buôn bán sầm uất đồ nội thất nổi tiếng, vỉa hè rộng, mặt tiền rộng quá lợi thế với căn nhà mặt phố, gần ngay sân vận động Hàng Đẫy, Ga Cát Linh tàu điện Cát Linh – Hà Đông. Văn Miếu Quốc Tử Giám, vài bước sang Ba Đình, 2p di chuyển sang quận Hoàn Kiếm. Giao thông: Cát Linh kết nối với Tôn Đức Thắng, Đặng Trần Côn, An Trạch, Nguyễn Thái Học, Giảng Võ..vv. Pháp lý: Sổ đỏ chính chủ sẵn sàng thương lượng. Lh: 0902253303 Hoàng (miễn trung gian môi giới).",18/12/2021,Tin thường,batdongsan_so_com_vn_1673835561.6102486,, 6,,,
26 tỷ VNĐ,"Nguyễn Xiển, Thanh Xuân, Hà Nội", 68m2,,"Chính Chủ Bán Tòa Nhà Văn Phòng Mặt Phố Nguyễn Xiển. Dt 68 giá 26 tỷ.+ Tòa nhà mặt phố Nguyễn Xiển - Thanh Xuân - đang cho văn phòng thuê kinh doanh.+ Thiết kế nhà 7 tầng, có thang máy cầu thang cuối nhà, các tầng để thông sàn cho cửa hàng kinh doanh tiện.+ Từ tầng 3 trở lên có thể view đường trên cao, treo biển quảng cáo tốt, nhà lô góc 3 mặt thoáng, phía sau nhà có chỗ để xe máy cho nhân viên đến làm việc.+ Vị trí ngay gần ngã tư Khuất Duy Tiến - Nguyễn Xiển.+ Phù hợp khách mua làm văn phòng, cửa hàng, kết hợp ở trên dưới cho thuê.+ Pháp lý sổ đỏ, khách an tâm.+ Giá cả chủ thiện chí bán nhanh.+ Liên hệ: A Thành 0912525146",18/12/2021,Tin thường,batdongsan_so_com_vn_1673835563.3742082,,,,,
33 triệu VNĐ/m2,279 Hoàng Mai, 76m2,,"💥2021 Cuối Năm Mua Nhà Không Lo Về Giá Căn 2PN – 3PN Chỉ Từ 2,7x tỷ - 4x tỷ. Chỉ với 900 triệu thanh toán trước #FELIZ_HOMES_HOANG_MAI 𝐂𝐡𝐢́𝐧𝐡 𝐬𝐚́𝐜𝐡 𝐛𝐚́𝐧 𝐡𝐚̀𝐧𝐠 𝐚́𝐩 𝐝𝐮̣𝐧𝐠:👉Miễn 2% kinh phí bảo trì, 1 năm phí dịch vụ👉Hỗ trợ lãi suất 0% 18 tháng, Ân hạn nợ gốc 👉Vay 75% thời gian 25 nămBáo giá các căn hộ đẹp nhất dự án:Căn hộ 3PN diện tích 97m2 giá từ 3.25 tỷCăn hộ 3PN diện tích 108m2 ( căn góc ) view thành phố, view Hồ Đền giá từ 3.6 tỷCăn hộ 2PN diện tích 76m2 giá từ 2.7 tỷ ️🍀TIỆN ÍCH PHỤC VỤ ĐỜI SỐNG:+ Bệnh viện Bạch Mai: 5Km+ Hồ Hoàn Kiếm: 6Km+ Đại học Bách Khoa – KT Quốc Dân: 3Km+ Trường TH, THCS Mai động+ Công viên Thống Nhất: 4Km+ Bến xe Giáp Bát: 3Km+ TTTM Metro Hoàng Mai: 2Km️📌Với vị trí là huyết mạch cửa ngõ Đông Nam của Thủ ĐôNổi lên như một hòn đảo ngọc xanh tươi giữa lòng Thành Phố, một bông hoa điển hình về thiết kế các khu đô thị trung và cao cấp.Quý cư dân nơi đây sẽ được sử dụng tới hơn 40 tiện ích khép kín cao cấp như:Khu vui chơi nhạc nước âm sàn.Bể bơi bốn mùa công nghệ ion- , khu BBQ trên tầng mái, tổ hợp thể thao ngoài trời, Vườn dạo bộ chân mây, TTTM...Cảnh quan hoàn thiện 100%, độ phủ xanh toàn dự án 85% đem lại không gian sống thư thái, bình yên và an nhiên. -----------------------------------------------------------------------------------------Hotline Phòng BH trực tiếp CĐT: 0983.223.911 – 0818.978.979#FelizHomes#Felizhomes279hoangmai#Felizhomes92maidong",18/12/2021,Tin thường,batdongsan_so_com_vn_1673835565.5430257,,,,,
"15,5 tỷ VNĐ","Bán nhà ngõ 128C Đại La, Bán nhà ngõ 100 Trần Đại Nghĩa, Bán nhà ngõ 259 phố Vọng", 80m2, 7,"Bán tòa chung cư mini 7 tầng thang máy ngõ  41 Phố Vọng Đồng Tâm Hai Bà Trưng. Hà Nội Diện tích sử dụng mỗi tầng  80m2,doanh thu 1 tỷ 100tr trên 1 năm . được thiết kế cực hiện đại, mặt trước và sau đều là ngõ thoáng. Với kiến trúc bao gồm:Tầng 1: chỗ để xe, 2 căn hộ khép kín.Tầng 2, 3, 4,5: mỗi tầng 4 căn hộ riêng biệt, đầy đủ nội thất. Tầng 6 : Thiết kế 2 phòng Master rộng, vệ sinh khép kín.Tầng 7 : Sân phơi cực rộng, có thể tổ chức liên hoan sinh nhật, BBQ.  Tổng tòa có 20 căn hộ mini, mỗi căn hộ gồm 1 phòng ngủ + 1 phòng khách + 1 bếp + phòng tắm + ban công thoáng.Nội thất hoàn thiện đầy đủ 100%, khách chỉ cần xách vali đến ở: mỗi căn hộ đã có sẵn giường ngủ và tủ quần áo, điều hòa, nóng lạnh, bếp + hút mùi, máy giặt, tủ lạnh, dàn phơi...Vị trí trung tâm lý tưởng, ngay ngã tư Lê Thanh Nghị - Trần Đại Nghĩa, cạnh 3 trường ĐH lớn Bách Khoa - Kinh Tế - Xây Dựng và bệnh viện Bạch Mai, tiềm năng cho thuê vô cùng lớn.* Sổ đỏ chính chủ. Giá 15,5 tỷ (có thương lượng) liên hệ chị yến ĐT:0702138238",15/12/2021,Tin thường,batdongsan_so_com_vn_1673835567.3647518, 10, 6, 10, Nam, 3
"15,5 tỷ VNĐ","Bán nhà ngõ 128C Đại La, Bán nhà ngõ 100 Trần Đại Nghĩa, Bán nhà ngõ 259 phố Vọng", 80m2, 7,"Bán tòa chung cư mini 7 tầng thang máy ngõ 128C Đại La Hai Bà Trưng. Diện tích sử dụng mỗi tầng  80m2,doanh thu 1 tỷ 100tr trên 1 năm . được thiết kế cực hiện đại, mặt trước và sau đều là ngõ thoáng. Với kiến trúc bao gồm:Tầng 1: chỗ để xe, 2 căn hộ khép kín.Tầng 2, 3, 4,5: mỗi tầng 4 căn hộ riêng biệt, đầy đủ nội thất. Tầng 6 : Thiết kế 2 phòng Master rộng, vệ sinh khép kín.Tầng 7 : Sân phơi cực rộng, có thể tổ chức liên hoan sinh nhật, BBQ.  Tổng tòa có 20 căn hộ mini, mỗi căn hộ gồm 1 phòng ngủ + 1 phòng khách + 1 bếp + phòng tắm + ban công thoáng.Nội thất hoàn thiện đầy đủ 100%, khách chỉ cần xách vali đến ở: mỗi căn hộ đã có sẵn giường ngủ và tủ quần áo, điều hòa, nóng lạnh, bếp + hút mùi, máy giặt, tủ lạnh, dàn phơi...Vị trí trung tâm lý tưởng, ngay ngã tư Lê Thanh Nghị - Trần Đại Nghĩa, cạnh 3 trường ĐH lớn Bách Khoa - Kinh Tế - Xây Dựng và bệnh viện Bạch Mai, tiềm năng cho thuê vô cùng lớn.* Sổ đỏ chính chủ. Giá 15,5 tỷ (có thương lượng) liên hệ chị yến ĐT:0702138238",17/12/2021,Tin thường,batdongsan_so_com_vn_1673835569.6331902, 10, 8, 10, Nam, 3
