price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số phòng ngủ,Hướng,Số toilet
"2,8 tỷ VNĐ",La Khê- Hà Đông, 41m2, 4,"+ Chủ cần tiền bán gấp căn nhà đẹp La Khê, Quận Hà Đông, diện tích 41m2, 4 phòng ngủ rộng. + Nhà nằm trên trục chính nối liền các tuyến phố quan trọng bậc nhất Hà Đông: Quang Trung, Ngô Quyền, Tố Hữu, Lê Trọng Tấn, Văn Phú...  + Khu vực rất hiện đại đầy đủ : trường học, siêu thị, ngân hàng, chợ,... + Chủ thiện chí, cần bán gấp lấy tiền đầu tư nhà xưởng, máy móc. + Sổ đỏ vuông đẹp như viên gạch, chủ cất két cho mới. + Giá chỉ 2.8 tỷ, thương lượng trực tiếp với chủ nhà, miễn trung gian. - Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.         - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý.",02/01/2022,Tin thường,batdongsan_so_com_vn_1673833724.9411361,,,,,
"6,32 tỷ VNĐ",Quang Trung- Hà Đông, 62m2,,"Nhỉnh 6 tỷ nhà đẹp gara ô tô, ngõ thông, Quang Trung, Hà Đông, 62m2, dân xây, nở hậu Phố Quang Trung nổi tiếng một trong những nơi đáng sống bậc nhất Hà Đông, dân đông, phố rộng hè thoáng, môi trường trong lành, tiện ích ngút ngàn: Siêu thị, chợ, trường học các cấp, bệnh viện lớn,trục chính di chuyển thuận lợi:, Văn Quán, Vạn Phúc, Mỗ Lao,Nguyễn Khuyến, Ao Sen, Trần Phú, An Hòa, Nguyễn Văn Trỗi, Bà Triệu, Nhuệ Giang,Phùng Hưng... Nhà được xây dựng trên mảnh đất đẹp, vượng khí tài lộc, gia chủ làm ăn rất phất, nhiều nhà nay bán bớt để mở rộng kinh doanh. Nhà có gara ô tô, ngõ thông tứ tung, các phòng đẹp thoáng sáng. Sổ đỏ chính chủ, sẵn sàng giao dịch. Giá: 6.32 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",31/12/2021,Tin thường,batdongsan_so_com_vn_1673833726.9690273,,,,,
"4,59 tỷ VNĐ","Đống Đa, Hà Nội", 45m2, 4,"Bán nhà 4 tầng đường Trường Chinh quận Đống Đa, cách mặt phố VIP chỉ 50m, đi lại thuận tiện. Tiện ích đỉnh cao.  + Thông số: 45m x 4 tầng, MT 6 m. + Nhà Thiết kế hiện đại 4 phòng ngủ, đầy đủ công năng - T1: Để xe + Phòng khách, Bếp, VS - T2+3: 4PN + WC - T4: Phòng thờ, sân phơi + Giá chào:4.59 tỷ + Sổ đỏ chính chủ. + Liên hệ anh Đức 0988484701",03/01/2022,Tin thường,batdongsan_so_com_vn_1673833729.008739, 6, 3, 4,,
,Vũ Tông Phan - Thanh Xuân, 70m2,,"Mảnh đất vàng vuông đẹp - Vũ Tông Phan Thanh Xuân Quận - tương lai mặt phố lớn, lô góc đẹp đẳng cấp!!Dt 70m2, tiền 5mGiá chào 6.39 tỷSổ Phân vuông đẹp, trước sau như một, pháp lý chuẩn.☎️ 0339948189 call, zalo em Đông——————————————————Nhà vị trí đẹp,lô góc, tương lai quy hoạch mở đường ra đường lớn, đã có chỉ giới đỏ. Hiện trước nhà rộng khoảng 3 đến 4m, hàng xóm kinh doanh ầm ầm, ngõ thông khắp ngả lối nào cũng đẹp.Liên hệ em Đông để biết thêm chi tiết.",03/01/2022,Tin thường,batdongsan_so_com_vn_1673833731.221043, 5,,,,
12 tỷ VNĐ,"KĐT Đinh Công, Hoàng Mai, Hà Nội", 79m2,,"Chính chủ bán nhà Liền kề khu đô thị Định Công, diện tích 79m, giá 12 tỷ+ Vị trí tuyệt vời, có thể nói đây là KĐT đáng sống nhất Quận Hoàng Mai, gần bệnh viện Bưu Điện, chung cư AZ Sky, Trường học Phương Nam, vỉa hè, kinh doanh văn phòng, làn đường quanh cả khu rộng, thoáng, cây xanh rợp trời, ô tô tránh thoải mái. Nhà thuận tiện kết hợp vừa ở vừa kinh doanh văn phòng+ Nhà xây dựng chắc chắn, nhà thiết kế hiện đại có thể lắp thêm thang máy. + Sổ đỏ chính chủ.+ Liên hệ: Thành 0912525146",03/01/2022,Tin thường,batdongsan_so_com_vn_1673833732.746877,,,,,
"2,8 tỷ VNĐ",Vân Đồn - Hà Nội, 45m2,,"Vị trí nhà thuộc hàng đỉnh của đỉnh cách 1 nhà là ra mặt phố Vân Đồn rất đẹp gần ngay khu trung tâm phố cổ. Từ nhà di chuyển thuận lợi lên các tuyến Trần Khát Chân, Nguyễn Khoái, Trần Khánh Dư... Chỉ vài phút là đến Hồ Gươm, công viên Thống Nhất... Phục vụ gia đình đi chơi cuối tuần. Gần nhà là rất nhiều cơ sở hạ tầng tiện ích sống nhiều trường đại học lớn như Bách Khoa, Dược Hà Nội,.. Và nhiều bệnh viện lớn Bưu Điện, Hữu Nghị Việt Xô, Thanh Nhàn... Siêu thị, trung tâm thương mại, mua sắm, giải trí.... Khu vực có rất nhiều dân cư sinh sống sầm uất, dân trí cao, an ninh rất đảm bảo. Căn nhà là tâm huyết bao đời của gia chủ vô cùng kiên cố chắc chắn, là đứa con tinh thần giúp chủ làm ăn ngày càng phát đạt nay đã tậu được nhà mặt phố nên đành dứt ruột bán đi giá chào 2.8 tỷ có gia lộc cho khách hữu duyên.Chi tiết LH: Nhật Nhà Đất  0977194820 (Chuyên Nhà đất Thổ cư với nguồn hàng Hơn 6000 Căn Nhà  Lớn nhỏ Từ 1 – 100 Tỷ trên khắp địa bàn Hà Nội luôn sẵn sàng giúp Khách hàng tìm được những căn nhà ưng ý nhất).Phương châm làm việc: -Tận Tâm, Uy tín , Chuyên nghiệp cái Tâm và cái Tầm đặt lên hàng đầu - Không kênh giá chủ nhà                                - Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư vấn pháp lý. ",25/12/2021,Tin thường,batdongsan_so_com_vn_1673833734.8887649,,,,,
"2,7 tỷ VNĐ",Thanh Nhàn - Hà Nội, 42m2,,"Nhà nằm trung tâm quận hai bà trưng, thuận tiện giao thông đi lại, gần nhiều bệnh viện trường học lớn: Bách Khoa ,Xây Dựng,Kinh tế quốc dân……, nhiều khu vui chơi mua sắm giải trí. Ngõ trước nhà rộng dãi oto tô đỗ cửa từ nhà thuận tiện di chuyển khắp các ngả Thanh Nhàn , Phố Huế , Đại Cồ Việt, Lò Đúc ,…khu vực dân trí cao, yên tĩnh phù hợp với gia đình có trẻ nhỏ người già. Thuộc khu phân lô cán bộ cũ, khung cột bê tông chắc chắn. Sổ đỏ chính chủ, chủ nhà làm ăn phát đạt đã cọc nhà mới nên cực kỳ  thiện chí giá trào 2.7 tỷ có gia lộc cho khách hữu duyênChi tiết LH: em Nhật 0977.194.820  (Chuyên Nhà đất Thổ cư).Lưu ý:- Không kênh giá chủ nhà- Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư vấn pháp lý ",03/01/2022,Tin thường,batdongsan_so_com_vn_1673833736.959723,,,,,
"4,85 tỷ VNĐ","Bán nhà ngõ 136 Nguyễn An Ninh, Bán nhà ngõ 71 Nguyễn An Ninh Bán nhà ngõ 104 Nguyễn An Ninh", 55m2, 3,"Bán nhà phân lô ô tô đỗ cửa Nguyễn An Ninh, Trần Đại Nghĩa Hai Bà Trưng 55m2x3T, giá 4.85 tỷ Nhà nằm ở vị trí đẹp, ngay mặt ngõ ô tô đỗ cách nhà 30m sổ  vuông vắn, thiết kế gồm: - Tầng 1: Phòng Khách, bếp, vệ sinh- Tầng 2: Mỗi tầng 2 phòng ngủ rộng và nhà tắm giữa- Tầng 3:1 phòng  thờ,1 phòng ngủ,1 vệ sinh,1 sân phơiHoàn thiện nội thất cao cấp, sàn gỗ Malaysia, khách mua về ở luôn được ko cần phải sửa chữa.Vị trí nhà mặt ngõ phân lô, ngõ thông thoáng các ngả,gần đường ô tô, gần các trường Kinh Tế Quốc Dân, Bách Khoa, gần nhiều bện viện lớn như Bạch Mai, Việt Pháp đi lên các tuyến phố rất tiện.SĐCC, giá 4.85 tỷ có thương lượng liên hệ chị Yến ĐT:0702138238",27/12/2021,Tin thường,batdongsan_so_com_vn_1673833739.874623, 3, 3, 3, Đông nam, 3
"5,75 tỷ VNĐ","Bán nhà ngõ 29 Vĩnh Tuy, Bán Nhà Ngõ 120 Vĩnh Tuy, Bán nhà ngõ 622 Minh Khai", 55m2, 5,"Bán nhà ngõ 120 Dương Văn Bé thông Minh Khai. Diện tích 55m2, mặt tiền 4m, nhà xây mới 5 tầng, mặt ngõ thông kinh doanh tốt. Thiết kế hiện đại: Tầng 1 là thiết kế thông sàn, kinh doanh tốt và Bếp Phòng ăn. Tầng 2 là phòng khách rộng, sang trọng. Tầng 3,4 thiết kế mỗi tầng 2 phòng ngủ lớn, vệ sinh giữa. Tầng 5 là phòng thờ và sân phơi. Nhà mặt ngõ rộng, nội thất hiện đại sàn gỗ nhập khẩu, hệ thống tủ bếp đầy đủ. Nhà xây khung cột bê tông chắc chắn. Hệ thống tiết kiệm điện toàn bộ nhà. Vị trí đẹp, ngõ thông tiện kinh doanh. Nhà cực thoáng mát. Gần nhiều trường Tiểu học Vĩnh Tuy, ĐH Kinh doanh công nghệ. Sát CC Times City. SĐCC, Giá bán 5.75 tỷ (có thương lượng) liên hệ chị yến ĐT:0702138238",29/12/2021,Tin thường,batdongsan_so_com_vn_1673833742.6134756, 4, 3, 5, Tây, 4
,"Bán nhà ngõ 17 Tạ Quang Bửu, Bán nhà ngõ 100 Trần Đại Nghĩa, Bán nhà ngõ 48 Tạ Quang Bửu", 60m2, 4,"Bán nhà PL Giảng viên ĐH Bách Khoa, Hai Bà Trưng. Nhà năm trong khu phân lô Giảng Viên ĐH Bách Khoa, phố Tạ Quang Bửu. Diện tích 60m2, nhà xây 4 tầng kiên cố chắc chắn, đường trước nhà 2 ô tô tránh nhau, vỉa hè rộng. Thiết kế hiện đại gồm sân vườn phía trước, Khách, Bếp và 4 PN, 4 Vệ Sinh. Nội thất hiện đại, sàn gỗ, cầu thang gỗ, hệ thống cửa làm bằng gỗ Lim nguyên khối, Hệ thống tiết kiệm điện. Vị trí đắc địa, cách MP Tạ Quang Bửu 10m, gần SVĐ Bách Khoa, Bể Bơi, Siêu thị Vinmart, gần 3 trường ĐH Lớn Bách Khoa – Xây Dựng – Kinh tế. Khu dân trí cao, an ninh tốt. SĐCC, Giá bán 10.5 tỷ ( có thương lượng) liên hệ chính chủ ĐT:0702138238",30/12/2021,Tin thường,batdongsan_so_com_vn_1673833745.6833835, 3, 8, 4, Tây, 4
