price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Mặt tiền,Lộ giới,Hướng,Số phòng ngủ,Số toilet
48 tỷ VNĐ,"Hàng Dầu, Hoàn Kiếm, hà Nội", 70m2,"Bán nhà Phố Cổ, Hoàn Kiếm-HN, nhà vị trí siêu đẹp. 48 tỷ. - Vị trí siêu đẹp – hiếm – vỉa hè rộng – khu vực tập trung nhiều quần thể tiện ích của TP.  DT 70m2, T1, cho thuê 100tr/tháng chỉ 48 tỷ nhanh quyết định, để có cơ hội sở hữu căn nhà hiếm có. - Liên hệ: Quỳnh – chuyên thổ cư khu vực Hà Nội, để được tư vấn trên 300 căn nhà, đất thổ cư khu vực Hà Nội.",05/01/2022,Tin thường,batdongsan_so_com_vn_1673833543.7508929,,,,,,
65 tỷ VNĐ,"Phố Quang Trung, Hoàn Kiếm-Hà Nội", 100m2,"Bán nhà Phố Quang Trung, Hoàn Kiếm-HN, nhà vị trí siêu đẹp. 65 tỷ. - Vị trí siêu đẹp – hiếm – vỉa hè siêu rộng – khu vực tập trung nhiều quần thể tiện ích của TP.  DT 100 m2, chỉ 65 tỷ nhanh quyết định, để có cơ hội sở hữu căn nhà nơi mà bao nhiêu người mơ ước. - Liên hệ: Quỳnh – chuyên thổ cư khu vực Hà Nội, để được tư vấn trên 300 căn nhà, đất thổ cư khu vực Hà Nội.",05/01/2022,Tin thường,batdongsan_so_com_vn_1673833545.7031636, 2,,,,,
,Vương Thừa Vũ, 55m2,"Bán nhà Vương Thừa Vũ, Thanh Xuân 55m, 6 tầng, 5 ngủ khép kín THANG MÁY, nhỉnh 10 tỷ Vị trí: Nhà cực đẹp, oto đỗ cửa vào nhà, kinh doanh tốt, phố Vương Thừa Vũ khu phân lô dân trí cao trung tâm quận Thanh Xuân, hàng xóm quận Đống Đa. Tiện ích: Bán kính 1km đủ tiện ích về giáo dục như đại học Thủy Lợi, đại học Y Hà Nội, Ngân Hàng, Công Đoàn, trường học các cấp 1,2,3...vv. Về y tế có bệnh viện Đại Học Y Hà Nội, Bạch Mai, Việt Pháp…vv. Về giải trí mua sắm có Vincom Royal City, Lottemart…vv. Giao thông: Vị trí đắc địa đi các hướng các quận đều thuận lợi với Ngã Tư Sở, Trường Chinh, Nguyễn Trãi, Láng, Tây Sơn, Lê Trọng Tấn…vv. Lh: Hoàng 0902253303. Miễn trung gian môi giới.",05/01/2022,Tin thường,batdongsan_so_com_vn_1673833548.2068307, 6, 4,,,,
"2,75 tỷ VNĐ","vân canh ,hoài đức", 32m2,"Đường rộng rãi, ngõ thông ô tô vào đến tận cửa nhà. Cạnh ngay KĐT Hud Vân Canh, hưởng trọn tiện ích không gian sống lý tưởng. Giao thông tiện đi khắp ngả 422B, Trịnh Văn Bô, Phương Canh, Xuân Phương, Mỹ Đình. Tiện ích sống phong phú khi gần trụ sở chính quyền, trường học các cấp, chợ dân sinh. Nhà đẹp nổi bật với thiết kế hiện đại, không gian thoáng sáng khi có mặt tiền siêu rộng. Hàng xóm thân thiện, dân trí cao, an ninh tuyệt đối. Là khu vực có tiềm năng lớn khi Hoài Đức sắp lên quận, Giá chào chỉ 2 tỷ 750 triệu (khách gặp chủ đàm phán trực tiếp). Sổ đỏ đẹp cất két sẵn sang tên. Cam kết nhà thật, việc thật 100% (hỗ trợ pháp lý và các vấn đề liên quan đến ngân hàng). Anh chị gọi em Sơn (thổ cư) để được tư vấn từ A->Z và xem thêm miễn phí hàng trăm căn thổ cư ở nhiều mức giá: 0932382236",05/01/2022,Tin thường,batdongsan_so_com_vn_1673833549.8585744,,,,,,
"28,5 tỷ VNĐ",Vũ Phạm Hàm, 46m2,"Chủ chuyển hướng đầu tư, cần nhượng lại căn nhà 8 tầng mặt tiền siêu lớn mặt phố Vip Vũ Phạm Hàm vị trí đẹp nhất phố, ngay gần ngã 4. Đoạn kinh doanh sầm uất, vỉa hè rộng thênh thangDiện tích: 46m2 x 8 tầng, mặt tiền 7.2mGiá: 28.5 tỷ (CONF THƯƠNG LƯỢNG, LÀM VIỆC TRỰC TIẾP CHỦ NHÀ)BUILDING MẶT PHỐ VIP - MẶT TIỀN LỚN - VỈA HÈ RỘNG - OTO ĐỖ CỬA - KINH DOANHLiên hệ xem nhà và nhận thông tin chi tiết: 0981367887- Thửa đất vuông đẹp, sổ pháp ý chuẩn cất két sẵn sàng giao dịch",05/01/2022,Tin thường,batdongsan_so_com_vn_1673833552.3110967, 8, 7, 21,,,
"10,5 tỷ VNĐ","Bán nhà ngõ 17 Tạ Quang Bửu, Bán nhà ngõ 100 Trần Đại Nghĩa, Bán nhà ngõ 48 Tạ Quang Bửu", 60m2,"Bán nhà PL Giảng viên ĐH Bách Khoa, Hai Bà Trưng. Nhà năm trong khu phân lô Giảng Viên ĐH Bách Khoa, phố Tạ Quang Bửu. Diện tích 60m2, nhà xây 4 tầng kiên cố chắc chắn, đường trước nhà 2 ô tô tránh nhau, vỉa hè rộng. Thiết kế hiện đại gồm sân vườn phía trước, Khách, Bếp và 4 PN, 4 Vệ Sinh. Nội thất hiện đại, sàn gỗ, cầu thang gỗ, hệ thống cửa làm bằng gỗ Lim nguyên khối, Hệ thống tiết kiệm điện. Vị trí đắc địa, cách MP Tạ Quang Bửu 10m, gần SVĐ Bách Khoa, Bể Bơi, Siêu thị Vinmart, gần 3 trường ĐH Lớn Bách Khoa – Xây Dựng – Kinh tế. Khu dân trí cao, an ninh tốt. SĐCC, Giá bán 10.5 tỷ ( có thương lượng) liên hệ chính chủ ĐT:0702138238",03/01/2022,Tin thường,batdongsan_so_com_vn_1673833555.0275774, 4, 3, 8, Tây, 4, 4
"15,5 tỷ VNĐ","Bán nhà ngõ 128C Đại La, Bán nhà ngõ 100 Trần Đại Nghĩa, Bán nhà ngõ 259 phố Vọng", 80m2,"Bán tòa chung cư mini 7 tầng thang máy ngõ 128C Đại La Hai Bà Trưng. Diện tích sử dụng mỗi tầng  80m2,doanh thu 1 tỷ 100tr trên 1 năm . được thiết kế cực hiện đại, mặt trước và sau đều là ngõ thoáng. Với kiến trúc bao gồm:Tầng 1: chỗ để xe, 2 căn hộ khép kín.Tầng 2, 3, 4,5: mỗi tầng 4 căn hộ riêng biệt, đầy đủ nội thất. Tầng 6 : Thiết kế 2 phòng Master rộng, vệ sinh khép kín.Tầng 7 : Sân phơi cực rộng, có thể tổ chức liên hoan sinh nhật, BBQ.  Tổng tòa có 20 căn hộ mini, mỗi căn hộ gồm 1 phòng ngủ + 1 phòng khách + 1 bếp + phòng tắm + ban công thoáng.Nội thất hoàn thiện đầy đủ 100%, khách chỉ cần xách vali đến ở: mỗi căn hộ đã có sẵn giường ngủ và tủ quần áo, điều hòa, nóng lạnh, bếp + hút mùi, máy giặt, tủ lạnh, dàn phơi...Vị trí trung tâm lý tưởng, ngay ngã tư Lê Thanh Nghị - Trần Đại Nghĩa, cạnh 3 trường ĐH lớn Bách Khoa - Kinh Tế - Xây Dựng và bệnh viện Bạch Mai, tiềm năng cho thuê vô cùng lớn.* Sổ đỏ chính chủ. Giá 15,5 tỷ (có thương lượng) liên hệ chị yến ĐT:0702138238",04/01/2022,Tin thường,batdongsan_so_com_vn_1673833557.9719849, 7, 6, 2, Nam, 10, 10
"6,6 tỷ VNĐ","Bán nhà ngõ 104 Lê Thanh Nghị,Bán nhà ngõ 67 Lê Thanh Nghị, Bán nhà ngõ 139 Lê Thanh Nghị", 45m2," Bán nhà mặt ngõ phố Lê Thanh Nghị, Bách Khoa, Hai Bà Trưng, Hà Nội-Diện tích 45m2, 4 tầng khung cột bê tông mới.  -Thiết kế bao gồm:-T1: thông sàn kinh doanh nhỏ-T2: 1 phòng khách, bếp, vệ sinh.-T3:2 phòng ngủ vệ sinh giữa.-T4:1 phòng ngủ, 1 phòng thờ, 1 vệ sinh.Vị trí  đắc địa, ngay ngã tư Trần Đại Nghĩa- Lê Thanh Nghị, từ nhà ra mặt phố chỉ 30m, ngõ to rộng thoáng, xe Lam đỗ cửa thoải máiPhù hợp với nhu cầu vừa ở vừa kinh doanh, hoặc đầu tư cho thuê sinh lờiChủ nhà hiện không ở nên đã cho sang sửa lại cực kỳ đẹp theo phong cách Tân cổ điển Châu âu bắt mắt, trang trí, nội thất thời thượng, khách mua về chỉ việc ởSổ đỏ chính chủ giá 6,6 tỷ có thương lượng liên hệ chị Yến ĐT:0702138238",04/01/2022,Tin thường,batdongsan_so_com_vn_1673833560.0186827, 4, 4, 3, Tây bắc, 3, 3
"2,85 tỷ VNĐ",Phố Lụa, 30m2,"NHÀ MỚI ĐẸP, GẦN MẶT PHỐ, NHÀ XÂY CHẮC CHẮN, HIỆN TẠI 3 MẶT THOÁNG. + Cần bán nhà tại phố Lụa, phường Vạn Phúc, quận Hà Đông, Hà Nội. + Liên hệ xem nhà: 0902.08.31.39 Diện tích 30m² từ tầng 2 đua ra 35m. Nhà xây 5 tầng. Mặt tiền rộng 3m. Ô tô gần. + Giá chào 2 tỷ 85 + Vị trí nhà nằm trên Phố lụa, giao thông thuận tiện thông các phố Ngô Thì Sỹ, Vũ Văn Cẩn, Tố Hữu, Vạn Phúc, tiện ích ngập tràn gần trường học công viên, trung tâm thương mại và nhiều khu đô thị lên rất phát triển giá tăng từng ngày. + Khu vực này cũng ít nhà bán vì khu vực đang làm đường và nhiều dự án, chủ nhà đã mua nhà khác to hơn nhà hiện để không lên đang rất thiện trí bán. + Nhà xây 5 tầng rất chắc chắn, tổng 3 phòng ngủ, nhà hiện tại 3 mặt thoáng lên rất thoáng và mát, thoáng trước thoáng sau. + Sổ đỏ chính chủ, sãn sàng giao dịch.",05/01/2022,Tin thường,batdongsan_so_com_vn_1673833562.384865, 5, 3,,, 3, 4
12 tỷ VNĐ,"Hàm Nghi,", 95m2,"SIÊU PHẨM NHÀ ĐẸP - LÔ GÓC - 7 TẦNG THANG MÁY - Ô TÔ TRÁNH - Ở CỰC SƯỚNG - KINH DOANH CĂN HỘ - Phố Hàm Nghi ( Mỹ Đình , Nam Từ Liêm , Hà Nội ) :  Là phố hoàn hảo , lộng lẫy và đẹp nhất phố Mỹ Đình ,tiện ích từ nhà ra phố không thiếu bất kể thứ gì , chưa kể đến tiện ích Vinhoms cạnh đấy + Nhà thuộc khu phân lô bàn cờ , mặt ngõ to , ô tô tránh . Chỉ cách 30m ra phố Hàm Nghi, 70m ra Vinhoms city, gần trường học danh tiếng , Đh thương Mại , Sân khấu điện ảnh,.... chỉ mất vài phút chạy xe ra đến sân vận động Mỹ Đình ,đường đua F1 , Bến xe khách Mỹ Đình + Vị trí siêu đẹp, sổ phân lô. + Lô góc 3 mặt thoáng, trước nhà ô tô tránh. + Nhà phù hợp khách mua ở, làm văn phòng hoặc kinh doanh homestay khách đuổi không hết. + Thiết kế 7 tầng thang máy. - Tầng 1. Gara, 1 phòng ngủ. - Tầng 2. Phòng khách, bếp. - Tầng 3, 4, 5. Mỗi tầng 2 phòng rộng. - Tầng 6. Phòng sinh hoạt chung + 1 phòng karaoke. - Tầng 7. Phòng thờ, sân phơi, tiểu cảnh. - Gọi ngay: Tâm Ngọc BDS Thổ cư nhà đất –0939446958 (Zalo , messenger ) để được tư vấn và giới thiệu miễn phí gần 1 nghìn căn nhà các loại cùng khu vực với tài chính từ 2 tỷ đến 1000",19/12/2021,Tin thường,batdongsan_so_com_vn_1673833564.8454013, 7,,,,,
