price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Số toilet,Hướng
15 tỷ VNĐ,"Vinhomes Ocean Park, Gia Lâm, Hà Nội", 70m2, 5, 40, 5,"❌ VINHOMES OCEAN PARK ❌👉 BÁN SHOPHOUSE VĨNH VIỄN RẺ NHẤT THỊ TRƯỜNG. - SB23 hướng TN view vườn hoa. Vài bước chân ra tới Biển hồ, gần TTTM VINCOM. Giá 15.1 tỷ bao phí- SB23 hướng ĐB mặt đường lớn 40m. Gần TTTM Vincom. Giá 16 tỷ bao phí- SB01 view vườn hoa, gần Biển hồ, khu TMDV kinh doanh sầm uất. Giá 16.5 tỷ bao phí☎️ Liên hệ em Thành: 0969.955.381#vinhomesoceanpark #vhop #ChuyenNhuong #Bietthu #lienke #shophouse",03/11/2022,Tin thường,batdongsan_so_com_vn_1673790607.682649,,,
"6,2 tỷ VNĐ","Đường Đê La Thành, Phương Liên, Đống Đa", 46m2, 4, 5, 4,"- TT ĐỐNG ĐA - 4 NGỦ ĐỦ CÔNG NĂNG - LÔ GÓC 2 THOÁNG - NHÀ ĐẸP Ở LUÔN  - Khu vực trung tâm tiện ích bạt ngàn , xung quanh trường chợ đầy đủ , ba bước ra mặt phố , ngõ ô tô lùi cừa  - Căn nhà ở rất lộc lá , chủ nhà bán đổi nhà to hơn  - Thiết kế : Tầng 1 phòng khách vaf bếp. Tầng 2,3 mỗi tầng 2 phòng ngủ. Tầng 4 phòng thờ và sân phơi.  - Sổ đỏ vuông vắn sẵn sàng giao dịch",03/11/2022,Tin thường,batdongsan_so_com_vn_1673790609.7870197, 4,,
8 tỷ VNĐ,"Đường Vũ Tông Phan, Khương Trung, Thanh Xuân", 45m2, 4, 1, 6,"
    Cực Hiếm! Bán Nhà Vũ Tông Phan, Nhà Mới coong, thang máy chạy vèo vèo, ngõ thông thoáng, ô tô đỗ cửa.DT 45m2, 6 tầng, mặt tiền 4m, giá nhỉnh 8 tỷ+ Ngõ rộng ô tô đỗ cửa, gần phố NGÃ TƯ SỞ+ Nhà xây 6 tầng, có thang máy.+ Thiết kế hiện đại, đẳng cấp, thông sàn, bố trí hợp lý gồm khách bếp ở tầng 5, 3 ngủ khép kín ở tầng 2,3,4; và phòng thờ sân phơi trên tầng 6, tầng 1 thông sàn tuỳ công năng sử dụng. Sổ vuông vắn sẵn sàng giao dịchLh: 0977.130.938
",03/11/2022,Tin thường,batdongsan_so_com_vn_1673790611.1683235, 4, 4,
8 tỷ VNĐ,"Đường Khương Trung, Khương Trung, Thanh Xuân", 45m2, 4, 1, 6,"
    Cực Hiếm! Bán Nhà Khương Trung, Nhà Mới coong, thang máy chạy vèo vèo, ngõ thông thoáng, ô tô đỗ cửa.DT 45m2, 6 tầng, mặt tiền 4m, giá nhỉnh 8 tỷ+ Ngõ rộng ô tô đỗ cửa, gần phố.+ Nhà xây 6 tầng, có thang máy.+ Thiết kế hiện đại, đẳng cấp, thông sàn, bố trí hợp lý gồm khách bếp ở tầng 5, 3 ngủ khép kín ở tầng 2,3,4; và phòng thờ sân phơi trên tầng 6, tầng 1 thông sàn tuỳ công năng sử dụng.Nhà nằm vị trí đẹp,gần ô tô, mấy bước chân ra ngõ thông ô tô đỗ, nhà đi bằng nhiều hướng, Vương Thừa Vũ, Khương Trung, Vũ Tông Phan, Lê Trọng Tấn Sổ vuông vắn sẵn sàng giao dịchLh: 0977.130.938
",03/11/2022,Tin thường,batdongsan_so_com_vn_1673790612.5177128, 4, 4,
8 tỷ VNĐ,"Đường Kim Giang, Khương Đình, Thanh Xuân", 50m2,, 1, 6,"
    Bán nhà Kim Giang , lô góc, thang  máy, ô tô, nhà mới koong, ở ngay giá chỉ nhỉnh 8 tỷDT50m2, 6 tầng, mặt tiển rộng 6m2Vị trí đỉnh, cách mặt phố 10m, lô góc 2 mặt thoáng.Hàng xóm Chung cư Five Star tiện ích nhiều vô kể.Ngõ thông rộng, thoáng.Nhà xây phong cách hiện đại, thang máy chạy vèo vèo.Tầng 1: Thông sàn, Wc.Tầng 2,3: Tầng 1 phòng ngủ Master, Wc.Tầng 4: 2 P. Ngủ, Wc.Tầng 5: Phòng ăn , Wc.Tầng 6: Phòng thờ, Sân phơi.- Sổ đỏ nở hậu đẹp.Lh: 0977.130.938
",03/11/2022,Tin thường,batdongsan_so_com_vn_1673790614.6091182,,,
8 tỷ VNĐ,"Đường Khương Trung, Khương Trung, Thanh Xuân", 45m2, 4, 1, 6,"
    Cực Hiếm! Bán Nhà Khương Trung, Nhà Mới coong, thang máy chạy vèo vèo, ngõ thông thoáng, ô tô đỗ cửa.DT 45m2, 6 tầng, mặt tiền 4m, giá nhỉnh 8 tỷ+ Ngõ rộng ô tô đỗ cửa, gần phố.+ Nhà xây 6 tầng, có thang máy.+ Thiết kế hiện đại, đẳng cấp, thông sàn, bố trí hợp lý gồm khách bếp ở tầng 5, 3 ngủ khép kín ở tầng 2,3,4; và phòng thờ sân phơi trên tầng 6, tầng 1 thông sàn tuỳ công năng sử dụng.Nhà nằm vị trí đẹp,gần ô tô, mấy bước chân ra ngõ thông ô tô đỗ, nhà đi bằng nhiều hướng, Vương Thừa Vũ, Khương Trung, Vũ Tông Phan, Lê Trọng Tấn Sổ vuông vắn sẵn sàng giao dịchLh: 0977.130.938
",03/11/2022,Tin thường,batdongsan_so_com_vn_1673790615.9126332, 4, 4,
9 tỷ VNĐ,"Đường Nguyễn Xiển, Thanh Xuân Bắc, Thanh Xuân", 50m2, 4, 1, 4,"
    Bán nhà Nguyễn Xiển, Gara, Phân lô ô tô tránh, 1 mặt ngõ ô tô, mặt ngõ xe ba gác.2 mặt ngõ khu vực trung tâm quận Thanh Xuân.Diện tích: 50m x 4 tầngNhà mới Đẹp long lanh, vẻ hè rộng, ô tô 7 chỗ vào nhàGần phố, ô tô chạy vòng quanhCách 30m ra đường Nguyễn Xiển, vài phút ra The ManorGiá nhỉnh 9 tỷ xxx Lh: 0977.130.938
",03/11/2022,Tin thường,batdongsan_so_com_vn_1673790617.02366, 5, 5,
"13,5 tỷ VNĐ","Đường , , Đống Đa", 44m2, 10, 1,,"BÁN NHÀ MẶT PHỐ HỒ ĐẮC DI, QUẬN ĐỐNG ĐA, KINH DOANH GIÁ CHỈ 13.5 TỶ Bán Nhà Mặt Phố Hồ Đắc Di, Quận Đống Đa, Ô Tô, Kinh Doanh DT 44m2, MT10m2, Giá 13.5 tỷ  RA TIỀN - HIẾM NHÀ BÁN. - Nhà nằm ở vị trí đắc địa trên phố Hồ Đắc Di, một trong những con phố VIP thuộc quận Đống Đa, thông các ngả ra phố Đặng Văn Ngữ, Tây Sơn, Nguyễn Lương Bằng, vài bước chân ra đến Hồ Đắc Di hóng gió, tập thể dục. - Nhà có mặt tiền rộng, gần với khu dân cư đông đúc, chợ Nam Đồng, trường Tiểu học Bế Văn Đàn... nên kinh doanh các loại hình cực đỉnh. Sổ đỏ chính chủ, sẵn giao dịchLh: Ms. Lan 0977.130.938",03/11/2022,Tin thường,batdongsan_so_com_vn_1673790618.1715882,,,
"6,3 tỷ VNĐ","Đường Xã Đàn, Ô Chợ Dừa, Đống Đa", 45m2, 3, 5, 4,"Bán nhà Xã Đàn, Đống Đa, 45m2, 6.3 tỷ, KINH DOANH - NGÕ 5M - GIẾNG TRỜI _LP17  + Nhà dân xây BTCT kiên cố. + 20m ra phố, KV kinh doanh sầm uất. + Ngõ thông Xã Đàn, Khâm Thiên.  * GIÁ CHÀO: 6.3 TỶ + 45m2, 4 tầng, 3pn. + Sổ đỏ đẹp, giao dịch ngay.  * Gọi tôi ngay nhé! DƯƠNG TÙNG 1976 + CAM KẾT “làm việc Chính chủ.” + Miễn tiếp MG, TG.",03/11/2022,Tin thường,batdongsan_so_com_vn_1673790619.5329466, 3, 3,
14 tỷ VNĐ,"Đường phố Kim Mã, Kim Mã, Ba Đình", 73m2, 5, 10, 5,"Bán nhà phố Kim Mã, quận Ba Đình, thành phố Hà Nội. Diện tích sổ đỏ: 73m2, mặt tiền rộng 5.5m, nở hậu. Nhà 2 mặt thoáng, trước nhà để được 20 ô tô, phía sau nhà ngõ nên rất thoáng. Hiện trạng có nhà 4 tầng, dân xây , khung cột bê tông chắc chắn. Có 2 nhà tách biệt, có thể ở 1 căn còn 1 căn cho thuê hoặc cho thuê cả 2 căn. Nhà 2 con trai mỗi người 1 căn rất đẹp. Phù hợp văn phòng công ty, kinh doanh online, thẩm mỹ viện, spa, xuất khẩu lao động, trường mầm non, phòng khám, trung tâm ngoại ngữ... Sổ đỏ chính chủ, pháp lý rõ ràng, giao dịch nhanh chóng. Xlh: 0382.703.234 ( thanh sơn) để được giá tốt nhất.",03/11/2022,Tin thường,batdongsan_so_com_vn_1673790620.6728976, 8, 8,
