price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Hướng,Số toilet
"11,45 tỷ VNĐ",Hà Nội, 67m2,"Bán gấp nhà Hoàng Văn Thái - Thanh Xuân kinh doanh gara ô tô tránh thoáng trước sau - SĐT: 0366 555 258.Diện tích 67m2 x 6 tầng x 6m mặt tiền. + Vị trí đắc địa, thông số hoa hậu, đường trước nhà 2 ô tô tránh, kinh doanh sầm uất. + Nhà khung cột chắc chắn xây 6 tầng thiết kế: - Tầng 1: Gara ô tô, phòng khách, WC. - Tầng 2, 3, 4, 5: Các phòng, WC. - Tầng 5: Phòng thờ, sân phơi, kho. + Nhà thoáng trước sau phòng nào cũng có cửa sổ, xung quanh nhiều tiện ích, hồ điều hòa cực thoáng… + Sổ đỏ chính chủ. + Giá chào 11.45 tỷ thương lượng sâu.Liên hệ tư vấn miễn phí 24/7: 0366 555 258.",21/02/2022,Tin thường,batdongsan_so_com_vn_1673831880.117106,,,,,,
73 tỷ VNĐ,Hồ Hoàng Cầu, 200m2,"Chủ ra nước ngoài định cư cần nhượng lại căn biệt thự siêu VIP, lô góc 3 mặt thoáng. View hồ Hoàng Cầu tuyệt đẹp, mặt phố Mai Anh Tuấn oto đỗ cửa.Vị trí đẹp nhất phố trung tâm quận Đống Đa giáp ranh Ba Đình, khu vực VIP cực hiếm.Diện tích: 200m2 x 3 tầng, mặt tiền 10mGiá: 73 tỷ (CÒN THƯƠNG LƯỢNG, LÀM VIỆC TRỰC TIẾP CHỦ NHÀ)BIỆT THỰ VIP MẶT HỒ - LÔ GÓC 3 THOÁNG - DIỆN TÍCH LỚN - OTO ĐỖ CỬALiên hệ xem nhà và nhận thông tin chi tiết: 0981367887- Thửa đất vuông đẹp nở hậu, sổ pháp lý chuẩn cất két sẵn sàng giao dịch",21/02/2022,Tin thường,batdongsan_so_com_vn_1673831881.6739407, 10, 21, 3, 5,,
"2,55 tỷ VNĐ",Xa La- Hà Đông, 36m2,"Bán nhà Xa La, Hà Đông, 36mx5 tầng, ngõ thoáng gần ô tô, nhỉnh 2 tỷ Bán gấp nhà trung tâm quận Hà Đông, nằm sát khu đô thị Xa La, vài bước ra bệnh viện lớn, chợ, ngõ thoáng rộng, ô tô rất gần thuận tiện đi lại, xung quanh trường học các cấp, ngân hàng, siêu thị, không thiếu thứ gì. Nhà đẹp xây khung cột chắc chắn, các phòng mở cửa sổ thoáng sáng, nhà xây phong cách hiện đại, đầy đủ công năng sử dụng. Chỉ việc xách vali đến ở. Giao thông di chuyển các phố: Đa Sỹ, Mậu Lương, Yên Xá, Thanh Trì, Thanh Hà, Văn Phú,....gần chợ lớn Hà Đông, chợ đầu mối 365 mua bán kinh doanh sầm uất. Chủ nhà nhiều bất động sàn bán bớt để mua máy móc sản xuất, gia lộc cho khách thực sự yêu nhà. Giá: 2.55 tỷ ( có thương lượng). Sổ đỏ vuông, sẵn sàng giao dịch. Liên hệ ngay với em Huyền : 0965472910 ( miễn trung gian).",21/02/2022,Tin thường,batdongsan_so_com_vn_1673831883.402429,,, 5,,,
"2,54 tỷ VNĐ",Kiến Hưng- Hà Đông, 37m2,"HIẾM! Nhỉnh 2 tỷ, Kiến Hưng, Hà Đông, ô tô gần, ngõ thoáng, 37mx 5 tầng Chủ nhà chuyển sang ở Biệt thự trong tháng giêng nên cần bán nhà đẹp, nằm vị trí trung tâm quận Hà Đông, giao thông vô cùng thuận lợi đi các hướng: Văn Quán, Phùng Hưng, Yên Xá, Xa La, Hà Trì, Tô Hiệu, Bà Triệu. Xung quanh là các bệnh viện lớn, an sinh đỉnh nhất khu vực. Chủ nhà xây tâm huyết, khung cột chắc chắn, phong cách hiện đại thoáng sáng, đầy đủ phòng ốc sử dụng, nhà rất đẹp nội thất xịn. Ngõ thoáng rộng, rất gần ô tô. Xung quanh đầy đủ tiện ích: trường học các cấp, ngân hàng, chợ, siêu thị, bệnh viện, trung tâm mua sắm,..vài bước chân ra phố hưởng trọn nhiều lợi ích, khu ít nhà bán, dân cư văn minh, nơi ở trong lành. Sổ đỏ vuông, pháp lý sạch. Giá: 2.54 tỷ ( có thương lượng). Liên hệ ngay với em Huyền : 0965472910 ( miễn trung gian).",21/02/2022,Tin thường,batdongsan_so_com_vn_1673831885.6804628,,, 5,,,
"2,55 tỷ VNĐ",Xa La- Hà Đông, 36m2,"Bán nhà Xa La, Hà Đông, 36mx5 tầng, ngõ thoáng gần ô tô, nhỉnh 2 tỷ Bán gấp nhà trung tâm quận Hà Đông, nằm sát khu đô thị Xa La, vài bước ra bệnh viện lớn, chợ, ngõ thoáng rộng, ô tô rất gần thuận tiện đi lại, xung quanh trường học các cấp, ngân hàng, siêu thị, không thiếu thứ gì. Nhà đẹp xây khung cột chắc chắn, các phòng mở cửa sổ thoáng sáng, nhà xây phong cách hiện đại, đầy đủ công năng sử dụng. Chỉ việc xách vali đến ở. Giao thông di chuyển các phố: Đa Sỹ, Mậu Lương, Yên Xá, Thanh Trì, Thanh Hà, Văn Phú,....gần chợ lớn Hà Đông, chợ đầu mối 365 mua bán kinh doanh sầm uất. Chủ nhà nhiều bất động sàn bán bớt để mua máy móc sản xuất, gia lộc cho khách thực sự yêu nhà. Giá: 2.55 tỷ ( có thương lượng). Sổ đỏ vuông, sẵn sàng giao dịch. Liên hệ ngay với em Huyền : 0965472910 ( miễn trung gian).",21/02/2022,Tin thường,batdongsan_so_com_vn_1673831888.1528609,,, 5,,,
"1,45 tỷ VNĐ","số 25 ngách 35/16 Ngõ Văn Hương, Quận Đống Đa", 18m2,"Chính chủ bán nhà số 25 ngách 35/16 Ngõ Văn Hương, Quận Đống ĐaDiện tích: 18m2 x 4 tầng- Ngõ rộng 2 xe máy tránh nhau, có sân để xe- Nhà gần trường học, chợ, giao thông đi lại rất thuận tiện. An ninh tốt, dân trí cao- Sổ đỏ chính chủ - Giao nhà ngayGiá bán: 1,45 tỷ - Có thương lượngLiên hệ chính chủ: 0975567769, 0916605968
 
 
Nguồn:  http://nhadathanoi.net.vn/chinh-chu-ban-nha-rieng/chinh-chu-ban-nha-so-25-ngach-35-16-ngo-van-huong-quan-dong-da-3519.html

",21/02/2022,Tin thường,batdongsan_so_com_vn_1673831890.1564474,,, 4,,,
"3,55 tỷ VNĐ","Mặt phố 523 Nguyễn Văn Linh, Quận Long Biên, Hà Nội", 28m2,"Chính chủ cần bán nhà mặt phố 523 Nguyễn Văn Linh, Quận Long Biên, Hà NộiDiện tích: 28m2 x 4 tầng. Mặt tiền: 3,6m, có vỉa hè- Nhà mặt đường rất thuận tiện kinh doanh, làm văn phòng- Giao thông đi lại rất thuận tiện. Khu an ninh tốt, dân trí cao- Sổ đỏ chính chủ - Giao nhà ngayGiá bán: 3,55 tỷ - Có thương lượngLiên hệ chính chủ: 0975567769, 0916605968 Nguồn:  http://nhadathanoi.net.vn/nha-mat-pho/chinh-chu-can-ban-nha-mat-pho-523-nguyen-van-linh-quan-long-bien-ha-noi-3518.html",21/02/2022,Tin thường,batdongsan_so_com_vn_1673831891.333298, 3,, 4,,,
70 tỷ VNĐ,"số 28 Đào Duy Từ, Phường Hàng Buồm, Quận Hoàn Kiếm", 57m2,"Chính chủ bán nhà mặt phố số 28 Đào Duy Từ, Phường Hàng Buồm, Quận Hoàn KiếmDiện tích: 57m2 - Mặt tiền: 5,5 m- Nhà mặt phố thuận tiện kinh doanh buôn bán, khách sạn, biệt thự- Khu trung tâm, dân trí cao, an ninh tốt- Giá bán: 70 tỷ - Có thương lượngLiên hệ : Anh Thanh: 0975567769 - Sổ đỏ chính chủ   Nguồn:  http://nhadathanoi.net.vn/nha-mat-pho/chinh-chu-ban-nha-mat-pho-so-28-dao-duy-tu-phuong-hang-buom-quan-hoan-kiem-3497.html",21/02/2022,Tin thường,batdongsan_so_com_vn_1673831892.3146758, 5,,,,,
"1,3 tỷ VNĐ",Hoàng Tăng Bí Bắc Từ Liêm, 24m2," Cần bán nhà  Hoàng Tăng Bí  Bắc Từ Liêm Hà Nội 2 tầng  24m2  1,3 tỷ. + Gia đình chuyển nơi ở cần bán gấp nhà nhỏ  trên đường Hoàng Tăng Bí Bắc Từ Liêm . + Dân trí cao, an ninh đảm bảo, ngõ cách đường Hoàng Tăng Bí 20m . + Gần Các Trường Đại Học Mỏ, Tài Chính, Y Tế Cộng Đồng . Gần chợ Chèm… + Bệnh Viện Đa Khoa Phương Đông , Giao thông thuận tiện thông ra các phố , Tân Xuân , Đức Thắng... + Sổ đỏ : Chính chủ không tranh chấp, thế chấp. + Giá: Thỏa thuận. Liên hệ: Minh Đức 0966680584 , xem nhà miễn phí 24h/ 24h.Hỗ trợ tư vấn miễn phí cho đến khi mua được nhà.Hỗ trợ ngân hàng 24/24.",08/11/2021,Tin thường,batdongsan_so_com_vn_1673831893.4256995,,,,,,
"4,2 tỷ /tháng",Nguyễn Hoàng Tôn, 40m2,"Bán nhà mặt phố Nguyễn Hoàng Tôn 5 tầng 4,2m MT 4.2tỷ Đường Nguyễn Hoàng Tôn thông ra các Phố Võ Chí Công, Phạm Văn Đồng,Hồ Tấy, Lạc Long Quân…     Diện tích: 40m2 5 Tầng . Kinh Doanh Mặt Phố Xe Container tránh nhau + Tiện ích đủ xung quanh. Bệnh Viện Nam Thăng Long, Chợ Đầu Mối Xuân Đỉnh, Sân Bóng Đá Xuân Đỉnh... + Trường : Đại Học Nội Vụ, THCS THPT Xuân Đỉnh. Giấy tờ dầy đủ. Liên hệ : Bác Hải  0366833145 Chính chủ.",20/02/2022,Tin thường,batdongsan_so_com_vn_1673831894.452953,,,,,,
