price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Số toilet,Hướng,Mặt tiền,Lộ giới
,TON DUC THANG - DONG DA, 540m2,"Tôi cần bán gấp Tòa Nhà Văn Phòng VIP 9 tầng mặt phố Tôn Đức Thắng. Vị trí đắc địa. Ngay cạnh ngã 5 Ô Chợ DừaDiện tích 540m2, Mặt tiền 22 m, Đường lớn, vỉa hè rộngTòa nhà xây mới 9 tầng thiết kế văn phòng 8 tầng nổi 1 tầng hầm.Thiết bị hiện đại với hệ thống điều hoà Trung tâm DAIKIN, toàn bộ đá ốp mặt tiền và thang máy là đá Granit nhập từ Brazil, Cửa gỗ Lim và Nhôm Xingfa, Thang máy nhập khẩu chính hãng Mitsubishi, Thiết bị vệ sinh American Standard, Thiết bị điện toàn bộ tòa nhà chính hãng Panasonic.Hệ thống phòng cháy hiện đại.Sổ đỏ chính chủ.GIÁ BÁN = 430 tỷ (có thương lượng).Liên hệ : QUANG ; 0912.129.926....0912.729.926Trân trọng cảm ơn Anh/Chị đã xem qua tin đăng này!( Dưới đây là hình ảnh 3D của tòa nhà )",05/11/2022,Tin thường,batdongsan_so_com_vn_1673789839.1381774,,,,,,
120 tỷ VNĐ,NGUYEN LUONG BANG - DONG DA, 204m2,"
    

Tôi cần bán gấp toà nhà Văn Phòng 9 tầng mặt phố Nguyễn Lương Bằng. Vị trí đắc địa, lô góc. Ngay cạnh ngã 5 Ô Chợ DừaDiện tích 204m2, Mặt tiền 8.5mTòa Nhà xây mới 7 tầng nổi 1 tum và 1 tầng hầm, được thiết kế theo kiểu văn phòng. Mỗi tầng là 1 sàn Văn Phòng rộng với hệ thống điều hòa âm trần DAIKIN. Toàn bộ đá ốp mặt tiền và thang máy là đá Marble nhập từ Brazil, Cửa gỗ Lim và Nhôm Xingfa, Thang máy nhập khẩu chính hãng Mitsubishi, Thiết bị vệ sinh American Standard, Thiết bị điện toàn bộ tòa nhà chính hãng Panasonic.Hệ thống phòng cháy chữa cháy hiện đại.Sổ đỏ chính chủ.GÍA : 120 tỷ (có thương lượng)Liên hệ: QUANG ; 0912.129.926.....0912.729.926Trân trọng cảm ơn Anh/Chị đã xem qua tin đăng này!




 


",05/11/2022,Tin thường,batdongsan_so_com_vn_1673789840.7139626,,,,,,
83 tỷ VNĐ,VU TONG PHAN -THANH XUAN, 190m2,"Tôi cần bán gấp tòa nhà văn phòng VIP 9 tầng mặt phố Vũ Tông Phan, Vị trí đắc địa, lô góc 2 mặt tiền đường.DT 190m2, mặt tiền 9m.Tòa nhà được thiết kế theo kiểu văn phòng hiện đại, sang trọng. Được xây mới 8 tầng nổi và 1 tầng hầm, thang máy nhập khẩu nguyên bộ Mitsubishi, hệ thống điều hòa Daikin, Thiết bị vệ sinh ToTo, vách kính mặt tiền 2 lớp cách âm cách nhiệt, hệ thống phòng cháy hiện đại đúng tiêu chuẩn.Vị trí đắc địa khu tập trung nhiều Cty, giao thông thuận tiện, dân trí cao, hiệu suất đầu tư cho thuê rất cao thích hợp với các kiểu kinh doanh như làm văn phòng Cty, thẩm mỹ viện và trung tâm đào tạo.Sổ đỏ chính chủ.Giá bán: 83 tỷ (có thương lượng)Liên hệ : QUANG 0912.129.926.....0912.729.926Trân trọng cảm ơn Anh/Chị đã xem qua tin đăng này!( Dưới đây là hình ảnh 3D của tòa nhà )",05/11/2022,Tin thường,batdongsan_so_com_vn_1673789841.7731285,,,,,,
"2,7 tỷ VNĐ",137 Nguyễn Ngọc Vũ, 80m2,"CHUNG CƯ 137 NGUYỄN NGỌC VŨ 80M 3 NGỦ, ĐỦ CÔNG NĂNG  🌺 CHUNG CƯ 3 NGỦ - VỊ TRÍ TRUNG TÂM - TIỆN ÍCH HOÀN HẢO - NHÀ ĐẸP Ở NGAY. - Tòa nhà chung cư 137 Nguyễn Ngọc Vũ nằm ở vị trí cực đẹp, giao thông thuận lợi. Bên trái là tuyến phố Lê Văn Lương, Láng Hạ, Tố Hữu, bên phải là tuyến phố Trần Duy Hưng, Nguyễn Chí Thanh. - Căn hộ được thiết kế 3 phòng ngủ, 2 wc. -📕 Sổ đỏ đẹp, cất két sẵn sàng giao dịch. LH Tiến Dũng  Xem nhà miễn phí 24/7",05/11/2022,Tin thường,batdongsan_so_com_vn_1673789843.5485966, 10, 3, 2,,,
"5,6 tỷ VNĐ","Số 55, Đường Nguyễn Văn Giáp, Cầu Diễn, Hà Nội", 109m2,"
    Căn hộ 3 phòng ngủ -109m2 tại Hoàng Thành Pearl- Mỹ Đình - Sổ hồng lâu dài✅ Thiết kế căn hộ khoa học:- Căn hộ thiết kế 3PN, 2 Wc, 3 logia, 1 bếp, 1 khách- Ban công Tây Nam. view dãy biệt thự Vinhomes Gardenia- Logia phòng tận dụng nguồn năng lượng xanh tự nhiên- Phòng bếp có logia thông thoáng- Phòng ngủ đón ánh sáng tự nhiên✅ Chính sách bán hàng tốt nhất- Giá bán: 5.6 tỷ- Đóng 30% (1,8 tỷ) ký HĐMB- Chiết khấu 3.5% với khách hàng thanh toán sớm- Đóng tiến độ linh hoạt đến khi nhận nhà- Đóng tiến độ đến Quý I/2024✅ Tiện ích dự án:- Hệ thống shophouse, TTTM hiện đại- Cảnh quan thoáng đãng, công viên cây xanh tự nhiên- Mật độ thấp: 12 căn/sàn/6 thang máy- 3 hầm rộng rãi có slot để oto📝 Thời gian nhận nhà: Quý I/2024☎️ Liên hệ hotline: 0963023895
 
 

",05/11/2022,Tin thường,batdongsan_so_com_vn_1673789845.0625463,, 3, 2, Đông bắc,,
"10,3 tỷ VNĐ",Trần Đăng Ninh - Hà Đông, 50m2,"Bán nhà mặt phố Trần Đăng Ninh, Hà Đông, 50mx6T kinh doanh hơn 10 tỷ Cực hiếm cô tôi bán nhà chính chủ mặt phố Vip Trần Đăng Ninh, Hà Đông với thông số vàng diện tích rộng 50m, mặt tiền khủng thiết kế kinh doanh 6 tầng, nội thất Châu Âu đường phân lô vỉa hè ô tô tránh vài bước ra mặt Phố Quang Trung. Vị trí đắc địa xung quanh đầy đủ tiện ích của các Khu đô thị Văn Phú gần Lý Thường Kiệt cắt ngang Lê Trọng Tấn sang Hà Cầu cạnh ngay Quận Uỷ, một cửa, nhà thi đấu, Bộ công an, nhiều toà văn phòng và chung cư cao tầng xung quanh kinh doanh bất chấp sinh dòng tiền lớn. Sổ vuông sẵn sàng giao dịch. Giá: 10.3 ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) - Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",05/11/2022,Tin thường,batdongsan_so_com_vn_1673789846.4109404, 7,,,,,
"2,75 tỷ VNĐ",Mậu Lương - Hà Đông, 46m2,"Bán đất Mậu Lương, Hà Đông 46m, MT 4.5M, cách phố 20 hơn 2 tỷ Bán mảnh đất vàng chính chủ vuông vắn thông số hoa hồng diện tích 46m, mặt tiền khủng 4.5m ngõ thoáng nông cách mặt phố chỉ 20m cực hiếm đất thổ các cụ để lại. Xung quanh đầy đủ tiện ích gần trường chợ, ngân hàng, bệnh viện, siêu thị, nằm trong khu dân cư toàn cán bộ, mua về xây lên 5 tầng đẹp như hàng xóm. Giao thông thuận lợi giáp Đa Sỹ lên Hà Cầu nối các Khu đô thị Xa La, gần Văn Phú sang Phú Lương, xuống Thanh Hà thông thương Quận Thanh Trì. Sổ vuông sẵn sàng giao dịch. Giá: 2.75 ( gia lộc). Liên hệ : Huyền em gái chủ nhà ( 0363703491- 0965472910) .",05/11/2022,Tin thường,batdongsan_so_com_vn_1673789848.042606,,,,, 4,
"4,1 tỷ VNĐ","Đường Khương Đình, Khương Đình, Thanh Xuân", 36m2," Bán nhà Mặt Phố Khương Đình quận Thanh Xuân: : nhà 4 tầng ,4 phòng ngủ +3 W,ngõ rộng , yên tĩnh, giao thông đi lại thuận tiện muôn nơi,cách nhà 30m có chỗ để ô tô,150m ra phố,tiện ích đầy đủ,nhà đẹp,giá cả hợp hợp lý,chủ ở rất giữ gìn,chỉ việc xách valy đến ở. + Vị trí đường trước nhà thông ngõ,gần nhà có chỗ để ô tô,giáp ranh quận Đống Đa và quận Hoàng Mai. Tiếp giáp phố lớn: Khương Trung ,Định Công,cách ngã Tư Sở nửa cây….. + thiết kế đẹp chắc chắn,xây dựng nên lam + Sổ đỏ chính chủ, sẵn giao dịch. + Giá chào: 4,10 tỷ,có thương lượng.Liên hệ ngay Ms Hà Tung: 0366001077 để được đi xem nhà.",05/11/2022,Tin thường,batdongsan_so_com_vn_1673789849.77397, 4, 4, 3,, 4, 3
82 triệu VNĐ/m2,"Chính chủ bán lô đất Ngõ 56 Thạch Cầu, Long Biên; 82tr/m2 Có TL; 0927262636", 41m2,"Chính chủ bán lô đất Ngõ 56 Thạch Cầu, Long Biên; 82tr/m2 Có TL; 0927262636  ✓ Diện tích 41,5m2 ✓ Mặt tiền 3,8m nở hậu 3,85m.  ✓ Hai mặt thoáng vĩnh viễn , đất hướng đông nam xây nhà thì cực đẹp, cực mát.  ✓ Đường trước nhà 2 oto tránh ,Ngõ Thông bàn cờ , đất làm ăn cực phát.  ✓ Mảnh đất cách dự án cầu Trần Hưng Đạo 500m , cách thảo nguyên Hoa, Khu Vườn nhãn 800m. Nằm ngay cạnh phân khu quy hoạch Sông Hồng, Gần trường học, chợ. Khu vực đầy tiềm năng phát triển lớn.   Giá bán: 82 triệu/ m2  $ Ae mua đất đc ngân hàng hỗ trợ vay đến 80% giá trị mảnh đất nhé.  Ae liên hệ chính chủ ( Mr Tuyên 0927262636. ) thanks ace.       http://www.sanbatdongsanviet.com.vn",05/11/2022,Tin thường,batdongsan_so_com_vn_1673789851.78575,,,,,,
5 tỷ VNĐ,lê đai hành. hai bà trưng ha nội, 38m2,"Bán nhà 5 tầng mới xây phố đại cổ việt DT 38m2, mặt tiền 3m . thiết kế 4 phòng ngủ khép kín,Tầng 1 phòng bếp và phòng khách sân để xe máy.tầng 5 gian thờ va sân phơi.vi trí cách vinhom bà triệu 100m ,cách trung tâm bờ hồ 5 phút đi xe máy, sổ vuông đẹp lỗi phòng thủy Giá bán 5 tỷ có thương lượng",05/11/2022,Tin thường,batdongsan_so_com_vn_1673789853.5979357, 2, 4, 3,, 3,
