price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Mặt tiền,Lộ giới,Số toilet,Hướng
"7,2 tỷ VNĐ",Ngô Thì Nhậm- Hà Đông, 48m2,"Phân lô, vỉa hè, ô tô tránh, kinh doanh đỉnh cao, Ngô Thì Nhậm, Hà Đông 48m2, nhỉnh 6 tỷ Cần bán nhanh nhà đẹp liền kề phân lô, vỉa hè đá bóng ngay cạnh chợ Bông đỏ Hà Đông, nhà tự xây tâm huyết, các tầng thoáng sáng đầy đủ tiện ích: Trường học, siêu thị, ngân hàng, bệnh viện. Nhà vị trí đắc địa thoáng sáng lô góc phù hợp với các loại hình kinh doanh, khu dân cư đông đúc, văn minh, sầm uất bậc nhất Hà Đông. Giao thông qua các phố chính Quang Trung, Phan Đình Giót, Ngô Quyền, Hà Cầu,.... Sổ vuông như tờ A4, sẵn sàng giao dịch. Giá: 7.2 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",16/04/2022,Tin thường,batdongsan_so_com_vn_1673827534.329265,,,,,,
5 tỷ VNĐ,Cầu Giấy, 48m2,"LÕI CẦU GIẤY - CÁCH Ô TÔ 30M - NHÀ ĐẸP 5* - AN SINH TUYỆT + Nhà bán nằm trong ngõ ô tô kinh doanh sầm uất. Nhà chúng ta bán cách bãi gửi xe ô tô 20m thông ra phố Chùa Hà. Nhà xây chắc chắc tỉ mỉ có gu thẩm mỹ cao có thể làm hài lòng bất kỳ khách hàng khó tính nào đến xem. + Gần nhà tiện ích, an sinh đầy đủ, trường tiểu học trung học san sát nhau tạo nên 1 quần thể vô cùng đáng sống. - Tầng 1: Khu để xe, phòng khách, bếp vệ sinh. - Tầng 2: 2 ngủ, vệ sinh. - Tầng 3: Thiết kế lệch tầng 2 ngủ, vệ sinh. - Tầng 4: Phòng thờ sân phơi. + Sổ đẹp, sẵn sàng giao dịch. - Giá chỉ hơn 5 tỷ (có thương lượng). - Liên hệ ngay: 0354526316 Em Thế Anh (Hỗ trợ hoàn toàn MIỄN PHÍ từ xem nhà, tư vấn pháp lý, kiểm tra Quy hoạch, vay vốn ngân hàng, sang tên sổ đỏ…)",16/04/2022,Tin thường,batdongsan_so_com_vn_1673827535.5150912, 4, 4,,,,
"9,7 tỷ VNĐ","Đại Kim , Hoàng Mai, Hà Nội", 50m2,"Nhà ở vị trí cực đẹp, và rất hiếm trong tầm giá. Tiện vừa ở vừa làm văn phòng, Cách hồ Linh Đàm 3 bước chân , gần chợ, trường mầm non, tiện ích nhiều. Ra Giải phóng 3 phút, giao thông thuận tiện đi các nơi Ngõ to ô tô vào nhà . trước nhà xe oto để ngày đêm ( cả khu đều đang để như vậy) . Khu phân lô cán bộ cao cấp . Phía trước nhà là vườn hoa . Chủ nhà trước là cán bộ nhà nước được phân cho và xây lên căn nhà này với bao nhiêu tâm huyết. Sổ vuông đẹp nở hậu. Sổ đỏ chính chủ cất két. Rât lâu rồi mới có 1 căn Nhà Đẹp – Gía Đẹp – Vị Trí Cực Đẹp. Xem nhà miễn phí gọi ngay : Mr Học : 0943.513.555 (Miễn trung gian). #chinh_chu_ban_nha_đai_kim #chinh_chu_ban_nha_Linh_đam #chinh_chu_ban_nha_hoang_mai #ban_nha_so_do_đai_kim #ban_nha_tho_cu_đai_kim",16/04/2022,Tin thường,batdongsan_so_com_vn_1673827536.5762699, 4, 4, 4, 9, 4,
,"Nguyễn Khang, Yên Hòa, Cầu Giấy", 47m2,"Cần bán NHÀ SIÊU VIP NGUYỄN KHANG NHÀ ĐẸP LONG LANH của chủ đầu tư có tiếng trong khu vực, thiết kế cực đẹp Mô tả: +Nhà lô góc mặt tiền nào cũng rộng, thông ra nhiều ngõ rộng rãi chỉ vài bước chân là đường ô tô +Xung quanh khu vực nhiều tiện ích, đủ loại dịch vụ +Chủ đầu tư xây thiết kế đẹp và tiện nghi -Tầng 1: Thông sàn, thang máy, có thể kinh doanh nhỏ hoặc làm văn phòng -Tầng 2: Phòng khách rộng -Tầng 3, 4, 5: Mỗi tầng 1 phòng và 1 vệ sinh rộng -Tầng 6: Bếp, phòng thờ, sân phơi  *Pháp lý: +Sổ vuông đẹp, sẵn sàng giao dịch, pháp lý chuẩn, sang tên nhanh *Diện tích: 47m2 *Giá tiền: 7.9 tỉ (Có thương lượng) Liên hệ: Minh 0964 915 213 / 0389 609 210 Chúng tôi còn hàng trăm căn khác tại Hà Nội, hãy gọi điện ngay để được tư vấn miễn phí những căn nhà phù hợp với quý khách! Dịch vụ môi giới Bất Động Sản cùng nhiều dịch vụ khác theo tiêu chuẩn Nhật Bản. 0964 915 213 / 0389 609 210 (Minh) ",16/04/2022,Tin thường,batdongsan_so_com_vn_1673827537.669328, 6, 3, 4,, 5,
85 triệu VNĐ/m2,"Cầu Diễn, Nam Từ Liêm, Hà Nội", 38m2,"+ Chủ nhà cần tiền bán gấp nhà mới xây khu Cầu Diễn, Nam Từ Liêm, 6 tầng, 38m2, ngõ thông. + Nhà nằm vị trí vàng đất phân lô, nhầ xây thiết kế đẹp không gian thoáng, hiện đại, cách mặt đường Cầu Diễn 100m,vài bước chân ra đường sắt trên cao, gần trường Đại học, siêu thị, bệnh viện. + Khách mua ở hoặc mua đầu tư giữ tiền, cho thuê với lợi nhuận cao dòng tiền thu nhập thụ động. + Sổ đẹp sẵn giao dịch. + Liên hệ Đức Anh để được xem nhà: 0975517689",16/04/2022,Tin thường,batdongsan_so_com_vn_1673827538.6866114, 6,, 3,,,
"10,8 tỷ VNĐ",Phố Hồng Mai, 35m2,"Cần bán gấp nhà mặt phố Hồng Mai,Hai Bà trưng,kinh doanh tấp nập ngày đêm Diện tích trên sổ 35m,còn diện tích thực tế 50m,xây 4 tầng,mặt tiền 3.70m Tầng 1 thông sàn kinh doanh. Tầng 2 phòng khách, bếp, wc. Tầng 3 gồm 2 phòng ngủ. tầng 4 1 phòng ngủ, 1 phòng thờ, 1 sân phơi. Sổ đỏ chính chủ, sẵn sàng giao dịch. Giá 10.8 tỷ có thương lượng Liện hệ : Tùng BĐS 0981 669 144 - Chuyên nhà đất thổ cư Hà Nội",16/04/2022,Tin thường,batdongsan_so_com_vn_1673827539.8195755,,,,,,
"3,6 tỷ VNĐ",Liễu Giai - Ba Đình - Hà Nội, 30m2,"Ngõ xe ba gác thuận tiện di chuyển, cách Hồ Tây 500m gần Lotter Xây dựng khung cột chắc chắn, nhà 2 mặt thoáng trước sau 4 tầng thiết kế mỗi tầng 1 phòng rộng tổng có 3 phòng ngủ + 4 nhà vệ sinh Nhà mới sổ vuông không lỗi phong thủy, chỉ việc xách vali vào ở ngay không cần sửa chữa Lh: 0964875503 - Quân",16/04/2022,Tin thường,batdongsan_so_com_vn_1673827540.854807, 4, 3,,, 4, Nam
"4,3 tỷ VNĐ",Đội Cấn, 36m2,"Gia đình cần bán gấp nhà Ngọc Khánh 36m2 4 tầng, nhà chủ xây dựng thiết kế hiện đại, còn mới khách có thể ở ngay mà không càn sửa chữa gì Thiết kế: Tầng 1 : Khách , bếp và vệ sinh Tầng 2,3 : Mỗi tầng 2 Phòng vệ sinh giữa Tầng 4 : phòng thờ sân phới LH:0962370591-Nguyễn Phúc Lộc",16/04/2022,Tin thường,batdongsan_so_com_vn_1673827542.7964, 4, 4,,, 2,
"5,4 tỷ VNĐ","Khương Hạ, Thanh Xuân", 42m2,"BÁN NHÀ PHỐ KHƯƠNG HẠ, THANH XUÂN, DT 42M2, NGÕ THÔNG PHỐ VŨ TÔNG PHAN, KHU DÂN TRÍ CAO. + Thiết kế: Nhà 5 tầng Châu Âu, khung cột bê tông kiên cố, khu vực đầy đủ tiện ích, an ninh tốt và lối sống văn minh hiện đại. - Tầng 1: Phòng khách-bếp-vê sinh. - Tầng 2: Phòng ngủ víp-vệ sinh khép kín. - Tầng 3,4: Phòng ngủ-vệ sinh. - Tầng 5: Phòng thờ-sân phơi. + Nội thất đẹp, khách mua về ở ngay. + Sổ đỏ chính chủ, vuông đẹp, sang tên ngay. + Liên hệ em Thái tư vấn tận tâm-nâng tầm giá trị. + CAM KẾT ẢNH THẬT 100%.",16/04/2022,Tin thường,batdongsan_so_com_vn_1673827544.8424773,,,,,,
7 tỷ VNĐ,"Nguyễn Trãi ,  Thanh Xuân , Hà Nội.", 70m2,"+ Vị trí cách mặt phố ô tô tránh 10m, đang kinh doanh siêu đỉnh dòng tiền 700 triệu/ 1năm, ngay chợ Nhân Chính, buôn bán tấp nập. + Vị trí toạ lạc gần trường học các cấp, Trung tâm thương mại. Kết nối giao thông Vũ Trọng Phụng, Nguyễn Trãi, Hoàng Ngân, Lê Văn Lương, Láng đi Thanh Xuân,Cầu Giấy, Đống Đa, Hà Đông.  + Chủ nhà thiết kế 5 tầng hợp lý : có phòng khách,ngủ, bếp, đầy đủ công năng sử dụng. Nhà mới đẹp chỉ việc sách valy về ở luôn. + Giá 7.x tỷ ( có TL) + Liên hệ Tuyết Nhung - 0963401959 - xem nhà miễn phí ( miễn TG - MG )",16/04/2022,Tin thường,batdongsan_so_com_vn_1673827545.7570765,,, 7,,,
"4,1 tỷ VNĐ","Định Công, Hoàng Mai", 48m2,"SIÊU PHẨM: NHÀ PHỐ ĐỊNH CÔNG, HOÀNG MAI, LÔ GÓC NHÀ ĐẸP, DT 48M2, MT 6M, 5 TẦNG, NGÕ THÔNG PHỐ. + Nhà mới thiết kế 5 tầng cực kỳ chắc chắn. + Vị trí ngõ trước nhà thông sát phố lớn, kinh doanh cực tốt. + Sổ đỏ phân lô, vuông đẹp. + Liên hệ em Thái để được xem chi nhà.",16/04/2022,Tin thường,batdongsan_so_com_vn_1673827546.7594035,,,,,,
"4,3 tỷ VNĐ",Phố Giáp Nhị, 43m2,"+ Ngõ trước nhà rộng ô tô 7 chỗ đỗ cửa,thông tứ tung,dân trí cao an ninh tốt. + Nhà thiết kế 4 tầng  khung bê tông chắc chắn, lô góc phòng nào cũng có cửa sổ cực kì thoáng sáng. + Sổ đỏ vuông đẹp, sẵn sàng giao dịch. Liên hệ em Đại-0963883403 để được tư vấn và xem nhà miễn phí. .",16/04/2022,Tin thường,batdongsan_so_com_vn_1673827548.2683637, 4, 4, 4,,,
"7,8 tỷ VNĐ","Chính chủ bán nhà 5 tầng vị trí đẹp 138 Lê Gia Định, P.Đồng Nhân, Hai Bà Trưng, 7,8 tỷ, 0916998415", 39m2,"Chính chủ bán nhà 5 tầng vị trí đẹp 138 Lê Gia Định, P.Đồng Nhân, Hai Bà Trưng, 7,8 tỷ, 0916998415  - Diện tích: 39m2 x 5 tầng. Tổng DT: 195m2  - Nhà nằm tại vị trí trung tâm gần chợ , trường học các cấp, thuận tiện cho kinh doanh , ô tô đỗ cửa - Khu an ninh tốt, giao thông thuận tiện, dân trí cao - BĐS có thể tăng giá theo tình hình chung của khu vực, đảm bảo sinh lời cao Giá bán :7,8 tỷ( có thương lượng). Chính chủ không qua trung gianLiên hệ chủ nhà 0916998415       http://www.sanbatdongsanviet.com.vn",16/04/2022,Tin thường,batdongsan_so_com_vn_1673827549.4352434,,,,,,
