price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet
"4,2 tỷ VNĐ","Chính chủ bán nhà riêng ngõ gần 3m đường Giáp Bát, Hoàng Mai, 4,2 tỷ; 0906249366", 40m2,"Chính chủ bán nhà riêng ngõ gần 3m đường Giáp Bát, Hoàng Mai, 4,2 tỷ; 0906249366 Diện tích sàn: 40m2. Xây 3 tầng 1 tum, mặt tiền 6,5m, gần trường cấp 1,2 Giáp Bát, gần y tế và ủy ban phường, gần chợ, dân trí cao, đất lành. Giá bán: 4,2 tỷ . Liên hệ chính chủ: 0906249366 Miễn trung gian, chỉ tiếp khách hàng thiện chí mua       http://www.sanbatdongsanviet.com.vn",25/09/2022,Tin thường,batdongsan_so_com_vn_1673799364.0190132,,,,,
"6,2 tỷ VNĐ",Đường Khương Trung phường Khương Trung, 51m2,"+ Diện tích 51m2, xây 4 tầng khung móng chắc chắn, đẹp long lanh, có giếng trời, có sân để xe. - Tầng 2 + 3 : mỗi tầng 2 ngủ, 2 vệ sinh. Tổng 4 phòng ngủ. + Giá bán6 tỷ 2 có thương lượng. ",25/09/2022,Tin thường,batdongsan_so_com_vn_1673799365.5100243, 4, 3, 4, 4, 3
"21,5 tỷ VNĐ",Võng Thị Tây Hồ, 92m2,"- Diện tích 92m2 X7 tầng. Mt 4.7m Giá bán 21.5 Tỷ ( có thương lượng ) -  Vị trí trung tâm quận Tây Hồ cách Hồ Tây mấy phút đi bộ, cách ô tô 10m. Thiết kế : 7 tầng thang máy 13 phòng khép kín. • Giao thông kết nối, cơ sở hạ tầng, tiện ích không thiếu thứ gì. • Kết nối giao thông với các tuyến phố Thụy Khuê, Trích Sài, Vệ Hồ, Lạc Long Quân, Hoàng Hoa Thám. - Sổ đỏ chính chủ, sẵn sàng giao dịch.ACE có nhu cầu liên hệ với em để được tư vấn. Miễn ( TG Quảng Cáo ) ",25/09/2022,Tin thường,batdongsan_so_com_vn_1673799367.4575508, 4,, 7,,
24 tỷ VNĐ,Đường Lê Lợi phường Nguyễn Trãi, 120m2,"Bán Nhà MP Lê Lợi Hà Đông, KD Siêu Vô Địch -  120m2, 6 tầng, Thang Máy -Mt 5.6m - giá 24 tỷNhà mặt phố siêu đẹp, siêu vip, vuông vắn, phù hợp với tất cả mọi loại hoạt động kinh doanh buôn bán mong muốn, kiến trúc ngôi nhà thẩm mỹ cao, hiện đại, công năng nội ngoại thất được lắp đặt các vật dụng cao cấp, thiết kế : tầng 1,2,3 thông sàn kinh doanh .tầng 3,4 : 4 phòng ngủ rộng khép kíntầng 6: phòng thờ- sân chơi ...khách hàng chỉ việc xách vali đến và tận hưởng cuộc sống sang trọng của ngôi nhà.- Tiện ích ngập tràn, vỉa hè rộng rãi thoáng mát, ô tô đỗ trước cửa nhà thoải mái, dân trí cao, An ninh cực kỳ tốt, gần chợ lớn giao thương buôn bán tấp nập, gần trung tâm thương mại Hồ Gươm Plaza, gần Melinh Plaza, nhà thi đấu hà đông, gần các bệnh viện lớn như bệnh viện Hà Đông, 103, K Tân Triều, gần các trường đại học, học viện quân y, đại học Kiến Trúc, đại học Hà Nội, trường THCS - THPT Lê Lợi.- di chuyển thuận lợi các trục tuyến phố chính của Hà Đông như Quang Trung, Phùng Hưng, Vạn Phúc, Cầu Đơ, Tô Hiệu, Bà Triệu, Lê Lợi, Trần Hưng Đạo, Nguyễn Trãi, Hoàng Hoa Thám, Hoàng Diệu, Lương Văn Can, Cầu Đen, Cầu Trắng, Trần Phú, Thanh Bình, Văn Yên, Dương Lâm, Ngô Quyền, Ngô Thị Nhậm, Văn Phú.- Chủ nhà là cán bộ cấp cao công an Hà Nội , nền tính hiền lành, thoáng tính , mua bán nhanh.- Sổ đỏ đẹp, giao dịch ngay.liên hệ : e Giỏi 0986727121 để được hỗ trợ chi tiết và tham khảo nhiều BĐS khác trong khu vực với nhiều phân khúc tài chính khác",25/09/2022,Tin thường,batdongsan_so_com_vn_1673799369.0572717, 5, 20, 6, 4, 6
5 tỷ VNĐ,Đường Lạc Long Quân phường Nghĩa Đô, 40m2,"
    ĐI BỘ DẠO HỒ TÂY LỘNG GIÓ - NHÀ DÂN XÂY 5 TẦNG - NGÕ THOÁNG SÁT Ô TÔ - THÔNG VÕ CHÍ CÔNG - TƯƠNG LAI QUY HOẠCH 2 NHÀ RA ĐƯỜNG LỚN - GIÁ THƯƠNG LƯỢNG SÂU - Nhà dân xây 5 tầng KCBT-40m-5 tầng-mt 4.3m Giá chỉ 5 TỶ thương lượng cực sâu, chủ mới về thêm 2 thùng Sơn là đẹp long lanh .- Thiết kế :+ Tầng 1 : PK, Bếp, WC .+ Tầng 2 : 1 PN, 1 Phòng tắm Master .+ Tầng 3 : 2 PN Khép Kín .+ Tầng 4 : 1 PN Khép kín với Phòng tắm Master .+ Tầng 5 : Gian thờ, Sân phơi .- Đường trước nhà 3 gác đua tránh xe máy, cách đường ô tô 35-40m, ngõ thông sang ngõ Võ Chí Công . - Tương lai quy hoạch mở đường lớn thông ngõ cách nhà chỉ 2 nhà . Vị trí sẽ cực đẹp, tiềm năng cực lớn .- Sổ đỏ đẹp, sẵn sàng giao dịch . Giá chốt cực sâu, chỉ cần khách thiện chí .* Liên hệ :Em Nam 0339703466Miễn phí xem nhà Nhiệt tình tận tâm - Hỗ trợ 24/24.#quậncầugiấy
",25/09/2022,Tin thường,batdongsan_so_com_vn_1673799371.8154082, 4, 2, 5, 4, 2
"4,3 tỷ VNĐ",Đường Khương Trung phường Khương Trung, 39m2,"+ Diện tích 39m2, mặt tiền 4m, xây 4 tầng,  Liên hệ: Trần Hưng - Chuyên Thổ cư Hà Nội - 0818838883 ",25/09/2022,Tin thường,batdongsan_so_com_vn_1673799373.139864, 4, 3, 4, 4, 3
10 tỷ VNĐ,Hoàng Đạo Thành, 46m2,"Ô TÔ TRÁNH VỈA HÈ RỘNG - 6 TẦNG THANG MÁY - 2 Ô TÔ TRÁNH - KINH DOANH ĐỈNH - THOÁNG TRƯỚC SAU - 10 TỶ. + Khu vực VIP nhất Hoàng Đạo Thành, gần Chung Cư Five Star, tiện ích vô vàn. Mặt ngõ thông to như Phố, cách mặt Phố 40m, cách đường lớn Nguyễn Xiển 60m. + Vị trí đẹp, ô tô tải tránh vỉa hè rộng, phù hợp kinh doanh tất cả mặt hàng hoặc để ở thì tuyệt vời. + Sổ đỏ vuông đẹp, pháp lý chuẩn, sẵn sàng dao dịch. LH: Mr Hoan, 0925088355, nhiệt tình, vui vẻ dẫn khách, miễn phí xem nhà 24/7.",25/09/2022,Tin thường,batdongsan_so_com_vn_1673799374.8941736,,, 6,,
,"Phố Kim Ngưu, Phường Thanh Nhàn", 40m2,"+ Ô tô đỗ cổng, nhà mới, thang máy êm ru, kinh doanh.+ Thiết kế 5 tầng thông sàn, đầy đủ công năng.+ Gần chợ 8/3, bệnh viện Thanh nhàn.+ Gần nhiều Time City.+ 5 phú xe máy đến các trường Đại Học lớn như Bách Khoa, KTQD, Xây Dựng, Kinh Kông....+ 10 Phút lên Bờ hồ, phố cổ.+ Tiện ích bạt ngàn cho cuộc sống đẳng cấp.+ Diện tích 40m.+ Sổ đỏ chính chủ, cất két chờ chủ mới.+ Giá chào: 7.0 tỷ, có thương lượng.+ Cô Bác, Anh chị quan tâm vui lòng Liên hệ: 0825820555.",23/09/2022,Tin thường,batdongsan_so_com_vn_1673799376.4370437, 4, 3, 5, 4, 4
,"hoàng mai,hà nội", 40m2,"Bán nhà Hoàng Mai, Phố Giáp Bát , 40m, 5t, mt 4m, 2,5 tỷ, oto, kinh doanh.+ Nằm ở vị trí đắc địa ô tô qua nhà, 15m ô tô tránh, 5 phút ra time city, gần trường mầm non cấp 1,2 gần chợ, nhà chủ tự xây nên vô cùng chắc chắn.+ Đi bộ ra hồ Đền Lừ, Gần Bến Xe Giáp Bát, Giáp Minh Khai, Tam Trinh, Tân Mai, Trương Định, Giải Phóng,  trường Đại Học Kinh Tế Quốc Dân, Xây Dựng, Bách khoa...,Bệnh viện Bạch Mai, hưởng trọn tiện ích của các chung cư lân cận.+ Sổ đỏ chính chủ sẵn sàng giao dịch.Lh: 0346363362 hoặc 0989035951 : Phú Gia chuyên nhà phố Hà Nội.",25/09/2022,Tin thường,batdongsan_so_com_vn_1673799378.5483959,,,,,
"9,1 tỷ VNĐ","Phố Hoàng Văn Thái, Phường Khương Mai", 58m2,"SIÊU VIP, PHỐ HOÀNG VĂN THÁI, 2 MẶT THOÁNG SÁNG, NHÀ MỚI, THANG MÁY, ĐẸP XUẤT SẮC.- Thiết kế 6 tầng.- Tầng 1 thông sàn, với 5 phòng ngủ khép kín, phòng thờ, sân phơi.- Thang máy nhập khẩu chạy êm ru.- Diện tích: 58m.- Sổ đỏ chính chủ, cất két chờ giao cho chủ mới.- Giá chào 9.1 tỷ, có thương lượng.- Gần chợ dân sinh và TTTM lớn.- Gần Trường Đại Học Y, HV Ngân Hàng, Đại Học Thủy Lợi, Đại Học Công Đoàn...- Gần Bệnh viện Đại Học Y....- Gần nhiều trường học liên cấp đạt chuẩn quốc gia...- Cô Bác Quan tâm vui lòng liên hệ:Nguyễn Dương: Zalo, SMS. 0825920555.",25/09/2022,Tin thường,batdongsan_so_com_vn_1673799379.9168234, 5, 3, 6, 5, 5
