price,address,Diện tích,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Hướng,Mặt tiền
11 tỷ VNĐ,"Đường Cẩm Văn, Kim Liên, Đống Đa", 55m2, 2, 6, 3, 5,"PHỐ LƯƠNG ĐÌNH CỦA - 6 TẦNG THANG MÁY - Ô TÔ 16 CHỖ VÀO NHÀ - 3 THOÁNG. Diện tích 55m2 x 6 tầng. Mt 5m. Giá chào 11 tỷ, có thương lượng. + Vị trí đẹp, ngõ rộng, xe 16 chỗ ra vào thoải mái. Lõi Đống Đa, vài bước chân ra Vincom, Kim Liên, Bách Khoa, Kinh Tế.... + Nhà 6 tầng mới tinh, thang máy nhập khẩu, 2 mặt ngõ trước sau. - Tầng 1: gara.- Tầng 2,3,4: thông sàn.- Tầng 5: khách, bếp.- Tầng 6: phòng thờ, sân phơi. + Sổ đỏ chính chủ, sẵn sàng giao dịch. Liên hệ: Mr Hoà 0904469633 để được tư vấn miễn phí. ",31/10/2022,Tin thường,batdongsan_so_com_vn_1673791463.5403862,,
78 triệu VNĐ/m2,"Số 93 Láng Hạ, quận Đống Đa, Hà Nội", 86m2,,, 2, 2,"Em bán căn hộ liền vườn ở 93 Láng Hạ - dự án Green Diamond- Diện tích 96m2 : 2 ngủ, 2 wc, 1 khách, 1 bếp , ban công phòng khách- Giá 78 tr/m2- Thanh toán nhanh : chiết khấu 2,7%- Có hỗ trợ vay bank 0% trong 6 tháng : 65% Giá trị căn hộ- Nhận nhà luôn và có nội thất nhập khẩu- Đảm bảo : mỗi căn hộ có 1 chỗ để otto. hầm thông minh có báo vị trí chỗ trống- Tiện ích : Full tiện ích tầng 1,2 ,3 và bể bơi 4 mùa tầng 5a- Gọi em đế mua nhanh căn hộ có giá Tốt nhất- Chính sách tốt nhất : 0977.568.223",31/10/2022,Tin thường,batdongsan_so_com_vn_1673791470.4743116, Đông bắc,
"1,85 tỷ VNĐ","Đường Quang Trung, Quang Trung, Hà Đông", 63m2, 30, 21, 2, 2,"+ Vị trí chung cư tọa lạc trên mặt phố Lê Trọng Tấn, Ngã tư Văn Phú, Quang Trung Hà Đông, ngay dưới chân tòa là bến xe buýt BRT, tuyến đường sắt trên cao, giao thông thuận tiện+ Căn hộ 63m, 2 ngủ, 2vs, đầy đủ nội thất+ Tiện ích : siêu thị, trung tâm thương mại, ngay dưới chân tòa+ + Liên hệ: Em Thảo Thảo: 0793021170, để đi xem nhà miễn phí, và được tư vân tận tâm nhất, TRÂN TRỌNG!!!",31/10/2022,Tin thường,batdongsan_so_com_vn_1673791471.3389976,, 4
"4,2 tỷ VNĐ",đường Phú Diễn, 52m2, 4, 4, 4,,"Phân lô bàn cờ Phú Diễn, Bắc Từ Liêm, lô góc ô tô chạy vòng quanh, ô tô vào nhà. S = 52m2, mặt tiền 4m, giá 4.2 tỷ. + Giao thông thuận tiện các tuyến: Cầu Diễn, Phú Diễn, Hồ Tùng Mậu, bến xe Mỹ Đình, Kiều Mai, Hoàng Công Chất, Đức Diễn,… + Xung quanh là các trường đại học, cao đẳng lớn: Cao đẳng Công nghiệp In, Đại học Tài nguyên Môi trường, Cao đẳng Y dược Tuệ Tĩnh, Đại học Thương mại,… + Thiết kế: Nhà 4 tầng, 4 phòng ngủ, dân xây chắc chắn. + Sổ vuông đẹp, chủ thiện chí. + Liên hệ em Bình để xem nhà miễn phí.",31/10/2022,Tin thường,batdongsan_so_com_vn_1673791472.3972292,, 4
"9,5 tỷ VNĐ","Đường Nguyễn Xiển, Thanh Xuân Bắc, Thanh Xuân", 50m2, 6, 4, 5, 4," Bán Nhà Nguyễn Xiển, Thanh Xuân, Ô Tô Tránh, 50m 4 Tầng Chỉ 9.5 tỷ + Chủ nhà làm ăn có Lộc, bán nhà nhỏ mua Vườn Đào + Nhà nằm vị trí rất đẹp trong khu phân lô Khu Nguyễn Xiển, Thanh Xuân, đường ô tô tránh, dân trí cao, tiện ích vô vàn. + Vị trí ngay gần ngã tư Nguyễn Trãi - Khuất Duy Tiến, Đường Vành Đai 3. + Giao Thông kết nối di chuyển thuận lợi với các trục đường: Vành Đai 3, Nguyễn Trãi – Tây sơn, Láng… + Nhà xây dựng trên diện tích 50m, mặt tiền 4m gồm 4 tầng  + Tầng 1: Gara o tô, Khách, bếp + Tầng 2, 3: Mỗi Tầng 2 phòng + Tầng 4: phòng thờ sân phơi + Nhà còn mới rất đẹp, chủ mới sẵn về sử dụng. + Sổ đỏ chính chủ cất két. + Giá 9.5 tỷ có thương lượng, gia lộc cho khách thiện chí +  Vui lòng liên hệ: Chuyên gia BĐS Hoàng Hiệp để xem nhà và tư vấn pháp lý. Ai có nhu cầu thực sự hay liên hệ. Xin cảm ơn.",31/10/2022,Tin thường,batdongsan_so_com_vn_1673791473.4238784,, 4
"15,1 tỷ VNĐ",Quận Ba Đình, 50m2,,,,,"SIÊU VÍP BA ĐÌNH LÔ GÓC ĐÀO TẤN PHÂN LÔ Ô TÔ 7 CHỖ VÀO NHÀ LH 0962745289DT. 50M2* 5 TẦNG – MẶT TIỀN 6M. GIÁ CHỈ 15.1 TỶ BA ĐÌNH. + Vị trí 5* Lô Góc cực hiếm mặt tiền rộng trung tâm Quận Ba Đình. Kinh doanh đỉnh, cho thuê văn phòng. Tiện ích miễn bàn. + Nhà Lô Góc 2 mặt ngõ ô tô tránh, rất gần mặt phố. Khu vực Đào Tấn rất hiếm nhà bán. Khu vực tập trung đông người nước ngoài, phù hợp khách mua ở, làm văn phòng.Tầng 1: Gara ô tôTầng2: Phòng khách + Bếp.Tầng 3: Phòng ngủ lớn.Tầng 4: 2 phòng ngủ.Tầng 5: Phòng thờ + Sân phơi.+ Sổ đỏ vuông A4 chính chủ sẵn sàng giao dịch.+ Giá:Thỏa thuận.+ Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, thủ tục sang tên nhanh gọn. + Tư vấn 24/7.   ",31/10/2022,Tin thường,batdongsan_so_com_vn_1673791474.4481697,,
"3,3 tỷ VNĐ","Đường Thái Thịnh, Thịnh Quang, Đống Đa", 67m2, 10, 4, 4, 4,"40m Ô TÔ ĐỖ dừng thoải mái, cách phố vài bước chân đi bộ. Diện tích rộng bề thế, phân khúc hiếm có ở Phố Thái Thịnh. Sân để xe máy riêng rộng rãi không phải cồng kềnh dắt xe vào nhà. Ngõ rộng thoáng, sạch sẽ xe máy, ba gác tránh nhau thoải mái. Thuộc khu trung tâm đi đâu cũng tiện.  Cần thêm TT gọi ngay: Mr Phong 0343888024 Để được hỗ trợ cung cấp tt và hỗ trợ đưa xem nhà miễn phí 24/24.",31/10/2022,Tin thường,batdongsan_so_com_vn_1673791475.2899184,, 4
"14,6 tỷ VNĐ","Đường Lâm hạ, Bồ Đề, Long Biên", 75m2, 10, 6, 4, 6,"LÂM HẠ LONG BIÊN Bồ Đề NHÀ MỚI 6 TẦNG, Ô TÔ TRÁNH, THANG MÁY, NỘI THẤT NHƯ HÌNH, ĐẲNG CẤP ĐẠI GIA. Diện tích 72m2 6 tầng Mặt tiền 4m . Giá 14,6 tỷ (có thương lượng) +Vị trí: Lâm Hạ khu víp nhất Long Biên, gần KĐT Minh Nhựa, KĐT 319 HC, Đoàn bay Nguyễn Sơn, Bệnh viện Tâm Anh, đường trước nhà siêu rộng, ô tô tránh đỗ cửa ngày đêm, rất nhiều đại gia săn đón, kết nối giao thông với các tuyến phố: Hoàng Như Tiếp, Hồng Tiến, Hoàng Minh Đạo, Nguyễn Văn Cừ, cách cầu Trần Hưng Đạo và cầu Chương Dương chỉ 1 Km. + Nhà mới chủ đầu tư uy tín nhất Long Biên, thiết kế hiện đại, kiểu dáng bắt mắt, thang máy 650 kg êm như ru: + Tầng 1+2 để trống chủ mới tùy ý có thể cho thuê. + Tầng 3+4mỗi tầng 2 ngủ, fun nội thất. + Tầng 5: khách bếp. + Tầng 6: Phòng thờ, sân phơi, vườn hoa. Sổ đỏ chính Chủ giao dịch ngay , Khách và Chủ trực tiếp giao địch miễn trung gian. Xem nhà miễn phí tận tâm tư vấn khu vực em nhiều nhà đẹp phân khúc đa dạng. Liện hệ Huyền 77 (Thổ địa Hà thành Nhà phố) ",31/10/2022,Tin thường,batdongsan_so_com_vn_1673791476.5455585,, 4
"17,5 tỷ VNĐ","Đường Đê La Thành, Láng Hạ, Đống Đa", 162m2, 50, 2, 4, 3,"Bán Căn Duplex đẹp nhất tòa Hateco La Roma 54A Nguyễn Chí ThanhTìm chủ nhân phù hợp cho căn hộ đẳng cấp thượng lưu có một không hai tại Tòa Hateco La Roma 4A Huỳnh Thúc Kháng (54A) Nguyễn Chí Thanh. Đã có sổ đỏ, nhận nhà luôn.Hệ thống tiện ích all in one - đẳng cấp 5 sao - phục vụ chủ nhân thượng lưu:- 3 tầng hầm để xe áp dụng hệ thống car parking.- 1 tầng hầm rượu vang kết hợp nhà hàng Á Âu.- Trung tâm thương mại tầng 1 và 2 sử dụng thang cuốn hiện đại bậc nhất con phố huỳnh thúc kháng.- Bể bơi 4 mùa đi kèm bể sục - phòng tập gym - phòng xông hơi khép kín phục vụ riêng cư dân là liệu trình chăm sóc sức khỏe đạt chuẩn quốc tế.Diện tích 160m2Giá 17,5 tỷLiên hệ: 0904578222",31/10/2022,Tin thường,batdongsan_so_com_vn_1673791477.8660264, Đông nam, 16
"8,7 tỷ VNĐ","Bồ Đề, Long Biên", 60m2,, 5, 4, 3,"+ Thiết kế hợp lý, mỗi tầng 2 phòng rộng. Tổng 4 ngủ, 3wc, phòng thờ và sân phơi. + Nhà xây khung cột bê tông cốt thép, chắc chắn, vuông vắn, đẹp, mới kính koong, xây uy tín và có tâm, khách yên tâm chỉ cần xách vali về ở ạ. - Giao thông: Vị trí gần ngay phố, trung tâm sầm uất, lô góc, ô tôvào nhà, 20m ra 2-3 ô tô tránh đỗ ngày đêm, khu vực dân trí cao, gần và thông với các khu phố chính: Nguyễn Sơn, Hoàng Như Tiếp, Bồ Đề, Hoàng Minh Đạo, Nguyễn Văn Cừ, Hồng Tiến + Ngõ ô tô vào nhà thoải mái, sổ đỏ trước sau như một, đang cất két. + Ngõ kinh doanh sầm uất, gì cũng có, thông sang Bồ Đề, ra phố Hồng Tiến, đi đường nào vào cũng đẹp. - Xung quanh nhà mình bán toàn giá trên trời, trên 150tr/m, nhà mình bán giá quá hợp lý, có thể thương lượng thêm. - Sổ đỏ vuông vắn, chờ giao dịch. - Lh Mr Trác: 0965492571 ( xem nhà và tư vấn miễn phí) ",31/10/2022,Tin thường,batdongsan_so_com_vn_1673791479.6073682,, 4
