price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Mặt tiền,Lộ giới,Số toilet
"46,5 tỷ VNĐ",quan cau giay, 158m2,"
    Bán gấp Tòa Nhà Văn Phòng 9 tầng mặt phố Vũ Tông Phan cách đường Nguyễn Trãi 250m...Dt158m2, Mặt tiền 6m, Đường nhựa 20m, Vỉa hè rộng 6m, Nhà xây mới 8 tầng nổi 1 tum và 1 tầng hầm, Thiết kế hiện đại, Mỗi tầng là 1 sàn Văn Phòng rộng với hệ thống điều hòa âm trần DAIKIN, Tầng 8 là 1 phòng ăn kết hợp phòng khách sang trọng, toàn bộ đá ốp mặt tiền và thang máy là đá Marble nhập từ Brazil, Cửa gỗ Lim và Nhôm Xingfa, Thang máy nhập khẩu chính hãng Mitsubishi 800kg, Thiết bị vệ sinh American Standard, Thiết bị điện toàn bộ tòa nhà chính hãng Panasonic, Hệ thống phòng cháy hiện đại, Sổ đỏ chính chủ. GIÁ BÁN = 46,5 tỷ (bao phí sang tên). LH: Mr Truong ; 0912.129.926.....0912.729.926
",07/11/2021,Tin thường,batdongsan_so_com_vn_1673803179.6899571,,,,,
75 tỷ VNĐ,quancau giay, 185m2,"
    Bán gấp toà nhà mặt đường Dịch Vọng hậu....Dt185m2, mt11m, xây 7 tầng nổi và 1 tầng hầm, kiến trúc văn phòng hiện đại, đường nhựa rộng 17m, vỉa hè rộng 4m, cách đường Trần Thái Tông 50m, Sổ đỏ chính chủ. Giá bán : 75 tỷ (bao phí sang tên).LH: Mr Truong ; 0912.129.926...0912.729.926
",07/11/2021,Tin thường,batdongsan_so_com_vn_1673803180.674272,,,,,
200 tỷ VNĐ,quan hai ba trung, 230m2,"
    Bán toà nhà văn phòng vip 9 tầng mặt phố Hàng Chuối vị trí gần ngã tư Hàn Thuyên (phối cảnh 3D của toà nhà kèm theo). DT 230m2, mặt tiền 11m, Toà nhà lô góc 3 mặt tiền, Xây 8 tầng nổi và 1 tầng hầm, hai thang máy nhập khẩu nguyên bộ Mitsubishi, hệ thống điều hoà trung tâm Daikin, a thiết bị vệ sinh Toto, vách kính mặt tiền Eurowindow 2 lớp cách âm cách nhiệt, hệ thống phòng cháy hiện đại đúng tiêu chuẩn. Sổ đỏ chính chủ. Giá bán: 200 tỷ (có thương lượng). LH: Mr Truong ; 0912.129.926...0912.729.926
",07/11/2021,Tin thường,batdongsan_so_com_vn_1673803181.6436756,,,,,
51 tỷ VNĐ,quan cau giay, 165m2,"
    Bán gấp toà nhà 9 tầng mặt phố Nguyễn Khang cũ vị trí nằm ngay ngã ba phố Vũ Phạm Hàm và Nguyễn Khang....Dt165m2, mt8,2m, xây 8 tầng nổi và 1 tầng hầm, kiến trúc văn phòng. Giá bán: 49,5 tỷ(bao phí sang tên). “Xin quý khách xem Phối cảnh 3D của toà nhà kèm theo nội dung tin đăng”. LH: Mr Truong ; 0912.129.926.....0912.729.926
",07/11/2021,Tin thường,batdongsan_so_com_vn_1673803182.877422,,,,,
43 tỷ VNĐ,quan thanh xuan, 115m2,"
    Bán gấp Toà nhà 9 tầng mặt phố Tô Vĩnh Diện gần sát ngã Ba Hoàng Văn Thái....Dt115m2, mt8,4m, từ tầng 2 trở lên Dt130m2, xây 8 tầng nổi 1 tầng , lô góc hai mặt đường. Giá bán: 43 tỷ (bao phí sang tên). LH: Mr Truong ; 0912.129.926....0912.729.926
",07/11/2021,Tin thường,batdongsan_so_com_vn_1673803183.9195886,,,,,
210 tỷ VNĐ,quan dong da, 330m2,"
    Bán toà nhà văn phòng vip 9 tầng mặt phố Tôn Đức Thắng ngã 5 Ô Chợ Dừa (phối cảnh 3D của toà nhà kèm theo).... DT 330m2, mặt tiền12,5m, xây 8 tầng nổi và 1 tầng hầm, hai thang máy nhập khẩu nguyên bộ Mitsubishi, hệ thống điều hoà trung tâm Daikin, Thiết bị vệ sinh Toto, vách kính mặt tiền Eurowindow 2 lớp cách âm cách nhiệt, hệ thống phòng cháy hiện đại đúng tiêu chuẩn. Sổ đỏ chính chủ. Giá bán: 210 tỷ (bao phí sang tên). LH: Mr Truong; 0912.129.926...0912.729.926
",07/11/2021,Tin thường,batdongsan_so_com_vn_1673803185.024686,,,,,
95 tỷ VNĐ,quan dong da, 205m2,"
    Bán gấp toà nhà 9 tầng mặt phố VIP Tôn Đức Thắng vị trí đắc địa “Phối cảnh 3D của toà nhà kèm theo nội dung tin “.....Dt205m2, mt8,7m, Xây 8 tàng nổi 1 tầng hầm, kiến trúc Văn Phòng thông sang, Hai thang máy Mitsubishi, Hệ thống điều hoà Trung Tâm Daikin, Kính mặt tiền hai lớp cách âm cách nhiệt, Thiết bị vệ sinh TOTO, Hệ thống đá ốp mặt tiền Granit Brazil, Đá thang máy đá trắng Ý, Hệ thống phòng cháy đạt tiêu chuẩn, Sổ đỏ chính chủ. Giá bán: 95 tỷ (bao phí sang tên). LH: Mr Truong ; 0912.129.926.....0912.729.926
",07/11/2021,Tin thường,batdongsan_so_com_vn_1673803186.078868,,,,,
260 tỷ VNĐ,quan cau giay, 550m2,"
    Bán toà nhà văn phòng vip 11 tầng mặt phố Dịch Vọng Hậu (phối cảnh 3D của toà nhà kèm theo). DT 550m2, mặt tiền 16m, xây 9 tầng nổi và 2 tầng hầm, hai thang máy nhập khẩu nguyên bộ Mitsubishi, hệ thống điều hoà trung tâm Daikin, a thiết bị vệ sinh Toto, vách kính mặt tiền Eurowindow 2 lớp cách âm cách nhiệt, hệ thống phòng cháy hiện đại đúng tiêu chuẩn. Sổ đỏ chính chủ. Giá bán: 260 tỷ (bao phí sang tên). LH: Mr Truong;;0912.729.926;;;;0912.729.926
",07/11/2021,Tin thường,batdongsan_so_com_vn_1673803187.2188644,,,,,
"2,38 tỷ VNĐ","Đường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội", 42m2,"Bán Nhà dân xây Phường Phúc Lợi, Long Biên 3T; 42m2; giá 2,38 tỷ (trả dần trong 6 tháng) + Tầng 1 : Phòng khách, bếp, wc + Tầng 2 : Phòng rộng( có thể bố trí 2 phòng), wc + Tầng tumg : Phòng thờ, sân phơi * Giá thương thảo thêm, đồng ý cho trả dần trong vòng 6 tháng. Nhà dân xây dựng chắc chắn, thi công móng cọc bê tông cốt thép, tầng tum gia chủ có để sẵn cột thép chờ sau này có thể chồng thêm tầng thoải mái yên tâm.  Phía trước và cạnh nhà là ô đất công để trống lên lấy ánh sáng vĩnh viễn.  Vị trí tiềm năng, xung quanh bán kính không xa là chợ, trường học cấp 1, 2 Phúc Lợi, UBND Phường Phúc Lợi, tòa chung cư RUBY CTY, Vinhome…thuận tiện sang Phường Giang Biên, KĐT Việt Hưng.. Sổ đẹp vuông vắn, pháp lý rõ ràng. Thông tin chuẩn 100% LH ngay cho Mr Tùng 24/24 : 0965 722 358",09/09/2022,Tin thường,batdongsan_so_com_vn_1673803188.4924521, 3, 2,,,
"7,1 tỷ VNĐ","Trâu QUỳ, Gia Lâm, Hà Nội", 97m2,"Cần bán nhanh căn nhà 3 tầng Kinh Doanh Tốt tại Trâu Quỳ, Gia Lâm  - Diện tích 97.00m - Nhà thiết kế 3 tầng, sử dụng tối đa công năng, có sân để oto cực rộng.  - Nằm trên trục đường chính thông các ngả, mặt đường kinh doanh cực tốt. - Cách nhà văn hoá tổ dân phố chừng 30m, ra đường vành đai Trâu Quỳ chừng 100m, tiện ích xung quanh đầy đủ luôn.  - Gần trường Nông Nghiệp, lượng sinh viên qua lại đông đúc. - Giá đẹp nhất khu vực, mua về là ở được luôn. - Sổ đỏ chính chủ, sẵn sàng giao dịch ngay  Hotline: 0399 643 640 Gặp Mr Công để xem nhà  #congbdsgialam #trâu_quỳ",09/09/2022,Tin thường,batdongsan_so_com_vn_1673803189.6613252,,,,,
"16,5 triệu /tháng","Chính chủ cho thuê nhà ngõ 1150 đường Láng, Đống Đa; 16,5tr; 0913367270", 240m2,"Chính chủ cho thuê nhà ngõ 1150 đường Láng, Đống Đa; 16,5tr; 0913367270  - Diện tích mặt bằng 45m2 (từ tầng 2: 48m2).  - Mặt tiền 5m thoáng trước sau, full đồ. Sàn gỗ, cầu thang gỗ nhà đẹp vị trí trung tâm, cách mặt đường Láng 150m.  - Vị trí thuận tiện, an ninh tốt (gần các trường đại học như ĐH Ngoại Giao, Ngoại Thương, Luật, Hành Chính... Gần viện Phụ Sản, Nhi, Bv Giao Thông.... ). Ô tô 5 tạ đỗ cửa.  - Nhà rất có lộc đặc biệt là công danh học hành.  + Tầng 1 phòng khách, phòng bếp, 1 vệ sinh).  + Tầng 2 (1 phòng sinh hoạt chung, 1 phòng ngủ, 1 vệ sinh).  + Tầng 3 (2 phòng ngủ, 1 vệ sinh).  + Tầng 4 (phòng thờ, phòng đọc sách).  + Tầng 5: Giặt đồ, sân phơi).  - Thích hợp cho thuê văn phòng   Giá cho thuê 16,5 tr/tháng Liên hệ chính chủ: 0975774596 or 0913367270 ( Miễn trung gian,môi giới)      http://www.sanbatdongsanviet.com.vn",09/09/2022,Tin thường,batdongsan_so_com_vn_1673803190.707526,,,,,
3 tỷ VNĐ,Đường Trần Hữu Dực phường Phương Canh, 32m2,"+ Vị trí nhà phố hòe thị, đường trịnh văn bô, phường phương canh, cách sân vận động mỹ đình 500 m cầu giấy 1.5 km  + Tiện ích xung quanh dân cư đông đúc dân trí cao hàng xóm thân thiện cách chợ chính 20m rất gần trường học bệnh viện  + Tầng 5 phòng thờ +sân phơiPháp lý s+ LH:ĐT:  275",09/09/2022,Tin thường,batdongsan_so_com_vn_1673803191.94322, 5, 5, 3, 3,
"5,5 tỷ VNĐ",Đường Nguyễn Văn Hưởng phường Việt Hưng, 38m2,"- Mở bán siêu phẩm mặt phố duy nhất tại Nguyễn Văn Hưởng, vị trí trung tâm đắc địa, kinh doanh đỉnh. Khu vực đã được đồng bộ hóa, quy hoạch ổn định, vìa hè đá bóng, ô tô đỗ cửa ngày đêm, đường trước nhà 7m ô tô tránh. Vài phút di chuyển ra Big C, Vincom Long Biên, bệnh viện Đức Giang...giao thông kết nối Giang Biên, Kẻ Tạnh, Phạm Khắc Quảng, Việt Hưng.. - Nhà 5 tầng thiết kế hiện đại với 4 ngủ đầy đủ công năng, thoáng trước sau, ô tô vào nhà hoặc đỗ cửa ngày đêm vô tư, chủ hiện đang cho thuê kinh doanh tầng 1, khách mua về đã có ngay dòng tiền bỏ túi. - Diện tích 38m2, nở hậu nhẹ, giá quá mềm so với khu vực, chỉ 5 tỷ 5. - Sổ đỏ chính chủ, sẵn sàng giao dịch ngay. - Liên hệ em Phượng Nhà đẹp (chuyên thổ cư Long Biên) đã giúp hàng trăm khách hàng mua được nhà đất quận Long Biên.",09/09/2022,Tin thường,batdongsan_so_com_vn_1673803193.1358054, 5, 4, 3, 7,
866 triệu VNĐ,hoàng mai hà nội, 80m2,"Cơ hội sở hữu 3 lô đất nền giá rẻ liền kề nút giao Cao Tốc Hà Nội- Hải Phòng.💰  Giá chỉ từ 866 triệu/ lô, Diện tích 70-80m2, ưu đãi tới 3% khi mua từ 2sp, Công chứng ngay tại vp Công chứng.🍀 Tiềm năng đầu tư cực kỳ lớn:👍 Nằm sát ngay nút giao Cao tốc Hà Nội - Hải Phòng và ql 38. Con đường Tân phúc vọng phan cb được thi công chạy qua các khu công nghiệp Ân Thi- Tiên Lữ- Phù Cừ.👍 Nằm trong khu quy hoạch CN hàng nghìn hecta: Bãi Sậy, Tân Phúc- Hoàng Hoa Thám và khu dân cư mới Tân Phúc.👍 Với nhiều tiện ích xung quanh, thích hợp cho An cư và tích luỹ tài sản.👍 Cơ sở hạ tầng đnag được cải tạo và phát triển mạnh mẽ, thuận tiện cho nhu cầu làm việc và sinh hoạt.🚘 Đường nội bộ trải nhựa asphalts 7m.👍 Pháp lý minh bạch - sổ hồng trao tay.👍 Hạ tầng đầy đủ- mốc giới rõ ràng.",09/09/2022,Tin thường,batdongsan_so_com_vn_1673803194.2897432,,, 5, 6,
