price,address,Diện tích,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Hướng,Mặt tiền
"1,9 tỷ VNĐ",Đường trường sa phường Đông Hội, 71m2, 1, 10, 2, 2,"
    Giải thưởng Đặc Biệt của sự kiện bốc thăm trúng thưởng “Nhận nhà ở ngay – Xế xịn trao tay” - 01 xe hơi Honda City trị giá trên 600 triệu đồng - đã có mặt tại ""sân nhà"" trung tâm khu đô thị 𝐄𝐮𝐫𝐨𝐰𝐢𝐧𝐝𝐨𝐰 𝐑𝐢𝐯𝐞𝐫 𝐏𝐚𝐫𝐤.
",09/06/2022,Tin thường,batdongsan_so_com_vn_1673820824.2201257,,
"13,2 tỷ VNĐ",Đường Kim Mã phường Kim Mã, 75m2, 1, 5, 3, 1,"+Diện tích 75m2 x 5 tầng, mặt tiền 3,5m. +Sổ đỏ chính chủ, pháp lý chuẩn. +Giá 13,2 tỷ. +Liên hệ Trang: 0968588737. -Hoàn thiện full nội thất, khách mua chỉ việc xách vali về ở ngay. -Thiết kế hiện đại và sang trọng, tối ưu công năng sử dụng, tổng 3 phòng ngủ rộng rãi, thoáng mát, phòng nào cũng có cửa sổ đón ánh sáng tự nhiên. -Xung quanh nhà là trường học các cấp, gần chợ, TTTM, công viên, bệnh viện, các trung tâm chăm sóc sức khỏe dành cho mọi gia đình. -Giao thông thuận tiện đi lại thông thương: Nguyễn Công Hoan, Ngọc Khánh, Giảng Võ, Láng Hạ, Nguyễn Chí Thanh,…. -Ngõ to, thông, kinh doanh bất chấp mọi mặt hàng, mua về ở cực sướng. -Vị trí đắc địa, không lỗi phong thủy, nhà vượng khí tài lộc. Liên hệ Trang để được tư vấn và xem nhà miễn phí: 0968588737.",09/06/2022,Tin thường,batdongsan_so_com_vn_1673820825.562534,,
"1,9 tỷ VNĐ",bột xuyên_ mỹ đức _ hà nội, 99m2,,,,,"Lô 99m tại bột xuyên mỹ đức . mặt tiền 4m5.chiều sâu 20 m._ sát trường mầm non_cách Ubnd xã 50m _ cách trường học 100 m_gần trục đường tỉnh lộ 419 ,giao thông đi lại thuận tiện._ dân cư đông đúc ,phát triển.  tại đây khách mua đầu tư thì tiềm năng tăng giá cao. khách mua ở thì thuận tiện cho việc kinh doanh buôn bán ,đi lại thuận tiện.",09/06/2022,Tin thường,batdongsan_so_com_vn_1673820826.623695,,
"1,7 tỷ VNĐ","Thanh trì, Hà Nội", 75m2,, 1, 2, 2,"Chuyển nhà, có nhu cầu bán căn hộ chung cư thuộc dự án chung cư viện bỏng lê hữu trác, tân triều, thanh trì, hà nội Nhà hướng Tây Nam, ban công hướng Đông Bắc Nội thất để lại toàn bộ đồ gắn tường: - Tủ bếp, vách, tủ giầy phòng khách - Điều hòa 2 phòng ngủ, 1 tủ quần áo to sát trần ở phòng ngủ chính - 2 nhà vệ sinh đầy đủ thiết bị, chậu rửa mặt bàn đá, bình nóng lạnh, đèn sưởi Chính chủ bán",09/06/2022,Tin thường,batdongsan_so_com_vn_1673820827.702808, Tây nam,
"4,45 tỷ VNĐ",Trung Kính - Yên Hòa - Cầu Giấy - Hà Nội, 45m2,,,,,"NHÀ ĐẸP - CÒN MỚI - GẦN CHỢ - GẦN TRƯỜNG HỌC CÁC CẤP - GẦN TTTM - KHU HÀNH CHÍNH.- Vị trí tuyệt vời, cách chợ hơn trăm mét, cách các trường đại học vài trăm mét, tiện ích bạt ngàn xung quanh  nhà.- Nhà chủ tự xây còn mới, sau nhà làm giếng trời thu hút nhiều vượng khí, khung dầm bê tông cốt thép chắc chắn, thiết kế hợp lý, đầy đủ công năng.- Thiết kế 5 tầng, 3 phòng ngủ, có khu để xe, trước nhà 3 gác đỗ 24/24.+ T1 : Khu để xe , phòng bếp, wc.+ T2 : Phòng khách + phòng ngủ, wc.+ T3,4 : 2 ngủ + wc giữa.+ T5 : Phòng thờ + sân phơi.- Sổ nở hậu, nhiều vượng khí.- Khu vực hiếm nhà bán, lên nhà nào mất nhà đó, gần nhiều trường học các cấp, trung tâm thương mại, hành chính, giao thông kết nối nhiều đường lớn, đi đâu cũng tiện.LIÊN HỆ : NGUYỄN TIẾN HOÀNG -  0976817296 - tư vấn nhiệt tình 24/24.LƯU Ý : Tôi còn rất nhiều nhà trong tầm giá, liên hệ ngay để nhận thêm nhiều thông tin hơn.",09/06/2022,Tin thường,batdongsan_so_com_vn_1673820828.8827014,,
"3,399 tỷ VNĐ",Đường Ngô Xuân Quảng phường Trâu Quỳ, 40m2,,,,,""",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" text-align:="""" left;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(255,255,255);="""" text-indent:="""" user-select:="""" text;="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" initial'chính="""" chủ="""" cần="""" bán="""" gấp="""" lô="""" đất="""" đẹp="""" để="""" lấy="""" vốn="""" kinh="""" doanh,="""" rất="""" thiện="""" chí.="""" span="""" p="""" pspan="""" initial'•="""" diện="""" tích="""" 40m2,="""" vuông="""" như="""" tờ="""" a4.="""" initial'="""">• Giá bán thiện chí: 3,39 tỷ ( ra lộc đẹp cho khách)."",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" text-align:="""" left;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(255,255,255);="""" text-indent:="""" user-select:="""" text;="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" initial'="""" pspan="""" initial'•="""" Địa="""" chỉ:="""" ngõ="""" phố="""" ngô="""" xuân="""" quảng,="""" thị="""" trấn="""" trâu="""" quỳ,="""" huyện="""" gia="""" lâm,="""" thành="""" ha="""" nội.="""" span="""" p="""">• Đường thông rộng 7 chỗ đi vừa, có chỗ đậu xe thoải mái, nằm trong khuôn viên khu đô thị siêu tiện ích. "",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" text-align:="""" left;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(255,255,255);="""" text-indent:="""" user-select:="""" text;="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" initial'•="""" bán="""" kính="""" 500m="""" đầy="""" đủ:="""" chợ,="""" bệnh="""" viện,="""" khu="""" đô="""" thị,="""" trường="""" học="""" từ="""" mầm="""" non="""" trở="""" lên,="""" siêu="""" thị="""" -="""" tiện="""" sinh="""" hoạt="""" đi="""" lại="""" vô="""" cùng.="""" span="""" p="""" pspan="""" mua="""" ở="""" hay="""" đầu="""" tư="""" đều="""" xứng="""" đáng,="""" vị="""" trí="""" đẹp="""" hiếm.="""" initial'="""">• Sổ đỏ chính chủ, không tranh chấp, không quy hoạch. ",09/06/2022,Tin thường,batdongsan_so_com_vn_1673820830.0256424,, 3
"11,999999 tỷ VNĐ",Đường Nguyễn Mậu Tài phường Trâu Quỳ, 62m2,,,,,"Tôi cần bán gấp lô đất mặt phố Nguyễn Mậu Tài kinh doanh sầm uất tại Trâu Quỳ, Gia Lâm, Hà Nội. Diện tích dất 62m2, mặt tiền rộng hơn 7m, đường trước nhà rộng 35m kinh doanh cực sầm uất, vỉa hè rộng. Giá bán thương lượng, phù hợp giá thị trường hiện tại, lộc lá cho khách thiện chí. Thông tin liên hệ: Mr. Dũng – 0398381708",09/06/2022,Tin thường,batdongsan_so_com_vn_1673820831.2194886,, 7
,"Khoang Mái, Đồng Trúc, Thạch Thất", 67.5m2, 12,,,,"Khách kẹt tiền bán lô đất Khoang Mái, Đồng Trúc ven CNC Hòa Lạc. Mặt trục chính Khoang Mái, cạnh khu biệt thự Đồng Trúc.Vị trí: Thôn Khoang Mái, xã Đồng Trúc, huyện Thạch Thất, Hà Nội.- Diện tích: 67,5m2.- Ngay mặt trục chính của thôn Khoang Mái, Đường rộng 10m.- Sẵn sổ đỏ, full thổ cư.- Nằm trong khu vực có hệ thống giao thông và hạ tầng tuyệt vời (Hình ảnh phía dưới).- Xung quanh bán kính 1km đều là quy hoạch đang xây dựng và chuẩn bị thi công. (Đường Vành đại CNC Hoà Lạc, Nhà máy in tiền Quốc gia, Nhà máy Rạng Đông,. ).- Nằm ngay cạnh khu vực dự án của VINGROUP (Dự án Metro 5 có ga nằm ngay hầm chui số 19, Khu dự án 500 ha, Nhà máy VinBiocare, VinSmart).- Khu vực trong tương lai sẽ được quy hoạch xây dựng thành các dãy nhà Biệt thự liền kề.LH: Anh/chị quan tâm hãy liên hệ cho em Hoàng 09788623329 ngay để trao đổi thông tin và hợp tác nhé!",09/06/2022,Tin thường,batdongsan_so_com_vn_1673820832.339491,, 5
"11,5 tỷ VNĐ","Hoa lâm , Long Biên, Hà Nội", 85m2,,,,,"Mô tả:+ Vị trí  đẹp nhất phố Hoa Lâm, trước nhà là trường học+ Nhà 2 mặt 3 ô tô tránh, đang kinh doanh nhà hàng,diện tích 85 m, 3,5 tầng, mặt tiền 5.5m.+ Thuận tiện giao thông , ô tô thông ra tất cả các đường việt Hưng , Lệ Mật, vinhone, BicC, nhà hàng Quốc Triệu…..+ Tầng 1 : phòng khách (mặt tiền đang cho thuê)+Tâng 2 : 2phòng ngủ+wc + Tầng 3 :2 phòng ngủ+wc+Trên cùng là sân phơi , phòng thờ+ Mua xong nếu tiếp tục cho thuê thì chủ có thể đi bên ngõ để oto thỏa    máiGiá 11.5 tỷ (thương lương chủ nhà).Xin liên hệ a Dũng để làm việc trực tiếp chủ nhàĐT hoặc zalo: 0988521921",09/06/2022,Tin thường,batdongsan_so_com_vn_1673820833.4176083,,
"3,45 tỷ VNĐ",Đường Ngọc Trì phường Thạch Bàn, 30m2, 4, 5, 3, 4,"+ Nhà mới 5 tầng, xây chắc chắn, rất đẹp, cảm xúc: Tầng 1: Khách, bếp, wc, sân xe. Tầng 2,3,4: Mỗi tầng 1 ngủ và 1wc. Tầng 5: Sân phơi, rooftop, ban thờ. + Vị trí: View vườn hoa chung cư Quân đội Thạch Bàn, ô tô đỗ trước vườn hoa rất thuận tiện, trường chợ rất gần, trung tâm Thạch Bàn, tiềm năng phát triển còn nhiều. Duy nhất, hiếm có nhà bán khu vực. + Xe oto có thể gửi bên sân khu tập thể Quân đội, ra đường oto 10m + Khu dân cư dân trí cao, an toàn thích hợp cho gia đình… - Sổ đỏ đẹp, vuông, giao dịch luôn. Chủ rất hợp tác. Giá nhỉnh 3 tỷ tốt nhất trong tầm giá Liên hệ: Em Luân: 0989 029 001",09/06/2022,Tin thường,batdongsan_so_com_vn_1673820834.4668002,, 3
