price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Hướng,Lộ giới
"3,1 tỷ VNĐ",Minh Khai - Hà Nội, 30m2,"- Vị trí đỉnh của đỉnh. Trước nhà ô tô tránh vèo vèo, kinh doanh nhỏ thoải mái hái ra tiền. Tuyến phố Minh Khai là một trong những tuyến phố huyết mạch đã quy hoạch ổn định và dần đi vào hoàn thiện giá trị khu vực chỉ có lên chứ không có xuống.  - Dân trí cao khu vực toàn cán bộ trí thức, thân thiện. Gần trường, chợ, siêu thị, An sinh môi trường cực tốt, ngay sát vách trường đại học Phương Đông, ba bước ra Bách Khoa, Xây Dựn, Kinh Tế Quốc Dân…… - Giao thông thuận tiện di chuyển cực nhanh ra Minh Khai, Phố 8/3, Thanh Nhàn, Kim Ngưu, Lò Đúc, Trần Khát Chân, Bạch Mai, Phố Huế…….- Sổ đỏ chính chủ, pháp lý chuẩn, giao dịch ngay. Chủ cực kỳ thiện trí giá trào 3.1 tỷ có ra lộc cho khách hữu duyên. Chi tiết LH: Nhật Nhà Đất  0977194820 (Chuyên Nhà đất Thổ cư với nguồn hàng Hơn 6000 Căn Nhà  Lớn nhỏ Từ 1 – 100 Tỷ trên khắp địa bàn Hà Nội luôn sẵn sàng giúp Khách hàng tìm được những căn nhà ưng ý nhất).Phương châm làm việc:-Tận Tâm, Uy tín , Chuyên nghiệp cái Tâm và cái Tầm đặt lên hàng đầu- Không kênh giá chủ nhà    - Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư vấn pháp lý.",10/03/2022,Tin thường,batdongsan_so_com_vn_1673830589.2210546,,,,,,
"2,8 tỷ VNĐ","Giải Phóng, Phương Mai", 30m2,"Bán nhà gần ngõ rộng 7m Giải Phóng, tiện ích xung quanh rất tốt cực thích hợp để ở, hưởng thụ, diện tích 30m2 x 5tầng, giá 2.8tỷ. ( có thương lượng ) -Nhà gần mặt ngõ rộng 7m Giải Phóng, xung xung có rất nhiều tiện ích như nhiều quán ăn, hàng tạp hoá, Bệnh Viện Tai Mũi Họng Trung Ương, rất thích hợp để ở lâu dài. -Gần ngõ to ô tô dừng đỗ 10m ra ô tô. -Tầng 1: bếp, để xe. -Tầng 2, 3, 4 mỗi tầng 1 phòng ngủ, 1 wc. -Tầng 5: phòng thờ, sân phơi. -Sổ đỏ chính chủ, sẵn sàng giao dịch. -Liên hệ Mr Sơn 0379491999 miễn trung gian môi giới làm phiền.",10/03/2022,Tin thường,batdongsan_so_com_vn_1673830590.4477737, 3, 5, 3, 3,,
14 tỷ VNĐ,Hà Nội, 75m2,"Bán gấp nhà phố Chùa Láng - SĐT: 0366 555 258.Mô tả: Diện tích 75m2, 6 tầng, mặt tiền 8 m, gara, thang máy. - Con phố Chùa Láng là đất học, thiên đường đại học, bởi đây là nơi tập trung của nhiều trường đại học lớn của Hà Nội.Đại học Ngoại Thương, Học viện Ngoại Giao và Học viện Thanh thiếu niên... - Chưa kể đó cũng là nơi tọa lạc của nhiều công viên, vườn hoa, bệnh viện đẳng cấp quốc tế… - Cũng chính vì vậy, nhu cầu nhà ở trong khu vực này là rất lớn. Nhưng thị trường có rất ít nhà bán, và thậm chí có bán cũng là những căn nhỏ xấu với giá rất đắt. - Tuy nhiên, em xin giới thiệu với mọi người một siêu phẩm duy nhất, độc quyền bán.Với mặt tiền lên tới 8 m, lô góc 2 mặt thoáng vĩnh viễn, 6 tầng chắc chắn, thiết kế đẹp, vào ở luôn.Trang bị toàn bộ nội thất và thang máy nhập khẩu, đảm bảo làm mê đắm bất cứ ai khi đặt chân tới chiêm ngưỡng.Thiết kế:Tầng 1: Phòng khách + Bếp + Vệ sinh.Tầng 2, 3, 4, 5: Nhiều phòng + Vệ sinh.Tầng 6: Sân phơi + Vườn hoa + Phòng gym. + Chủ thiện chí, giá để hợp lý chỉ 14 tỷ thương lượng sâu. + Nhà ngay mặt hồ, gần trường đại học, bệnh viện, cực kỳ tiện ích và an ninh.Anh chị em xem nhà liên hệ 24/7 - SĐT: 0366 555 258.",10/03/2022,Tin thường,batdongsan_so_com_vn_1673830591.5059407,,,,,,
"4,4 tỷ VNĐ",ngõ 559 Kim Ngưu, 45m2,"Bán nhà ngõ 559 Kim Ngưu Hai Bà Trưng , Hà Nội.Diện tích 45m2x 5 tầng xây mới, giá 4,4  tỷ . 2 mặt thoáng trước sau xây dựng khung cột bê tông, móng bè chắc chắn. Nội thất cao cấp, chính hãng, trang trí ấm cúng bắt mắt, trần thạch cao, cửa chính 2 lớp, cửa thông phòng và tay vịn cầu thang làm bằng gỗ lim._Thiết kế hiện đại bao gồm:- Tầng 1: sân để xe .Phòng Khách, vệ sinh, bếp ăn- Tầng 2,3,4 Mỗi tầng 2 phòng ngủ rộng, vệ sinh giữa.- Tầng 5: Phòng thờ,sân phơi -Vị trí đẹp  khu dân trí cao xung quanh nhiều tiện ích Giao thông thuận tiện,cách mặt phố Kim Ngưu 100m  thông sang  khu đô thị Times City đi nên phố cổ mất 5 phút gần bệnh viện Thanh Nhàn, bệnh viện Bạch mai, bệnh viện việt pháp gần nhiều trường cấp 1,cấp 2, cấp 3 và nhiều trường Đại Học nổi tiếng như Bách Khoa, Xây Dựng, Kinh Tế-sổ đỏ chính chủ pháp lý sạch giá 4,4 tỷ có thương lượng .liên hệ chị Yến ĐT:0702138238",04/03/2022,Tin thường,batdongsan_so_com_vn_1673830593.029864, 3, 5, 6,, Nam, 3
"21,9 tỷ VNĐ",ngõ 40 Tạ Quang Bửu Bách Khoa HBT Hà Nội, 168m2,"Chính chủ bán nhà Phân lô khu Giảng viên Đại Học Bách Khoa, mặt ngõ 40 Tạ Quang Bửu, hiện tại đang có nhà 4,5 tầng. Kinh doanh sầm uất, 2 mặt thoáng vĩnh viễn, trước nhà rộng phù hợp nhiều loại hình kinh doanh-Diện tích: 168m2x5T, mặt tiền gần 6m, nở hậu 6,8m- Gần các trường trọng điểm, top Quốc Gia: Mẫu giáo Bách Khoa, Cấp 1 Lê Văn Tám, Cấp 2 Ngô Gia Tự, Cấp 3 Thăng Long, Đại học Bách Khoa, Đại học Kinh Tế, Đại học Xây Dựng.- Khu dân trí cao, là khu nhà ở của cán bộ trường Đại học Bách Khoa, hàng xóm toàn giảng viên, giáo sư, tiến sĩ..- Bể bơi đối diện nhà cách 50m, sân vận động, công viên đi bộ đến nơi.- Nhà hướng Đông Nam mát mẻ.Sổ đỏ chính chủGiá: 21,9 tỷ có thương lượng liên hệ chị Yến ĐT:0702138238",07/03/2022,Tin thường,batdongsan_so_com_vn_1673830593.995283, 5, 5, 5, 4, Đông nam, 4
"4,25 tỷ VNĐ",ngõ 559 Kim Ngưu, 45m2,"Bán nhà ngõ 559 Kim Ngưu Hai Bà Trưng , Hà Nội.Diện tích 45m2x 5 tầng xây mới, giá 4.25  tỷ . 2 mặt thoáng trước sau xây dựng khung cột bê tông, móng bè chắc chắn. Nội thất cao cấp, chính hãng, trang trí ấm cúng bắt mắt, trần thạch cao, cửa chính 2 lớp, cửa thông phòng và tay vịn cầu thang làm bằng gỗ lim._Thiết kế hiện đại bao gồm:- Tầng 1: sân để xe .Phòng Khách, vệ sinh, bếp ăn- Tầng 2,3,4 Mỗi tầng 2 phòng ngủ rộng, vệ sinh giữa.- Tầng 5: Phòng thờ,sân phơi -Vị trí đẹp  khu dân trí cao xung quanh nhiều tiện ích Giao thông thuận tiện,cách mặt phố Kim Ngưu 100m  thông sang  khu đô thị Times City đi nên phố cổ mất 5 phút gần bệnh viện Thanh Nhàn, bệnh viện Bạch mai, bệnh viện việt pháp gần nhiều trường cấp 1,cấp 2, cấp 3 và nhiều trường Đại Học nổi tiếng như Bách Khoa, Xây Dựng, Kinh Tế-sổ đỏ chính chủ pháp lý sạch giá 4.25 tỷ có thương lượng .liên hệ chị Yến ĐT:0702138238",07/03/2022,Tin thường,batdongsan_so_com_vn_1673830595.1392555, 3, 5, 6, 4, Nam, 3
"4,3 tỷ VNĐ",ngõ 104 Nguyễn An Ninh, 40m2,"Chuyển đổi tôi cần bán nhà  mới xây được 2 năm ngõ 104 Nguyễn An Ninh đi thông sang 176 Trương Định, Hai Bà Trưng,Hà Nội.DT 40m2 x 5 tầng, giá 4.3 tỷ.Nhà xây dựng 40m2 x 5 tầng,  nhà đẹp không lỗi phong thủy. Thiết kế có giếng trời lấy ánh sáng và không khí vào phòng. để lại toàn bộ nội thất.-Thiết kế bao gồm - Tầng 1: Phòng khách, bếp ăn riêng biệt, WC.- Tầng :2,3: Mỗi tầng 2 phòng rộng, 1 WC.- Tầng 4:1 phòng ngủ, phòng thờ-Tần 5: sân phơi và vườn trồng cây.Khu dân trí cao, an ninh tốt, hàng xóm thân thiện, tiện chợ gần trường học bệnh viện, cách ĐH Kinh Tế, Bách Khoa, Xây Dựng 1km, ngõ trước nhà 2 xe tránh nhau thoải mái.Sổ đỏ chính chủ. Giá 4.3 tỷ (có thương lượng) Liên hệ chị Yến ĐT:0702138238",10/03/2022,Tin thường,batdongsan_so_com_vn_1673830596.2093592, 3, 5, 5, 3, Tây, 3
"3,75 tỷ VNĐ",Tràng Cày- Huyền Kỳ Hà Đông, 49m2,"- Chính chủ bán lô Dv2 - Lk 64 Tràng Cầy - Huyền Kỳ - Phú Lãm - Hà Đông.- Diện tích 49m2. Đường 12m cả vỉa hè cây xanh. Mt 4m. Vuông đẹp.- Khu đất dịch vụ nên dân trí cao nhiều tiện ích, công viên trường học cây xanh.- Liên hệ chính chủ Mr. Khắc Anh",10/03/2022,Tin thường,batdongsan_so_com_vn_1673830597.210727, 4,,,, Tây bắc,
80 tỷ VNĐ,Quận hai bà trưng, 155m2,"Chủ chuyển hướng đầu tư, cần tiền nên muốn nhượng lại tòa nhà văn phòng còn mới. Thiết kế 11 tầng thông sàn, 9 tầng nổi + 2 tầng hầm. Mặt phố trung tâm quận Hai Bà Trưng.Đã có GPXD và hoàn công đầy đủ.Hiện đang cho 1 bên thuê làm spa với giá 180 triệu/tháng (HĐ 10 năm)Diện tích: 155m2 x 11 tầng, mặt tiền 8mGiá: 80 tỷ (CÒN THƯƠNG LƯỢNG, LÀM VIỆC TRỰC TIẾP CHỦ NHÀ)BUILDING MẶT PHỐ CỔ - QUẬN TRUNG TÂM - CÓ HẦM - KINH DOANH MỌI LOẠI HÌNHLiên hệ xem nhà và nhận thông tin chi tiết: 0981367887- Thửa đất vuông đẹp, sổ pháp lý chuẩn cất két sẵn sàng giao dịch",10/03/2022,Tin thường,batdongsan_so_com_vn_1673830598.3107374, 8, 10,,,, 15
9 tỷ VNĐ,Liền Kề Văn Phú, 50m2,"- Cần bán Lk Văn Phú Hà Đông. Diện tích 50m2. nhà 5 tầng do dân xây tốt, hướng tây bắc, mặt tiền rộng 5m. Ô tô vào nhà, đường trước mặt 13m cả vỉa hè cây xanh.- Vị trí đẹp có thể kinh doanh các mặt hàng, tạp hóa ... Khu có dân trí cao người qua tấp nập, gần trường học cấp 1 cấp 2, cấp 3 , chợ Văn Phú, Vinmart, xe bus. - Gần đường Quang Trung Lê Trọng Tấn ...- Nhà 5 tầng.+ Tầng 1: Thông phòng kinh doanh, để xe, vệ sinh.+ Tầng 2: Phòng khách bếp vệ sinh+ Tầng 3+4: Phòng ngủ + vệ sinh+ Tầng 5: Phòng thờ sân phơi, phòng kho- Liên hệ Mr. Khắc Anh để biết thêm thông tin. ",10/03/2022,Tin thường,batdongsan_so_com_vn_1673830599.5524154, 5, 5, 4, 4, Tây bắc,
