price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Lộ giới,Số toilet,Hướng
"6,3 tỷ VNĐ",Ngô Quyền, 53m2, 5, 1, 1,"NGÔ QUYỀN HÀ ĐÔNG – PHÂN LÔ ÔTÔ – Bán Đất 59m2 x MT 5,3m. Giá nhỉnh 6 tỷ.  Thông số: DT 59m2 x MT 5.3m. Đất Phân lô về xây 5 tầng, thang máy, ô tô vào trong nhà, 2 mặt thoáng vĩnh viễn. Giá chỉ nhỉnh 6 tỷ. Giao thông thuận lợi, ngõ to, đường chia nhiều ngả, một nơi yên tĩnh để nghỉ ngơi sau một ngày làm việc vất vả. ✅ Sổ đỏ NỞ HẬU chính chủ cất két, giao dịch ngay.Chủ cực thiện chí bán. ☎️ LH NGỌC SƠN 0812316789 ( Thổ Cư HÀ ĐÔNG ). + Miễn phí xem nhà, hỗ trợ vay vốn ngân hàng, hỗ trợ pháp lý 24/7, thủ tục nhanh gọn…  Xin cám ơn quý khách đã xem bài đăng!",03/11/2022,Tin thường,batdongsan_so_com_vn_1673790408.9791474,,,
"6,3 tỷ VNĐ",Ngô Quyền, 53m2, 5, 1, 1,"NGÔ QUYỀN HÀ ĐÔNG – PHÂN LÔ ÔTÔ – Bán Đất 59m2 x MT 5,3m. Giá nhỉnh 6 tỷ.  Thông số: DT 59m2 x MT 5.3m. Đất Phân lô về xây 5 tầng, thang máy, ô tô vào trong nhà, 2 mặt thoáng vĩnh viễn. Giá chỉ nhỉnh 6 tỷ. Giao thông thuận lợi, ngõ to, đường chia nhiều ngả, một nơi yên tĩnh để nghỉ ngơi sau một ngày làm việc vất vả. ✅ Sổ đỏ NỞ HẬU chính chủ cất két, giao dịch ngay.Chủ cực thiện chí bán. ☎️ LH NGỌC SƠN 0812316789 ( Thổ Cư HÀ ĐÔNG ). + Miễn phí xem nhà, hỗ trợ vay vốn ngân hàng, hỗ trợ pháp lý 24/7, thủ tục nhanh gọn…  Xin cám ơn quý khách đã xem bài đăng!",03/11/2022,Tin thường,batdongsan_so_com_vn_1673790410.641699,,,
"6,3 tỷ VNĐ",Ngô Quyền, 53m2, 5, 1, 1,"NGÔ QUYỀN HÀ ĐÔNG – PHÂN LÔ ÔTÔ – Bán Đất 59m2 x MT 5,3m. Giá nhỉnh 6 tỷ.  Thông số: DT 59m2 x MT 5.3m. Đất Phân lô về xây 5 tầng, thang máy, ô tô vào trong nhà, 2 mặt thoáng vĩnh viễn. Giá chỉ nhỉnh 6 tỷ. Giao thông thuận lợi, ngõ to, đường chia nhiều ngả, một nơi yên tĩnh để nghỉ ngơi sau một ngày làm việc vất vả. ✅ Sổ đỏ NỞ HẬU chính chủ cất két, giao dịch ngay.Chủ cực thiện chí bán. ☎️ LH NGỌC SƠN 0812316789 ( Thổ Cư HÀ ĐÔNG ). + Miễn phí xem nhà, hỗ trợ vay vốn ngân hàng, hỗ trợ pháp lý 24/7, thủ tục nhanh gọn…  Xin cám ơn quý khách đã xem bài đăng!",03/11/2022,Tin thường,batdongsan_so_com_vn_1673790415.2487576,,,
"8,25 tỷ VNĐ","Đường Đội Nhân, Cống Vị, Ba Đình", 45m2, 5, 3, 3,"
    BÁN NHÀ NGÕ 518 ĐỘI CẤN, BA ĐÌNH, HN - RỘN RÀNG ĐÓN TẾTGIÁ BÁN: 8,25 tỷ ( thương lượng)Vị trí: Phố Đội Cấn, Phường Cống Vị, Quận Ba Đình, Hà Nội + Tầng 1 đang cho thuê kinh doanh nối mi*** PHÙ HỢP KINH DOANH – ĐẦU TƯ LÂU DÀI                                                                                                                                                 + Nhà Lô góc 3 mặt thoáng,khoảng không sân trước sau và bên trái .Gd tự xây để ở nên rất chắc chắn. + Ngõ ô tô tránh,để xe ngày đêm thông sang Phan Kế Bính, Linh Lang. Khu vực trung tâm Ba Đình, nhiều cán bộ cấp cao và người Nhật - Hàn sinh sống.+ Trung tâm Hà Nội tiện ích xung quanh không thiếu gì phục vụ nhu cầu sinh hoạt hàng ngày= Diện tích: 45m2 ngang 5,17m chiều dài 11,1m . Diện tích sử dụng là 70m2                                                             = Hướng đông, không vướng quy hoạch= Pháp lý: Sổ hồng chính chủ ,sang tên nhanh chóng    Gọi ngay: 0929156886 trực tiếp thỏa thuận.
",03/11/2022,Tin thường,batdongsan_so_com_vn_1673790416.6679616, 4, 2,
75 tỷ VNĐ,"Đường Phố Huế, Hàng Bài, Hoàn Kiếm", 180m2, 7, 3, 4, + Chủ nhờ bán gấp nhà mặt phố huế quận Hoàn Kiếm  + Thửa đất đẹp diện tích rộng phù hợp xây khách sạn tòa nhà văn phòng vị trí quá đỉnh đẹp nhất của Phố Huế  + Sổ chính chủ chờ giao dịch  + Giá bán thương lượng  + Xem nhà liên hệ Msr Phương mặt phố  ,03/11/2022,Tin thường,batdongsan_so_com_vn_1673790417.996407, 30, 4,
4 tỷ VNĐ,"Đường Phú Đô, Mỹ Đình 1, Nam Từ Liêm", 40m2, 5, 5, 6," Chính chủ cần bán nhà phố Phú Đô,quận Nam Từ Liêm, diện tích xây dựng 45m3x4,5 tầng. + Nhà trong ngõ rộng,ô tô vào nhà, nhà đẹp chính chủ nhà xây, kinh doanh tốt. + Gần trường Tiểu học, THCS Phú Đô, Gần bệnh viện quốc tế Hồng Ngọc, gần bến xe khách Mỹ Đình,…vv + Giá nhỉnh 4 tỷ. LH; ANH BẮC .chuyên Bất động sản, nhà đất Hà Nội dẫn khách và tư vấn miển phí 24/7. ",03/11/2022,Tin thường,batdongsan_so_com_vn_1673790419.7337584, 4,,
"13,8 tỷ VNĐ","Bán nhà mặt ngõ kinh doanh Võ Chí Công, Lạc Long Quân, Hoàng Quốc Việt, Nghĩa Đô, Cầu Giấy", 60m2, 4, 7, 5,"Bán nhà mặt ngõ kinh doanh Võ Chí Công, Lạc Long Quân, Hoàng Quốc Việt, Nghĩa Đô, Cầu Giấy, diện tích 60 m2, mặt tiền 4 m, nhà xây dừng 7 tầng cầu thang máy mới tinh gia đình xây để ở nên làm rất cẩn thận nay gia đình có việc nên muốn bán, nhà được thiết kế trang trí hợp lý sang trọng nhà sàn gỗ nhập khẩu cầu thang máy cầu thang bộ thiết bị wc cao cấp tiện nghi đầy đủ, tầng 1 thiết kế gara để xe, wc, kinh doanh, tầng 2 + 3 + 4 + 5 thiết kế 1p rộng, wc, tầng 6 thiết kế bếp ăn, phòng khách, wc, tầng 7 thiết kế phòng thờ sân phơi chỗ để máy giặt, nhà nằm trên mặt ngõ vị trí đẹp kinh daonh hoặc làm vp công ty, nhà cách chợ Bười 150 m, giao thông đi lại thuận tiện, sđcc, giá bán 13,8 tỷ. Liên hệ chủ nhà Anh Toàn 0981720298.",03/11/2022,Tin thường,batdongsan_so_com_vn_1673790421.7364116, 5, 6, Tây nam
"18,5 tỷ VNĐ","Hoa Bằng, Nguyễn Khang", 75m2, 4, 6, 10,"Chính chủ cần bán nhà mặt phố Hoa Bằng, Nguyễn Khang dt 75 m2 x 6 t mt 4,5 m mới đẹp Khu vực: Bán nhà mặt phố tại Đường Hoa Bằng - Quận Cầu Giấy - Hà Nội
Giá: 18.5 Tỷ Diện tích: 75 m²

Thông tin mô tả
Chính chủ bán mặt phố Hoa Bằng, Q Cầu Giấy, 7 tầng thang máy, 75m2, mặt tiền 4,5m.Đường Hoa Bằng, Phường Yên Hòa, Cầu Giấy,Thông tin mô tả.Nhà mặt phố - 7 tầng thang máy - vỉa hè - ô tô tránh - kinh doanh sầm uất ngày đêm.Mô tả:+ Nhà 7 tầng mới xây 2019 KCBT vững chắc.- Tầng 1: Thông sàn, WC, kinh doanh.- Tầng 2, 3, 4 mỗi tầng 2 phòng, WC.- Tầng 5: Bếp, phòng ăn.- Tầng 6: Phòng thờ, sân tiểu cảnh, WC.- Tầng 7: Tum, sân phơi.+ Sổ đỏ chính chủ vuông vắn, sẵn sàng giao dịch.Liên hệ chính chủ 0981 720 298.

",03/11/2022,Tin thường,batdongsan_so_com_vn_1673790424.8281322, 7, 10, Tây bắc
"2,05 tỷ VNĐ",Bán nhà ngõ 215 Tô Hiệu, 90m2,, 5, 3,"Bán nhà ngõ 215 Tô Hiệu dt 90 m2, 3 ngủ, 2 wc, nội thất đầy đủ giá 2,05 tỷ còn đẹp Khu vực: Bán căn hộ chung cư tại Đường Tô Hiệu - Quận Cầu Giấy - Hà Nội
Giá: 2.05 Tỷ Diện tích: 90 m²

Thông tin mô tả
Bán nhà tập thể Nghĩa Tân, đường Tô Hiệu, Cầu Giấy. Diện tích 90m2, xây 2 tầng, 3 phòng ngủ, 1 phòng khách, 1 phòng bếp riêng biệt, có 2 vệ sinh, không gian thoáng mát, tất cả các phòng đều có cửa sổ, giao thông thuận tiện gần các trường mầm non, trường học cấp 1,2,3 Nghĩa Tân, trường cấp 1 Dịch Vọng A, gần công viên Nghĩa Đô, sổ đỏ đầy đủ, giá bán nhỉnh 2 tỷ. Liên hệ anh Toàn 0981 720 298.

",03/11/2022,Tin thường,batdongsan_so_com_vn_1673790426.6741934, 5, 2, Bắc
4 tỷ VNĐ,ngõ 195 phố Trần Cung, 47m2, 3, 2, 3,"Bán nhà 1,5 tầng ngõ 195 phố Trần Cung dt 47 m2, mặt tiền 3,7 m giá bán 85 tr/m2 Khu vực: Bán nhà riêng tại Phố Trần Cung - Quận Bắc Từ Liêm - Hà Nội
Giá: 85 Triệu/m² Diện tích: 47 m²

Thông tin mô tả
Bán nhà 1,5 tầng ngõ 195 phố Trần Cung, Cổ Nhuế 1, Bắc Từ Niêm, mặt tiền 3,7 m, diện tích sổ đỏ 47 m2, nhà nằm trong khu đất của Bộ Công An, gần bệnh viện E. An ninh tốt trong khuôn viên TT Bộ Công An, môi trường sống yên tĩnh. Giấy tờ sđcc. Giá bán 85 tr/m2, có thương lượng.Liên hệ Anh Toàn 0981.720.298.

",03/11/2022,Tin thường,batdongsan_so_com_vn_1673790428.8533642, 2, 2, Đông nam
