price,address,Diện tích,Hướng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số tầng
"1,2 tỷ VNĐ","Tọa lạc quốc lộ 32, Lai Xá, Kim Chung, quận Hoài Đức, Hà Nội", 70m2, Đông nam, 2, 2,"*** Dự án nhà ở xã hội - Nhận nhà ở ngay-Là một trong những khu đô thị mới, đáng sống trong tương lai-Nằm trên đường QL32-Cách trường Đh Công Nghiệp 700m-Giao thông thuận tiện-Tiện ích đầy đủ-Bàn giao nội thất nguyên bản-Giá tốt nhất khu vực-Thanh toán 50% nhận nhà về ởLiên hệ xem nhà Em Vân Anh: 0977.568.223",16/11/2022,Tin thường,batdongsan_so_com_vn_1673787599.519614,,,
"7,5 tỷ VNĐ",Thanh Xuân, 54m2,,,,"- Chủ nhiều tuổi cần bán gấp nhà Vũ Tông Phan định cư Mỹ cùng con cháu:+ Diện tích: 54 m.+ Mặt tiền: 4,8 m.+ Sổ đỏ phân lô, chính chủ.+ Giá bán: 7,5 tỷ. - Vị trí: + Trước nhà ngõ ô tô, thông, gần bãi đỗ xe.+ Sau nhà khu phân lô phường Khương Đình.+ Đầu phố Vũ Tông Phan, gần nút giao thông Ngã Tư Sở cửa ngõ Thủ đô. - Khu vực:  + Giáp ranh đường vành đai 2 và vành đai 3 di chuyển các quận lân cận rất dễ dàng.+ Trung tâm Thanh Xuân cơ sở hạ tầng đầy đủ.+ Tiềm năng phát triển mạnh, giá đất tăng cao.- Thiết kế:+ Nhà hai thoáng Phong Thủy tốt.+ Phong cách hiện đại tối ưu hóa công năng sử dụng có ô chờ thang máy.+ Tổng 6 ngủ, bếp, phòng khách đặc biệt khu tiểu cảnh đẹp như khách sạn 5*.- Nhà phù hợp nhiều đối tượng khách hàng:+ Mua để ở.+ Vừa ở vừa kinh doanh.+ Đầu tư lướt sóng.  - Liên hệ: Mr hải, 48 tuổi, 0946 921 974. (Anh, chị, em Môi giới, QC xin không làm phiền).",16/11/2022,Tin thường,batdongsan_so_com_vn_1673787600.813152,,,
"2,7 tỷ VNĐ","Đường Tây Mỗ, Tây Mỗ, Nam Từ Liêm", 58m2,,,,"+ Nhà trung tâm Quận Nam Từ Liêm, gần với Đại Mỗ, gần sân vận Động Mỹ Đình, Mễ Trì. Ngay sát Vincom Smart City hưởng trọn tiện ích.  + Nhà chỉ cách 20m ra mặt ngõ ô tô, ngõ trước nhà gần 3m. Vài bước ra siêu thị, ra chợ.  + Chủ tách thửa phần vuông đẹp nhất, 2 thoáng cho khách. 42m2. Lối đi riêng 16m2. Sẵn nhà C4 còn mới đẹp ở được ngay.  Hoặc phương án bán cả mảnh với thông số là 95 C4 14 6.1 tỷ. + Vị trí đẹp này xây Phân Lô hay CCMN cực đỉnh. Mua giữ tiền. Xây nhà vườn, biệt thự...đều hết ý.  Sổ đỏ chính chủ, pháp lý chuẩn. + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7  ",16/11/2022,Tin thường,batdongsan_so_com_vn_1673787601.8314614, 6,,
8 tỷ VNĐ,Tân Mai, 60m2,,,,"S.I.Ê.U P.H.Ẩ.M TÂN MAI 8 Tầng THANG Máy, đang cho thuê ỔN ĐỊNH 50 TR/THÁNG. Lh 0986.270.765Nhà cách mặt phố ô tô tránh 30, Khu vực sầm uất, tiện ích bạt ngàn,dân cư đông đúc, gần nhiều trường Đại học, giao thông thuận tiện, gần hồ, gần siêu thị, gần chợ lớn.Sổ đỏ chính chủ sẵn sàng giao dịch.LH: 0986.270.765 (Mr Vượng) để được xem nhà.",16/11/2022,Tin thường,batdongsan_so_com_vn_1673787603.2297206,,,
"2,7 tỷ VNĐ","Đường Hoa Bằng, Quan Hoa, Cầu Giấy", 26m2,, 3,,"+ Ngôi nhà vuông đẹp, bé xinh có vị trí cực đẹp, 10m ra ô tô tránh đỗ. + Nhà rất gần vài bước ra đến đường ô tô. Đi từ Dương Đình Nghệ vào cực gần. Tương lai quy hoạch sáng ngời.   + Thiết kế:  - Tầng 1: Bếp, khách - Tầng 2: 1 phòng ngủ, vệ sinh - Tầng 3: 1 phòng ngủ, vệ sinh - Tầng 4: Phòng thờ, sân phơi. + Chủ thiện chí bán sớm mua nhà lớn hơn cho con trai lấy vợ.  + Sổ đỏ chính chủ, vuông đẹp. + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7",16/11/2022,Tin thường,batdongsan_so_com_vn_1673787604.6626947, 4, 3, 4
"2,7 tỷ VNĐ","Đường Hoa Bằng, Quan Hoa, Cầu Giấy", 26m2,, 3,,"+ Ngôi nhà vuông đẹp, bé xinh có vị trí cực đẹp, 10m ra ô tô tránh đỗ. + Nhà rất gần vài bước ra đến đường ô tô. Đi từ Dương Đình Nghệ vào cực gần. Tương lai quy hoạch sáng ngời.   + Thiết kế:  - Tầng 1: Bếp, khách - Tầng 2: 1 phòng ngủ, vệ sinh - Tầng 3: 1 phòng ngủ, vệ sinh - Tầng 4: Phòng thờ, sân phơi. + Chủ thiện chí bán sớm mua nhà lớn hơn cho con trai lấy vợ.  + Sổ đỏ chính chủ, vuông đẹp. + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7",16/11/2022,Tin thường,batdongsan_so_com_vn_1673787606.0569654, 4, 3, 4
"8,5 tỷ VNĐ","Đường Quốc lộ 3, Đông Anh, Đông Anh", 80m2,,,,"
    




Bán đất, nhà 6 tầng, có ô chờ thang máy, Đường rộng 2 ô tô tránh,giá 8,5tỷ. Thị trấn Đông Anh.Vị trí vàng đúng ngã tư ô tô 1/5 Đông Anh. Đường rộng 10m, 2 làn ô tô tránh rộng thênh thang khu vực trung tâm của của Thị trấn Đông Anh, Khu vực đân trí cao, an ninh tốt, kinh doanh mọi loại hình dịch vụ, với đầy đủ tiện ích xung quanh như: Bệnh viện Bắc Thăng Long; UBND thị trấn Đông Anh, Chợ......Nhà 8 phòng ngủ + vệ sinh khép kín; Chủ cần bán gấp để chuyển sang nước ngoài sinh sống cùng các con, cháu càng sớm càng tốt;Sổ đỏ cất két, sẵn sàng giao dịch;ACE có nhu cầu ib và liên hệ: Mr Hải Phúc 0868218822
",16/11/2022,Tin thường,batdongsan_so_com_vn_1673787607.4632027, 5,,
"3,8 tỷ VNĐ",Xuân Phương, 45m2,, 6, 4,"KHU VỰC ĐÔNG DÂN CƯ – DÂN TRÍ CAP - NHU CẦU THUÊ TRỌ CAO + Vị trí:cách đường Xuân Phương khoảng 150, 50m ra đường ô tô, gần các trường đại học lớn như Đại học Công Nghiệp Hà Nội, đại học Thành Đô, cao đẳng FPT,... + Giao thông: Gần Quốc lộ 32, đường Trịnh Văn Bô, Phương Canh, Vân Canh, Tây Mỗ, Di Trạch, Hoài Đức,... + Thiết kế: Hiện trạng nhà  5 tầng, 6 phòng ngủ -T1: Phòng khách + bếp-T2,3,4: Mỗi tầng 2 ngủ + WC-T5: Sân phơi + Sổ đỏ vuông đẹp chính chủ sẵn sàng giao dịch, chủ nhà thiện chí. + Liên hệ E.Trường: 0373680538 để được tư vấn và xem nhà miễn phí.",16/11/2022,Tin thường,batdongsan_so_com_vn_1673787608.557276,,, 5
"5,9 tỷ VNĐ","Đường Nguyễn Ngọc Vũ, Trung Hòa, Cầu Giấy", 45m2,, 6,,"+ Chính chủ cần bán nhà, Phố Nguyễn Ngọc Vũ, Phường Trung Hòa, Quận Cầu Giấy,diênj tích 45m2x5 tầng mặt tiền rộng, giá 5,9 tỷ.  +Nhà vị trí đắc địa, ngõ nông thoáng thông ra Lê Văn Lương, cách 5m ô tô dừng đỗ, nhà gần hồ điều hòa, nhà văn hóa, chợ... rất thuận tiện.  + Nhà xây 5 tầng, thiết kế hiện đại, cầu thang sàn gỗ, lô góc nên phòng nào cũng mở cửa thoáng sáng.  + Thiết kế: - Tầng 1: Phòng khách, bếp, wc. - Tầng 2,3,4: Chia 2 phòng, vs giữa. - Tầng 5: Phòng thờ, sân phơi. + Sổ đỏ vuông đẹp sẵn sàng giao dịch. + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất,thổ địa hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7  ",16/11/2022,Tin thường,batdongsan_so_com_vn_1673787609.6623662, 5, 5, 5
"5,9 tỷ VNĐ","Đường Nguyễn Ngọc Vũ, Trung Hòa, Cầu Giấy", 45m2,, 6,,"+ Chính chủ cần bán nhà, Phố Nguyễn Ngọc Vũ, Phường Trung Hòa, Quận Cầu Giấy,diênj tích 45m2x5 tầng mặt tiền rộng, giá 5,9 tỷ.  +Nhà vị trí đắc địa, ngõ nông thoáng thông ra Lê Văn Lương, cách 5m ô tô dừng đỗ, nhà gần hồ điều hòa, nhà văn hóa, chợ... rất thuận tiện.  + Nhà xây 5 tầng, thiết kế hiện đại, cầu thang sàn gỗ, lô góc nên phòng nào cũng mở cửa thoáng sáng.  + Thiết kế: - Tầng 1: Phòng khách, bếp, wc. - Tầng 2,3,4: Chia 2 phòng, vs giữa. - Tầng 5: Phòng thờ, sân phơi. + Sổ đỏ vuông đẹp sẵn sàng giao dịch. + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất,thổ địa hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7  ",16/11/2022,Tin thường,batdongsan_so_com_vn_1673787610.614859, 5, 5, 5
