price,address,Diện tích,Mặt tiền,Lộ giới,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Số toilet,Hướng
450 triệu VNĐ,"Đường Bà Triệu, Bùi Thị Xuân, Hai Bà Trưng", 65m2, 6, 6," Bán nhà mặt phố Bà Triệu, HBT,HN
 DT 65m2, MT 6m, thông số building, toà văn phòng, dòng tiền rất ổn.
 Phố Cổ Bà Triệu đã ổn định quy hoạch, trường tồn theo năm tháng, mua giữ tiền, cho con cho cháu.
 70% giá trị BĐS nằm ở thổ cư, tài sản chỉ tăng, ko bao giờ giảm. 
 Cầm vàng còn sợ vàng rơi, cầm tờ A4 đời đời ấm no !

TẤC ĐẤT , TẤC VÀNG ",09/12/2022,Tin thường,batdongsan_so_com_vn_1673783996.4443974,,,,
"11,9 tỷ VNĐ","Thanh Xuân, Hà Nội", 92m2,,,"Cần bán nhà Khương Trung, Thanh Xuân:+ Diện tích: 92 m² X 5 tầng.+ Mặt tiền: 6 m.+ Giá: 11,9 tỷ.+ Vị trí: Lô góc, trước nhà ô tô tránh thông nhiều ngả, phía sau khoảng sân rộng thoáng sáng .+ Khu vực đông dân cư đi lại, kinh doanh tấp nập.+ Thiết kế:– Tầng 1: Phòng khách, bếp, WC.– Tầng 2, 3, 4: Mỗi tầng 2 phòng ngủ– Tầng 5: Phòng thờ, sân phơi, khu tiểu cảnh bàn trà.+ Sổ đỏ chính chủ, sạch đẹp, vuông như tờ A4, giao dịch đễ dàng.+ Giá bán: 11,9 tỷ.+ Liên hệ: Mr Hải, 0946.921.974. Chuyên gia tư vấn, mua bán Bất động sản khu vực: Cù Chính Lan, Hà Kế Tấn, Hồ Rùa, Hoàng Văn Thái, Lê Trọng Tấn, Nguyễn Lân, Nguyễn Ngọc Nại, Nguyễn Trãi, Nguyễn Văn Trỗi, Nguyễn Viết Xuân, Phương Liệt, Tô Vĩnh Diện, Trần Điền,  Trịnh Đình Cửu, Trường Chinh,Đường Vành Đai 2, Đường Vành Đai 3, Vũ Tông Phan, Vương Thừa Vũ,… (Anh, chị, em Môi giới, QC xin không làm phiền).",09/12/2022,Tin thường,batdongsan_so_com_vn_1673783997.528504,,,,
"14,5 tỷ VNĐ",Trần Cung Cầu Giấy Hà Nội, 55m2, 4,,"- Diện tích 55m2 X7 tầng. Mặt tiền 4.1m Giá bán 14.5 tỷ ( có thương lượng )- Vị trí nằm trên phố Trần Cung giao thông đi lại thuận tiên, ngõ ô tô tránh, kinh doanh Online, Văn phòng tuyệt vời - Thiết kế 7 tầng hiện đại, nội thất xịn sò, thang máy nhập khẩu! + Tầng 1: Gara, bếp!+ Tầng 2,3,4,5: dùng để ở+ Tầng 6: Phòng thờ, sân phơi.+ Tầng 7: Tum!  - Tiện ích đầy đủ, vài bước ra chợ, trường học các cấp, Đại học lớn xung quanh! - Khu vực dân trí cao, hàng xóm thân thiện, an ninh đảm bảo tuyệt đối. - Giao thông kết nối : Nguyễn Phong Sắc, Hoàng Quốc Việt, Trần Cung! - Sổ chính chủ, vuông vắn, sẵn sàng giao dịch! Liên hệ em Quân để được tư vấn và xem nhà! 0385 94 1802 Miễn ) TG Quảng Cáo )",09/12/2022,Tin thường,batdongsan_so_com_vn_1673783998.4849396, 7, 8, 8,
"11,9 tỷ VNĐ","Thanh Xuân, Hà Nội", 92m2, 6,,"Cần bán nhà Khương Trung, Thanh Xuân:+ Diện tích: 92 m² X 5 tầng.+ Mặt tiền: 6 m.+ Giá: 11,9 tỷ.+ Vị trí: Lô góc, trước nhà ô tô tránh thông nhiều ngả, phía sau khoảng sân rộng thoáng sáng .+ Khu vực đông dân cư đi lại, kinh doanh tấp nập.+ Thiết kế:– Tầng 1: Phòng khách, bếp, WC.– Tầng 2, 3, 4: Mỗi tầng 2 phòng ngủ– Tầng 5: Phòng thờ, sân phơi, khu tiểu cảnh bàn trà.+ Sổ đỏ chính chủ, sạch đẹp, vuông như tờ A4, giao dịch đễ dàng.+ Giá bán: 11,9 tỷ.+ Liên hệ: Mr Hải, 0946.921.974. Chuyên gia tư vấn, mua bán Bất động sản khu vực: Cù Chính Lan, Hà Kế Tấn, Hồ Rùa, Hoàng Văn Thái, Lê Trọng Tấn, Nguyễn Lân, Nguyễn Ngọc Nại, Nguyễn Trãi, Nguyễn Văn Trỗi, Nguyễn Viết Xuân, Phương Liệt, Tô Vĩnh Diện, Trần Điền,  Trịnh Đình Cửu, Trường Chinh,Đường Vành Đai 2, Đường Vành Đai 3, Vũ Tông Phan, Vương Thừa Vũ,… (Anh, chị, em Môi giới, QC xin không làm phiền).",09/12/2022,Tin thường,batdongsan_so_com_vn_1673783999.6438484,,,,
25 tỷ VNĐ,"Đường Cầu Giấy, Dịch Vọng, Cầu Giấy", 100m2, 6, 4,"CHÍNH CHỦ CẦN BÁN TÒA CHUNG CƯ MINI 8 TẦNG, XÂY MỚI TẠI CẦU GIẤY- NHÀ DO CHÍNH TAY TÔI TỰ THIẾT KẾ VÀ XÂY DỰNG TỈ MỈ - GỒM 40 PHÒNG KHÉP KÍN ĐẦY ĐỦ NỘI THẤT - CHO THUÊ ĐẠT 200 TRIỆU/THÁNG - CÓ THANG MÁY, THANG BỘ, THANG THOÁT HIỂM, HỆ THỐNG PCCC ĐẦY ĐỦ
 VỊ TRÍ ĐẮC ĐỊA: NHÀ NẰM Ở MẶT NGÕ, GẦN CHỢ, MẦM NON, TRƯỜNG HỌC
===============
 LH TRỰC TIẾP CHO TÔI: 0986 310 050 (Ms HỒNG)
 Có đầy đủ: Sổ đỏ chính chủ, Giấp phép xây dựng, Hồ sơ thiết kế
 DIỆN TÍCH: 120m2 x 8 tầng - Gồm 40 phòng khép kín riêng biệt (Đã bao gồm full nội thất)
 MÔ TẢ CHI TIẾT:
+ Tầng 1: Nhà Xe Rộng + 02 Phòng Khép Kín
+ Tầng 2,3,4,5,6,7: Mỗi Tầng 06 Phòng Khép Kín
+ Tầng 8: 02 Phòng Khép Kín + Sân Phơi + Khu Giặt
GIÁ BÁN: 25 TỶ CÓ THƯƠNG LƯỢNG (BAO GỒM: NHÀ ĐÃ FULL KHÁCH THUÊ, FULL NỘI THẤT, CHI PHÍ SANG TÊN SỔ ĐỎ CHO KHÁCH HÀNG)
---------------------
",09/12/2022,Tin thường,batdongsan_so_com_vn_1673784000.7728658, 8, 28, 29,
52 tỷ VNĐ,Chính chủ cần bán gấp tòa nhà Căn Hộ Tại Phố Nghĩa Đô ngõ 100 cũ Hoàng Quốc Việt Phường Nghĩa Đô Cầu Giấy dt 150  m2 giá 52 tỷ, 150m2, 8, 20,"Chính chủ cần bán gấp tòa nhà Căn Hộ Tại Phố Nghĩa Đô ngõ 100 cũ Hoàng Quốc Việt Phường Nghĩa Đô Cầu Giấy dt 150  m2 giá 52 tỷ Gia đình cần bán gấp tòa nhà Căn Hộ Tại Phố Nghĩa Đô,  ngõ 100 cũ  Hoàng Quốc Việt,  Phường Nghĩa Đô , Quận Cầu Giấy, diện tích 138 m2 , diện tích thực tế xây dựng từ tầng 2 lên 150m2 / mặt sàn, mặt tiền 8,69m, nhà xây dựng 10 tầng thang máy có Hầm Để xe, nhà lô góc hai mặt ngõ thoáng, nhà có 30 phòng khép kín của căn hộ, thiết bị wc cao cấp, tiện nghi đầy đủ cho căn hộ, gia đình đang thu nhập doanh thu 155 triệu / tháng  lý do do công việc và các con định cư nước ngoài nên giá đình mới bán, nhà nằm ở vị trí đẹp , giao thông đi lại thuận tiện, nhà gần trung tâm  thương mại và khu Đo Thị Tây Hồ Tây, vvv,vv. SĐCC, giá bán 52 tỷ Có thương lượng, mtg, môi giới làm phiền. LH Anh Thụy 0936359198 / 0961218968 quý khách sẽ được phục vụ tận tình được tư vấn từ A đến Z để quý khách mua được căn nhà như Ý",09/12/2022,Tin thường,batdongsan_so_com_vn_1673784002.3356833, 10, 10,, Bắc
29 tỷ VNĐ,Chính chủ cần bán gấp tòa nhà Căn Hộ tại Nghĩa Tân Tô Hiệu Hoàng Quốc Việt Cầu Giấy dt 140 m2 giá 29 tỷ, 140m2, 10, 12,"Chính chủ cần bán gấp tòa nhà Căn Hộ tại Nghĩa Tân Tô Hiệu Hoàng Quốc Việt Cầu Giấy dt 140 m2 giá 29 tỷ Gia đình em cần bán gấp tòa nhà Căn Hộ Tại Nghĩa Tân, Tô Hiệu, Hoàng Quốc Việt, Phường Nghĩa Tân, Quận Càu Giấy , diện tích 140 m2, mặt tiền 10m x 14m, nhà xây dựng 8 tầng thang máy , nhà lô góc hai mặt ngõ thoáng, trang trí nội thất thiết kế sang trọng phong cách, nhà thiết kế đầy đủ tiện nghi của căn hộ, thiết bị wc cao cấp, nhà nằm trong khu dân trí an ninh tốt giao thông đi lại thuận tiện, giá bán 29 tỷ Có thương lượng, mtg, môi giới làm phiền. LH Anh Thụy 0936359198 / 0961218968 quý khách sẽ được phục vụ tận tình được tư vấn từ A đến Z để quý khách mua được căn nhà như Ý",09/12/2022,Tin thường,batdongsan_so_com_vn_1673784003.8307252, 8,,, Tây nam
"3,8 tỷ VNĐ","Đường Bạch Mai, Cầu Dền, Hai Bà Trưng", 25m2, 3, 3,"Bán nhà phố Bạch Mai, Hai Bà Trưng 25m2, 5 tầng, 3.85 tỷ, nhà mới đẹp long lanh Mô tả chi tiết + Nhà mới koong thuê kiến trúc sư thiết kế thoáng đẹp cách phố Bạch Mai 100m, trước nhà ngõ rộng thẳng ngắn, thoáng quay xe máy thoải mái, view ngõ, sân hàng xóm khá rộng trước mặt nhà có không gian. + Tầng 1: Cửa cuốn, trong cửa nhôm kính, bếp đẹp đầy đủ hút mùi. + Tầng 1,2,3,4 trần âm đèn led. Liên hệ xem nhà Ms : Thanh : ĐT : 0528301753",09/12/2022,Tin thường,batdongsan_so_com_vn_1673784005.5889804, 5, 3, 5,
"4,2 tỷ VNĐ","Đường Trần Thái Tông, Dịch Vọng, Cầu Giấy", 32m2, 4, 4,"+ Ngõ rộng thoáng thông, khu vực dân trí cao. + Nhà xây 6 tầng mới đẹp, chắc chắn, mỗi tầng 1 phòng thông sàn rộng rãi.  + Tầng 1, tầng 2: Spa kinh doanh.  + Tầng 3,4,5,6: Mỗi tầng 1 phòng vệ sinh khép kín, điều hòa nội thất đầy đủ.  - Khu vực nhu cầu thuê cao, không bao giờ trống phòng, cho thuê cả nhà 6 tầng 20Tr/tháng.  - Sổ đỏ vuông đẹp, nở hậu nhẹ.  Sổ đỏ chính chủ, pháp lý rõ ràng: 4 tỷ 2 .( Có Thương Lượng ). LH A. Phúc: 0888743418– Nhà đẹp pháp lý chuẩn Hà Nội ( Nhận ký gửi nhà Hà Nội). Đường Trần Thái Tông, Phường Dịch Vọng, Cầu Giấy, Hà Nội    Bán nhà mặt Trần Thái Tông – Cầu Giấy Bán đất Trần Thái Tông - Cầu Giấy Mua bán nhà đất Trần Thái Tông, Quận Cầu Giấy  Bán nhà riêng tại Trần Thái Tông tháng 06/2022 Bán nhà mặt phố tại Trần Thái Tông Bán nhà riêng tại Trần Thái Tông Mua bán nhà đất Trần Thái Tông, Quận Cầu Giấy, Hà Nội Cần Bán đất, Trần Thái Tông Hà Nội",09/12/2022,Tin thường,batdongsan_so_com_vn_1673784007.1168928, 6, 4, 5,
37 tỷ VNĐ,"Đường Văn Quán, Phúc La, Hà Đông", 218m2, 10, 8,"
    
BIỆT THỰ VĂN QUÁN - RẤT HIẾM NHÀ BÁN - NHÀ HOÀN THIỆN ĐẸP LONG LANH - GIÁ MỀM NHẤT KHU VỰC.

Mô tả:

- Căn biệt thự nằm ngay sau lưng mặt phố Nguyễn Khuyến, khu vực Kinh doanh nhiều quán Cafe và nhà hàng, đường vỉa hè 2 bên rộng thênh thang.

- Nhà chủ đã chuyển sang Vinhome ở, đã sơn lại và vệ sinh sạch sẽ, nội thất cơ bản toàn đồ gỗ XỊN SÒ.

- Thiết kế:  DIỆN TÍCH LỚN 218M, 4 TẦNG CỰC ĐẸP
+ Tầng 1: Gara, phòng khách, bếp, bể cá tiểu cảnh, sân, WC
+ Tầng 2,3: 03 phòng ngủ, 2 WC, 1 sân ban công uống trà.
+ Tầng 4: phòng để đồ, sân phơi.

- Mặt tiền 10m cực rộng, giá mềm nhất khu vực, cùng dãy có 1 căn diện tích 200m2 đang Chào bán giá 45 tỷ.
LIÊN HỆ EM NGAY 24/24 ĐỂ ĐƯỢC TƯ VẤN VÀ XEM NHÀ MIỄN PHÍ NHA!
",09/12/2022,Tin thường,batdongsan_so_com_vn_1673784008.2757924, 4, 6, 5,
