price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Lộ giới,Số toilet,Hướng
"5,39 tỷ VNĐ",La Khê- Hà Đông, 39m2, 5,"Nhà đẹp lô góc, ô tô vào nhà, ngõ thông,gần phố La Khê , Hà Đông, 39m, 5 tầng, giá đầu tư Chú tôi nhờ bán nhà đẹp tự xây tâm huyết, khung cột bê tông chắc chắn, chỉ việc đến ở, nội thất hiện đại đầy đủ, với 5 tầng thoáng sáng nhà lô góc ngập tràn ánh sáng, ô tô vào nhà, gần phố. Xung quanh nhà có đủ tiện ích: trường học, chợ, siêu thị, công viên, bệnh viện, ngân hàng, nhà đẹp khu dân cư đông đúc toàn cán bộ, văn minh và yên tĩnh chỉ việc đến ở. Giao thông di chuyển trục chính Lê Trọng Tấn, gần các khô đô thị An Hưng, Dương Nội, hàng xóm Nguyễn Thanh Bình, cắt với Ngô Quyền và giáp Ngô Thì Nhậm. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 5.39 tỷ ( có thương lượng). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",10/05/2022,Tin thường,batdongsan_so_com_vn_1673825471.3416178,,,,,
"5,4 tỷ VNĐ",Hà Cầu- Hà Đông, 40m2, 5,"Nhỉnh 5 tỷ, ô tô vào nhà, lô góc, mặt ngõ thông, gần phố Hà Cầu, Hà Đông, 40m, 5 tầng.  Bán nhà hiếm có trung tâm Hà Đông, lô góc thoáng sáng ô tô vào nhà với 5 tầng rộng đẹp chỉ hơn 5 tỷ. Chủ xây để ở tâm huyết nay chuyển chỗ làm mới cho tiện di chuyển nên cần bán gấp trong tuần, nội thất Vip chỉ việc đến ỏ. Vị trí gần trường học các cấp, gần chợ, cách chợ lớn Hà Đông chỉ hơn 200m, giáp với Văn Quán, hàng xóm với phố cổ Bà Triệu, Thông ra Tô Hiệu, phía Bắc giáp Đa Sỹ, 300m ra trục chính Quang Trung. Chủ nhà là doanh nhân thành đạt nhà có lộc con lộc của, gia lộc cho khách thiện chí mua. Hàng xóm thân thiện, an ninh tuyệt đối. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 5.4 tỷ ( có thương lượng). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",10/05/2022,Tin thường,batdongsan_so_com_vn_1673825472.5483875,,,,,
5 tỷ VNĐ,Đường Nguyễn Trãi-Thanh Xuân, 50m2, 5,"+Vị trí đắc địa, thông thương sang nhiều tuyến đường và nhiều Trường Đại học lớn. +Tiện ích ngập tràn, gần Royal City, bệnh viện, bãi xe ô tô và chợ. +Nhà mới toanh, giá hợp lý, view đẹp; ngõ thẳng, rộng, ba gác phi ầm ầm. +Chủ rất thiện chí bán, tặng lại toàn bộ nội thất trên hiện trạng căn nhà. +Khu dân trí cao, an ninh tốt, nhà chủ xây tâm huyết để ở, nội thất cao cấp. +Giá thỏa thuận. +Pháp lý chuẩn, sổ đỏ vuông đẹp, sẵn sàng dao dịch. +LH: Mr.Hoan, chuyên thổ cư Hà Nội, 0925088355, hỗ trợ tư vấn Pháp lý, vay vốn ngân hàng, miễn phí xem nhà 24/7.",10/05/2022,Tin thường,batdongsan_so_com_vn_1673825473.6055593, 4, 6,,,
"4,4 tỷ VNĐ",Đường Trần Cung phường Cổ Nhuế 1, 40m2, 5,,10/05/2022,Tin thường,batdongsan_so_com_vn_1673825474.80535, 4, 5, 2, 5,
"15,2 tỷ VNĐ",Đường Phú Diễn phường Phú Diễn, 65m2, 7,"DUY NHẤT MỘT CĂN NGAY TẠI NÚT GIAO NGÃ BA ĐƯỜNGKINH DOANH SIÊU ĐỈNHÔTÔ ĐỖ CỬA NGÀY ĐÊMTHANG MÁYCẠN LỜI ĐỂ CA NGỢI.  MÔ TẢ: Hướng Tây Bắc - Tây Tứ Trạch + Tầng 1: Thông sàn để phục vụ kinh doanh + Tầng 2, 3, 4, 5: mỗi tầng 02 phòng + WC + Tầng 6: Phòng bếp + Thờ + Tầng 7: Sân phơi Căn nhà 7 tầng huy hoàng, tọa lạc ngay tại ngã ba số 196 Phú Diễn, một vị trí quá thịnh vượng, quá sầm uất và tập nập. Kinh doanh gì mà chẳng được, nhắm mắt thu lời, cả đời ăn không hết. Trước nhà ôtô đỗ ngày đêm, đường thì 4 ô tô tránh. Xung quanh hạ tầng nhất đẳng, văn minh. Đây cũng là nơi nhiều nhà mới, toàn 6, 7 tầng đua nhau san sát, mang đến một luồng gió sinh khí bất tận. Nhà mới tinh khôi, thiết kế chiều lòng người, đảm bảo những gì tốt nhất cho việc kiếm tiền từ kinh doanh. Tầng 1 rộng rãi, thông sàn; từ tầng 2 đến tầng 4 với 8 phòng rực rỡ thì dư địa cho mọi ý tưởng kinh doanh đều thỏa mãn. Thêm nữa có thang máy, một yêu cầu tối cần thiết đã sẵn sàng. Gần nhà là các trường từ cấp 1 đến cấp 3 chuẩn quốc gia, gần vô khối trường đại học. Về giáo dục, đây đúng là một giá trị gia tăng khổng lồ của căn nhà này.Trước nhà view thoáng vĩnh viễn, tầm nhìn không hạn chế. Sổ cực vuông vắn, chờ giao dịch.
Gọi ngay cho em 24/24 để được sở hữu căn nhà Freeeee",10/05/2022,Tin thường,batdongsan_so_com_vn_1673825475.9522817, 4, 6, 10, 6,
22 tỷ VNĐ,"Phố Hoàng Ngân, Lê Văn Lương, Hà Nội", 91m2,,"BÁN ĐẤT XÂY TÒA NHÀ VĂN PHÒNG/ KHÁCH SẠN MẶT TIỀN KHỦNG 6M VỊ TRÍ TRUNG TÂM ĐƯỜNG HOÀNG NGÂN, GIÁ 22 TỶ Diện tích đất 91 m2, hiện tại có nhà cấp 4 trên đất có thể làm xưởng, kho hoặc cho thuê kinh doanh được luôn, mặt tiền 6m. Phố Hoàng Ngân là con phố sầm uất kinh doanh thuận lợi, cho thuê dễ dàng nên rất ít khi có nhà rao bán. Gần đường Lê Văn Lương, Quan Nhân, đường Láng, gần Royal city... Đầy đủ tiện ích chợ, siêu thị, cây xăng, ngân hàng, trường học các cấp gần bên. Sổ đỏ chính chủ giao dịch. Mr Tiến – chuyên BĐS Thổ cư -  ĐT: 0979.160085 trước 1 tiếng để mở cửa xem nhà.",10/05/2022,Tin thường,batdongsan_so_com_vn_1673825477.1580563,,,,,
"4,59 tỷ VNĐ","80 Hoàng Đạo Thành, Thanh Xuân", 33m2, 5,"CHÍNH CHỦ BÁN NHÀ NGÕ 80  HOÀNG ĐẠO THÀNH – THANH XUÂN, 5 TẦNG NGÕ THÔNG Ô TÔ, 4.59 TỶ Nhà 5 tầng 3 ngủ, nội thất cơ bản chỉ việc về ở Ngõ 80 Hoàng Đạo Thành phân lô vuống vắn. Nhà cách ô tô tránh, dừng đỗ ngày đêm 10m. Thông ra ngõ 460 Khương Đình to hơn phố. Sát khu FiveStar Garden Kim Giang, trường Tiểu học, THCS Hạ Đình, hồ Hạ Đình, chợ Kim Giang Thuận tiện đi Nguyễn Xiển, Nguyễn Trãi, Ngã Tư Sở ... Tiện ích đầy đủ cho cuộc sống Sổ đỏ chính chủ, sẵn sàng giao dịch, thương lượng trực tiếp Liên hệ: 0918120568",10/05/2022,Tin thường,batdongsan_so_com_vn_1673825478.60718, 4, 3,, 4,
,Đường 19/12 phường Chương Dương Độ, 130m2, 2,"Chính chủ cần bán khách sạn mặt phố số 22 Lò Sũ, Q. Hoàn Kiếm, TP Hà Nội.- Diện tích: 130m2 (vuông vắn)- Khách sạn 9 tầng, 1 tầng hầm- Gồm 28 phòng đơn – đôi, cho khách du lịch thuê kín phòng quanh năm- Vị trí nhà đắc địa có 1 0 2 và đẹp nhất mặt phố Lò Sũ.- Thuộc trung tâm thương mại sầm uất quận Hoàn Kiếm.- Gần sát bờ hồ Hoàn Kiếm cách khoảng 300m, kinh doanh cực tốt ngày và đêm.- Sổ đỏ chính chủ, xây 100% đất. Gia đình rất thiện trí muốn bán, sang tên ngay.- Giá bán: 88 tỷLiên hệ chính chủ: Cô Phượng 0912064809 Nguồn: https://batdongsanhanoi.info.vn/index.php?page=productCat-detail&id_product=36945",10/05/2022,Tin thường,batdongsan_so_com_vn_1673825479.5855625,, 3, 7, 2,
"4,3 tỷ VNĐ","Vĩnh Hưng, Hoàng Mai, Hà Nội", 52m2,,"Bán nhà Vĩnh Hưng, nhà tự xây, 52m, 4.3 tỷ Chính chủ cần bán căn nhà tại Vĩnh Hưng, nhà tự thiết kế tự xây dựng, xây lệch tầng rất thoáng và hiện đại, lô góc 2 thoáng vịnh viễn. Khu vực dân trí cao, an ninh tốt. Nhà gần chợ, siêu thị và trường học các cấp, cạnh các trường Đại học như Kinh Doanh Công Nghệ, Kinh Tế Kỹ Thuật Công Nghiệp, Đại học Mở... LH: Mrs Hoài 0988220038. (Tư vấn & xem nhà miễn phí)",10/05/2022,Tin thường,batdongsan_so_com_vn_1673825480.5021093,,,,,
"5,7 tỷ VNĐ",Lâm Du Long Biên, 47m2,,"Chính chủ cần bán nhà Lâm Du, 5 Tầng, DT 47m, nhỉnh 5 tỷ.+ Vị trí đẹp, ô tô 7 chỗ đỗ cửa, nhà mới xây đẹp, tiện ích.+ Mặt tiền rộng gần 5m, rất hiếp trong khu vực.+ Ô chờ thang máy, giếng trời thoáng mát.+ Nhà thiết kế để ở nên rất hợp lý.+ Gần Bệnh viện, Trường học, cách phố cổ 5 phút đi xe.Liên hệ:  Giang 0934035888 ",10/05/2022,Tin thường,batdongsan_so_com_vn_1673825481.6620493,,,,,
