price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Hướng
"5,9 tỷ VNĐ","đường Lương Khánh Thiện, Hoàng Mai, Hà Nội", 57m2, 4, 4, 3, 4,"NGÕ RỘNG, KHU VIP, THOÁNG TRƯỚC SAU, SỔ ĐỎ CHÍNH CHỦS = 57m, mặt tiền 4.1m, giá 5.9 tỷ Nhà dân xây rất đẹp và tỉ mỉ từng chi tiết, chủ cần bán gấp, tặng nội thất. * Ngõ rộng 3m, 40m ra phố, 40m ra bãi xe ô tô, bán kính 200m là hồ Đền Lừ, chung cư K35, Nguyễn Đức Cảnh, Tân Mai,... * Thiết kế:T 1: Sân để xe, Phòng bếp, phòng khách.T 2: 1 phòng ngủ rộng, ban công, vệ sinh.T 3: 1 phòng rộng, 1 phòng nhỏ, vệ sinh.T 4:  Phòng thờ, sân phơi. * Giao thông: Tân Mai, Trương Định, Kim Đồng, bến xe Giáp Bát, Giải Phóng,… * Sổ đỏ vuông đẹp giao dịch ngay. * Liên hệ: Tôi Bình, 0345752279 để được tư vấn và xem nhà miễn phí.* Lưu ý: Không tiếp Môi giới.",16/04/2022,Tin thường,batdongsan_so_com_vn_1673827575.014269,
16 tỷ VNĐ,Hà Nội, 77m2,,,,,"Bán nhà phố Kim Mã Thượng quận Ba Đình - LH: 0856 968 656. - Diện tích 77 m2, 6 tầng thang máy, mặt tiền 5 m. - Xây dựng kiên cố, chắc chắn, thiết kế nội thất hiện đại đẹp lung linh, về ở luôn. - Vị trí đắc địa, khu phân lô đường bàn cờ thông tứ phía, ô tô vào nhà thoải mái. - Khu VIP dân trí văn minh, an ninh cực tốt, tiện ích đầy đủ, kinh doanh tốt. - Sổ đỏ chính chủ.Gia đình thiện trí bán giá chào chỉ 16 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.* Liên hệ ngay 24/7 Mr. Bình - 0856 968 656.",16/04/2022,Tin thường,batdongsan_so_com_vn_1673827576.204087,
"15,8 tỷ VNĐ",Hà Nội, 76m2,,,,,"Bán nhà ngõ 84 Ngọc Khánh, quận Ba Đình - LH: 0856 968 656. - Diện tích 76m2, 6 tầng thang máy, mặt tiền 5.1 m. - Ngõ rộng 2 ô tô tránh nhau, giao thông thuận tiện, đường mặt trước nhà rộng ô tô đậu ngày đêm. - Chủ tự xây dựng kiên cố, thuê thiết kế đẹp, thoáng trước sau, nhà thoáng và rất đẹp chỉ việc xách vali về là ở luôn. - Vị trí đắc địa, thuộc khu phân lô cán bộ cao cấp, dân trí cao văn minh, an ninh tốt.Gần bệnh viện, chợ, trường học... phố cực kì hiếm nhà bán giao thông thuận tiện Giảng Võ, Kim Mã, Láng Hạ, Trần Huy Liệu, Nam Cao... - Sổ đỏ chính chủ, sẵn sàng giao dịch. - Giá chào chỉ 15.8 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.* Liên hệ ngay Thanh Bình 0856 968 656.* Miễn trung gian, môi giới, xin cảm ơn",16/04/2022,Tin thường,batdongsan_so_com_vn_1673827579.517212,
"6,5 tỷ VNĐ",Phố văn Cao, 40m2, 4, 4,,,"Ba Đình, ngõ thông, KD nhỏ, lô góc, ngõ 3m cách 20m ra ô tô tránh đỗ. Phố văn Cao.. Diện Tích 40m x4Tầng. Mặt Tiền  4.4m Mô tả.+ khu dân cư víp, hàng xóm toàn Tướng Quân Đội, nhà nằm vị trí mặt ngõ kinh doanh 20m ra ôtô tránh đỗ,  nhà đẹp lô góc đi bộ mấy phút ra hồ tây.+ Nhà chủ tự thiết kế 4 Tầng lô góc rất đẹp và chắc chắn.và đẹp.Thiết Kế.+ Tầng 1: khách + bếp wc.+ Tầng 2:3:4: tổng 5 phòng ngủ wc.+ SĐCC, nở hậu sẵn sàng giao dịch.",16/04/2022,Tin thường,batdongsan_so_com_vn_1673827580.556404,
"5,45 tỷ VNĐ",HÀO NAM-VŨ THẠNH-ĐỐNG ĐA, 55m2, 4, 4,,,"CHỈ VỚI 5.45 TỶ CÓ NGAY NHÀ LÔ GÓC 3 MẶT THOÁNG VĨNH VIỄN-HÀO NAM-VŨ THẠNH-ĐỐNG ĐA-NHÀ MỚI- ẢNH THẬT    Nhà vị trí rất đẹp và thoáng, lô góc 3 mặt thoáng vĩnh viễn.  Nhà xây dựng tâm huyết để ở, tường 30cm, móng 7 tầng. Khách về lên tầng thoải mái, các tầng đều có 2 ban công thoáng mát.  Diện tích 55m . Mặt Tiền 4mThiết kế:+ T1: Phòng khách + bếp + khu để xe.+ T2,3: Mỗi tầng 2 phòng + wc.+ T4: 1 Phòng ngủ + thờ + sân phơi.  Ngõ rộng rãi sạch sẽ, khu dân trí cao rất nhiều khách thích ở khu này.  Dự án mở đường Vũ Thạnh, Đê La Thành, nhà mình 20m ra mặt phố và giá trị tăng vọt.Sổ đỏ chính chủ, pháp lý rõ ràng.",16/04/2022,Tin thường,batdongsan_so_com_vn_1673827581.529891,
"27,5 tỷ VNĐ","Mặt đường Nguyễn Khuyến, Quận Hà Đông, Hà Nội", 110.4m2, 4, 5,,," Chính chủ bán nhà mặt đường Nguyễn Khuyến, Quận Hà Đông, Hà Nội- Diện tích đất sổ đỏ: 110.4m2 -  Sổ đỏ CHÍNH CHỦ- Hiện nay tôi đang cần bán nhà phố thuận tiện kinh doanh mặt đường Nguyễn Khuyến - Hà Đông+ Nhà xây 5 tầng  kiên cố, kiến trúc hiện đại, nội thất đẹp, phù hợp ở và kinh doanh mọi loại hình.+ Mặt tiền: 4.7m - Nở hậu: 6.0m+ Tầng 1 thông sàn, Tầng 2/3/4/5 có  2 phòng 2 đầu, giữa là vệ sinh+ Cuối nhà có ô chờ lắp thang máy 12m-  Đường trước nhà: đường 02 chiều rộng 150m, vỉa hè rộng 02 hàng xe máy. Đỗ ô tô + xe máy 24/24h, quanh năm không lo tắc đường***  Vị trí đắc địa: -  Mặt phố Nguyễn Khuyến, Văn Quán đẹp, đáng sống nhất quận Hà Đông, kinh doanh sầm uất-  Xung quanh có nhiều tiện ích, bệnh viện, trường học, siêu thị, Hồ Văn Quán, khu vui chơi giải trí. - Rất gần các trường Đại học An Ninh, Đại học Kiến Trúc, HV Bưu Chính Viễn Thông. Kết nối đường Nguyễn Khuyến, Trần Phú, Nguyễn Trãi Hà Đông.- Cách Hồ Văn Quán 200m, cách hồ Văn Yên 150m - Cách đường Trần Phú: 250m - Cách BigC Hà Đông: 500m - Cách bệnh viện 103: 800m - Cách chợ dân: 300m - Khu ăn uống + vui chơi sầm uất-  Kinh doanh: tầng 01 tự kinh doanh hoặc cho thuê  - (giá cho thuê khu vực 45tr/tháng tầng 1)Giá bán: 27,5 tỷ ( Có ra lộc cho khách thiện chí mua)  Liên hệ để biết thêm thông tin chi tiết: 0911884113 (zalo)       Miễn môi giới - Quảng cáo làm phiền !
 
 
Nguồn:  http://nhadathanoi.net.vn

",16/04/2022,Tin thường,batdongsan_so_com_vn_1673827582.8593853,
"5,7 tỷ VNĐ","Nghĩa Lại, Uy Nỗ, Đông Anh, Hà Nội", 113m2, 5, 5,,,"Chính chủ bán nhà ở Nghĩa Lại, Uy Nỗ, Đông Anh, Hà NộiDiện  tích: 113m2Diện tích xây dựng 80m x 5 tầng. Mặt tiền: 5m.Nhà xây đã hơn 2 tỷ rất kiên cố, có sân trước thoáng, xây cuối 2019.Đường ngoài là Quốc lộ 3, toà nhà đầu ngõ là Khách sạn Minh Cường, đi thẳng vào là đến nhà. Đường trước nhà rộng 5m, ô tô tránh, vào nhà.Vị trí thuận lợi giao thông, khu vực an ninh tốt. Sổ đỏ chính chủ.Giá bán: 5,7 tỷ.Chính chủ: 0799791980 Nguồn:  http://nhadathanoi.net.vn",15/04/2022,Tin thường,batdongsan_so_com_vn_1673827583.880653,
"5,7 tỷ VNĐ","số 35 ngõ 341 Đội Cấn, Quận Ba Đình, Hà Nội", 42m2, 3, 4,,,"Chính chủ bán nhà số 35 ngõ 341 Đội Cấn, Quận Ba Đình, Hà NộiDiện tích: 42m2 x 4 tầng, mặt tiền: 3m hướng Tây Nam. Sổ đỏ chính chủ.- Nhà gồm 4 phòng ngủ, 3 WC, thiết kế cầu thang giữa, mỗi tầng 2 phòng.- Tầng 1 có sân để xe, phòng khách & bếp.- Vị trí trung tâm, ngõ vào rộng thoáng, khu vực gần nhiều trường, chợ, giao thông thuận tiện đi lại, an ninh tốt.Giá bán: 5,7 tỷ có thương lượng.Chính chủ: 0912225298
 
 
Nguồn:  http://nhadathanoi.net.vn

",15/04/2022,Tin thường,batdongsan_so_com_vn_1673827584.824128, Tây nam
"2,8 tỷ VNĐ",Phường Cổ Nhuế, 40m2,,,,,"Bán Đất tại Cổ Nhuế - Bắc Từ Liêm. 40m2, giá nhỉnh hơn 2Tỷ+ Vị Trí: Mặt tiền  4.5m đường ngõ ô tô thông. + Gần tường ĐH Mỏ, Học viện Cảnh Sát, Học Viện tài chính, khu dân cư đông đúc tập trung nhiều sinh viên kinh doanh buôn bán nhộn nhịp.+ Sổ đỏ chính chủ sẵn sang giao dịch.2.x tỷLiên hệ: Anh Đoàn:0962745289.+ Chuyên nhà đất thổ cư Quận Bắc Từ Liêm: Tư vấn 24/7.     ",15/04/2022,Tin thường,batdongsan_so_com_vn_1673827586.0508857,
"8,9 tỷ VNĐ",Phố Nguyễn Xiển, 50m2,, 5, 4,,"-Khu phân lô Uỷ ban Dân tộc, ô tô tránh, xung quanh toàn công an, bộ đội, công chức, dân trí cao, an ninh an toàn. - Nhà thuộc khu phân lô Nguyễn Xiển, gần ngã tư Khuất Duy Tiến, khu vực đang phát triển từng ngày, cơ sở hạ tầng các dự án lớn, các tòa nhà cao cấp, siêu thị...- Thiết kế chắc chắn đầy đủ công năng sử dụng vừa ở và Kinh Doanh:- Tiện ích: Bán kính chưa đầy 1km là siêu thị, trường học cấp 1,2, chợ, nhà thuốc,... Các tòa nhà văn phòng, cafe đầy đủ các dịch vụ. Liên hệ em Đại-0963883403 để được tư vấn và xem nhà miễn phí.",15/04/2022,Tin thường,batdongsan_so_com_vn_1673827587.1148403,
