price,address,Diện tích,Hướng,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id
"3,85 tỷ VNĐ",ngõ 60 Đại La, 33m2, Nam, 4, 3, 5, 3, 4,"Bán nhà ngõ phố Đại La, gần ngã tư Trần Đại Nghĩa, HBT Hà Nội Diện tích 33m2 x 5 tầng xây mới, giá 3,85 tỷ, xây dựng khung cột bê tông, móng bè chắc chắn. Nội thất cao cấp, chính hãng, trang trí ấm cúng bắt mắt, trần thạch cao, cửa chính 2 lớp, cửa thông phòng và tay vịn cầu thang làm bằng gỗ lim. - Thiết kế hiện đại bao gồm: - Tầng 1: Sân để xe. Phòng khách, vệ sinh, bếp ăn. - Tầng 2,3,4 Mỗi tầng 1 phòng ngủ rộng, 1WC. - Tầng 5: Phòng thờ, sân phơi. - Nhà nằm ở vị trí trung tâm quận HBT rất đắc địa, vô cùng thuận tiện, dân trí cao, an ninh tốt. + Chỉ vài trăm mét tới các trường ĐH: Bách Khoa, Kinh Tế, Xây Dựng+ Chỉ vài bước chân ra tới TTTM Chợ Mơ, Chợ Đồng Tâm, Siêu thị lớn Vinmart Đại La+ Chỉ gần 1 km tới bệnh viện Bạch Mai, Thanh Nhàn, Công viên Lê NinSĐCC, giá 3,85 tỷ (có thương lượng).liên hệ Chị yến ĐT:0702138238",21/06/2022,Tin thường,batdongsan_so_com_vn_1673818793.6222227
"4,5 tỷ VNĐ",ngx 203 Kim Ngưu, 56m2, Đông,, 2, 4, 4, 3,"Bán nhà ngõ 203 Kim Ngưu, Hai Bà Trưng. Diện tích 56m2, mặt tiền 6m, nhà xây 4 tầng đẹp long lanh. Thiết kế hiện đại, phong cách Châu Âu. Tầng 1 thiết kế là phòng khách, bếp và phòng ăn. Tầng 2,3 thiết kế mỗi tầng 2 phòng ngủ lớn, vệ sinhTầng 4: Phòng thờ và sân phơi. Ngôi nhà được đầu tư cẩn thận, nội thất hiện đại, sàn gỗ nhập khẩu, cửa 2 lớp, cầu thang làm bằng gỗ Lim, trần thạch cao.. Vị trí đẹp, ngõ thông 121 Kim Ngưu, trước nhà rất thoáng, gần mặt ngõ 203 Kim Ngưu ô tô qua lại, gần chợ, trường. Khu dân trí cao, an ninh tốt. SĐCC, Giá bán 4.5 tỷ. liên hệ chị Yến ĐT:0702138238",21/06/2022,Tin thường,batdongsan_so_com_vn_1673818794.8918264
"1,8 tỷ VNĐ",Đường Võ Nguyên Giáp phường Vĩnh Ngọc, 41m2,, 4,,,,,"Hàng siêu hiếm tại Ngọc Chi, Vĩnh Ngọc giá chỉ nhỉnh 1 tỷ. LH 0332995330
  DT 41m2
 Mặt tiền  4.38m. Đường 2.5m
Cách đường oto tránh nhau chỉ 80m
 Cách chợ, trường học chỉ 300 m
500m đến cầu Nhật Tân. 10 phút lái xe vào nội thành Hà Nội
Anh chị quan tâm LH 0332995330
",21/06/2022,Tin thường,batdongsan_so_com_vn_1673818796.2352335
"6,5 tỷ VNĐ",Phố Khương Trung, 55m2,,,, 6,,,"+ Bán nhà Phố Khương Trung - Thanh Xuân, 50m2, 6 Tầng, Ô TÔ gần, 6.5 Tỷ.+ Trung tâm lõi Thanh Xuân, vài bước chân ra mặt phố, dân trí cao, an sinh đỉnh.+ Ngõ rộng đường trước nhà rộng, bãi xe Ô TÔ cách 40m.+ Thiết kế nhà hiện đại, nội thất cao cấp, đầy đủ công năng sử dụng.+ Sổ đỏ vuông đẹp, pháp lý chuẩn, sang tên nhanh. LH: Mr Hoan, 0925088355, chuyên thổ cư Hà Nội với nguồn nhà hơn 13 000 căn nhà tại Hà Nội, miễn phí xem nhà 24/7.",21/06/2022,Tin thường,batdongsan_so_com_vn_1673818797.4689324
"3,7 tỷ VNĐ","Cổ Điển B, Văn Điển, Thanh Trì, HN", 34m2,,,,,,,"+ Vị trí cực đẹp, lô góc 3 thoáng, ngõ thông Cổ Điển B, ô tô vào nhà. Nhà mới đẹp hiện đại. Thiết kế cực kỳ hợp lý: - Tầng 1:WC, Gara, xe máy, hoặc kinh doanh. - Tầng 2: Phòng khách, Phòng ăn, WC. - Tầng 3,4: Mỗi tầng 2 Phòng ngủ, WC. - Tầng 5: Phòng thờ, sân phơi. + Khu vực đang phát triển thần tốc, ba bước ra ô tô tránh, Trường, Chợ, Trung tâm Thương mai. Thanh Trì sắp lên Quận tương lai tăng giá mạnh. + Sổ đỏ chính chủ, vuông đẹp. ",21/06/2022,Tin thường,batdongsan_so_com_vn_1673818798.8651977
"16,8 tỷ VNĐ",Đường Hoàng Cầu phường Ô Chợ Dừa, 102m2,, 5, 30, 4, 4, 3,- Chủ nhà cán bộ về hưu thiện chí để chuyển về ở biệt thự Vinhome Riverside Long Biên. Liên hệ anh Thành 0373019999 CB Địa chính phường. ,21/06/2022,Tin thường,batdongsan_so_com_vn_1673818800.2016213
"6,5 tỷ VNĐ",Phố Hạ Đình, 55m2,,,, 5,,,"+ Bán nhà Phố Hạ Đình - Thanh Xuân, 55m2, 5 Tầng, Ô TÔ 7 chỗ đỗ cửa, 6.5 Tỷ.+ Vị trí nhà đẹp, thông sang Nguyễn Trãi, Nguyễn Xiển, tiện ích không thiếu thứ gì.+ View Hồ thoáng mát, Ô TÔ qua nhà, dân trí cao, an sinh đỉnh.+ Thiết kế nhà hiện đại, nội thất cao cấp, chủ tặng lại hết cho khách.+ Sổ đỏ vuông đẹp, pháp lý chuẩn, sang tên nhanh. LH: Mr Hoan, 0925088355, chuyên thổ cư Hà Nội với nguồn nhà hơn 13 000 căn nhà tại Hà Nội, miễn phí xem nhà 24/7.",21/06/2022,Tin thường,batdongsan_so_com_vn_1673818801.4143782
"9,8 tỷ VNĐ",thái Hà, 52m2,, 4,, 5, 6,,"PHÂN LÔ Ô TÔ TRÁNH, VỊ TRÍ ĐẮC ĐỊA, THIẾT KẾ HỢP LÝS = 52m2, 5 tầng, giá 9.8 tỷ + Chủ nhà là cán bộ Điện Lực, nhà xây vô cùng chắc chắn, tâm huyết. + Nằm trên con phố Thái Hà đẹp và đắt giá bậc nhất Đống Đa, đi đâu cũng tiện, ở sướng, kinh doanh văn phòng rất đẹp. + Thiết kế:  - T1: Để ô tô, nhà bếp.- T lửng: Phòng khách.- T2, 3, 4: Mỗi tầng 2 ngủ.- T5: Sân phơi. + Giao thông: Yên Lãng, Láng Hạ, Hoàng Cầu, Chùa Bộc, Thái Thịnh, Tây Sơn,... * Liên hệ em Bình, chỉ bán nhà đẹp giá tốt, tư vấn và xem nhà nhiệt tình, miễn phí. * Không tiếp môi giới.",21/06/2022,Tin thường,batdongsan_so_com_vn_1673818803.1477842
"2,8 tỷ VNĐ","Lai Xá ,Hoài Đức", 54m2,,,, 5,,,"+ Vị trí nhà rất đẹp ba bước ra khu đô thị Kim Chung - Di Trạch, khu vực đang phát triển chóng mặt, tương lai giá tăng mạnh mẽ khi Hoài Đức lên quận. + Nhà cách trường Thành Đô, Đại học Công Nghiệp 3 phút đi xe, phù hợp cho gia đình mua cho con học...+ Nhà mới thiết kế đẹp hiện đại nội thất cao cấp, xây dựng chắc chắn, nhà thoáng mát.+ Ngõ trước nhà 4m gần ĐH Thành Đô, đi vài bước ra khu đô thị Kim Chung Di trạch mới, cách ga nhổn 1km. + Thiết kế : 5 tầng. - Tầng 1: bếp, phòng khách, để xe, WC. - Tầng 2,3,4 tổng 3PN+ WC. - Tầng 5: phòng thờ, sân phơi. + Pháp lý: Sổ đỏ cất két.LIÊN HỆ MS NGỌC 0939446958 ĐỂ ĐƯỢC TƯ VẤN VÀ XEM NHÀ MIỄN PHÍ, LỰA ĐƯỢC NHÀ ƯNG Ý NHẤT VỚI GIÁ TỐT NHẤT",21/06/2022,Tin thường,batdongsan_so_com_vn_1673818804.35775
"2,8 tỷ VNĐ",Đường Xuân Phương phường Xuân Phương, 30m2,, 3, 2, 5, 3, 1," ""times="""" new="""" roman"";="""" mso-bidi-font-family:="""" mso-ansi-language:="""" en-us;="""" mso-fareast-language:="""" vi'cần="""" bán="""" –="""" nhà="""" mới="""" đẹp="""" phố="""" xuân="""" phương="""" diện="""" tích="""" 30m²="""" -="""" 5="""" tầng="""" mặt="""" tiền="""" 3.4m="""" giá="""" 2.8="""" tỷ.="""" span="""" p="""" class=""MsoNormalSPAN"" vi'+="""" ngõ="""" to="""" rộng="""" ô="""" tô="""" tránh="""" mình="""" ba="""" gác="""" đỗ="""" cửa="""" cách="""" chỉ="""" 25m.="""" vi'="""">+ Nhà mới xây – 5 tầng khung cột chắc chắn – chủ mới chỉ việc xách va ly về ở ngay.  ""times="""" new="""" roman"";="""" mso-bidi-font-family:="""" mso-ansi-language:="""" en-us;="""" mso-fareast-language:="""" vi'+="""" khu="""" vực="""" đang="""" phát="""" triển="""" mạnh="""" –="""" giá="""" bất="""" động="""" sản="""" tăng="""" từng="""" ngày="""" chỉ="""" mất="""" 5="""" phút="""" ra="""" mỹ="""" Đình="""" an="""" sinh="""" tiện="""" ích="""" đầy="""" đủ="""" -="""" gần="""" các="""" phố:="""" phương="""" canh="""" hòe="""" thị="""" trịnh="""" văn="""" bô="""" vân="""" canh…="""" span="""" p="""" class=""MsoNormalSPAN"" vi'sổ="""" đỏ="""" đẹp="""" sẵn="""" sàng="""" giao="""" dịch.="""" vi'="""">  ",21/06/2022,Tin thường,batdongsan_so_com_vn_1673818805.515651
