price,address,Diện tích,Hướng,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới
5 tỷ VNĐ,"số 72, Nguyễn Trãi", 123m2, Đông nam, 10, 2, 2,"Chính chủ cần bán căn 2n123 m2 R2 Royal city - View quảng trường đẹp, ban công hướng Đông Nam - Đầy đủ tiện ích 5Sao của vinhomes, Ban công thoáng rộng rãi - Tầng trung đẹp - Được miễn phí dịch vụ - Bao trọn toàn bộ phí - Giá 5. X tỷ Liên hệ : Mr Hoàng Anh: 0839 763 366 ",06/01/2022,Tin thường,batdongsan_so_com_vn_1673833366.9367435,,
"5,15 tỷ VNĐ","Khương Trung, Khương Trung", 45m2,, 5, 4, 3,"Cần gấp bán nhà phố Khương Trung, phường Khương Trung, quận Thanh Xuân. Có các hoạt động kinh doanh sầm uất, tấp nập; lại thông các ngả đường: Bùi Xương Trạch, Vũ Tông Phan (đi ra ngã tư Sở), Khương Hạ, Tô Vĩnh Diện, Hoàng Văn Thái, Vương Thừa Vũ (đi ra Trường Chinh),… Trung tâm của các tiện ích như:  - Chợ: Khương Đình, Hoàng Văn Thái, Vương Thừa Vũ. - Hồ điều hòa: Đầm Hồng Khương Trung. - Trường học: Nguyễn Trãi (cấp 1&2), Khương Đình (cấp 3). - Các cơ sở y tế lớn: Trung tâm y tế quận Thanh Xuân, Bệnh viện Bưu điện,… chỉ trong bán kính 2km đổ lại. Ngõ rộng, xe bảy chỗ ra vào, cách bãi gửi xe không xa Nhà đẹp có sân rộng, 45m2 xây 5 tầng với 4 ngủ và 3WC. Sổ đỏ chính chủ. Sẵn sàng giao dịch. Giá: 5,15 tỷ VNĐ. Liên hệ: Mr. Ngọc – 0344.978.570 (miễn phí xem nhà, miễn môi giới, trung gian). Hỗ trợ cho vay trả góp chỉ từ 7 triệu/tháng, thủ tục đơn giản, giải ngân nhanh.",06/01/2022,Tin thường,batdongsan_so_com_vn_1673833369.5991566,,
"12,5 tỷ VNĐ","Lê Trọng Tấn, Thanh Xuân, Hà Nội", 79m2,,,,,"Chính Chủ Bán Gấp Nhà Lê Trọng Tấn, Thanh Xuân. Dt 79m, giá 12.5 tỷ.+ Vị trí: Nằm trong khu phân lô quân đội phố Lê Trọng Tấn, xung quanh hàng xóm toàn tướng tá, an ninh vô cùng tốt và dân trí cao. + Đường trước nhà rộng ô tô tránh, thẳng tắp, thông ra nhiều tuyến phố lớn như: Phố Hoàng Văn Thái, Tô Vĩnh Diện, Nguyễn Ngọc Nại, Tôn Thất Tùng, Trường Chinh, giao thông đi lại thuận tiện.+ Tận hưởng tiện ích đầy đủ, xung quanh nhiều chung cư, văn phòng, trường học các cấp, chợ, trung tâm thương mại, dân cư tấp nập.+ Liên hệ: Thành 0912525146",06/01/2022,Tin thường,batdongsan_so_com_vn_1673833371.5801976,,
4 tỷ VNĐ,Quang Trung- Hà Đông, 37m2,, 4,,,"Bán gấp nhà  kinh doanh, ô tô, ngõ thông, 37mx4T, Quang Trung, Hà Đông, lô góc chỉ 4 tỷ Người thân gửi bán gấp nhà đẹp, ngõ ô tô tránh, lô góc kinh doanh hiếm rất lý tưởng, khu vực tầm tiền không có căn thứ 2, nhà 3 mặt thoáng, dân cư qua lại tấp nập, kinh doanh đủ loại hình. Nhà xây khung cột chắc chắn, đầy đủ công năng sử dụng vừa ở vừa kinh doanh rất hợp lý, các tầng thoáng sáng, môi trường trong lành , xung quanh đầy đủ tiện ích: Ngân hàng, trường học các cấp, siêu thị, bệnh viện, công viên,...không thiểu thứ gì. Giao thông di chuyển thuận lợi các phố: Lê Trọng Tấn, Phan Đình Giót, La Khê, Văn Phú, Trần Đăng Ninh, Văn La,..gần tuyết đường sắt Cát Linh trên cao, bến xe bus rất gần, vài bước chân ra phố. Giá: 4 tỷ ( có thương lượng). Sổ đỏ chính chủ, pháp lý chuẩn. Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.   - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",03/01/2022,Tin thường,batdongsan_so_com_vn_1673833373.7761211,,
"3,96 tỷ VNĐ",Cầu Đơ- Hà Đông, 39m2,, 4,,,"Nhỉnh 3 tỷ, ô tô, lô góc, kinh doanh, 39m2x 4 tầng, Cầu Đơ, Hà Đông Ông chú gửi bán nhà đẹp vị trí kinh doanh rất đắc địa, tầm tiền khu vực không có căn thứ 2, ngõ ô tô tránh, thông tứ tung, dân cư xung quanh đông đúc, vài bước ra chợ lớn Hà Đông, siêu thị Metro, nằm vị trí lõi trung tâm Quận Hà Đông. Giao thông vô cùng thuận lợi di chuyển các hướng: Lê Hồng Phong, Quang Trung, Hoàng Hoa Thám, Văn Phú, Hoàng Diệu, Lê Lợi, Tô Hiệu, Bà Triệu,..gần gas Cát Linh. Nhà được xây khng cột chắc chắn, đầy đủ phòng vừa ở vừa kinh doanh, khu vực đẹp kinh doanh gì cũng hái ra tiền, không mua nhanh quá phí, không có căn thứ 2. Giá: 3.96 tỷ ( có thương lượng). Sổ đỏ chính chủ, pháp lý chuẩn. Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.   - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",03/01/2022,Tin thường,batdongsan_so_com_vn_1673833375.8308415,,
"3,97 tỷ VNĐ",Vạn Phúc- Hà Đông, 38m2,, 4,,,"Kinh doanh, ngõ thông ô tô, 38m2x4 tầng, Vạn Phúc, Hà Đông Chủ nhà cần bán trước tết âm lịch nhà đẹp vị trí kinh doanh lô góc lý tưởng, khu vực không có căn thứ 2, ngõ rộng thông muôn nơi, ô tô tránh nhau, trước nhà sân chơi chung tuyệt đẹp, không gian lý tưởng vừa ở vừa kinh doanh, dân cư qua lại đông đúc, vị trí kinh doanh tuyệt đỉnh, vài bước ra phố. Khu vực Vạn Phúc nổi tiếng với Làng Lụa, nhiều khách du lịch, nhà bán ngõ thông, gần các điểm du lịch , kinh doanh được đủ các loại hình, khu hiếm nhà bán. Giao thông di chuyển tuyến phố chính: Quang Trung, Tố Hữu, Thanh Bình, Yết Kiêu, Ngô Quyển, Văn Quán, Phúc La, Nguyễn Trãi,... Xung quanh đầy đủ các tiện ích, nhà đẹp , gia chủ làm ăn thịnh vượng, con cháu đuề huề rất có lộc. Giá: 3.97 tỷ ( có thương lượng). Sổ đỏ chính chủ, pháp lý chuẩn. Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.   - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",03/01/2022,Tin thường,batdongsan_so_com_vn_1673833378.1423445,,
"3,9 tỷ VNĐ",Cầu Đơ- Hà Đông, 42m2,, 4,,,"Nhỉnh 3 tỷ, ô tô gần, kinh doanh, 42m2x 4 tầng, Cầu Đơ, Hà Đông Ông chú gửi bán nhà đẹp vị trí mặt ngõ thông đắc địa, tầm tiền khu vực không có căn thứ 2, dân cư xung quanh đông đúc, vài bước ra chợ lớn Hà Đông, ô tô rất gần, nằm vị trí lõi trung tâm Quận Hà Đông. Giao thông vô cùng thuận lợi di chuyển các hướng: Lê Hồng Phong, Đa Sỹ, Lê Lợi, Bà Triệu, Tô Hiệu, Hoàng Hoa Thám, Phùng Hưng , Văn Quán,Lê Hồng Phong,..... Nhà được xây khung cột chắc chắn, đầy đủ phòng vừa ở vừa kinh doanh, các phòng ban công cửa sổ rộng thoáng sáng, không mua nhanh quá phí. Giá: 3.9 tỷ ( có thương lượng). Sổ đỏ chính chủ, pháp lý chuẩn. Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.   - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",04/01/2022,Tin thường,batdongsan_so_com_vn_1673833382.7199686,,
"3,95 tỷ VNĐ",Lê Trọng Tấn- Hà Đông, 37m2,, 4,,,"Cần tiền bán gấp nhà 37m2, kinh doanh lô góc, ô tô tránh, nhỉnh 3 tỷ, Lê Trọng Tấn, Hà Đông Do nhu cầu mở rộng kinh doanh tôi cần bán gấp nhà đẹp, lô góc 3 mặt thoáng kinh doanh rất lý tưởng, khu vực không có căn thứ 2, đường trước nhà ô tô tránh, ngõ thông muôn nơi, dân cư qua lại đông đúc, vài bước chân ra phố. Nhà thiết kế 4 tầng vừa kinh doanh vừa ở rất đẹp, phòng nào cũng thoáng sáng, đầy đủ công năng sử dụng. Xung quanh đầy đủ tiện ích: Ngân hàng, siêu thị, sân bóng, chợ, trường học, bệnh viện,...dân cư văn minh , môi trường trong lành tuyệt vời. Giao thông di chuyển thuận lợi các phố: Lê Trọng Tấn, Quang Trung,  Văn Phú, Trần Đăng Ninh, Lý Thường Kiệt, Ngô Thì Nhậm,...gần gas Cát Linh, bến xe bus rất gần. Sổ đỏ chính chủ, pháp lý sạch. Giá: 3.95 tỷ ( có thương lượng). Liên hệ ngay với em Huyền : 0965472910 ( miễn trung gian). ",05/01/2022,Tin thường,batdongsan_so_com_vn_1673833385.1160357,,
"4,25 tỷ VNĐ",Phan Đình Giót- Hà Đông, 50m2,, 4,,,"Bán nhà trước tết, 50m, 4 tầng, nhỉnh 4 tỷ, ngõ thông, nở hậu, Phan Đình Giót, Hà Đông. - Chủ nhà gửi bán nhà đẹp vị trí đắc địa sầm uất bậc nhất Hà Đông, gần chợ Bông Đỏ, thông sang Ngô Thị Nhậm, Quang Trung, Tố Hữu, Ngô Quyền, Văn Khê. - Ngõ rộng thoáng, thông tứ tung, dân cư đông đúc, hàng xóm thân thiện, văn minh. Chủ nhà tự mua đất xây nhà rất mới ở vài năm, tổng 6 phòng ngủ rộng, đất nở hậu, nhà đẹp nhất khu tầm tiền hiếm không có căn thứ 2. - Chủ nhà làm ăn phát nay chuyển sang ở biệt thự nên cần bán gấp trước tết. Con cháu đuề huề, nhà rất có lộc. - Giá:  4.25 tỷ ( có thương lượng). - Sổ đỏ vuông, sẵn sàng giao dịch. - Liên hệ xem nhà : 0965472910.",05/01/2022,Tin thường,batdongsan_so_com_vn_1673833387.2110598,,
7 tỷ VNĐ,"Bồ Đề, Bồ Đề, Long Biên.", 64m2,,,,," NHÀ PHỐ BỒ ĐỀ - TRUNG TÂM TIỆN ÍCHĐẤT PHÂN LÔ - Ô TÔ - KINH DOANH - MẶT TIỀN RỘNG- NGÕ THÔNG+ Vị trí tuyệt đẹp ngay đầu phố Bồ Đề, nhà sát phố Nguyễn Văn Cừ luôn, trung tâm phường Bồ Đề, gần: Hồ, trường quốc tế Wellspring.+ Sổ đỏ cất két,  giao dịch ngay.Lh E Mai 0983724773.",06/01/2022,Tin thường,batdongsan_so_com_vn_1673833389.3738565,,
