price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số toilet,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Hướng
36 tỷ VNĐ,ngõ 2 Hoàng Quốc Việt, 80m2, 4, 10, 8, 8,GARA 3 Ô TÔ TRÁNH - 8 TẦNG THANG MÁY - KINH DOANH ĐỈNH CAO - PHÂN LÔ,15/08/2022,Tin thường,batdongsan_so_com_vn_1673808593.5255954,,
"4,2 tỷ VNĐ",Đường Cầu Bươu phường Tân Triều, 67m2, 3, 10, 1, 1,"
    MẶT PHỐ - KĐT ĐẠI THANH - KINH DOANH - VĂN PHÒNG.+ Vị trí nhà đẹp, nằm trên đường Kim Giang kéo dài, gần Phan Trọng Tuệ, sát KĐT Đại Thanh. Khu vực đông dân cư, tiện ích ngập tràn.+ Nhà cấp 4 đang làm văn phòng công ty. chủ mới xây tòa nhà 8 tầng thang máy vừa ở vừa cho thuê quá tuyệt.+ Chủ nhà thiện chí, pháp lý đầy đủ, sẵn sàng giao dịch.+ Liên hệ Thu Hà 0987482665 để biết thêm chi tiết.",15/08/2022,Tin thường,batdongsan_so_com_vn_1673808595.1502492, 2,
"6,5 tỷ VNĐ",Đường Tôn Thất Tùng phường Khương Thượng, 40m2, 6, 5, 5, 4,"
    Nằm ở vị trí trung tâm Thành phố căn nhà với trăm nghìn tiện ích, 1 bước ra thẳng phố lớn Tôn Thất Tùng,Trường Chinh,… Bên cạnh đó là ĐH Y, bệnh viện Bạch Mai,Nhiệt Đới,…Rất nhiều khu vui chơi cho trẻ em & trung thương mại lớn xung quanh Royal City, Vincom Phạm Ngọc Thạch.+ tầng 1: mặt tiền rộng tiện kinh doanh ,thuê shop.+ tầng 2-3-4: phòng ngủ và Wc rộng thoáng.+ tầng 5 : sân phơi & phòng thờ phong thủy đẹp.***Do có nhu cầu tìm nhà lớn hơn và yên tĩnh tuổi Hưu trong khu Ocean Park nên muốn bán lại.Miễn trung gian và Môi Giới. Liên lạc trực tiếp: 0782479469.Giá : nhỉnh 6 tỷ.Sổ đỏ sẵn sàng giao dịch & công chứng.",15/08/2022,Tin thường,batdongsan_so_com_vn_1673808596.5953825, 4,
"3,7 tỷ VNĐ",Đường Thạch Bàn phường Thạch Bàn, 58m2, 5, 5, 5, 4,"Bán nhà Thạch Bàn, siêu đẹp, thoáng sáng, kinh doanh, 58m, 5 tầng nhỉnh 3 tỷ 0977576383 -          Tiện ích ngập tràn , mở cửa ra là thấy chợ, đi bộ vài bước là tới trường tiểu học, cấp 2,3 -     Tầng 1 trước chủ cho thuê để kinh doanh.Lh e hạnh để được tư vấn hỗ trợ miễn phí ; 0977576383 ",15/08/2022,Tin thường,batdongsan_so_com_vn_1673808597.964721, 3,
"3,5 tỷ VNĐ",Đường Vĩnh Hưng phường Vĩnh Hưng, 35m2, 3, 3, 5, 4,"Bán gấp nhà Vĩnh Hưng, 35M x 5T, ngõ ba gác phi, lô góc 2 mặt giá 3.5 tỷ - Vị trí siêu đẹp, nhà đẹp gần chợ, bệnh viện và trường học - Thiết kế: gồm Phòng khách, bếp , phòng thờ và sân phơi, 5 tầng, 3 ngủ, 4 wc - Sổ chính chủ liên hệ Huy 0969338058",15/08/2022,Tin thường,batdongsan_so_com_vn_1673808599.6003873, 5,
"11,5 tỷ VNĐ",Đường Đông Tác phường Kim Liên, 52m2, 5, 3, 2, 1,"
    


MẶT PHỐ - VỈA HÈ - Ô TÔ DỪNG ĐỖ - 2 MẶT THOÁNG.

ĐÔNG TÁC 52M kinh doanh đỉnh, giá hơn 11 tỷ.

Mô tả:
- Mặt phố mới, chưa đánh số, nhà mình bên cạnh nhà số 68 nên gọi là số 66.
- Ngõ 41 Đông Tác thông ra 120 Trường Chinh, đường rộng như phố, vỉa hè, ô tô dừng đỗ, kinh doanh tấp lập.
- Hiện trạng đang là nhà Cấp 4 chủ xác định bán đất.
- Nhà 2 mặt ngõ trước sau, sổ đỏ vuông đẹp, khách mua về xây toà 8 tầng thì quá tuyệt vời.Liên hệ ngay để được tư vấn chi tiết.
",15/08/2022,Tin thường,batdongsan_so_com_vn_1673808601.005983, 2,
"5,8 tỷ VNĐ","Cự Lộc, Nhân Chính, Thanh Xuân", 36m2, 5, 2, 6, 5,"Bán Nhà Cự Lộc, Thanh Xuân,Lô Góc,Thoáng Đẹp,Ở Luôn, DT 36m2 x6T, Chỉ 5.8 TỷVị trí ngôi nhà nằm trung tâm quận Thanh Xuân, gần trường tiểu học Nhân Chính, hàng xóm với khu Đô Thị Royal CiTy, nên thừa hưởng vô vàn tiện ích của khu đô thị, nhà cách Ô tô tránh 70m, thông ra ngõ 72 Nguyễn Trãi, Giáp Nhất, nơi an sinh và làm việc quá tuyệt vời.- Thiết Kế:Nhà xây 6 tầng kiên cố, căn góc thoáng đãng vô cùng, từ tầng 2 trở lên đua ra thành 40m2 sàn.+ T1 phòng khách, bếp + wc+ T2,3,4 mỗi tầng 1 phòng ngủ rộng +wc.+ T5 phòng thờ.+ T6 Sân phơi.Pháp lý: Sổ đỏ chính chủ, vuông vắn sẵn sàng giao dịchGiá bán: 5.8 tỷ ( có thương lượng)Liên hệ trực tiếp 24/7 để đi xem nhà miễn phí.    - Mr Luyện thổ cư: 0911779569- Chuyên Nhà đất Thổ cư các phân khúc từ 1 tỷ đến trên 100 tỷ. “TRAO GỬI NIỀM TIN_ NHẬN LẠI YÊU THƯƠNG”",15/08/2022,Tin thường,batdongsan_so_com_vn_1673808602.392282, 3,
"4,25 tỷ VNĐ",Đường Cầu Giấy phường Dịch Vọng, 30m2, 4, 2, 5, 4,"Cần Bán nhà đường Cầu Giấy 5 tầng, MT 4.5m, 4.25 tỷ Nhà mới đẹp, 5 tầng, khung cột chắc chắn. Mặt tiền rộng 4.5m. Khu vực thuận tiện giao thông đi lại, kết nối Cầu Giấy - Láng - La Thành - Vành đai 2 Sổ đỏ sẵn sàng giao dịch, công chứng sang tên luôn. Giá chào bán 4.25 tỷ (Có TL) Gọi ngay cho em Thịnh để xem nhà 24/7 Miễn MG, TG Cam kết thông tin thật 100% Cảm ơn đã đọc tin.",15/08/2022,Tin thường,batdongsan_so_com_vn_1673808604.024955, 3,
"6,35 tỷ VNĐ",Đường Thụy Phương phường Thụy Phương, 71m2, 4, 3, 4, 3," + Nhà dân xây tâm huyết, kiên cố chắc chắn. Nhà 4 tầng rất đẹp, lô góc 2 mặt tiền, ô tô đỗ cửa. + Thiết kế 4 tầng, 04 ngủ, 03 WC, đầy đủ công năng. Thiết kế hài hòa, phòng nào ánh sáng cũng tự nhiên không cần bật điện. Ban công cây xanh, cafe view rộng dãi thoáng mát tại nhà, khuôn viên nhà rộng tự trồng rau sạch ăn không hết. + Vị trí thuận tiện đi lại, vài bước ra mặt phố Thụy Phương ô tô tránh . Xung quanh khu dân cư văn minh lịch sự, dân trí cao, an ninh đảm bảo, tiện ích không thiếu thứ gì.  + Vị trí gần chợ Kẻ Vẽ, UBND Thụy Phương, Công an Thụy Phương. Khu vực cách đường Phạm Văn Đồng, An Dương Vương, đường Đông Ngạc, đường Hoàng Tăng Bí, Ciputra, Bệnh viện Nam Thăng Long 1km. Bán kính 3 km gồm các trường đại học: Đại học Tài nguyên và Môi trường, Đại học Mỏ, Đại học Y tế Công cộng, Học viện Tài chính.... + Sổ đẹp, nở hậu sẵn sàng giao dịch.   ",15/08/2022,Tin thường,batdongsan_so_com_vn_1673808605.3743036, 4,
,Đường Lê Trọng Tấn phường Khương Mai, 175m2, 7, 4, 1, 2,"
    CẦN BÁN MẢNH ĐẤT TẶNG VĂN PHÒNG KINH DOANH PHỐ LÊ TRỌNG TẤN, QUẬN THANH XUÂN HÀ NỘI.Diện tích 175m2, mặt tiền 7m, ngay sau toà nhà Atermis, lô góc, mặt ngõ ô tô tránh, kinh doanh đa dạng.Vị trí đẹp, lô góc, xây lên cực thoáng. Giá hiện đang rẻ nhất khu phân lô ô tô tránh Lê Trọng Tấn.+ Cách phố Lê Trọng Tấn,  Nguyễn Viết Xuân vài bước chân, quá đẹp cho một tòa văn phòng. căn hộ dòng tiền, doanh thu khủng.Sổ đỏ phân lô, chính chủ, pháp lý sạch, sang tên ngay. Giá nhỉnh 25 tỷ có thương lượng.Liên hệ tôi Tuấn Anh 0937651883 trao đổi trực tiếp với chính chủ. Miễn trung gian Môi giới.
",15/08/2022,Tin thường,batdongsan_so_com_vn_1673808606.742644, 4,
