price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Lộ giới,Số toilet
"4,1 tỷ VNĐ",Nguyễn Khoái, 48m2, 7, 3, 3,"Ô TÔ VÀO NHÀ, KINH DOANH, LÔ GÓCS = 48m, 3 tầng, giá chỉ 4.1 tỷ + Chủ nhà thiện chí, cần bán gấp để chia tài sản. + Hiện trạng nhà 3 tầng rất đẹp ở ngay. + Giao thông: Minh Khai, Thanh Đàm, Vĩnh Hưng, Vĩnh Tuy,… + Sổ đỏ chính chủ, giao dịch ngay. * Liên hệ em Bình, chỉ bán nhà đẹp giá tốt, tư vấn và xem nhà nhiệt tình, miễn phí. * Không tiếp môi giới.",14/06/2022,Tin thường,batdongsan_so_com_vn_1673820057.784327,,
"3,95 tỷ VNĐ",Đường Khương Đình phường Khương Đình, 40m2, 4, 5, 3,"
    Chỉ 3,95tỷ sở hữu ngay nhà đẹp nhất Khương Đình - Thanh Xuân - Nhà ở ngay vị trí ngay trung tâm , nơi đắt đỏ bậc nhất HÀ Nội, ngõ thông tứ phía ra các đường Nguyễn Trãi, Tây Sơn, Trường Chinh....- Gần ngay Royal city, đi làm đi chơi giải trí đều thuận lợi - Gần rất nhiều trường đại học danh tiếng như dh Thủy lợi, đh Công Đoàn- Khương Đình thì rất nhiều chợ ạ- Chủ nhà sang nước ngoài đang cần bán gấp nên giá rất rẻ ai nhanh thì còn ạ- Liên hệ em Lợi. để được tư vấn miến phí và tận tình nhất. Hỗ trợ anh chị tất cả các thủ tục pháp lý, sang tên.
",14/06/2022,Tin thường,batdongsan_so_com_vn_1673820061.7591388, 3, 3
"6,2 tỷ VNĐ",Hạ Đình - Thanh Xuân, 55m2, 4, 4, 4,"BÁN NHÀ KHƯƠNG HẠ – THANH XUÂN, PHÂN LÔ Ô TÔ, 6.2 TỶ Chính chủ nhờ bán nhà 4 tầng 55m2 phân lô – ô tô khu Khương Hạ - Thanh Xuân, nội thất cơ bản chỉ việc về ở Ngõ phố phân lô vuống vắn. Khu phố văn minh. Hàng xóm cán bộ công chức ... Tiện ích đầy đủ cho cuộc sống Thuận tiện di chuyển Nguyễn Trãi, Khuất Duy Tiến, Nguyễn Xiển. Sổ đỏ chính chủ, sẵn sàng giao dịch, thương lượng trực tiếp chủ nhà Liên hệ: KS. Phương - 0918120568",14/06/2022,Tin thường,batdongsan_so_com_vn_1673820063.4334443,, 4
"4,95 tỷ VNĐ","Trần Phú, Văn Quán, Hà Đông", 50m2, 5, 5, 4," * Bán nhà đường Trần Phú, Văn Quán, Hà Đông. Nhà thiết kế đẹp, tuyệt đỉnh ở ngay, an sinh, an ninh đỉnh. DT 50m, 5T, MT 5.2 giá chưa tới 5 tỷ. + Vị Trí: Thoáng đẹp, thuận tiện, trung tâm phố đầy đủ tiện ích. + Gần Hồ Gươm Plaza, Big C Hà Đông, cạnh KĐT Văn Quán, 200m ra đường Trần Phú giao thông thuận tiện. + Nhà khung cột chắc, thiết kế đẹp, xem thực tế đẹp hơn trong ảnh, + Giá chỉ 4.95 tỷ. thương lượng trực tiếp miễn trung gian. + Sổ vuông đỏ nở hậu nhẹ chính chủ, sẵn sàng giao dịch. # HotLine: 0983858722 Tình nhà phố ( chuyên mua, bán, nhận ký gửi có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",13/06/2022,Tin thường,batdongsan_so_com_vn_1673820065.3652108, 3,
"2,25 tỷ VNĐ","Văn Phú, Hà ĐÔNG", 32m2, 5, 2, 2,"Bán Đất Tặng Nhà,Phố Lý Thường Kiệt, Văn Phú, Hà Đông, Ở Luôn 32m2x 2T. Chỉ 2.25 Tỷ.Vị trí khu trung tâm, gần chợ, gần trường mầm non, Mặt Trời Đỏ, tiểu học, THCS, THPH Văn Phú, tiện ích xung không thiếu, vài bước chân ra MêTrô Hà Đông, ngay bệnh viện công an, Tuyến đường kết nối khu đô thị HuynDai, Văn Phú.Thiết kế: Nhà xây 2 tầng mặt tiền rộng 5.8 m, hiện đang cho thuê trọ, xác định bán đất+ Vị trí: Nhà ngõ dùng để ở+ Nhà đầy đủ công năng, tổng 2 PN, Phòng Khách, Bếp, Phòng thờ, sân phơi...+ Nhà thuộc khu an ninh tốt, dân trí cao.+ Pháp Lý: Sổ đỏ chính chủ, sẵn sàng giao dịch.+ Giá bán: 2.25 tỷ ( Có thương lượng ).Liên hệ trực tiếp 24/7 để đi xem nhà miễn phí.    - Mr Luyện thổ cư: 0911779569- Chuyên Nhà đất Thổ cư các phân khúc từ 1 tỷ đến trên 100 tỷ. “TRAO GỬI NIỀM TIN_ NHẬN LẠI YÊU THƯƠNG”",13/06/2022,Tin thường,batdongsan_so_com_vn_1673820067.522755, 1, 2
,Phố Cù Chính Lan, 48m2,, 5,,"+ Cần bán nhà Cù Chính Lan - Thanh Xuân, 48m2, 5 Tầng, PHÂN LÔ QUÂN ĐỘI, Ô TÔ TRÁNH NHAU, Giá 5.2 Tỷ + Trung tâm Quận Thanh Xuân, cách Ngã Tư Sở 160m, khu dân trí cao, rất đáng sống.+ Nhà vị tí cực đẹp, cách đường Trường Chinh 180m, tiện ích ngập tràn.+ Chủ là dân thiết kế, xây tâm huyết để ở, khung cột chắc chắn, đầy đủ công năng sử dụng.+ Sổ đỏ chính chủ , pháp lý chuẩn, sang tên nhanh. LH: Em Hoan, 0925088355, chuyên thổ cư Hà Nội, miễn phí xem nhà 24/7.",13/06/2022,Tin thường,batdongsan_so_com_vn_1673820069.1199217,,
"3,44 tỷ VNĐ",Mỗ Lao- Hà Đông, 39m2,, 5,,"Nhà đẹp Mỗ Lao, Hà Đông, 39m, 5 tầng, ngõ thông thoáng, gần ô tô, nội thất xịn Người thân gửi bán nhà đẹp khu trung tâm bậc nhất Mỗ Lao, Hà Đông . Nhà thiết kế tâm huyết vô cùng hiện đại với 5 tầng thoáng sáng đầy đủ công năng sử dụng, ngõ thông thông gần ô tô, gần phố vị trí đẹp dân cư đông đúc kinh doanh sầm uất ngày đêm. Xung quanh siêu thị Big C, ngân hàng trường học các cấp, bệnh viện lớn,..khu vực văn minh rất hiếm nhà bán. Hàng xóm toàn công viên chức, nếp sống hiện đại. Giao thông di chuyển thuận lợi giáp Nam Từ Liêm, thẳng lên Thanh Xuân, đối diện Văn Quán, hàng xóm Yết Kiêu, chạy song song Phúc La,… Chủ nhà là doanh nhân thành đạt có nhiều tài sản bán bớt để đầu tư kinh doanh. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 3.44 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",13/06/2022,Tin thường,batdongsan_so_com_vn_1673820070.6947238,,
"3,45 tỷ VNĐ",Văn Quán- Hà Đông, 38m2,, 5,,"Bán nhà Văn Quán, Hà Đông, 38m, 5 tầng, gần ô tô, ngõ thông, nội thất xịn Bán nhà hiếm có khó tìm trung tâm phường Văn Quán, Hà Đông. Nhà dân xây tâm huyết đẹp, thông thoáng với 5 tầng ánh sáng ngập tràn, xem là mê, nội thất xịn rất sang trọng, chỉ việc đến ở. Bán kính xung quanh nhà đầy đủ tiện ích: trường học, ngân hàng, siêu thị, bệnh viện, chợ, khu vui chơi giải trí,… Giao thông đi muôn nơi trung tâm nối các tuyến phố sầm uất Phúc La, đối diện Mỗ Lao, dọc xuống vạn Phúc, gần vườn hoa Nguyễn Trãi,… Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 3.45 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",13/06/2022,Tin thường,batdongsan_so_com_vn_1673820072.0530746,,
"3,45 tỷ VNĐ",Văn Quán- Hà Đông, 38m2,, 5,,"Bán nhà Văn Quán, Hà Đông, 38m, 5 tầng, gần ô tô, ngõ thông, nội thất xịn Bán nhà hiếm có khó tìm trung tâm phường Văn Quán, Hà Đông. Nhà dân xây tâm huyết đẹp, thông thoáng với 5 tầng ánh sáng ngập tràn, xem là mê, nội thất xịn rất sang trọng, chỉ việc đến ở. Bán kính xung quanh nhà đầy đủ tiện ích: trường học, ngân hàng, siêu thị, bệnh viện, chợ, khu vui chơi giải trí,… Giao thông đi muôn nơi trung tâm nối các tuyến phố sầm uất Phúc La, đối diện Mỗ Lao, dọc xuống vạn Phúc, gần vườn hoa Nguyễn Trãi,… Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 3.45 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",13/06/2022,Tin thường,batdongsan_so_com_vn_1673820073.4002154,,
"3,44 tỷ VNĐ",Mỗ Lao- Hà Đông, 39m2,, 5,,"Nhà đẹp Mỗ Lao, Hà Đông, 39m, 5 tầng, ngõ thông thoáng, gần ô tô, nội thất xịn Người thân gửi bán nhà đẹp khu trung tâm bậc nhất Mỗ Lao, Hà Đông . Nhà thiết kế tâm huyết vô cùng hiện đại với 5 tầng thoáng sáng đầy đủ công năng sử dụng, ngõ thông thông gần ô tô, gần phố vị trí đẹp dân cư đông đúc kinh doanh sầm uất ngày đêm. Xung quanh siêu thị Big C, ngân hàng trường học các cấp, bệnh viện lớn,..khu vực văn minh rất hiếm nhà bán. Hàng xóm toàn công viên chức, nếp sống hiện đại. Giao thông di chuyển thuận lợi giáp Nam Từ Liêm, thẳng lên Thanh Xuân, đối diện Văn Quán, hàng xóm Yết Kiêu, chạy song song Phúc La,… Chủ nhà là doanh nhân thành đạt có nhiều tài sản bán bớt để đầu tư kinh doanh. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 3.44 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",13/06/2022,Tin thường,batdongsan_so_com_vn_1673820075.2063837,,
