price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id
"7,3 tỷ VNĐ",Đường Thụy Phương phường Thụy Phương, 55m2, 7, 5, 3, 4, 3,""",="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(229,239,255);="""" text-indent:="""" user-select:="""" text;="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" initial'cần="""" bán="""" ngôi="""" nhà="""" cực="""" đẹp="""" thuỵ="""" phương.vị="""" trí="""" tuyệt="""" vời="""" span="""" p="""" pspan="""" initial'dt:55mx3,5="""" tầng="""" initial'="""">Mặt tiền:7,6m Giá:132tr/1m( có TL)  "",="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(229,239,255);="""" text-indent:="""" user-select:="""" text;="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" initial'-="""" nhà="""" 3="""" tầng="""" 1="""" tum="""" ,="""" phòng="""" khách="""" master="""" vs="""" lô="""" góc="""" 2="""" thoáng="""" đẹp="""" nhất="""" khu="""" phố.="""" span="""" p="""" pspan="""" 2,3="""" mỗi="""" ngủ="""" wc="""" -trên="""" cùng="""" là="""" thờ="""" và="""" ban="""" công="""" thiết="""" kế="""" kiểu="""" châu="""" Âu="""" cực="""" trc="""" mặt="""" view="""" hồ.="""" mát="""" initial'="""">-Ô tô đỗ cưả ngày đêm , đường ô tô trải Tránh. Tiện ích xung quanh và An Ninh cực tốt. Yên tĩnh.  "",="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(229,239,255);="""" text-indent:="""" user-select:="""" text;="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" initial'-="""" gần="""" chợ="""" vẽ="""" cấp="""" 1="""" 2="""" đông="""" ngạc="""" ,="""" thụy="""" phương="""" đại="""" học="""" mỏ="""" viện="""" tài="""" chính="""" và="""" nhiều="""" trường="""" khác.="""" span="""" p="""" pspan="""" initial'="""" sdt:="""" span0868555552span=""""> E Cường",06/10/2022,Tin thường,batdongsan_so_com_vn_1673796807.4084415
6 tỷ VNĐ,Đường Kim Mã phường Kim Mã, 56m2, 5, 5, 4, 4, 4,"Tọa lạc tại vị trí trung tâm, sầm uất,trước nhà sân rộng thênh thang, 3 gác quay đầu thoải mái, an sinh, tiện ích không thiếu thứ gì, chủ mới về vào ở luôn, kèm theo sổ hộ khẩu trung tâm quận Ba Đình,  - Tầng 4: Phòng thờ, sân chơi rất thoáng   ",06/10/2022,Tin thường,batdongsan_so_com_vn_1673796809.057082
3 tỷ VNĐ,Đường Ngọc Trục phường Đại Mỗ, 38m2, 4, 3, 5, 4,,"+ mấy bước chân ra phố, cạnh đường Lê Văn Lương, Khuât Duy TIến, đã có dự án đang mở đường, kết giao với cầu vượt Mễ Trì, Phố Đại Linh, sang Phố Ngọc Trục, Đại Mỗ, Hà Đông.+ Nhà đẹp long lanh, thiết kế hiện đại, các phòng đều có cửa sổ thoáng sáng. Tầng 2,3: Mỗi tầng 2 phòng ngủ. + LH",06/10/2022,Tin thường,batdongsan_so_com_vn_1673796810.4574623
3 tỷ VNĐ,Đường Ngọc Trục phường Đại Mỗ, 38m2, 4, 3, 5, 4,,"+ mấy bước chân ra phố, cạnh đường Lê Văn Lương, Khuât Duy TIến, đã có dự án đang mở đường, kết giao với cầu vượt Mễ Trì, Phố Đại Linh, sang Phố Ngọc Trục, Đại Mỗ, Hà Đông.+ Nhà đẹp long lanh, thiết kế hiện đại, các phòng đều có cửa sổ thoáng sáng. Tầng 2,3: Mỗi tầng 2 phòng ngủ. + LH",06/10/2022,Tin thường,batdongsan_so_com_vn_1673796811.9874678
"7,6 tỷ VNĐ",Đường Kiêu Kỵ phường Kiêu Kỵ, 60m2, 4, 15, 5, 4, 5,"Phân khu Thời Đại: Tâm điểm nhịp sống thời thượng giữa lòng Vịnh biển. Phân khu Vịnh Tây: Santorini tuyệt mỹ trong ánh hoàng hôn. Phân khu Phố Biển: Vẻ đẹp Bali phóng khoáng thăng hoa trong kiến trúc hiện đại. Phân khu Ánh Dương: Châu Âu lãng mạn tràn đầy cảm hứng nghệ thuật. Phân khu Vịnh Thiên Đường: Nơi tận hưởng biển xanh, cát trắng, bốn mùa trong lòng phố. Phân khu Đảo Ngọc: Quy hoạch khép kín mang đến đặc quyền sống riêng tư, đảm bảo an ninh, an toàn 24/7. Phân khu Vịnh Xanh: Biệt thự ven sông đẳng cấp mang phong cách Hy Lạp cổ điển. Phân khu Hải Đăng: Tọa độ giao thương sầm uất với phong cách kiến trúc Hà Lan. SIÊU CHÍNH SÁCH ƯU ĐÃI 5S HẤP DẪN  Vốn ban đầu chỉ từ 1,8 TỶ ĐỒNG  SIÊU AN TÂM - 7,5%/năm trong 5 năm. Tổng là: 37,5% sau 5 năm  SIÊU SINH LỜI - Cam kết tiền thuê 30%/5 năm   SIÊU LINH HOẠT - Đa dạng gói vay 40% hoặc tới 70% HĐMB lãi suất 0% tới 18 tháng.  SIÊU BẢO ĐẢM - Đảm bảo lãi vay không quá 9,5% từ sau tháng 18 đến tháng 30  SIÊU TIỀM NĂNG - Tiềm năng tăng giá mạnh mẽ bởi hạ tầng giao thông đồng bộ, bứt pháNhưng sau tất cả, các dự án biệt thự/Shophouse Vinhomes khi dân về ở giá đã tăng nhiều hơn cam kết thậm chí một số dự án giá x2, x3 Vì vậy, đầu tư VHOP3- The Crown với sự cam kết đảm bảo lợi nhuận vốn từ Vinhomes, NĐT chỉ thắng chứ không hoà ⭐️ Cùng chờ đón Siêu phẩm BĐS Vinhomes Ocean Park 3 - The Crown sẽ ra mắt trong tháng 10 nàyMọi thắc mắc xin liên hệ :  #VinhomesOceanPark3 #TheCrown #Vinhbienthuongluu#Bonmuahanhphuc #VietsunNamBac",06/10/2022,Tin thường,batdongsan_so_com_vn_1673796813.9131315
"2,2 tỷ VNĐ",Đường Tân Mai phường Tân Mai, 25m2, 3, 3, 5, 4, 4,"Bán gấp nhà Nguyễn Chính, Hoàng Mai, di chuyển thuận lợi đi đường đôi Tân Mai, Trương Định, Kim Đồng, rất gần chợ, bệnh viện, trường học, tiện ích xung quanh không thiếu thứ gì.  ';="""" font-variant:="""" normal;="""" vertical-align:="""" baseline;="""" white-space:="""" pre;="""" font-weight:="""" 400;="""" color:="""" #050505;="""" font-style:="""" background-color:="""" transparent""="""" dir=""ltr"" p="""" role=""presentation"" pre-wrap;="""" #ffffff""nhà="""" xây="""" dựng="""" cơ="""" bản="""" chắc="""" chắn,="""" 5="""" tầng,="""" đủ="""" công="""" năng="""" với="""" 4pn,="""" nhà="""" thuộc="""" khu="""" dân="""" trí="""" cao,="""" an="""" ninh="""" tốt.="""" phù="""" hợp="""" cho="""" khách="""" mua="""" để="""" ở,="""" kinh="""" doanh,="""" thuê,="""" giữ="""" tiền.="""" span="""" li="""">
Sổ đỏ chính chủ, thiện chí bán. ",06/10/2022,Tin thường,batdongsan_so_com_vn_1673796815.4839153
"15,5 tỷ VNĐ",Quận Cầu Giấy, 50m2,,,,,,"CHÍNH CHỦ CẦN BÁN NHÀ LÔ GÓC MẶT PHỐ TRẦN QUỐC VƯỢNG, KINH DOANH 0962745289. + GIÁ NHỈNH 15 TỶ CẦU GIẤY.+ DT: 50M2, 7 TẦNG THANG MÁY, MẶT TIỀN 4M. KINH DOANH, CHO THUÊ VĂN PHÒNG. GIÁ NHỈNH 15 TỶ CẦU GIẤY.+ VỊ TRÍ NHÀ LÔ GÓC MẶT PHỐ TRẦN QUỐC VƯỢNG. Trung tâm Quận Cầu Giấy. Tiện ích miễn bàn.+ Phố Trần Quốc Vượng thông Duy Tân – Trần Thái Tông - Phạm Văn Đồng – Xuân Thủy.+ Sổ đỏ vuông A4 cất két sẵn sàng giao dịch.+ Giá thương lượng. + Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, sang tên thủ tục nhanh gọn. + Tư vấn 24/7.",29/09/2022,Tin thường,batdongsan_so_com_vn_1673796817.1567473
"3,2 tỷ VNĐ",Lê Hồng Phong, 35m2, 4,, 4, 3,,"✅ Bán nhà Lê Hồng Phong Hà Đông được thiết kế 4 tầng với đầy đủ công năng sử dụng. ✅ Nhà cách phố Lê Hồng Phong vài bước chân, giao thông thuận tiện, với những tuyến đường chính như: Tô Hiệu, Lê Lợi, Quang Trung, Tản Đà, Hoàng Diệu, Bà Triệu, Lê Lai... trường cấp 1, 2 Lê Hồng Phong, chợ liên hiệp thực phẩm, chợ Hà Đông, Me tro Hà Đông... Tiện ích bạt ngàn.  ✅ Nhà thoáng đẹp,  Chủ đang cần bán, hàng xóm thân thiện, an ninh cực tốt.  ✅ Sổ đỏ chính chủ cất két, giao dịch ngay.Chủ cực thiện chí bán.  ☎️ LH NGỌC SƠN 0812316789 ( Thổ Cư HÀ ĐÔNG ).  + Miễn phí xem nhà, hỗ trợ vay vốn ngân hàng, hỗ trợ pháp lý 24/7, thủ tục nhanh gọn… Xin cám ơn quý khách đã xem bài đăng!",06/10/2022,Tin thường,batdongsan_so_com_vn_1673796818.5158188
"15,5 tỷ VNĐ",Quận Nam Từ Liêm, 50m2,,,,,,"GIẢM CHÀO 400 TRIỆU CHỦ CẦN BÁN GẤP NHÀ MỸ ĐÌNH KINH DOANH THANG MÁY NHỈNH 6 TỶ 0962745289 + DT: 50M2 6 TẦNG THANG MÁY MẶT TIỀN 4.6M. GIÁ NHỈNH 6TỶ+ Vị trí cực đẹp, ngõ thông ô tô tránh, 15M RA PHỐ. + Nhà gần ngay Bến xe Mỹ Đình, thông sang đường Nguyễn Hoàng, Thiên Hiền, Phạm Hùng…. Ba bước chân ra chợ, xung quanh nhiều tiện ích.+ + Sổ đỏ chính chủ cất két sẵn sàng giao dịch.+ Giá thương lượng. + Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, sang tên thủ tục nhanh gọn. + Tư vấn 24/7. ",06/10/2022,Tin thường,batdongsan_so_com_vn_1673796820.2023728
"5,5 tỷ VNĐ",Đường Chùa Láng phường Láng Thượng, 45m2,, 4, 5, 8, 4,"
     
DÒNG TIỀN ỔN ĐỊNH 45TR/Tháng - 7 CHỖ ĐỖ CỔNG - NHÀ ĐẸP DÂN XÂY - VIEW HÒ - 2 THOÁNG - SIÊU DÒNG TIỀN
 
Bán nhà phố Chùa Láng, Láng Thượng, Nhà đẹp dân xây, oto vàocổng,Thoáng trước sau,45Mx5T chỉ 5,5 tỷ
+ Vị trí khu vực Chùa Láng tập trung 5 trường đại học cấp quốc gia siêu lớn Đại Học Ngoại Thương, Đại Học Lao Động, Đại Học Ngoại Giao, Đại Học Luật, Đại Học Quốc Gia Hà Nội.....
+ Sinh viên đông đúc, khu vực luôn trong tình trạng khan hiếm phòng trọ. Nhà mặt ngõ thông thương đường Láng, Chùa Láng, Pháo Đài Láng, Nguyễn Chí Thanh.....
+ Thiết kế KCBT kiên cố 5 Tầng - 8pn -mỗi phòng đều có cửa sổ to đón gió mát, ban ngày k cần bật điện, Có đầy đủ giấy chứng nhận phòng cháy chữa cháy của phường.
+ Sổ đỏ vuông đẹp, sẵn sàng giao dịch
 
Liên hệ: em Thu nhà thổ cư Đống Đa - Cầu Giấy.
",06/10/2022,Tin thường,batdongsan_so_com_vn_1673796821.5149822
