price,address,Diện tích,Mặt tiền,Lộ giới,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Số tầng,Số toilet,Hướng
"3,993 tỷ VNĐ",Đường Đại Lộ Thăng Long phường Tây Mỗ, 74m2, 5, 50, 3,"- Diện tích TT: 73,7 m2 - View: Bể bơi, đồi cảnh quan, Shop TMDV, Vườn Gym, Trường học, sân TDTT - CK PDV 700.000đ/m2 trừ vào giá - CK BLNH: 0,8% - Liên hệ Anh Tuấn: 0915221551 để xem căn mẫu",16/08/2022,Tin thường,batdongsan_so_com_vn_1673808389.168893,,,
"3,9 tỷ VNĐ",Đường An Trai phường Vân Canh, 50m2, 3,,,"lô đất50mM "",serif;="""" background:="""" white;="""" color:="""" black;="""" line-height:="""" 107%;="""" mso-ansi-language:="""" vi'nhà="""" hướng="""" nam="""" phong="""" thủy="""" đẹp="""" span="""" p="""" class=""MsoNormalSPAN"" vi'-="""" spanspan="""" black'=""""> "",serif;="""" color:="""" black;="""" mso-ansi-language:="""" vi'hạ="""" tầng="""" đường="""" xá,="""" điện="""" nước="""" đã="""" hoàn="""" chỉnh,="""" rộng="""" từ="""" 11m="""" span="""" p="""" class=""MsoNormalSPAN"" vi'-="""" spanspanroboto="""" background:="""" white;="""" black'="""">(Cam kết thông tin rao bán đều là sản phẩm có thật).",16/08/2022,Tin thường,batdongsan_so_com_vn_1673808390.6609006,,,
"6,85 tỷ VNĐ","Bùi Xương trạch, Khương Đình, Thanh xuân", 55m2,,,,"SIÊU PHẨM BÙI XƯƠNG TRẠCH - Ô TÔ - LÔ GÓC – 6.85 TỶ  Bán nhà Bùi Xương Trạch, Thanh Xuân. Ngõ nông, ô tô, lô góc hai mặt thoáng, nhà đẹp như cung điện. Nhà nằm ở vị trí đẹp, trung tâm của Quận Thanh Xuân, tiện ích vô vàn, gần chợ, gần trường học các cấp, thuận tiện di chuyển đi Nguyễn Trãi, Định Công, Linh Đàm, Kim Giang, Trường Chinh, Lê Trọng Tấn, royal City,… Thiết kế 4 tầng, mỗi tầng 2 ngủ, khung cột bê tông chắc chắn, đầy đủ công năng. Chủ nhà hiền lành, thân thiện, thiện chí bán cho khách hàng có duyên. Giá: 6.85 tỷ có thương lượng Sổ đỏ đẹp, sẵn sàng giao dịch. Liên hệ: 0362368485; 0916286256 Kết nối zalo nhận nhà miễn phí. Hỗ trợ tư vấn pháp lý. ",16/08/2022,Tin thường,batdongsan_so_com_vn_1673808392.082099,,,
"2,6 tỷ VNĐ","Đường Minh Khai, Hoàng Mai", 30m2, 3, 2, 3,"30+ Nhà đẹp, thiết kế hiện đại, khung cột chắc chắn.+ Xây 4T thiết kế thông sàn.+ Khu trung tâm, giáo thông rất thuận tiện.+ Ngay chợ dân sinh Gốc đề và chợ Hoàng Mai.+ 5 phút ra Bệnh viện Thanh nhàn, 10 phút ra Bệnh viện Bạch Mai và các Trường Đại học như Bách Khoa, Xây Dựng, Kinh tế Quốc dân...+ DT: 30m+ Giá chào: 2.6Tỷ.+ Miễn Môi giới, quảng cáo.+ Liên Hệ. Mr Nguyễn Dương - 0825920555.",16/08/2022,Tin thường,batdongsan_so_com_vn_1673808393.2878726, 3,,
"15,2 tỷ VNĐ",Quận Cầu Giấy, 40m2,,,," TRUNG KÍNH PHÂN LÔ Ô TÔ TRÁNH, VỈA HÈ 40M2, MT 5M. NHỈNH 12 TỶ 0962745289+Vị trí ĐẸP, nằm trong khu phân lô ô tô tránh, vỉa hè, ô tô vào nhà. Chủ nhà quan chức  ô tô, khu vực hiếm nhà bán.Trung tâm Quận Cầu Giấy. Tiện ích nhất khu vực.+ Phố thông nhiều tuyến phố chính nội đô. Cầu Giấy- Dương Đình Nghệ- Phạm Hàm- Trung Yên….+Nhà dân xây cực kỳ chắc chắn tâm huyết đầy đủ công năng sử dụng, dân trí cao, an ninh tốt, tiện ích vây quanh, quy hoạch ổn định, gần nhiều trường học các cấp..v..v..+ Sổ đỏ vuông vức trước sau như một. Chính chủ sẵn sàng giao dịch.+ Giá:Thỏa thuận. + Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, sang tên thủ tục nhanh gọn.+ Tư vấn 24/7. ",16/08/2022,Tin thường,batdongsan_so_com_vn_1673808394.4886603,,,
750 triệu VNĐ,Đường Quốc Lộ 18 phường Hiền Ninh, 48m2, 6,,,"Chính chủ gửi bán 48m2 đất tại Yên Ninh - Hiền Ninh - Sóc Sơn, đường trục chính ra sân bóng, giá chỉ 1x,xtr/m2.Thông tin lô đất: Diện tích: 48m2Mặt tiền: 6m - Đường trước mặt 5m ngõ thông, oto vào tận đất.- Tiện ích xung quanh đầy đủ, trường, chạm...........vv.- Đi lại thuận tiện, điện nước đầy đủ, rất phù hợp để đầu tư lâu dài, hoặc sinh sống lâu dài, khuôn đất đẹp có thể chia đôi.+ Quý khách hàng quan tâm liên hệ em Nguyễn Hữu Trường hoặc gọi trực tiếp tới SDT 0368898638 để nhận giá tốt nhất.",16/08/2022,Tin thường,batdongsan_so_com_vn_1673808400.9469016,,,
750 triệu VNĐ,Đường Quốc Lộ 1 phường Hiền Ninh, 48m2, 6,,,"
    Chính chủ cần bán 48m2 Thôn Yên Ninh, Hiền Ninh, Sóc Sơn
+Mặt tiền và hậu rộng 6m
+Chiều sâu hơn 8m, đất vuông, sổ hoa hậu
+ Đường trước mặt rộng 5m+ Cách 50m ra trục liên xã, cách 200m ra chợ, trường học, ủy ban.
+ Phù hợp với khách mua ở kết hợp kinh doanh nhỏ, hoặc mua đầu tư sẽ dễ thanh khoản và sinh lời
+ Pháp lý đất sạch sẽ, không tranh chấp, ko quy hoạch, xung quanh hàng xóm hài hoà, đã có sổ hồng 100% đất ở, sang tên trong ngày.
Lh 0368898638 Em Trường để đi xem đất và được tư vấn miễn phí!
",16/08/2022,Tin thường,batdongsan_so_com_vn_1673808402.2333999,,,
"6,8 tỷ VNĐ","Quan Nhân, Nhân Chính, Thanh xuân", 75m2,,,,"BÁN NHÀ THANH XUÂN – Ô TÔ TRÁNH – LÔ GÓC – KD – 6.8 TỶ BÁN NHÀ QUAN NHÂN, THANH XUÂN NHÀ ĐẸP XÂY CHẮC CHẮN – LÔ GÓC - KHU PHÂN LÔ CHUNG CƯ, ÔTÔ TẢI TRÁNH, DỪNG ĐỖ NGÀY ĐÊM, KINH DOANH CÁC MẶT HÀNG.CỬA NGÕ THANH XUÂN - CẦU GIẤY - ĐỐNG ĐA + Khu vực Dân trí cao, An sinh . Trường học các cấp quanh nhà, ngõ 52 đối diện là ngõ chợ, gần siêu thị Thành đô, Doanh trại Quân đội, Cây xăng Quân và ngập tràn tiện ích. Vợ chồng trẻ đang kinh doanh, rất có lộc, bán đi để mua nhà to hơn. + Sổ đỏ cất két, sẵn sàng giao dịch. + Liên hệ: 0362368485; Kết nối zalo nhận nhà miễn phí. Hỗ trợ tư vấn pháp lý.",16/08/2022,Tin thường,batdongsan_so_com_vn_1673808403.2886214,,,
8 tỷ VNĐ,Hạ Đình, 48m2,,,,"View Hồ, Gara Ô TÔ, 2 Vỉa Hè rộng, Phố Hạ Đình - Thanh Xuân 48m2x6T, THANG MÁY, LÔ GÓC, KINH DOANH, Nhỉnh 8 Tỷ + Vị trí đẹp nhất Phố, gần Hồ hạ Đình thoáng mát, ô tô tránh 2 vỉa hè rộng, kinh doanh sầm uất. + Thang máy nhập khẩu, nhà lô góc thoáng mát. + Sổ đỏ vuông đẹp, pháp lý chuẩn, sẵn sàng dao dịch. LH: Em Hoan, 0925088355, chuyên thổ cư Thanh Xuân, Đống Đa với nguồn nhà hơn 13 000 căn, miễn phí xem nhà 24/7.",16/08/2022,Tin thường,batdongsan_so_com_vn_1673808404.4138246, 6,,
"9,700111 tỷ VNĐ",Đường Võng Thị phường Bưởi, 45m2, 4, 5, 4,""",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(255,255,255);="""" text-indent:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" user-select:="""" text'spansegoe="""" float:="""" display:="""" inline="""" !important;="""" initial'nhà="""" ngõ="""" 29="""" võng="""" thị="""" tây="""" hồ="""" 5="""" tầng,="""" 45m,="""" ô="""" tô="""" tránh,="""" kd,="""" 9.7="""" tỷ.="""" 0902224679="""" span="""" p="""" pspan="""" text'="""">"",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(255,255,255);="""" text-indent:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" user-select:="""" text'+="""" vị="""" trí="""" nằm="""" ở="""" trung="""" tâm="""" quận="""" tây="""" hồ,="""" ngõ="""" ô="""" tô="""" tránh,="""" cách="""" hồ="""" 30m,="""" sáng="""" thể="""" dục="""" tối="""" ngắm="""" cảnh="""" xung="""" quanh="""" bán="""" kính="""" 100m="""" tiện="""" ích="""" ngập="""" tràn.="""" span="""" p="""" pspan="""" text'span="""" text'="""">+ Nhà đẹp lung linh, khách mua chỉ xách vali về ở luôn.  "",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(255,255,255);="""" text-indent:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" user-select:="""" text'span="""" text'+="""" thiết="""" kế:="""" 5="""" tầng="""" với="""" đầy="""" đủ="""" công="""" năng,="""" tổng="""" 4="""" phòng="""" ngủ.="""" span="""" p="""" pspan="""" text'="""">"",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(255,255,255);="""" text-indent:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" user-select:="""" text'+="""" giá:="""" 9.7="""" tỷ="""" (="""" thương="""" lượng="""" với="""" khách="""" có="""" thiện="""" chí="""" )="""" span="""" p="""" pspan="""" text'span="""" text'="""">+ Sổ đỏ nở hậu, giao dịch trong ngày.  "",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(255,255,255);="""" text-indent:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" user-select:="""" text'span="""" text'alo="""" ngay:="""" mr="""" mạnh="""" 0902224679="""" spanspan="""" text'="""">chuyên mua bán thổ cư dòng tiền Hà Nội.",16/08/2022,Tin thường,batdongsan_so_com_vn_1673808405.818111, 5, 4,
