price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Số toilet,Mặt tiền,Lộ giới,Số tầng
"4,099 tỷ VNĐ",29 Tố Hữu, 106m2, Với chính sách bán hàng hấp dẫn: Tặng gói nội thất trị giá lên đến 250tr Hỗ trợ lãi suất 0% đến khi bàn giao nhà. 1 Cái lợi ở đây là CĐT hỗ trợ 0% lãi suất đến khi KH nhận được thông báo bàn giao nhà ( Cái này rất thực tế để KH tự tin về tiến độ) Ngân hàng giải song song: Đợt 1 30% ký HĐMB ( KH vào 30% của 30%. Ngân hàng giải ngân 70% của 30%). CHính sách quá ngon ACE nhé. Giá bán: Thực sự thời điểm này k mua mà chờ thì sẽ không có dự án để mua nữa. Dự án Roman: lúc mở bán : giá 26-28 => Hiện tại bán 41tr - 44tr/m2 Dự án Ecolife: Lúc mở bán giá 28tr-30tr/m2 => giá hiện tại: 43tr-45tr/m2 Đừng chờ đợi Càng chờ đợi giá nhà càng lên CĐT: 0914518699,13/10/2022,Tin thường,batdongsan_so_com_vn_1673795108.9037905,,,,,
"4,3 tỷ VNĐ",29 Tố Hữu, 123m2," Thông tin tổng quan dự án. DỰ ÁN MHD - TRUNG VĂN Địa chỉ: Số 29 Tố Hữu, Nam Từ Liêm, Hà Nội Quy mô: Tổng diện tích đất: 8.266 m2 Diện tích xây dựng: 2.909 m2 - Mật độ xây dựng: 35.19 % Tòa chung cư cao 39 tầng: Diện tích căn hộ: 105, 106, 123 và 136m2 Số lượng căn hộ: 276 căn hộ (sở hữu lâu dài) Mật độ: 7-8 căn/sàn, 7 thang máy Số tầng hầm: 03 hầm - Tổng diện tích 19.618 m2 SỞ HỮU LÂU DÀI Bàn giao: Bàn giao không gian sáng tạo Dự kiến bàn giao: Quý II/2023 VỊ TRÍ NGAY MẶT ĐƯỜNG TỐ HỮU. TIỆN ÍCH ĐẲNG CẤP 5 SAO. - Dự án có 4 tầng thương mại dịch vụ phục vụ cư dân. - Bể bơi vô cực 4 mùa trong nhà rộng. - Trường mầm non quốc tế. - Vườn trên cao Sky Gaden. - TTTM, GYM, SPA, chăm sóc sức khỏe... Căn Hộ chung cư cao cấp MHD Trung Văn - Nâng Tầm Phong Cách Sống. Anh chị có nhu cầu xem căn hộ mẫu và giá chi tiết từng căn hộ liên hệ : 0914518699 ",13/10/2022,Tin thường,batdongsan_so_com_vn_1673795110.2910786, 3, 2,,,
"4,1 tỷ VNĐ",29 Tố Hữu, 106m2," Trả trước 3𝟎% khi ký hợp đồng. Hỗ trợ trả góp 70%, ân hạn nợ gốc, lãi suất 𝟎%% đến khi nhận nhà, trả gốc trước hạn không mất phí phạt. Thanh toán sớm chiết khấu khủng với lãi suất 𝟏𝟎% Diện tích đa dạng từ 105𝐦𝟐 – 136𝐦𝟐 Bàn giao thô 𝟑 hầm để xe và 𝟒 tầng thương mại: Bể bơi trên cao,Siêu thị, Gym, Yoga, cafe ngoài trời, nhà hàng ẩm thực… Sở hữu căn hộ lâu dài. Dịch vụ vận hành theo tiêu chuẩn khách sạn 𝟓* Địa chỉ: 𝟐𝟗 Tố Hữu – Phường Trung Văn – Quận Nam Từ Liêm – Hà Nội (cách ngã tư khuất duy tiến 𝟲𝟬𝟬𝗺.) HOTLINE: 0914518699 ",13/10/2022,Tin thường,batdongsan_so_com_vn_1673795112.741524,,,,,
"4,5 tỷ VNĐ",Đường Khâm Thiên phường Thổ Quan, 41m2,"
    + Căn hộ xây năm 2014, thiết kế cho thuê 9 phòng khép kín, hiện tại các phòng đều đang thuê kín , hợp đồng ký 6 tháng 1 lần, khách đang thuê ở đây đa phần đã thuê được trên vài năm.+ Các phòng đều có công tơ điện, nước riêng biệt, giá phòng giao động: 3,2 ~ 3,5 ~ 4.5 triệu/ phòng, điện 4k/ số, chủ nhà đang tự vận hành cho thuê, mỗi tháng bỏ túi 30 triệu đều như vắt chanh.+ Khách mua về vừa ở vừa cho thuê kiếm thêm thu nhập rất tiện, hoặc mua để giữ tiền cũng rất hợp lý+ Thiết kế :- Tầng 1: Để xe.- Tầng 2: 1 phòng rộng khép kín.- Tầng 3,4,5,6: mỗi tầng 2 Phòng khép kín, các phòng đều có cửa sổ thoáng sáng và ban công phơi đồ.+ Sổ đỏ chính chủ, pháp lý chuẩn, giao dịch trong ngày Liên hệ Mr Tú - xem nhà và tư vẫn miễn phí ( Call.Sms.Zalo )
",13/10/2022,Tin thường,batdongsan_so_com_vn_1673795114.2395167, 9, 9, 3, 2, 6
"1,2 tỷ VNĐ","29 Tố Hữu, Trung Văn, Hà Nội", 105m2," Tặng ngay gói nội thất trị giá 250tr cho khách hàng có thể trừ trực tiếp vào hợp đồng. Khi thanh toán sớm 70% nhận ngay chiết khấu 3% trừ thẳng vào giá bán Hơn nữa chỉ cần 30% ký hợp đồng mua bán , 40% tiếp theo ngân hàng cho vay lãi suất 0% đến khi nhận nhà. Đặc biệt hơn nữa được sử dụng những tiên ích cao cấp chỉ có tại các khách sạn 5 sao. Như. Bể bơi vô cực, cầu treo chân mây, skybar, trung tâm thương mại.... Mật độ xây dựng thấp chỉ 8/căn trên sàn, 7 thang máy tốc độ cao. Quy mô 3 tầng hầm, 4 tầng trung tâm thương mại. Pháp lý sở hữu sổ đỏ lâu dài. Cơ cấu căn hộ chỉ 3 – 4 phòng ngủ. Căn 3 ngủ diện tích 105m2, thiết kế hiện đại vuông vắn giá chỉ từ 4,1 tỷ. Căn 4 ngủ diện tích 123 – 136m2, thiết kế hiện đại 100% các phòng đón sáng tự nhiên giá chỉ từ 5,3 tỷ. Bàn giao căn hộ tháng 6/2023 Dự án chung cư cao cấp MHD Trung Văn Vị trí “vàng” Số 29 đường Tố Hữu – Trung Văn – Nam Từ Liêm – Hà Nội. Liên hệ tư vấn, báo giá, xem căn hộ mẫu 24/7 : 0914518699 ",13/10/2022,Tin thường,batdongsan_so_com_vn_1673795116.8156252, 3, 2,,,
"4,099 tỷ VNĐ","Số 29 Tố Hữu, Nam Từ Liêm, Hà Nội", 106m2," Dự án nằm trên đường Tố Hữu và đường 24M quy hoạch mở rộng Dự án hiếm hoi có cam kết chỗ đỗ xe ngay khi ký HĐMB Dự án chung cư hiếm hoi có mật độ thang máy 40 căn/thang Full tiện ích khách sạn 5 sao Cộng đồng cư dân đẳng cấp Vị trí trung tâm, cách Trung Hoà Nhân Chính 2km Giá chỉ từ 40tr/m2 siêu hấp dẫn Chính sách bán hàng siêu linh hoạt đảm bảo hỗ trợ 100% KH sử dụng được chính sách vay. Chi tiết liên hệ : 0914518699 ",13/10/2022,Tin thường,batdongsan_so_com_vn_1673795117.808967, 3, 2,,,
"5,3 tỷ VNĐ","Số 29 Tố Hưu, Nam Từ Liêm, Hà Nội", 136m2," -----KÝ HĐMB thanh toán chỉ 30% GTCH----- ===> Giá chỉ từ 40 triệu/m2 <=== Tặng ngay gói nội thất 200 -250 triệu thanh toán sớm chiết khấu 130-180 triệu. ký hợp đồng đóng 30% GTCH ngân hàng hỗ trợ trả góp đến 80% giá trị căn hộ trong 20 năm Hỗ trợ lãi suất 0% đến khi nhận nhà. Cam kết có 1 vị trí để ôtô và 2 xe máy Tòa tháp cao 39 tầng, 3 hầm, 4 thương mại, mật độ chỉ 8 căn/sàn, 7 thang máy tốc độ cao. DT đa dạng từ ; 105 -106 123-136m2 Dự kiến bàn quý 2/2023. căn hộ bàn giao không gian sáng tạo Địa chỉ: Tầng 1 , số 29 Tố Hữu, phường Trung Văn, quận Nam Từ Liêm, Hà Nội Liên hệ tham quan dự án và đặt lịch xem căn hộ mẫu. Hotline:  0914518699",13/10/2022,Tin thường,batdongsan_so_com_vn_1673795119.3179305,,,,,
"5,3 tỷ VNĐ","29  Tố Hữu, Nam Từ Liêm, Hà Nội", 136m2," Liên hệ để đăt booking sớm nhất quỹ căn ngoại giao: 0914518699 - Sổ hồng vĩnh viễn. - Diện tích gồm: 105,5 - 106,5 - 123 - 123,8 - 136m2. - Căn hộ thiết kế 3PN - 4PN. - Giá bán từ 39 triệu/m2 (giá đã bao gồm VAT). - Chiết khấu ngay 130 - 180 triệu đồng trừ trực tiếp vào HĐMB. - Chiết khấu gói nội thất trị giá 250 triệu đồng. - Thanh toán 20% GTCH ký HĐMB. - Ngân hàng hỗ trợ 70% giá trị căn hộ trong 20 năm. ------------------------------------------------------- Với vị trí thuận tiện di chuyển các khu vực như Đống Đa, Ba Đình, Hoàn Kiếm. Đặc biệt hầm chui nút giao Lê Văn Lương, Khuất Duy Tiến sắp hoàn thành và thông đường. -------------------------------------------------------- Quy mô: Tổng diện tích đất: 8.266 m2. Diện tích xây dựng: 2.909 m2 - Mật độ xây dựng: 35.19%. Tòa 39 tầng sở hữu lâu dài. Số lượng căn hộ: Tháp 39 tầng: 8 căn/sàn, 276 căn hộ (sở hữu lâu dài), 7 thang máy. Số tầng hầm: 03 hầm - Tổng diện tích 19.618 m2. Khối đế: 04 tầng - tiện ích: Nhà trẻ, phòng gym, bể bơi, TTTM, văn phòng... Cam kết 01 chỗ để ô tô và 02 xe máy cho mỗi hộ trên HĐMB. Bàn giao: Bàn giao thô. Dự kiến bàn giao: Quý II/2023. Liên hệ xem nhà: 0914518699",13/10/2022,Tin thường,batdongsan_so_com_vn_1673795120.7810173, 3, 2,,,
"4,099 tỷ VNĐ","29 Tố Hữu, Nam Từ Liêm, Hà Nội", 106m2," Chính sách ưu đãi chưa từng có tại MHD Trung văn Tặng ngay gói nội thất 200-250 triệu Thanh toán sớm chiết khấu 130-180 triệu). Ký hợp đồng đóng 30% Ngân hàng hỗ trợ trả góp đến 70% giá trị căn hộ trong 20 năm Căn hộ Udic Westlake: Thiết kế tối ưu không gian sống Diện tích từ 105,5m2 đến 136m2. Mật độ chỉ 8 căn hộ/ sàn có 7 thang máy. Sảnh hành lang rộng 3,6m. Trần cao 3,25m. Ký trực tiếp chủ đầu tư Tình trạng: Hoàn Thành 90% dự án, Bàn giao từ tháng 6-2023 Hạ tầng tối ưu, đẳng cấp của chung cư MHD Trung Văn Tổng cả toà có 276 căn hộ. Chủ đầu tư Cam kết mỗi căn hộ có ít nhất 1 chỗ để Oto tại tầng hầm. Tối ưu công năng với phòng đều có ánh sáng và gió tự nhiên Thiết kế 90% căn hộ đều là căn góc với tối đa ánh sáng Vị trí trung tâm - Xứng tầm đẳng cấp Nằm trên trục đường Tố Hữu huyết mạch Di chuyển 5p đến đường Vành Đai Ba,Lê Văn Lương Dễ dàng di chuyển đến khu vực trung tâm, kết nối hạ tầng. Nằm giữa nút giao trung tâm Hà Đông mới: Aeon Mall, trường quốc tế,...cùng trung tâm nội thành Hà Nội, gần kề Vincom Trần Duy Hưng, Trung tâm hội nghị quốc gia, BigC Thăng Long,.... MHD Trung Văn -29 Tố Hữu Liên hệ xem nhà mẫu : 0914518699",13/10/2022,Tin thường,batdongsan_so_com_vn_1673795122.4027295, 3, 2,,,
39 triệu VNĐ/m2,"Số 29 Tố Hữu, Nam Từ Liêm, Hà Nội", 105m2," Vị trí: Số 29 đường Tố Hữu ngay gần Ngã Tư Lê Văn Lương. Dự kiến bàn giao: T6/2023. Thiết kế đa dạng: Căn 3PN: 105m - 106m - 123m -135m - 136m². Giá chỉ từ: 40 triệu/m². Mật độ chỉ 8 căn hộ/ sàn có 7 thang máy. Sảnh hành lang rộng 3,6m. Trần cao 3,25m. Ký trực tiếp chủ đầu tư Tình trạng: Hoàn Thành 90% dự án. Chính sách bán hàng:        Quà tặng nội thất: 200 - 250 triệu đồng.        Thanh toán 70% bằng vốn tự có: Chiết khấu 130 - 180 triệu đồng.        Ngân hàng hỗ trợ 70% giá trị: Lãi suất 0% đến khi nhận nhà.       Pháp lý chuẩn: Sổ hồng vĩnh viễn.       10 căn đầu tiên giá ngoại giao đầu tư liên hệ ngay.",13/10/2022,Tin thường,batdongsan_so_com_vn_1673795124.2458868, 3, 2,,,
