price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Số toilet,Lộ giới
"9,6 tỷ VNĐ",Đê Trần Khát Chân Hai Bà Trưng Hà Nội, 45m2, 5,"+ Nhà mặt phố kinh doanh, kinh doanh sầm uất, tìm không có căn thứ 2. + Nhà mới đẹp, khu vực kinh doanh thu lợi nhuận cực lớn. + Diện tích 45m2, xây dựng 5 tầng khung cột bê tông chắc chắn. + Thiết kế thông sàn, thang máy, nội thất cực xịn. + giá 9.6 tỷ Liên hệ Minh Quang: 0327085656 ( chuyên nhà đất thổ cư khu vực Hà Nội – xem nhà trực tiếp hỗ trợ hoàn toàn miễn phí )",12/06/2021,Tin thường,batdongsan_so_com_vn_1673834937.141359,,,,
"6,2 tỷ VNĐ",Trương Định Hai Bà Trưng Hà Nội, 70m2, 4,"+ Vị trí nhà mình rất đep, lô góc, diện tích rộng, cách mặt phố chỉ vài bước chân, 2 bước ra Bạch Mai, Minh Khai, Đại La. + Nhà thiết kế hợp lý, diện tích 70m2, 4 phòng ngủ, mặt tiền rất rộng 6.7 mét. + Mặt ngõ rộng, đường rộng gần 2.5m + Sổ đỏ đẹp – sẵn sàng sang tên ngay. + Giá bán: 6 tỷ 200 triệu. + Liên hệ: Minh Quang 0327085656 ( Zalo ) – Thông tin chuẩn 100% + Chuyên tư vấn nhà đất thổ cư Hà Nội, phân khúc từ 1 đến trên 100 tỷ.",16/12/2021,Tin thường,batdongsan_so_com_vn_1673834938.9233084, 6, 4,,
"3,6 tỷ VNĐ",Đường Hoàng Mai quận Hoàng Mai Hà Nội, 43m2, 4,"+ Mặt ngõ rộng, nhà 2 thoáng, thiết kế rất hợp lý, vị trí gần mặt phố Trương Định. + Nhà 4 Tầng – 43m2 – mỗi tầng 2 phòng ngủ, nhà 2 thoáng nên rất thoáng mát. Giá 3.6 tỷ - Rất xứng đáng. Liên hệ Minh Quang – Nhà đẹp : 0327085656 ( để được chủ nhà thu xếp thời gian đón tiếp chu đáo )",18/10/2021,Tin thường,batdongsan_so_com_vn_1673834941.8659666, 4, 4,,
"4,2 tỷ VNĐ",Trương Định Hai Bà Trưng Hà Nội, 37m2, 4,"+ Tôi cần bán gấp nhà phố Trương Định, Hai Bà Trưng, Vị trí nhà cách mặt phố chỉ vài bước chân, ô tô đỗ, nhà rất đẹp, khách chỉ việc về ở ngay. + Nhà thiết kế hợp lý, diện tích 37m2, tổng có 4 phòng ngủ, mặt tiền 4.2 mét. + Mặt ngõ rộng gần 3m. + Sổ đỏ đẹp – sẵn sàng sang tên ngay. + Giá bán: 4 tỷ 200 triệu. + Liên hệ: Minh Quang 0327085656 ( Thông tin chính xác - miễn phí xem nhà ) + Minh Quang chuyên nhà đất thổ cư Hoàng Mai, Hai Bà Trưng, Đống Đa, Thanh Xuân… Tư vấn tận tâm, miễn phí, hỗ trợ pháp lý, thủ tục vay vốn ngân hàng nhanh gọn, lãi xuất thấp.",16/12/2021,Tin thường,batdongsan_so_com_vn_1673834944.1688845, 4, 4,,
6 tỷ VNĐ,Tô Vĩnh Diện - Thanh Xuân - Hà Nội, 40m2, 5,"Bán nhà Tô Vĩnh Diện Thanh Xuân 5 tầng, mặt tiền 4.5m CỰC ĐẸP Ở NGAY, nhỉnh 6 tỷ Vị trí: Phố Tô Vĩnh Diện đặc biệt dân trí cao, khu cán bộ quân đội. Tiện ích: Khu cán bộ nhà nước dân trí cao, nhà đẹp, oto đỗ cửa, trường học các cấp 123 ngay ở gần, gần các trường đại học Y Hà Nội, Thủy Lợi, Công Đoàn, Ngân Hàng, bệnh viện Y Hà Nội, bảo tàng Phòng Không Không Quân, Big C Lê Trọng Tấn…vv Mô tả: 5 ngủ, 5 wc, 1 phòng khách, phòn thờ, sân phơi. Giao thông: Tô Vĩnh Diện kết nối Hoàng Văn Thái, Vương Thừa Vũ, Trường Chinh, Lê Trọng Tấn, Ngã Tư Sở…vv. Pháp lý: Sổ đỏ vuông vắn chính chủ sẵn sàng thương lượng. Lh: Hoàng 0902253303 (miễn trung gian môi giới)",23/12/2021,Tin thường,batdongsan_so_com_vn_1673834946.4719367,, 5, 5,
1140 tỷ VNĐ,nam từ liêm hà nội, 32m2,,"Cần chuyển nhượng GẤP căn Studio tại dự án Vinhomes Smart City. 👉 Diện tích:32m2.Để lại cho khách Full toàn bộ nội thất. 👉 Căn hộ thuộc tầng trung ,View trọn bể bơi cực đẹp. _ Tiện ích : nội khu bể bơi , sân chơi trẻ em , máy tập gyrm , công viên trung tâm , biển hồ cát trắng , trường học , bệnh viện , trung tâm thương mại , công viên Nhật cùng các tiện ích khác đang chờ cư dân về trải nghiệm Giá : 1140 tỷ (Bao mọi thuế phí) Để được tận hưởng cuộc sống 5*. A/C có nhu cầu liên hệ: 0344 583 847 (call hoặc zalo) Hộ trợ khách xem nhà và hỗ trợ làm thủ tục. Ngoài ra còn quỹ các căn hộ giá tốt: # Căn 1N1K, S=43m2 giá từ 1,53 tỷ bao phí. # Căn 2N1WC, S=55m2 giá từ 1,7 tỷ bao phí. # Căn 2N2WC, S=63m2 giá từ 2,3 tỷ bao phí.",21/10/2021,Tin thường,batdongsan_so_com_vn_1673834950.6378446,, 1, 1,
31 tỷ VNĐ,Tây Hồ, 140m2,,"BÁN BIỆT THỰ 140M2 KHU ĐÔ THỊ CIPUTRA QUẬN T Y HỒ, HÀ NỘI (VIMEFULLAND T Y HỒ)Biệt thự lâu đài phố Vimefulland Tây Hồ:The Lotus Center - KĐT Ciputra - Q. Tây Hồ - Hà Nội - Khẳng định vị thế độc tôn. Tận hưởng toàn bộ tiện ích 5* của dự án tiêu chuẩn, mang thương hiệu Vimefulland Với phong cách kiến trúc tân cổ điển Châu  u.Vị trí: Đường Võ Chí Công - Tây Hồ - Hà Nội.Chủ đầu tư: Công ty cổ phần BĐS Thanh Trì.Đơn vị phát triển dự án: Vimefulland.Gồm 81 lô biệt thự - Rộng 18,8ha.Biệt thự lâu đài đẳng cấp.Diện tích BT05: 140m2 - 275m2 - 318m2 - 391m2.Căn hộ hạng sang: 3 tầng cao, 1 hầm, 1 mái chóp nhọn.Đặc biệt: Thanh toán ngay 95%, CK 05% tổng giá trị căn hộ. Đẳng cấp vàng - Giữa lòng Hồ Tây.Biệt thự lâu đài The Lotus Center Ciputra - Tây Hồ - Hà Nội - Không gian thoáng đãng. Giao thông thuận tiện. Nằm trong khu đô thị Nam Thăng Long, gần Hồ Tây.Tiện ích nội khu toàn dự án và tiện ích chung khu đô thị Ciputra:Bể bơi ngoài trời hiện đại.Phòng tập gym.Trung tâm thương mại mua sắm đẳng cấp Lotte Mall.Sân tập golf.Cafe, ăn sáng.Siêu thị, điện máy, khu ẩm thực ăn uống.Sân chơi trẻ em, vườn hoa.Cửa hàng spa, dược phẩm y tế.Trường cấp 1, cấp 2, cấp 3 quốc tế.An ninh 24/24 và nhiều tiện ích, dịch vụ khác. 👉 Liên hệ 𝟬𝟵𝟯𝟱.𝟭𝟭𝟲.𝟭𝟯𝟯 ngay hôm nay để được tư vấn MIỄN PHÍ về dự án!------------️️🔶🔹🔶------------🍀 𝐓𝐇𝐄 𝐋𝐎𝐓𝐔𝐒 𝐂𝐄𝐍𝐓𝐄𝐑 - GIÁ TRỊ Ở SỰ KHÁC BIỆT🍀📌 Vị trí: mặt đường Võ Chí Công, quận Tây Hồ, Hà Nội🏣 Chủ đầu tư: Tập đoàn Vimedimex📈 Đơn vị phát triển kinh doanh: Vimefulland🌈 Đơn vị quản lý vận hành: Savills Việt Nam.",22/12/2021,Tin thường,batdongsan_so_com_vn_1673834952.6313572,,,,
"3,45 tỷ VNĐ","mỹ đình ,nam từ liêm", 33m2,,"Ngõ vào vừa nông vừa rộng rãi, cách ô tô 20m, bãi xe cách nhà chưa đến 100m. Mấy bước chân là ra đến đường Mỹ Đình, đi các ngả Thiên Hiền, Lê Đức Thọ, Đình Thôn, Phạm Hùng, Mễ Trì, Lê Quang Đạo.... vô cùng thuận tiện. Gần chợ dân sinh, trường học các cấp từ mầm non đến nhiều trường Đại học, dân cư đông đúc với đầy đủ tiện ích lớn nhỏ xung quanh. Nhà mới xây 5 tầng theo phong cách hiện đại và đầy đủ tiện nghi. Nổi bật với mặt tiền rộng và khe thoáng sau nhà giúp không gian trong nhà luôn thoáng sáng, không khí lưu thông tốt cho sức khoẻ. Giá chào 3 tỷ 450 triệu (khách gặp chủ đàm phán trực tiếp). Sổ đỏ hoa hậu, cất két sẵn sang tên. Cam kết nhà thật, việc thật 100% (hỗ trợ pháp lý và các thủ tục liên quan đến ngân hàng). Anh chị gọi ngay em Sơn (thổ cư) để được tư vấn cụ thể và xem miễn phí hàng trăm căn nhà trong khu vực 0932382236",22/12/2021,Tin thường,batdongsan_so_com_vn_1673834954.1586607,,,,
"3,5 tỷ VNĐ",Quang Trung- Hà Đông, 47m2, 4,"Tôi cần bán nhà đẹp Quang Trung, Hà Đông, gần ô tô, ngõ thông, 47mx4 tầng Nhà hiếm đẹp có 1-0-2 trung tâm Quận Hà Đông, tuyết phố xương sống toàn bộ giao thông của Quận. Di chuyển thuận lợi các phố: Vạn Phúc , Tố Hữu, Lê Trọng Tấn, Phan Đình Giót, Văn Quán, vạn Phúc, Mỗ Lao, Ngô Thì Nhậm..... Nhà được thiết kế công phu, khung cột bê tông đẹp chắc chắn mang phong cách hiện đại ấm cúng. Phòng nào cũng có ban công cửa sổ vô cùng thoáng sáng, view trước nhà rất đẹp, chỉ việc đến ở ngay. Xung quanh đầy đủ tiện ích gần phố: Siêu thị, ngân hàng, trường học, bệnh viện, cạnh chợ bước chân ra phố mua được cả thế giới. Hàng xóm xung quanh toàn công chức cán bộ Học viện Chính trị Quân sựu rất thân thiện, nếp sống hiện đại, văn minh. Sổ đỏ chính chủ, pháp lý sạch. Giá: 3.5 tỷ ( có gia lộc). Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.   - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",22/12/2021,Tin thường,batdongsan_so_com_vn_1673834956.1639836,,,,
"4,56 tỷ VNĐ",Vạn Phúc- Hà Đông, 53m2, 4,"SIÊU HIẾM Vạn Phúc, Hà Đông , ô tô, ngõ thông,53m x4 tầng, nhỉnh 4 tỷ. Nhà bán siêu hiếm vị trí đẹp nhất phố, chủ thiết kế tâm huyết xây chắc chắn, các phòng ốc hiện đại đủ công năng mở cửa sổ ban công thoáng mát, chỉ việc xách vali đến ở. Ngõ rộng thông, mát mẻ mùa hè, ấm áp về mùa đông, vài phút ra phố, giao thông thuận tiện nối các phố: Yết Kiêu, Ngô Quyền, Thanh Bình, Văn Quán, Phùng Hưng, Quang Trung,... Rất hợp để ở nằm trong khu dân cư yên tĩnh, hàng xóm quan chức văn minh.Tiện ích ngập tràn siêu thị, chợ, bể bơi, vườn hoa, khu vui chơi, ngân hàng, trường học các cấp. Chủ nhà con cháu đuề huề thành đạt, nhà rất có lộc. Giá: 4.56 tỷ ( có thương lượng). Sổ đỏ vuông, pháp lý sạch. Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn. ",22/12/2021,Tin thường,batdongsan_so_com_vn_1673834958.0019917,,,,
