price,address,Diện tích,Mặt tiền,Số tầng,Details,Ngày đăng,Loại tin,id,Lộ giới,Số phòng ngủ,Số toilet,Hướng
"54,5 tỷ VNĐ",Nguyễn Trãi Thanh Xuân Hà Nội, 340m2, 6, 8,"  + DT 340M2 X8 TẦNG THANG MÁY. MT 6.2M GIÁ BÁN 54.5 TỶ ( CÓ THƯƠNG LƯỢNG)   + Vị trí: gần ngã tư cắt Khuất Duy Tiến, vỉa hè rộng kinh doanh sầm uất!  + 8 tầng thang máy mới xây được 1 năm  + 5 tầng phía sau hơn 30 phòng cho thuê. + Nhà thêm 1 mặt ngõ sau nhà, ô tô qua.  + Sổ chính chủ. Sẵn sàng giao dịch. Liên hệ ngay với em  Miễn ( TG Quảng Cáo )",29/08/2022,Tin thường,batdongsan_so_com_vn_1673805654.8499053,,,,
"5,92 tỷ VNĐ",Đường Quốc lộ 3 phường Nguyên Khê, 78m2, 7,,"
    - Khu X6 Nguyên Khê, Đông Anh nằm cạnh đường QL3 đang thi công kè sông đào và mở rộng đường 2 bên.- Lô góc 06 nằm ở vị trí ngã 4 đường đôi: 4 làn ô tô + Vỉa hè rộng - tương lai kinh doanh đắc địa. - Diện tích 77.96m - Chiều rộng khoảng 7m.- 2 mặt tiền 2 bên + 1 mặt vỉa hè phía sau. - Vị trí trung tâm đông đúc, kết nối nhiều tiện ích gần xung quanh: Chợ Lắp Ghép, KĐT Nguyên Khê, trường học các cấp, khu DA Happy Land...- Giá còn tốt để đầu tư, làm kè xong giá sẽ tăng vọt và trở thành điểm kinh doanh tốt. LH e Huy kết nối chính chủ: 0979.696.848
",29/08/2022,Tin thường,batdongsan_so_com_vn_1673805656.384796,,,,
38 tỷ VNĐ,Đường An Sơn phường Thanh Nhàn, 75m2, 5, 6,,29/08/2022,Tin thường,batdongsan_so_com_vn_1673805658.1685376, 40, 4, 7,
"3,2 tỷ VNĐ",khu đô thị mới tây nam linh đàm, 68m2,, 10,"*SIÊU PHẨM - CHUNG CƯ HƯNG THỊNH TẠI LINH ĐÀM CHUẨN BỊ MỞ BÁN ️ Hanoi Melody Residences - Hưng Thịnh Tây Linh Đàm *Vị Trí Đắc Địa: tại trung tâm bán đảo Linh Đàm, dễ dàng kết nối nhiều trục đường huyết mạch *50 Suất trực tiếp từ CĐT - Giá gốc *1OO% căn hộ có 2 Logia đón nắng gió và ánh sáng tự nhiên. *Gồm 29 tầng nổi, 3 tầng hầm để xe. Tầng 1&2 là shophouse. Căn hộ ở từ tầng 3-29. Mỗi block 8 đến 12 căn hộ với 15 thang máy, có thang vận chuyển rác riêng *Mật độ ""Siêu Thoáng"". *Hỗ trợ vay đến 70% giá trị căn hộ *Pháp lý: minh bạch, sở hữu lâu dài. —-------------------------     *VỊ TRÍ VÀNG - 4 MẶT TIỀN TRUNG TÂM T.P HÀ NỘI: Chung cư hiếm hoi sở hữu vị trí trung tâm - Kết nối hoàn hảo các điểm tiện ích đắt giá nội thành Hà nội: *Cách bệnh viện Bạch Mai chỉ 20 phút đi xe. *Cách bến xe Giáp Bát chỉ 15 phút đi xe. *Cách bến xe Nước Ngầm chỉ 10 phút đi xe. *Cách trường Tiểu học Chu Văn An chỉ 2 phút đi bộ. *Cách chợ Đại Thanh, chợ Linh Đàm - 500m *TỔNG QUAN VỀ DỰ ÁN: - Chủ đầu tư uy tín: Hưng Thịnh - Phát triển dự án: Hưng Thịnh Corporation - Diện tích: 3.28 ha ( gồm 4 block căn hộ) - Quy mô: 29 tầng - Giao nhà: Dự kiến Quý 1/2024 *THIẾT KẾ THÔNG MINH - HƯỞNG TRỌN TIỆN ÍCH HIỆN ĐẠI Không gian linh hoạt: 68m2; 76m2; 82m2; 98m2; 121m²; 147m² (2-3 𝐏𝐍) Với thiết kế hình chữ L giúp tất cả các căn hộ đều có mặt thoáng tự nhiên. Không gian mát mẻ quanh năm, địa thế tự nhiên, không khí trong lành, mảng xanh tự nhiên, hồ điều hòa,... Hơn 200 Tiện ích nổi bật: Siêu thị, trung tâm thương mại, Gym, spa, nhà hàng, nhà trẻ, khu thể thao phức hợp, bể bơi vô cực, … Mọi thông liên hệ trực tiếp: 0987808686 ",29/08/2022,Tin thường,batdongsan_so_com_vn_1673805661.383411,, 2, 2,
"3,7 tỷ VNĐ",phường tây mỗ đại mỗ, 61m2,, 10,"Hiện nay chúng tôi đang phân phối quỹ căn hộ Imperia Smart City với đa dạng các loại diện tích: Studio - 1PN - 2PN - 3PN và tầng, hướng, view công viên hồ trung tâm đẹp nhất dự án (đặc biệt có căn vip giá độc quyền đã bán hết trên bảng hàng chúng tôi đều có) với chính sách ưu đãi khủng: - Thanh toán 10% ký ngay hợp đồng mua bán. - Tặng tiền mặt lên đến 65 triệu/căn hộ. - Bốc thăm trúng 1,5 cây vàng SJC - có ngay 100 triệu. - Chiết khấu 19% khi thanh toán sớm. - Chiết khấu 10% khi thanh toán theo tiến độ thường. - Hỗ trợ vay lên đến 70 - 80% giá trị căn hộ. - Vay vốn lãi suất 0% trong 24 tháng. - Miễn phí dịch vụ trong 5 năm. Hotline: 0987808686. Thông tin dự án Imperia Smart City: - Chủ đầu tư: Công ty cổ phần HBI. - Chiều cao: 38 - 39 tầng. - Diện tích: Từ 28.3m2 đến 75.6m2. - Dự kiến bàn giao: T9.2023 - T5.2024. Tiện ích dự án: - Một bước chân tới ngay công viên hồ trung tâm 10.2 ha. - Gần sát nhà để xe 10 tầng đáp ứng nhu cầu của cư dân mà các phân khu khác chưa làm được. - Cạnh trường học VinSchool đã đi vào hoạt động. - Gần các tuyến ga metro số 5,6,7 dễ dàng di chuyển các khu vực trong và ngoài thành phố. - Gần trung tâm thương mại Vincom Mega Mall. - Tham quan vườn nhật lớn nhất Đông Nam Á hàng ngày mà không mất bất kỳ khoản phí nào. - Bể bơi hơn 1000m2 ngay chân tòa nhà. - Tổ hợp 15 công viên thể thao ngay trước mặt dự án. - Cư dân Imperia được hưởng tất cả quyền lợi của cư dân Vinhomes và được hưởng thêm quyền lợi riêng của CĐT. Liên hệ tư vấn, nhận bảng giá và chính sách mới nhất:0987808686",29/08/2022,Tin thường,batdongsan_so_com_vn_1673805663.4210064,, 2, 2,
360 triệu VNĐ,Đường Hàng Cót phường Hàng Mã, 48m2, 4, 3,"
    Vị trí trung tâm PHỐ CỔ khỏi bàn,hàng xóm xung quanh toàn VIP Kinh Doanh lâu đời có tiếng Hà Thành- Chủ ở rất có Lộc, nay bán chia cho con cháu có tí lộc - Nhà phù hợp với khách mua để xây nhà cao to nhất phố,yêu  thích tiện ích xung quanh phố cổ. Công năng đầy đủ cho gia đình 3,4  thế hệ sinh hoạt.Thiết kế:+ Tầng 1: Để xe + khách + bếp+ Tầng 2,3:1 PN+ wc khép kín, cầu thang cuối.+ Đi bộ chục bước ra mặt phố, khu vực Hoàn Kiếm năng lượng đất cao nhất thủ đô, nhiều đại gia săn tỉm, tiện ích ngập tràn,phố Bích Họa ,Hàng Mã , đỉnh cao dân trí.Đi bộ 10 phút  ra hồ Hoàn Kiếm, các khách sạn ,Chợ Đồng Xuân 
+Vừa ở vừa cho thuê,mặt ngõ, kinh doanh 
+ Sổ đỏ chính chủ  sẵn sàng giao dịch
Liên Hệ :0857552222( Thủy BĐS-HK)",29/08/2022,Tin thường,batdongsan_so_com_vn_1673805665.3029726, 4, 2, 2,
"6,5 tỷ VNĐ","Phố Tô Vĩnh Diện, Phường Khương Mai", 80m2, 5, 4,"+ NHÀ QUÁ ĐẸP, THIẾT KẾ HIỆN ĐẠI.+ Diện tích 80m.+ Sổ đỏ chính chủ, sẵn giao dịch.+ Giá chỉ 6.5 tỷ.+ Mặt tiền rộng 5.5m, nên nhà rất rộng, thoáng.+ Thiết kế 1 phòng khách, 4 phòng ngủ, 1 phòng thờ, 1 sân phơi, trồng cây.+ Gần chợ dân sinh, đi chợ sinh hoạt rất thuận tiện.+ Khu vực trung tâm giao thông rất thuận tiện.+ Ra Đại học Y, Đại học Thủy Lợi, Công Đoàn, Học viện Ngân Hàng chỉ 5 phút xe máy.+ Với chỉ 5 phú xe máy ra Bệnh viện ĐẠI HỌC Y.+ 10 phút ra Bệnh Viện Bạch Mai, Việt Pháp...+ Liên Hệ: Nguyễn Dương - 0825920555.",29/08/2022,Tin thường,batdongsan_so_com_vn_1673805667.344513, 3, 3, 3,
"4,4 tỷ VNĐ",Đường đường láng phường thịnh quang, 40m2, 3, 4," + Giá chào: 4.4 tỷ, có thương lượng.",29/08/2022,Tin thường,batdongsan_so_com_vn_1673805669.3402805, 2, 4, 3,
22 tỷ VNĐ,Đường Trần Phú phường Kim Mã, 50m2, 4, 2,"
    NHÀ CHÍNH CHỦ CẦN BÁN GẤP PHỐ TRẦN PHÚ - QUẬN BA ĐÌNH - HÀ NỘI.Vị trí đẹp miễn chê, 2 mặt phố đều có vỉa hè 5m, KINH DOANH sầm uất ngày đêm. Khu trung tâm hàng chính số 1 của Hà Nội vô vàn tiện ích xung quanh, nơi tập trung rất nhiều khách Tây tham quan du lịch KINH DOANH đa dạng các mặt hàng.Diện tích 50m2, mặt tiềm 4.5m, 2 mặt phố vỉa hè 2 mặt 5m, ngay ngã 4 Trần Phú - Sơn Tây phố 2 chiều thông khắp cả rất thuận lợi Kinh Doanh.Sổ đỏ chính chủ, vuông đẹp, sang tên nhanh gọn, Giá 22 tỷ có ra lộc.Liên hệ tôi Nguyễn Anh 0937651883 xem nhà trực tiếp. Miễn trung gian, Môi giới.
",29/08/2022,Tin thường,batdongsan_so_com_vn_1673805672.3857288, 10, 2, 2,
"6,5 tỷ VNĐ","Phố Tô Vĩnh Diện, Phường Khương Mai.", 80m2, 5, 4,"+ NHÀ QUÁ ĐẸP, THIẾT KẾ HIỆN ĐẠI.+ Diện tích 80m.+ Sổ đỏ chính chủ, sẵn giao dịch.+ Giá chỉ 6.5 tỷ.+ Mặt tiền rộng 5.5m, nên nhà rất rộng, thoáng.+ Thiết kế 1 phòng khách, 4 phòng ngủ, 1 phòng thờ, 1 sân phơi, trồng cây.+ Gần chợ dân sinh, đi chợ sinh hoạt rất thuận tiện.+ Khu vực trung tâm giao thông rất thuận tiện.+ Ra Đại học Y, Đại học Thủy Lợi, Công Đoàn, Học viện Ngân Hàng chỉ 5 phút xe máy.+ Với chỉ 5 phú xe máy ra Bệnh viện ĐẠI HỌC Y.+ 10 phút ra Bệnh Viện Bạch Mai, Việt Pháp...+ Liên Hệ: Nguyễn Dương - 0825920555.",29/08/2022,Tin thường,batdongsan_so_com_vn_1673805674.5171318, 3, 4, 4,
"7,4 tỷ VNĐ",Đường An Trai phường Trạm Trôi, 72m2, 4,,""",serif;="""" background:="""" white;="""" color:="""" black;="""" line-height:="""" 107%;="""" mso-ansi-language:="""" vi'lô="""" dịch="""" vụ="""" vân="""" canh="""" diện="""" tích="""" 72="""" spanspanroboto="""" 107%',="""" spanspan="""" vi'="""">mặt đường 30m trục đường kết nối thông từ đường trịnh văn bô xuống cầu tây mỗ rất tiềm năng trong tương lai. Giá rẻ nhất thị trường hiện tại không có lô thứ 2:m2 "",serif;="""" background:="""" white;="""" color:="""" black;="""" line-height:="""" 107%;="""" mso-ansi-language:="""" vi'-="""" spanspanroboto="""" 107%'="""" mặt="""" tiền="""" spanspan="""" vi'="""">4.5m "",serif;="""" background:="""" white;="""" color:="""" black;="""" line-height:="""" 107%;="""" mso-ansi-language:="""" vi'-="""" mặt="""" đường="""" 30m="""" span="""" p="""" class=""MsoNormalSPAN"" vỉa="""" hè="""" 5m="""" spanspanroboto="""" 107%'="""">- Hiện tại "",serif;="""" background:="""" white;="""" color:="""" black;="""" line-height:="""" 107%;="""" mso-ansi-language:="""" vi'lô="""" đất="""" spanspanroboto="""" 107%'đã="""" có="""" sổ,="""" phong="""" thủy="""" cực="""" đẹp.="""" span="""" p="""" class=""MsoNormalSPAN"" vi'="""">- mặt đường to kinh doanh hoặc đầu tư rất tốt ",29/08/2022,Tin thường,batdongsan_so_com_vn_1673805676.9703681,,,,
19 triệu VNĐ,"Quang Trung, Hà Đông", 50m2, 5, 4,"Mặt Phố Quang Trung Kinh Doanh Sầm Uất, Ô Tô, Vỉa Hè, 2 Mặt Phố DT 50m2x4T, Chỉ 19 Tỷ.Bán Nhà Phố Quang Trung – Hà Đông,Vỉa Hè Rộng,Căn Góc, 2 Mặt Phố, Kinh Doanh Đỉnh DT 50m2 x4T, Chỉ 19 tỷ.Vị trí trung tâm nhà mặt phố khu Vip Hà Đông kinh doanh bất chấp mọi địa hình, vỉa hè 6m . Ngay ngã tư Ngô Thì Nhậm – Quang Trung – Tô Hiệu Mới.+ Rất phù hợp cho gia đình vừa ở vừa kinh doanh. Dòng tiền cho thuê tầng 1 hàng tháng 20 củ đều như vắt chanh.+ Nhà chuẩn 4 phòng ngủ , 1 phòng thờ, bếp sân phơi riêng biệt, wc riêng từng tầng.+ Nhà tự xây dựng rất chắc chắn tường BTCT, gỗ lim cầu thang chắc nịch.Pháp Lý: Sổ đỏ chính chủ giao dịch ngay.Giá bán: 19 Tỷ (Có thương lượng)    - Mr Luyện 0911779569 – Thổ cư Hà Đông. - Chuyên Nhà đất Thổ cư các phân khúc từ 1 tỷ đến trên 100 tỷ.“TRAO GỬI NIỀM TIN_ NHẬN LẠI YÊU THƯƠNG”",29/08/2022,Tin thường,batdongsan_so_com_vn_1673805679.0388343, 30, 4, 3, Tây bắc
"2,22 tỷ VNĐ",An Đào C - Trâu Quỳ - Gia Lâm - Hà Nội, 38m2,, 1,"- Anh trai cần bán thửa đất vị trí đẹp nhiều tiềm năng tại phố An Đào C –TT Trâu Quỳ -Gia Lâm, tặng ngay nhà cấp 4 ở ngay hoặc cho thuê có dòng tiền ổn định.- Diện tích 38m2 mặt tiền 4m nở hậu diện tích thực tế 39.5m2, đường trước đất 2m trải nhựa sạch sẽ, cách trục chính An Đào C hơn 20m.- Vị trí đắc địa nhiều tiềm năng tăng giá mạnh trong tương lai gần khi Gia Lâm lên quận các tiện ích được hoàn thiện, giao thông vô cùng thuận tiện đi: Lý Thánh Tông, An Đào, Thành Trung, Trâu Quỳ,….- Tiện ích dân sinh bán kính 500m không thiếu thứ gì: bệnh viện Gia Lâm, trường học từ mẫu giáo đến đại học, chợ cóc, chợ Trâu Quỳ, an ninh tốt, hàng xóm thân thiện,….kế cận các đại dự án đô thị như: Vinhomes Ocean Park, EuroWindow Twin Park, Highway5 Resident,….- Sổ đỏ chính chủ, vuông vắn, hướng đông nam mát mẻ, trong lòng đại đô thị Vinhomes đi bộ ra biển, hồ. Giá siêu tốt chỉ 2tỷ220tr còn nhiều cơ hội cho nhà đầu tư hoặc ở cũng rất tuyệt.Liên hệ xem đất và biết thêm thông tin chi tiết E.Nhật: 0982852808, 0948584888",29/08/2022,Tin thường,batdongsan_so_com_vn_1673805681.2030447,, 1, 1,
"6,3 tỷ VNĐ",Đường Phú Đô phường Mỹ Đình 2, 72m2, 4,,"nhà C4 cũ, xác định bán đất  Nhà cách sân vận động Quốc gia Mỹ Đình 300m.  Sổ đỏ vuông đẹp, sẵn sàng giao dịch. ",29/08/2022,Tin thường,batdongsan_so_com_vn_1673805683.2525613, 3,,,
90 triệu VNĐ/m2,Quận Nam Từ Liêm, 30m2,,,"CỰC HIẾM. MỄ TRÌ ĐẤT 30M2, MT 3.9M MẶT BẰNG SẠCH SẼ SẴN XÂY DỰNG NGAY.0962745289NGÕ THÔNG - THÔNG SỐ LÝ TƯỞNG - LÔ ĐẤT HIẾM CÒN SÓT LẠI.+ Vị trí cực đẹp MẢNH ĐẤT MỄ TRÌ.GIÁ 2.83 tỷ NAM TỪ LIÊM.Ngõ thông thông tứ tung, ba gác tránh SH. Lý tưởng để xây nhà. Cách ô tô tránh 100m, gần trường cấp 1,2,3 Mễ Trì, siêu thị Bigc, bên xe Mỹ Đình, sân vận Động Mỹ Đình....+ Sổ đỏ chính chủ cất két sẵn sàng giao dịch.+ Giá:Thỏa thuận.Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn pháp lý, thủ tục sang tên nhanh gọn.+ Tư vấn 24/7.",29/08/2022,Tin thường,batdongsan_so_com_vn_1673805688.3010368,,,,
