price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Hướng,Lộ giới
17 tỷ VNĐ,Phố Phùng Khoang, 147m2, 7, 4, 5, 6,"PHÂN LÔ – VỈA HÈ RỘNG - Ô TÔ VÒNG QUANH - KINH DOANH SẦM UẤT - CHỦ CẦN BÁN GẤP. + Chính chủ cần bán Biệt Thự tại KĐT Nam Thắng, Phùng Khoang, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội với diện tích 147m² nhà 4 tầng, mặt tiền rộng 7m. + Vị trí nhà nhà thuộc KĐT Nam Thắng - Phùng Khoang, vị trí đắc địa giao thông thuận tiện đi lại, thông sang kđt Mỗ lao, Làng Việt Kiều Châu Âu. Khu vực sầm uất kinh doanh siêu đỉnh, gần chợ Phùng Khoang. Đường trước nhà 11m, đường ô bàn cờ vỉa hè rộng, ô tô chạy vòng quanh, hạ tầng đồng bộ.  + Nhà hoàn thiện rất đẹp, nội thất nhập khẩu châu âu, thiết kế tân cổ điển, tầng 3 phòng với đầy đủ công năng. + Sổ đổ vuông đẹp sắn sàng giao dịch. + Giá 17 tỷ ( Có thương lượng) + Liên hệ xem nhà: 0902.083.139",10/02/2022,Tin thường,batdongsan_so_com_vn_1673832344.3729947,,
"3,7 tỷ VNĐ",Hà Nội, 116.1m2,,, 3, 2,"Cần bán gấp căn góc 3PN tầng trung + full nội thất tại dự án Goldmark City giá cực tốt.- Diện tích: 116,1m2 (thông thủy), 1 phòng khách, 3 PN, 2WC, 1 kho.- Nội thất: Đầy đủ thiết bị gia đình từ tủ giày, tủ quần áo, kệ, sàn gỗ, hệ thống nóng lạnh, thiết bị vệ sinh Toto, đèn sưởi, bếp Nhật, hệ thống đèn âm trần, đèn cảm ứng,..- Cả 3 phòng có view ra quảng trường, bể bơi ngoài trời và công viên điều hòa. Yên tĩnh, thoáng mát, không khí trong lành. Mùa hè không cần dùng đến điều hòa.- Hàng xóm cực kỳ thân thiện, vui vẻ và nhiệt tình giúp đỡ nhau.- Vị trí thuận tiện: Gần SVĐ Mỹ Đình, Trung tâm HNQG, nhà ga Metro số 3 đường sắt trên cao Hà Nội - Nhổn, thuận tiện đi lại nộ đô và các tỉnh.- Tiện ích tòa nhà:+ Bể bơi trong nhà và ngoài trời.+ Phòng tập gym.+ Khu vui chơi ngoài trời cho trẻ em.+ Phòng sinh hoạt cộng đồng.+ Đầy đủ hệ thống trường học từ Mầm non.+ Gần chợ.+ 1 suất để xe dưới hầm. - Giá bán: 3.7 tỷ (đã bao gồm các loại phí của căn hộ).- Liên hệ xem nhà: Mrs. Thương - 0987.016.188.",10/02/2022,Tin thường,batdongsan_so_com_vn_1673832345.8011935, Đông bắc,
42 tỷ VNĐ,Công viên Nghĩa Đô, 91m2, 6, 8,,,"Chủ ra nước ngoài định cư, cần bán tòa nhà văn phòng mặt phố Tô Hiệu, Cầu Giấy. Ngay sát công viên nghĩa đô. Phố kinh doanh sầm uất, vỉa hè rộng rãi. Mặt tiền lớn Thiết kế : 8 tầng thang máy thông sàn Thang máy , thang bộ cuối nhà . Sau nhà có khe thoáng vĩnh viễn !  Diện tích: 91m2 x 8 tầng, mặt tiền 6m  Giá: 42 tỷ (CÒN THƯƠNG LƯỢNG, LÀM VIỆC TRỰC TIẾP CHỦ NHÀ) BUILDING MẶT PHỐ - THANG MÁY - VỈA HÈ RỘNG RÃI - GẦN CÔNG VIÊN Liên hệ xem nhà và nhận thông tin chi tiết: 0981367887 - Thửa đất vuông đẹp, nở hậu. Sổ pháp lý chuẩn cất két sẵn sàng giao dịch",10/02/2022,Tin thường,batdongsan_so_com_vn_1673832346.8842573,, 21
"15,1 tỷ VNĐ",Hà Nội, 60m2,,,,," - Siêu rẻ, đẹp, kinh doanh tốt, vô địch thị trường. - Bán nhà phố Xã Đàn, quận Đống Đa. - Diện tích 60m2. Vuông vức, không lỗi phong thuỷ. - Đường xe hơi 8m thông thoáng, cách mặt tiền chỉ 10m. - Khu dân trí cao, an ninh, thích hợp làm văn phòng công ty, kinh doanh các loại hình đều được… - Kết cấu: 6 tầng vững chắc. Nội thất đầy đủ, cao cấp. - Sổ đỏ chính chủ, công chứng ngay. - Giá chỉ 15.1 tỷ thương lượng mạnh.Liên hệ gặp trực tiếp 24/7 - 0366 555 258.",10/02/2022,Tin thường,batdongsan_so_com_vn_1673832347.893555,,
15 tỷ VNĐ,Hà Nội, 60m2,,,,,"Bán gấp nhà của kiến trúc sư ô tô tránh, vỉa hè to, thang máy Nhật phố Phương Mai, Đống Đa - SĐT: 0366 555 258. + Hiện tại đây là căn duy nhất trên thị trường có diện tích và giá không thể tốt hơn được nữa. + Diên tích: 5x12m. + Thiết kế 6 tầng siêu đẹp, full nội thất vào ở ngay. + Khu vực: An ninh, yên tĩnh, sang trọng chỉ có hơn phù hợp để vừa ở, vừa kinh doanh, cho thuê làm spa, nail, CHDV, shop... + Vị trí cực đẹp, lõi quận Đống Đa tiện di chuyển vào trung tâm thủ đô và các khu vực lân cận. + Hỗ trợ làm pháp lý tới khi sang tên. + Pháp lý rõ ràng, sổ hồng chính chủ, xem nhà xem sổ trực tiếp. + Hiện tại giá chỉ 15 tỷ. Tầm giá này muốn kiếm căn thứ 2 như vậy cũng không có.Liên hệ gặp trực tiếp 24/7 - 0366 555 258.",10/02/2022,Tin thường,batdongsan_so_com_vn_1673832348.9766586,,
,"Chính chủ bán 220m đất đường Đội Cấn, Ba Đình, 0913301486", 220m2,,,,,"Chính chủ bán 220m đất đường Đội Cấn, Ba Đình, 0913301486  Diện tích: 220m2 full thổ cư, mặt tiền 10m, hướng Đông Nam, đường vào thẳng, rộng 4m; cách mặt đường Đội Cấn 50m. Lô đất gần Lăng Bác, hiện tại đang làm bãi đỗ xe ô tô, dân trí tốt. Thuận tiện cho việc xây chung cư mini hoặc toà nhà Sổ đỏ chính chủ, miễn trung gian  Giá bán: Thoả thuận LHCC: 0913301486 - 0362349658 Zalo: 0333956696     http://www.sanbatdongsanviet.com.vn",10/02/2022,Tin thường,batdongsan_so_com_vn_1673832350.0607579,,
16 tỷ VNĐ,Hà Nội, 65m2,,,,,"Bán nhà có vỉa hè, ô tô, kinh doanh, thang máy, phố Tôn Đức Thắng, quận Đống Đa - LH: 0856 968 656. + Vị trí đắc địa, vỉa hè to, mặt tiền rộng kinh doanh đa ngành nghề. + Hiện chủ đang cho thuê 85 triệu/tháng. Chủ mới có thể tiếp tục hợp đồng hoặc vừa ở vừa kinh doanh. + Nhà đẹp thiết kế hiện đại, trang bị full nội thất cao cấp chỉ việc ở luôn. + Pháp lý sạch, sổ đỏ đẹp cất két sẵn sàn giao dịch. + Giá chào bán chỉ 16 tỷ có thương lượng sâu, bao sang tên, tặng toàn bộ nội thất xịn.Liên hệ miễn phí 24/7: Thanh Bình Land giáo sư thổ cư - 0856 968 656.",10/02/2022,Tin thường,batdongsan_so_com_vn_1673832351.4410655,,
"3,5 tỷ VNĐ","Bằng Liệt, Hoàng Mai, Hà Nội", 36m2,,,,,"Chính chủ bán nhà phố Bằng Liệt DT 36m2, 4 tầng - giá 3.5 tỷ.- Vị trí đẹp, ngay sát KĐT tây nam Linh Đàm. Ngay cạnh trường học Chu Văn An, bệnh viện, khu vui chơi giải trí, giao thông vô cùng thuận tiện.- Nhà thiết kế 4 tầng:+ Tầng 1: Phòng khách, bếp, vệ sinh.+ Tầng 2.3: Mỗi tầng 2 ngủ, vệ sinh giữa.+ Tầng 4: Phòng thờ, sân phơi.Các tầng đều thoáng trước, thoáng sau không khí lưu thông ở rất sướng.+ Liên hệ: A Thành 0912525146",10/02/2022,Tin thường,batdongsan_so_com_vn_1673832352.4643297,,
"3,65 tỷ VNĐ","Cần bán nhà số 42, mặt ngõ 580 phố Trường Chinh, Đống Đa, 3,65 tỷ; 0983766803", 50.7m2,,,,,"Cần bán nhà số 42, mặt ngõ 580 phố Trường Chinh, Đống Đa, 3,65 tỷ; 0983766803  Diện tích: 50,7 m2, nhà cấp 4.  - Ngõ to, thông, khu vực xung quanh đầy đủ tiện ích, Siêu thị, chợ, gần các trường đại học Thuỷ Lợi, Công Đoàn, gần Royal City, Trung Tâm Tiêm Chủng VNVC, bệnh viện đại học Y...  - Kết nối các tuyến phố chính rất thuận tiện.  - Phù hợp ở kết hợp kinh doanh hay cho thuê.   - Giá bán: 3, tỷ 650 triệu - Liên hệ chính chủ: 0983766803      http://www.sanbatdongsanviet.com.vn",10/02/2022,Tin thường,batdongsan_so_com_vn_1673832353.5294776,,
16 tỷ VNĐ,Hà Nội, 57m2,,,,,"Bán gấp nhà kinh doanh tốt, thang máy phố Giảng Võ - LH: 0856 968 656.Giá cực tốt tại khu vực. Vị trí cực đắc địa cho kinh doanh.Sổ đỏ chính chủ, công chứng sang tên trong ngày.Tổng diện tích: 57 m2 x 6 tầng.Trang bị full nội thất cao cấp, thang máy nhập khẩu…Vị trí đắc địa gần ga Metro, lưu lượng khách đông, cho thuê không cần quảng cáo, vừa ở vừa kinh doanh gì cũng tốt...Giá chào bán chỉ 16 tỷ thương lượng sâu, bao sang tên, tặng toàn bộ nội thất xịn.Liên hệ miễn phí 24/7: Thanh Bình Land giáo sư thổ cư - 0856 968 656.",10/02/2022,Tin thường,batdongsan_so_com_vn_1673832354.6754117,,
