price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Lộ giới,Số toilet
"23,5 tỷ VNĐ",Đường Việt Hưng phường Việt Hưng, 350m2, 19,,13/07/2022,Tin thường,batdongsan_so_com_vn_1673814700.5789635,,,,
"14,68 tỷ VNĐ",Hà Nội, 110m2,,"BÁN NHÀ CCMN MỸ ĐÌNH 110M 7T Ô TÔ THANG MÁY NHỈNH 14 TỶBÁN NHÀ IN TIỀN TRÊN 70Tr/ 1Tháng. Trung tâm Mỹ ĐìnhĐường xá ô tô thuận tiện, thông các đường lớn, thông khắp ngả, gần bến xe Mỹ Đình.Tiện ích xung quanh đầy đủ. Ngay cửa nhà.Thiết kế thông minh rộng thoáng.Sổ đẹp,pháp lý sạch , sang tên nhanh gọnThiện trí xem nhà gọi Em Đức Trung 0812212525",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814702.0350661,,,,
"5,4 tỷ VNĐ","Kim Giang, Thanh Xuân, Hà Nội", 35m2,," * Siêu phẩm nhà đẹp trong ngõ, ngõ to hơn phố, Kim Giang quận Thanh Xuân, nhà xây chất, thiết kế đẹp, đảm bảo vào là mê, Full đồ nội thất cao cấp, về ở thích, an sinh đỉnh, kinh doanh sầm uất. + DT 30/35m, 6T, MT 12m giá chỉ 5.4 tỷ. + Vị trí thoáng đẹp, đắc địa, 2 mặt kết hợp kinh doanh, trước nhà đường rộng ô tô tránh, 15m ra đường lớn di chuyển: Nguyễn Xiển, Vũ Tông Phan, Định Công, Khương Đình...Vô cùng thuận lợi. + Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng sang tên. * nhanh tay LH: 0906113879 Tình nhà phố ( chuyên mua, bán, nhận ký gửi, có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ). ",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814703.270761,,,,
"7,55 tỷ VNĐ",Vũ Tông Phan, 60m2, 4,"+ Trung tâm Thanh Xuân, nhà mặt ngõ, Ô TÔ qua nhà, ngõ thông các ngả, tương lai rộng mở. + Nhà với diện tích rộng 60m2 rất phù hợp cho hộ gia đình nhiều thế hệ hoặc khách thích ở với diện tích rộng.+ Nhà cách mặt Phố Vũ Tông Phan hơn 100m, gần khu chung cư Five Star, gần chợ, bệnh viện, trường học các cấp.+ Chủ tự xây 5 Tầng chắc chắn, nội thất cầu thang gỗ lim, thiết bị xịn, nhà nhiều phòng khách có thể mua giữ tiền, cho thuê dòng tiền đều tốt.+ Giá 7.55 Tỷ ( Chỉ cần khách thích giá nào chủ cũng bán).+ Sổ đỏ vuông đẹp, pháp lý chuẩn, sang tên nhanh.LH: Em Hoan, 0925088355, chuyên thổ cư Hà Nội, nhiệt tình, vui vẻ dẫn khách, miễn phí xem nhà 24/7.",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814704.6291711, 5, 7,,
"12,5 tỷ VNĐ","Văn Quán, Hà Đông, Hà Nội", 90m2, 4," * CC cần bán gấp nhà TT – KĐT Văn Quán quận Hà Đông. nhà xây chắc, thiết kế hiện đại, đầy đủ nội thất, về ở ngay, an sinh, kinh doanh đỉnh. DT 90m, 5 T, giá 12.5 tỷ. + Vị Trí: thông thoáng, đông đúc, khu dân trí, nhà phân lô, đường rộng, ô tô dừng đỗ, mặt phố kinh doanh...trung tâm phố tiện ích, giao thông thuận lợi. + Sổ đỏ chính chủ, pháp lý chuẩn, sang tên nhanh. * nhanh tay LH: 0983858722 Tình nhà phố ( chuyên bán, nhận ký gửi nhà đất Thổ cư, có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814705.9277043, 5, 4, 10,
"4,45 tỷ VNĐ","Đường Kim Giang, Phường , Quận Hoàng Mai, Thành phố Hà Nội.", 42m2,,"+ Vị Trí gần trục đường lớn Nguyễn Xiển, KDT Kim Văn Kim Lũ, KDT mới Đại Kim, UBND phường Đại Kim, Trường tiểu học Đại Kim, Trường THCS Đại Kim, Chợ.+ Ngõ rộng, thông thoáng, đẹp, tiện ích nơi đây chẳng thiếu gì.+ Nhà xây chắc chắn 5 tầng, sổ đỏ vuông, chính chủ.+ Khách sau mua ở luôn, giá chỉ 4,45 tỷ.+ Liên hệ : Phương Nam : 0386.702.912.",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814707.2502105, 5,,,
"8,1 tỷ VNĐ",la khê, 60m2, 5,"Bán Nhà, Lê Trọng Tấn, Hà Đông. Ô Tô Kinh Doanh 60m2 x 4 tầng. Mặt Tiền 5m Giá 8.1 Tỷ.   MẶT PHỐ – NHÀ SIÊU ĐẸP – KINH DOANH ĐA DẠNG  + Nhà mặt phố Lê Trọng Tấn, trung tâm Hà Đông, Đường Lê Trọng Tấn giao với các đường Quang Trung, Tố Hữu, Láng Hoà Lạc. Rẽ đi các hướng Ngã Tư Sở, Bến Xe yên Nghĩa, giao thông rất thuận tiện cho việc di chuyển nội thành và các tỉnh lân cận khác. + Nhà gần Uỷ Ban Nhân Dân và Công An Phường La Khê, gần trường học các cấp, bệnh viện Đa Khoa Hà Đông, Siêu Thị Mêtroo, Trung Tâm Thương Mại AON, Nhà gần tuyến xe buýt nhanh và ga tàu điện trên cao. Giao thông thuận tiện, an ninh an toàn, đầy đủ tiện ích xung quanh.  + Nhà thiết kế 4 tầng:                                                                                                          - Tầng 1: Phòng khách, bếp, wc, cầu thang giữa. - Tầng 2,3: Mỗi tầng 2 phòng ngủ và wc - Tầng 4: Phòng thờ và sân phơi. + Nhà chủ tự xây, khung cột bê tông chắc chắn, nội thất siêu đẹp.  Sổ đỏ chính chủ, sẵn sàng giao dịch.   LH: E KHÁNH: 0984568179 ",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814708.3905103, 4, 4,, 3
39 tỷ VNĐ,Bán nhà SĐCC phố Nguyễn Chí Thanh 88m giá hữu nghị, 100m2,,"Bán nhà SĐCC phố Nguyễn Chí Thanh 88m giá hữu nghị  + Sổ đỏ chính chủ 88m diện tích sử dụng 100m vỉa hè 4m, sân vui chơi rộng, thoáng, đẹp. Mặt tiền đẹp nhất khu, gia chủ đầu tư xây dựng cầu kỳ, tỷ mỉ từng chi tiết. + Nhà nằm trên phố được bình chọn là con đường đô thị đẹp nhất Việt Nam.  con đường đẹp nhất của Việt Nam là cửa ngõ phía tây của thủ đô Hà Nội. + Con đường mang tên một vị tướng tài được mệnh danh là ""vị tướng phong trào"" có nhiều công lao trong cuộc kháng chiến giải phóng dân tộc. + Phù hợp để ở sang trọng, an toàn, đẳng cấp, đồng thời cũng là nơi làm trụ sở công ty hợp lý đáp ứng nhiều công năng. + Con đường khang trang, sạch sẽ là trung tâm của những tuyến phố quan trọng và còn là nơi tọa lạc của những cơ quan lớn + Gia dình đều là cán bộ, công nhân, viên chức, hàng xóm đều là những quan to.  Liên hệ: Kim Hạnh 0946553655 ",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814711.8207042,,,,
"3,25 tỷ VNĐ","Trâu Quỳ , Gia Lâm , Hà Nội", 37m2, 4,"Đất Trâu Quỳ oto cua vào nhà chỉ 3ty250 vuông vắn . Lh : 0981752669 + 37m , mặt tiền hậu 4m5 , khuôn đất cực kì đẹp + Diện tích vừa đủ để xây nhà , không to cũng ko bé , dễ chia phòng + Đường xá rộng rãi thông tứ phía , oto đi qua được , đường rộng 4m5+ Khu dân cư đông đúc , đa phần là các cán bộ công chức nên dân trí cao , an ninh đảm bảo + Gần trường cấp 1 cấp 2 , chợ sinh viên , khu mua sắm của Trâu Quỳ , có thể xây kinh doanh nhà trọLiên hệ : 0981752669 em Vĩ - xem đất miễn phí , giá cả hợp lí .",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814714.6235435,,, 4,
"8,5 tỷ VNĐ",Ngọc Hà, 80m2,," Nhà mặt ngõ rộng, ô tô tránh. Khu vực dân trí cao quận Ba Đình, gần trường học, giao thông thuận tiện, nhà ở kết hợp kinh doanh. DT 80m2 x 3T, giá 8.5 tỷ. Gia chủ thiện chí bán đất tặng nhà. Sổ đỏ chính chủ, sẵn sàng sang tên. Lh: 0364029861 Lê Thịnh",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814715.6597276,,, 4,
