Title,Price,Area,Address,Gen_descrip,Loại hình,Số phòng ngủ,Tình trạng pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Bàn ăn,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Bàn ghế P.khách,Hướng nhà,Số tầng,Mặt tiền,Nội thất,Hướng ban công,Căn góc,Đường vào,Chiều sâu,Đã bao gồm thuế?,Chính chủ hay không?,Sofa phòng khách,Bàn trà,Đệm,Trần thả,Tổng diện tích sử dụng
"
Bán tòa vp phố trung yên, kđt yên hòa, sát phố, 2 thoáng, mới đẹp, dt 110m*7t tm, mt5.8m, 31 tỷ
","
31
Tỷ ","
110
m2
","['Hà Nội', 'Quận Cầu Giấy', 'Mua bán Nhà riêng tại Đường Nam Trung Yên']","

KĐT YÊN HÒA - PHÂN LÔ - 3 OTO TRÁNH - VỈA HÈ RỘNG - KINH DOANH ĐỈNH 1.2 TỶ/NĂM - THANG MÁY NHẬP - NHÀ MỚI ĐẸP
+ Vị trí đẹp ngõ phân lô 3 ô tô tránh, chỗ để ô tô thoả mái. Cách mặt phố 3 bước, ô tô chạy vòng quanh
+ Vị trí kinh doanh rất đa dạng: Nhà nghỉ, khách sạn, Cafe, phòng khám, trường học, quán ăn, nhà hàng... 
+ Giao thông thuận tiện nối với Trần Duy Hưng, Trung Kính, Vũ Phạm Hàm, Trung Hoà....
+ Chủ tự xây để ở cực tỉ mỉ đầy đủ hồ sơ thiết kế. Từ tầng 1 -8 Thiết kế thông sàn
+ Sổ đỏ chính chủ, sẵn sàng giao dịch. Chủ nhà rất thiện chí bán


DT 110m x 7 tầng, mt 5.8m

Giá 31 tỷ (còn TL)
+ Lh - mr Sỹ - để gặp trực tiếp chính chủ (MG/TG xin không làm phiền)
+ Hỗ trợ tư vấn pháp lý, quy hoạch, đưa đón khách đi xem miễn phí
",Nhà riêng,7.0,Sổ đỏ, 11/10/2023,08/11/2023,Bán,2567389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Bán nhà Mỹ Đình - Nam Từ Liêm. Mặt ngõ ô tô chạy. 31m2 x 3T. Giá 5.95 tỷ
","
5,95
Tỷ ","
31
m2
","['Hà Nội', 'Quận Nam Từ Liêm', 'Mua bán Nhà mặt phố tại đường Mỹ Đình']","
Gia chủ cần bán gấp căn nhà ở mặt ngõ đường Mỹ Đình. Khu vực gần đường Nguyễn Hoàng, Lê Đức Thọ, bến xe Mỹ Đình.Nhà mặt ngõ ô tô chạy quanh nhà, ô tô đỗ cửa thoải mái. Lô góc, thoáng đẹp, thuộc khu vực hiếm có nhà bán.Hiện tại nhà đang cho thuê làm cửa hàng kinh doanh.Mô tả:- Nhà kiên cố hiện đại, gia chủ tự xây. Chủ mới mua về chỉ thêm thùng sơn là đẹp hoặc đập đi thiết kế xây mới vừa ở vừa cho thuê thì quá tuyệt.* Nhà thiết kế 03 tầng (Hiện trạng nhà cũ).- DT: 31m² x 3 tầng. Mặt tiền: 3m (lô góc).- Tầng 01: Khách bếp + WC.- Tầng 02: 02 ngủ + WC.- Tầng 03: 01 + phòng thờ, sân phơi.- Sổ đẹp, nở hậu.Giá: 5.95 tỷ (có thương lượng).Liên hệ xem nhà: Ms. Thu 0986 629 ***
",Nhà mặt phố,,Sổ hồng, 11/10/2023,25/10/2023,Bán,2567352,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
"
Bán Toà VP phố Nghĩa Đô- 90m2x9 Tầng, Ô TÔ tránh,vỉa hè! Giá: 28 Tỷ
","
28
Tỷ ","
90
m2
","['Hà Nội', 'Quận Cầu Giấy', 'Mua bán Nhà riêng tại Phố Nghĩa Đô']","
PHỐ VIP NGHĨA ĐÔ- TOÀ NHÀ XÂY MỚI-KINH DOANH VĂN PHÒNG CÔNG TY CỰC TỐT! XUNG QUANH TOÀN HỆ THỐNG NGÂN HÀNG- VĂN PHÒNG THUÊ CỰC NHIỀU!! + Nhà phù hợp kết hợp vừa ở vừa cho thuê kinh doanh. TRước nhà Ô TÔ TRÁNH,có vỉa hè rộng.. + Vị trí trung tâm các quận,Cầu Giấy,BA đình,Tây Hồ.. đi đâu cũng tiện .. + THIẾT KẾ: Tầng 1: Gara ô tô.. Tầng 2-7: Mỗi tầng 1 sàn ( CHO THUÊ VP) Tầng 8-9: Gia chủ ở. SỔ ĐỎ CHÍNH CHỦ,PHÁP LÝ CHUẨN. Giá: 28 Tỷ ( CÓ THƯƠNG LƯỢNG) Liên hệ XEM NHÀ MIỄN PHÍ Em Cường Nhà ĐẤt Hà Nội:
",Nhà riêng,,Sổ đỏ, 11/10/2023,08/11/2023,Bán,2567348,1.0,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
"
Bán tòa nhà Văn Phòng 9 tầng mặt phố Vũ Tông Phan DT 145m2 Mt 9m. Giá 80 tỷ
","
80
Tỷ ","
145
m2
","['Hà Nội', 'Quận Thanh Xuân', 'Mua bán Nhà mặt phố tại Phố Vũ Tông Phan']","
Cần bán gấp Tòa Nhà Văn Phòng VIP 9 tầng xây mới mặt phố Vũ Tông Phan. Vị trí đắc địa. 2 mặt tiền trước và sau tòa nhà. Ngõ sau nhà rộng oto có thể đi được+ Diện tích 145m2, Mặt tiền 9 m.+ Khu vực: Ngã Tư Sở - Trung tâm quận Thanh Xuân, gần các tuyến phố lớn: Nguyễn Trãi, Trường Chinh, Lê Trọng Tấn, Láng, Tây Sơn, Tôn Thất Tùng, Giải Phóng,...+ Vị trí đẹp nhất phố, vỉa hè rộng ô tô dừng đỗ.+ Thiết kế 8 nổi 1 hầm thông sàn.+ Hiệu suất cho thuê ~250tr/th.+ Sổ đỏ vuông A4, sẵn sàng giao dịch, đầy đủ GPXD, PCCC tiêu chuẩn.+ Thiết bị hiện đại với hệ thống điều hoà Trung tâm DAIKIN, toàn bộ đá ốp mặt tiền và thang máy là đá Granit nhập từ Brazil, Cửa gỗ Lim và Nhôm Xingfa, Thang máy nhập khẩu chính hãng Mitsubishi, Thiết bị vệ sinh American Standard, Thiết bị điện toàn bộ tòa nhà chính hãng Panasonic.GIÁ BÁN: 80 tỷLiên hệ: Ms.Duyên _ 0972 35 96***
",Nhà mặt phố,,Sổ đỏ, 11/10/2023,08/11/2023,Bán,2567310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Chính chủ cần bán nhanh căn góc Duplex PentStudio view trọn Hồ Tây. Giá 4,6 tỷ
","
4,6
Tỷ ","
76
m2
",['Mua bán Căn hộ chung cư  PentStudio'],"
Gia đình cần bán gấp căn hộ PentStudio diện tích 76m² tầng trung, ban công Đông Nam view trọn Hồ Tây và sông Hồng.Giá bán 4,6 tỷ (cam kết rẻ nhất thị trường).- Tổng quan dự án:+ 3 tầng hầm - 2 tầng dịch vụ và 18 tầng căn hộ.+ Tiêu chuẩn quốc tế, dịch vụ 5 sao do Ascott vận hành.+ Duplex đã được cấp sổ hồng lâu dài.+ Nội thất cao cấp, đầy đủ trang bị vệ sinh, bồn tắm, máy giặt sấy, máy rửa bát, bếp từ, tủ bếp trên dưới, sàn gỗ, trần thạch cao.+ Tiện ích vô vàn: Bể bơi 4 mùa trong nhà, khu vui chơi trẻ em, nhà hàng Á Âu, hệ thống mua sắm siêu thị 24/7, quầy bar - cà phê trong nhà, dịch vụ theo tiêu chuẩn khách sạn 5 sao...LH chủ nhà: Mr Ngọc 094.727.6*** (Miễn TG)
",Căn hộ,,Sổ hồng, 11/10/2023,08/11/2023,Bán,2567242,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Đông-Nam,,,,,,,,,,,,,,
"
Bán đất Huyện Sóc Sơn 100m2 NỞ HẬU đường ô tô tránh, gần hồ, gần quốc lộ 3, giá 1.39 Tỷ
","
1,39
Tỷ ","
100
m2
","['Hà Nội', 'Huyện Sóc Sơn', 'Mua bán Đất tại Đường Quốc lộ 3']","
mình có mảnh đất NỞ HẬU SIÊU ĐẸP tại phù linh, sóc sơn , lô mình giáp lô góc 2 mặt đường, đường lớn 2 ô tô tránh nhau thoải mái , cách hồ lớn 5 phút, đi ra quốc lộ 13 1-2 km , thuận tiện đi lại, để ở và đầu tư đều rất tốt. sổ hồng đầy đủ, giá 1ty390. sđt / zalo 08181..690.***
",Đất,,Sổ hồng, 11/10/2023,08/11/2023,Bán,2567222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Bán nhà mặt phố Nguyễn Ngọc Nại dt 165 Mét Mặt Tiền 8.2M Giá Chào 55 Tỷ
","
55 - 65
Tỷ ","
165
m2
","['Hà Nội', 'Quận Thanh Xuân', 'Mua bán Nhà mặt phố tại Đường Nguyễn Ngọc Nại']","
SIÊU PHẨM MẶT PHỐ - MẶT TIỀN ĐẦY QUYỀN LỰC,  VỈA HÈ KINH DOANH TẤP NẬP - XÂY TÒA BUILDING THÌ KHỎI BÀN - SỔ PHÂN LÔ HOA HẬU. 👉 SIÊU PHẨM - MẶT TIỀN QUYỀN LỰC nhất phố - Sổ đỏ phân lô đẹp như Hoa Hậu.- Vị trí: Mặt phố khu Phân lô Quân đôi với vỉa hè, kinh doanh sầm uất giao thông thuận lợi kinh doanh đa ngành nghề  - Hiện trạng nhà cấp bốn bán đất tặng nhà, chủ đang cho thuê kinh doanh .- Sổ đỏ chính chủ phân lô ko lỗi nhỏ  - Liên hệ ngay : Mr Khương sđt 09821558***chuyên BĐS Mặt Phố để xem nhà và làm việc với chính chủ!    
",Nhà mặt phố,,Sổ đỏ, 11/10/2023,25/10/2023,Bán,2317763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Chính chủ bán gấp tòa nhà Văn Phòng 9 tầng mặt Phố Trung Liệt _ Giá :120 tỷ
","
120
Tỷ ","
267
m2
","['Hà Nội', 'Quận Đống Đa', 'Mua bán Nhà mặt phố tại Phố Trung Liệt']","
Chính chủ bán gấp tòa nhà Văn Phòng 8 tầng nổi và 1 tầng hầm Vị trí đắc địa mặt Phố 49 Trung Liệt . DT : 267m2 , Mặt tiền : 8m . Lô góc 3 mặt thoáng . Tòa nhà thiết kế phong cách hiện đại văn phòng mới 100% . Thang máy nhập khẩu chính hãng Mtsubishi .Nội thất cửa gỗ tự nhiên .Hệ thống điều hòa âm trần Nhập Khẩu chính hãng .Thiết bị vệ sinh cao cấp American .Hệ thống điện chiếu sáng Philip.Hệ thống chống cháy nổ do công an Thành Phố cấp .Sổ đỏ chính chủ , Gía bán : 120 tỷ (có thương lượng) .Khách hàng có nhu cầu LH : Đào Duyên_ 0972 35 96***.
",Nhà mặt phố,,Sổ đỏ, 11/10/2023,08/11/2023,Bán,2567250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Bán gấp căn tt bắc từ liêm - ciputra- 110m - 3 ngủ 2 wc - gửi ô tô miễn phí - chỉ 2.1 tỉ
","
2,1
Tỷ ","
110
m2
","['Hà Nội', 'Quận Bắc Từ Liêm', 'Mua bán Căn hộ chung cư tại Đường Nhật Tảo']","
Bán Gấp Căn TT Bắc Từ Liêm - Ciputra- 110m - 3 Ngủ 2 WC - Bãi gửi Ô Tô Miễn Phí ngay trước nhà - Chỉ 2.1 Tỉ
 
Tập Thể Bắc Từ Liêm - Ngay cạnh CIPUTRA - Trước nhà cực thoáng mát, bãi đỗ ô tô miễn phí ngày đêm, hưởng trọn tiện ích Ciputra, an sinh đỉnh, an ninh tuyệt đối, hàng xóm công chức dân trí cao.
Căn hộ tầng 1, đi lại thuận tiện không khác gì nhà dân, sổ đỏ chính chủ.
Diện tích sử dụng 110m gồm khách, bếp, kho, sân phơi, 3 ngủ + 2 vệ sinh.
Cần bán nhanh, khách thiện chí liên hệ 
",Căn hộ,3.0,Sổ đỏ, 11/10/2023,08/11/2023,Bán,2567164,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
"
Chung cư Mỹ Đình 2PN giá chỉ 2.8tỷ tặng ngay 3 chỉ vàng và 2 năm PDV. Bàn giao gần full nội thất
","
Thỏa thuận
","
66
m2
",['Mua bán Căn hộ chung cư  Moonlight I'],"
🌈 Đ𝐎́𝐍 𝐓𝐄̂́𝐓 𝐍𝐇𝐀̀ 𝐌𝐎̛́𝐈 – 𝐓𝐇𝐎̛̀𝐈 𝐓𝐎̛́𝐈 𝐇𝐀𝐍𝐇 𝐓𝐇𝐎̂𝐍𝐆 - 𝐔̛𝐔 Đ𝐀̃𝐈 Đ𝐀̣̆𝐂 𝐐𝐔𝐘𝐄̂̀𝐍🏡 “𝐌𝐔𝐀 𝐍𝐇𝐀̀ 𝐎̛̉ 𝐍𝐆𝐀𝐘 – 2 𝐍𝐀̆𝐌 𝐒𝐀𝐔 𝐓𝐇𝐀𝐍𝐇 𝐓𝐎𝐀́𝐍”⭐️ Thấu hiểu tâm lý của người Việt “đầu năm mua đất, cuối năm mua nhà”, CĐT An Lạc vừa tung quỹ căn hộ Moonlight 1 đẹp nhất dự án An Lac Green Symphony⭐️ 𝐶ℎ𝑖́𝑛ℎ 𝑠𝑎́𝑐ℎ ℎ𝑎̂́𝑝 𝑑𝑎̂̃𝑛 ℎ𝑎̀𝑛𝑔 đ𝑎̂̀𝑢 𝑡ℎ𝑖̣ 𝑡𝑟𝑢̛𝑜̛̀𝑛𝑔: KH mua nhà không phải chịu áp lực tài chính vì được hỗ trợ lãi suất 𝟎% và ân hạn gốc đến 𝟐𝟒 𝐭𝐡𝐚́𝐧𝐠.⭐️ Chiết khấu 𝟏𝟏,𝟓% khi thanh toán sớm⭐️ Quà tặng tân gia: Tặng ngay #20_triệu_đồng cho KH mua căn 2PN Tặng ngay #40_triệu_đồng cho KH mua căn 3PN⭐️Miễn phí 𝟐 𝐧𝐚̆𝐦 phí vận hành🌈 Sống trọn vẹn tại “Khu đô thị nhiệt đới phía Tây Hà Nội” để cảm nhận “mỗi ngày trôi qua đều là cuối tuần bình yên và hạn phúc”.
",Căn hộ,,, 11/10/2023,08/11/2023,Bán,2567162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
