address,gen_descrip,Diện tích,Mức giá,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số tầng,Mặt tiền,Pháp lý,Hướng ban công,Số phòng ngủ,Số toilet,Nội thất,Hướng nhà
"['Hà Nội', 'Đông Anh', 'Xã Uy Nỗ', 'Đường Cổ Loa', 'Dự án Calyx Residence']","
Mua được suất ngoại giao giá rẻ từ đợt đầu, căn liền kề view quảng trường giờ chủ nhà cần tiền vào dự án Vin Hưng Yên cần bán gấp.Vị trí view quảng trường đắt giá nhất dự án, số lượng có hạn, rất ít khách bán vì vị trí đẹp tiềm năng tăng giá mạnh.Với vị trí này vừa ở vừa kinh doanh đều được, không gian rộng rãi thoáng đãng, để xe oto thoải mái, không bị lỗi phong thủy.Đặc biệt dự án có 4 tòa chung cư cao 9 tầng nên dân cư đông đúc, quảng trường sẽ là không gian vui chơi cho toàn khu nên kinh doanh cực kỳ thuận lợi.Chủ mua được suất ngoại giao giá rẻ nên bán rẻ hơn thị trường vài giá.Bác nào thiện chí liên hệ giá thỏa thuận: 0989 360 *** ",70 m²,Thỏa thuận,04/12/2022,11/12/2022,Tin thường,35553795,batdongsan_com_vn_35553795,,,,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Quan Hoa', 'Đường Quan Hoa']","
Bán gấp nhà mới ở luôn Quan Hoa 41m² 5T 5 tỷ ngõ to gần phố sổ vuông.- Chủ nhà tự xây khung cột chắc chắn.Thiết kế hợp lý tầng nào cũng có ban công thoáng sáng.Tầng 1 khu để xe máy + bếp WC.Tầng 2 phòng khách + WC to.Tầng 3, 4 mỗi tầng 2 phòng WC giữa.Tầng 5 phòng thờ, sân phơi.- Nhà rất phù hợp cho gia đình 3 thế hệ ở cực thoải mái.- Ngõ trước nhà thoáng sáng rộng ở và đi lại cực thích.- Chủ nhà thiện chí giá thương lượng mạnh.Liên hệ: 0858 929 *** ",41 m²,5 tỷ,06/12/2022,13/12/2022,Tin thường,35847225,batdongsan_com_vn_35847225,5 tầng,,,,,,,
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Phố Hoàng Cầu']","
Gia đình cần bán nhà lô góc mặt ngõ to phố Hoàng Cầu, quận Đống Đa - TP Hà Nội.- DT 100m² x 5T, MT 8m (vuông vắn).- Vị trí nhà khu phân lô víp, nhà nằm mặt ngõ to và đẹp nhất phố Hoàng Cầu. Thuộc trung tâm quận Đống Đa.- Nhà lô góc 2 mặt ngõ to, có vỉa hè rộng. Đường 2 mặt ngõ đều 3 ô tô tránh nhau, ngõ ô bàn cờ thông tứ tung - Ô tô đỗ dừng thoải mái.- Nhà cách mặt phố và cách Hồ Hoàng Cầu đúng 50m.- Rất phù hợp để ở và kết hợp làm văn phòng, trụ sở công ty.- Khu vực phân lô dân trí cao, an ninh cực tốt.- Sổ đỏ chính chủ, vuông vắn. Gia đình rất thiện trí cần bán.* Liên hệ trực tiếp gia đình Anh Khâm, Chị Mỹ: 0966 886 ***, 0846 998 **** Miễn trung gian, không tiếp môi giới, xin cảm ơn.            ",100 m²,Thỏa thuận,06/12/2022,13/12/2022,Tin thường,34323793,batdongsan_com_vn_34323793,5 tầng,8 m,Sổ đỏ,,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Minh Khai', 'Dự án Green Pearl 378 Minh Khai']","
Do hiện tại phải chuyển công tác xa nên tôi cần nhượng lại căn hộ 3 PN tại dự án Green Pearl. Vì trước đây mua với mục đích để ở nên tôi đã chọn căn và hướng rất kĩ và đẹp. Dù rất tâm huyết và thực sự không muốn bán nhưng vì ở xa không có thời gian đi lại trông coi nên tôi muốn bán lại cho ai có thiện chí muốn ở lâu dài.Thông tin căn hộ như sau.+ Mã căn số 10, tòa A.+ DT 97m² thiết kế 3 PN + 2WC + 2 logia.+ Ban công hướng Nam thoáng mát.+ Sổ hồng chính chủ.+ Bàn giao nội thất đầy đủ.            ",97 m²,4.6 tỷ,06/12/2022,13/12/2022,Tin thường,35094197,batdongsan_com_vn_35094197,,,Sổ đỏ/ Sổ hồng,Nam,3 phòng,2 phòng,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Phú Đô', 'Đường Lê Quang Đạo']","
+ Chính chủ nhờ bán nhà Lê Quang Đạo - Mỹ Đình Nam Từ Liêm 41m² x 4 tầng, nhà tự gia chủ thiết kế xây dựng và giám sát, nhà KCBT cực kỳ chắc chắn, ngõ riêng rộng thoáng.+ Vị trí cực đẹp khu vực trung tâm đầy đủ tiện ích di chuyển các tuyến đường lớn thuận tiện, 5p đi bộ ra tới trường Mầm non, Tiểu Học, Trung học Phú Đô.+ Nhà thiết kế 4 tầng cầu thang giữa đầy đủ công năng, tổng 4 Phòng ngủ, phòng thờ, sân phơi..+ Giá 4 tỷ (có thương lượng).+ Sổ đỏ chính chủ, pháp lý chuẩn.+ Liên hệ: A Trường 0946 215 *** để xem nhà thực tế.* Vui lòng ko tiếp Trung gian và Mg.            ",41 m²,4 tỷ,06/12/2022,14/12/2022,Tin thường,35849797,batdongsan_com_vn_35849797,4 tầng,,Sổ đỏ/ Sổ hồng,,4 phòng,3 phòng,,
"['Hà Nội', 'Đống Đa', 'Phường Nam Đồng', 'Phố Xã Đàn']","
Mặt phố Xã Đàn to đùng, 2MT, 65m², 5T, vỉa hè vĩ đại, kinh doanh khủng khiếp, 36,3 tỷ.Tầm giá nhỉnh 30 tỷ rất hiếm nhà bán mà được diện tích lớn, mặt tiền đẹp, nhà đẹp ở và kinh doanh luôn.Con phố đẹp nhất quận Đống Đa, con đường đắt nhất hành tinh mà giá chỉ như trong ngõ. Cực kỳ hiếm.Thiết kế 5 tầng mới, đủ thoải mái công năng vừa ở vừa kinh doanh.Sổ đỏ đẹp, chủ thiện chí.Liên hệ ngay để xem nhà trực tiếp.Bảo mật thông tin khách hàng và chủ nhà.Anh chị trung gian, môi giới, quảng cáo xin miễn làm phiền. Cảm ơn anh chị.            ",65 m²,36.3 tỷ,06/12/2022,13/12/2022,Tin thường,35854859,batdongsan_com_vn_35854859,5 tầng,,Sổ đỏ đẹp.,,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Quảng An', 'Đường Xuân Diệu']","
Gia Đình Thiện Chí Cần Bán Nhà Mặt Phố Xuân Diệu, Quận Tây Hồ, TP Hà Nội.- DT sổ đỏ 175m² x MT 9m. (Vuông vắn).- Vị trí nhà nằm đoạn đẹp nhất mặt phố Xuân Diệu, mặt phố và vỉa hè rộng thênh thang. Nhà hướng quay mặt ra Hồ Tây.- Nhà đã quy hoạch xong diện tích sổ đỏ còn đúng 175m².- Phù hợp đầu tư hoặc xây tòa văn phòng, khách sạn, căn hộ cho thuê rất sầm uất.- Sổ đỏ chính chủ, pháp lý chuẩn, 1 sổ, 1 chủ. Gia đình đã thống nhất thiện trí bán, luôn sẵn sàng giao dịch.* Liên hệ trực tiếp Gia Đình Chị Mỹ, Anh Khâm: 0966 886 ***, 084.699.8888.(Miễn trung gian, không tiếp môi giới, báo Qc, xin cảm ơn. ).            ",175 m²,65.8 tỷ,06/12/2022,13/12/2022,Tin thường,30043618,batdongsan_com_vn_30043618,,,Sổ đỏ,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Quan Hoa', 'Đường Dương Quảng Hàm']","
Bán nhà mặt phố Dương Quảng Hàm, diện tích 26m² 4 tầng, giá 7.2 tỷ, vỉa hè kinh doanh đa ngành nghề.Siêu phẩm mặt phố - kinh doanh - ô tô tránh - TT Cầu Giấy - chủ tặng full nội thất 300tr.Mô tả:+ Vị trí đẹp đắc địa, mặt phố Dương Quảng Hàm kinh doanh sầm uất bất chấp ngày đêm.+ Trước nhà ô tô tránh, cách phố Cầu Giấy vài chục mét, phân khúc cực hiếm.+ Nhà 4 tầng chủ xây tâm huyết rất chắc chắn. Khách vào là thích.Thiết kế:T1: Kinh Doanh.T2: PN khép kín.T3: Bếp - PK - WC.T4: Phòng Thờ - Sân Phơi.+ Sổ đẹp, vuông vắn, sẵn sàng giao dịch.Liên Hệ: 0858 929 *** ",26 m²,7.2 tỷ,06/12/2022,13/12/2022,Tin thường,35736158,batdongsan_com_vn_35736158,4 tầng,,,,,,Full nội thất.,
"['Hà Nội', 'Quận Nam Từ Liêm', 'Dự án The Sun Mễ Trì']","
Cần bán căn 75m² The Sun, giá: 3 tỷ.- Căn (2PN + 1) + 2 vệ sinh, full đồ chỉ việc xách quần áo đến ở. View đường Mễ Trì cực thoáng, view đẹp như trời Âu.- Thiết kế hợp lý, phòng nào cũng thoáng sáng, có thêm phòng ngủ nhỏ tiện lợi thêm công năng sử dụng. Khách nên qua xem trực tiếp để đánh giá hết vẻ đẹp của căn hộ.- Khách quan tâm LH Ms Hiên 0866 127 ***Call/zalo/ib) Xem nhà trực tiếp.            ",75 m²,3 tỷ,06/12/2022,13/12/2022,Tin thường,35974197,batdongsan_com_vn_35974197,,,,,2 phòng,2 phòng,,
"['Hà Nội', 'Cầu Giấy', 'Phường Mai Dịch', 'Phố Trần Bình', 'Dự án D22 Bộ Tư Lệnh Biên Phòng']","
- Chính chủ bán căn hộ chung cư, phố Trần Bình, Mai Dịch, Cầu Giấy, HN.- Diện tích 65m², thiết kế 2 phòng ngủ, 1 phòng khách đa năng bếp, 1WC, nội thất đầy đủ,- Sổ đỏ chính chủ, khu an ninh tốt.- Giá 2,4 tỷ, có thương lượng.- LH 0984 792 *** ",65 m²,2.4 tỷ,06/12/2022,13/12/2022,Tin thường,35608811,batdongsan_com_vn_35608811,,,Sổ đỏ chính chủ,,2 phòng,1 phòng,,
