address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Đường vào,Hướng ban công,Nội thất
"['Hà Nội', 'Long Biên', 'Phường Sài Đồng', 'Đường Vũ Xuân Thiều']","
- Nhà thiết kế 5 tầng - Lô góc. Diện tích nhà 30m², mặt tiền: 4,5m.- Hướng chính: Đông Nam, hướng phụ Đông Bắc.+ Tầng 1: Phòng khách + Bếp + vệ sinh.+ Tầng 2,3,4: Mỗi tầng 1 P ngủ + Vs.+ Tầng 5: Phòng thờ + sân phơi.- Ngõ trước nhà 2,5m, 50m ra mặt ngõ Vũ Xuân Thiều - phường Sài đồng - Long Biên.- Bán kính 300m đầy đủ trường học các cấp, chợ may 10, siêu thị...- Giá: 3,2 tỷ (có thương lượng).- Hiện tại nhà đang trong quá trình hoàn thiện, dự tính 20 ngày nữa xong.- Cam kết ảnh thật - việc thật - thiện trí liên hệ Mr Phát: 0965 858 *** - hỗ trợ xem nhà.            ",30 m²,3.2 tỷ,4.5 m,Đông - Nam,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,29/11/2022,06/12/2022,Tin thường,34455788,batdongsan_com_vn_34455788,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Mai Dịch', 'Đường Hồ Tùng Mậu']","
+ Bán nhà riêng đường Hồ Tùng Mậu, kinh doanh, ô tô, phân lô, 80m², giá 16.5 tỷ.+ Nhà nằm vị trí đắc địa, trung tâm quận Cầu Giấy, kinh doanh sầm uất, giao thông thuận lợi, đi đâu cũng tiện.+ Khu vực dân cư đông đúc, hạ tầng cơ sở phát triển, hàng xóm toàn cán bộ cấp cao, tiện ích xung quanh đầy đủ, không thiếu thứ gì.+ Nhà chủ tự xây, khung cột chắc chắn, trang thiết bị nội thất sang xịn, công năng sử dụng hoàn hảo, chủ mới mua về ở ngay, làm văn phòng, kinh doanh đều hợp lý.+ Sổ đỏ chính chủ, pháp lý rõ ràng, sẵn sàng giao dịch.+ Liên hệ tôi Trần Dự để được xem nhà 24/7.            ",80 m²,16.5 tỷ,,,5 tầng,6 phòng,5 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35981794,batdongsan_com_vn_35981794,12 m,,
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Đường Hồ Mễ Trì', 'Dự án Trinity Tower']","
- Căn hộ mới đẹp 100% 3 tháng nữa nhận bàn giao.- Đóng tiền 4 đợt.- Rất thuận tiện cho con em đi học tại các trường Đại Học, Cao Đẳng. Vị trí không thể thuận lợi hơn:+ Trung tâm Hội nghị Quốc Gia: 3 phút.+ Bảo tàng Hà Nội: 7 phút.+ Siêu thị Big C: 5 phút.+ Bến xe Mỹ Đình: 7 phút.+ Trường THPT Hà Nội Amsterdam: 5 phút.+ Tổ hợp văn phòng - TTTM Vincom Nguyễn Chí Thanh: 8 phút.+ KeangNam Hà Nội Landmark Tower: 7 phút.+ Sân bay Quốc tế Nội Bài: 20 phút.Chung cư Trinity Tower Hồ Mễ Trì được thiết kế và xây dựng theo tiêu chuẩn khách sạn 5* quốc tế, tầng TTTM, bể bơi 4 mua trong nhà và ngoài trời, hệ thống các phòng tập gym, yoga, fitness, siêu thị, shop thời trang mang thương hiệu quốc tế, ẩm thực Á Âu. Dự án hứa hẹn sẽ đem lại cuộc sống trải nghiệm tuyệt vời cho cư dân. Lựa chọn căn hộ Trinity Tower, bạn không chỉ có một căn nhà đáng mơ ước giữa trung tâm, mà còn chính thức bước chân vào cộng đồng tinh anh tại thủ đô Hà Nội.            ",36.3 m²,1.692 tỷ,,Tây - Nam,,,,Hợp đồng mua bán,29/11/2022,09/12/2022,Tin thường,35981566,batdongsan_com_vn_35981566,,Đông - Bắc,
"['Hà Nội', 'Long Biên', 'Phường Thạch Bàn']","
- Diện tích 43m², hướng: Bắc.+ Đường trước đất 3m ngõ thông công viên, cách 50m ra ô tô tránh vỉa hè.+ Bán kính 500m đầy đủ trường học, chợ, siêu thị, 1km đến Aeon Long Biên.+ Vị trí thuộc phường Thạch Bàn, quận Long Biên, Hà Nội.+ Sổ đỏ chính chủ, Không tranh chấp.+ Giá: 2,92 tỷ (Có thương lượng).- Liên hệ xem đất: Hoàng Phát 0965 858 ***Trân trọng).            ",43 m²,2.92 tỷ,,Bắc,,,,Sổ đỏ/ Sổ hồng.,29/11/2022,06/12/2022,Tin thường,35081044,batdongsan_com_vn_35081044,3 m,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Dự án The Sakura - Vinhomes Smart City']","
Căn góc tòa SA3 Sakura tại Vinhomes Smart City.- Thiết kế 2PN + 1.- Diện tích 65m².- Căn góc ban công Đông Nam.- View nhìn cầu Nhật Hinoke, Trường Vinschool.- Giá bán 3.5 tỷ.Cam kết giá căn này đang tốt nhất thị trường giai đoạn này, khi mà tòa SA5 chuẩn bị ra giá đang cao hơn.Liên hệ em để có thêm thông tin: 0982 209 ***SakuraSA3.VinhomesSakura.SA3Vinhomes.            ",65 m²,3.6 tỷ,,Tây - Bắc,,3 phòng,2 phòng,,29/11/2022,09/12/2022,Tin thường,35982325,batdongsan_com_vn_35982325,,Đông - Nam,"Đầy đủ nguyên bản CĐT: Điều hòa, nóng lạnh, sàn, tường, trần, vệ sinh,..."
"['Hà Nội.', 'Nam Từ Liêm', 'Thị trấn Cầu Diễn', 'Đường Hàm Nghi', 'Dự án Vinhomes Gardenia']","
Gia đình đang cần bán nhanh căn 2PN Vinhomes Gardenia. Thông tin cơ bản căn hộ như sau:Nhà đầy đủ nội thất.Diện tích: 76m² thông thủy gồm 2PN, 2WC, 1 khách, 1 bếp.Cửa hướng Đông - Bắc, Ban công hướng Nam ghé chút Tây, view tầm cao nhìn thẳng ra SVĐ Mỹ Đình rất đẹp và thoáng.Giá bán cho khách thiện chí mua: 3.5 tỷ.Liên hệ để xem nhà: 0834 114 *** em Thắm.            ",76 m²,3.5 tỷ,,,,2 phòng,,,29/11/2022,06/12/2022,Tin thường,35848846,batdongsan_com_vn_35848846,,,
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Tố Hữu', 'Dự án Usilk City']","
Gia đình giảm giá, bán lỗ tiền tỷ để bán nhanh, cực gấp chỉ trong ngày 23, CHCC có 3PN góc là CH cao cấp. Căn góc, có sân vườn, thiết kế hiện đại, đẳng cấp, theo phong cách Châu Âu bậc nhất so với các tòa lân cận trên trục đường Tố Hữu, Lê Văn Lương kéo dài, gần TTTM Aeon Mall Hà Đông. Nhà mình bán giá cắt lỗ, nên đang có nhiều khách quan tâm. Vì vậy mình ưu tiên khách thiện chí chốt sớm. Căn hộ chung cư mang đậm phong cách Châu Âu, được thiết kế, bố trí khoa học, vuông vắn, đẹp, hiện đại, nhẹ nhàng, thanh lịch, có logia sân vườn, thông thoáng, đảm bảo 100% tất cả các phòng đều được đón gió và ánh sáng tự nhiên, phù hợp với gia đình cần không gian thoáng đãng, tràn ngập ánh sáng, ở lâu dài.Đặc biệt nhà mình căn góc, các phòng đều đón ánh sáng và gió trực tiếp, phòng khách vuông, rộng, thoáng, mát, có logia sân vườn, tạo cảm giác lên thơ và đáng sống sau một ngày làm việc vất vả, rất phù hợp với các bạn trẻ ưu cuộc sống năng động, sáng tạo, cần không gian thư giãn sau ngày làm việc căng thẳng.Nội thất nhà mình thuê thiết kế hoàn thiện đồng bộ, rất cẩn thận, hết 400 triệu, mục đích để ở, nên đã đi lại đường điện, nước, chống thấm nhà vệ sinh rất cẩn thận, nhà có. Sàn gỗ các phòng, trần thạch cao giật cấp, hệ thống đèn led, trang trí, 3 điều hòa, 2 nóng lạnh, tủ bếp có bếp hút mùi, 2 tủ âm tường, rèm cửa, lưới an toàn, thiết bị vệ sinh cao cấp có vách kính, chậu tắm cao cấp, cửa sổ là cửa kính Window nhập khẩu, cách âm tốt không nghe thấy gì khi đóng cửa... Nội thất mới cứng 100%, nhà đang đóng cửa để không gia chủ về ở luôn để chuyển bị đón tết, vì giờ hoàn thiện nội thất hơi gấp.Giá: 2.6 tỷ. Vì mình cần bán gấp nên rất hân hạnh được đón tiếp và có thương lượng với khách thiện chí mua. Miễn trung gian, quảng cáo và khách không có nhu cầu gọi làm phiền.Liên hệ chủ nhà: C. Loan: 0385 508 *** ",117 m²,2.6 tỷ,,Đông - Nam,,3 phòng,2 phòng,,29/11/2022,06/12/2022,Tin thường,35982870,batdongsan_com_vn_35982870,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thượng Đình', 'Đường Nguyễn Trãi', '108', 'King Palace']","
- Chính chủ có căn hộ tại King Palace muốn bán gấp trong tháng này do sắp tới chuyển công tác.- Căn hộ diện tích 125m² thiết kế: 3 phòng ngủ rộng rãi, thoáng mát + 1 phòng khách đẹp, sang trọng + 1 bếp + 2 WC.- Nội thất full đồ, nhà cực mới.- Hướng ban công: Tây Nam.Giá bán 5,5x tỷ (bao phí).Ai quan tâm liên hệ để xem nhà: 0978 812 ***miễn môi giới).            ",125 m²,5.55 tỷ,,Đông - Bắc,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35722889,batdongsan_com_vn_35722889,,Tây - Nam,"Full đồ, nhà cực mới"
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Phố Hoàng Đạo Thúy', 'Dự án Trung Hòa Nhân Chính']","
Bán căn hộ tòa nhà N6 Trung hòa Nhân Chính, diện tích 55 m², căn hộ tầng 5, có 2 phòng ngủ, 1 phụ, 1 khách, 1 bếp, nhà đang sử dụng tốt, có sàn gỗ, điều hòa, tủ bếp, khu trung tâm, tiện giao thông, đi làm, đi học, sổ đỏ, giá bán 1,8 tỷ. Liên hệ: 0988 837 *** ",55 m²,1.8 tỷ,,,,2 phòng,,,29/11/2022,06/12/2022,Tin thường,35981746,batdongsan_com_vn_35981746,,,
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Phố Láng Hạ']","
Tôi cần bán gấp nhà phố Láng Hạ giá 11.5 tỷ, 60m2x6T, thang máy, oto vào.Nay gia đình có nhu cầu chuyển đổi nên sang tên nhanh nhà Phố Láng Hạ, Đống Đa.Diện tích 60m2x6 tầng.Mặt tiền rộng 5m.Hướng Đông Nam.Nhà xây khung cột bê tông 6 tầng chắc chắn, vuông vắn, thiết kế hiện đại, sang trọng, nhập khẩu, thang máy xịn xò, thoáng trước sau, đầy đủ tiện nghi, khách mua về chỉ việc dọn vào ở luôn. Phù hợp đầu tư và ở. - Khu dân cư dân trí cao, an ninh tốt gần công an phường Láng Hạ. - Gần trường học Nam Thành Công, công viên Nguyên Hồng và các tòa nhà biểu tượng của phố Láng Hạ 88; 36; 99; 101 Láng Hạ, tiện giao thông.- Ngõ vào rộng rãi, thông thoáng, oto đỗ dừng thoải mái, thông ra nhiều đường lớn.- Sổ đỏ công chứng nhanh chóng.Giá bán 11.5 tỷ, có thương lượng.LH chính chủ 0988 796 ***Miễn TG - MG làm phiền.            ",60 m²,11.5 tỷ,5 m,Đông - Nam,6 tầng,6 phòng,4 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35982288,batdongsan_com_vn_35982288,10 m,,
