address,gen_descrip,Diện tích,Mức giá,Đường vào,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Hướng nhà,Hướng ban công,Nội thất
"['Hà Nội', 'Hoàng Mai', 'Phường Giáp Bát', 'Đường Kim Đồng']","
Chính chủ cần bán nhà 58m², 6 tầng thang máy tại phố Kim Đồng, Giáp Bát, Hoàng Mai phù hợp kinh doanh đa dạng, văn phòng đẳng cấp.- Vị trí đắc địa đẹp nhất phố Kim Đồng khu phân lô cao cấp, nhiều văn phòng, kinh doanh sầm uất.Ngôi nhà nguy nga khu phân lô vỉa hè ôtô tránh, thể hiện sự bề thế của gia chủ.- Diện tích 58m², xây dựng 6 tầng thang máy.- Khu vực sống dân trí cao, văn minh, đầy đủ tiện ích.- Nhà sổ đỏ chính chủ, sẵn sàng giao dịch.- Giá bán nhỉnh 9 tỷ, có thương lượng.Liên hệ: Tôi Chung để làm việc trực tiếp với chủ nhà. Miễn Môi giới, QC.            ",58 m²,Thỏa thuận,8 m,6 tầng,4 phòng,5 phòng,Sổ đỏ.,29/11/2022,06/12/2022,Tin thường,34404843,batdongsan_com_vn_34404843,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Dự án Pháp Vân Tứ Hiệp']","
Chính chủ bán gấp biệt thự đơn lập 300m² khu đô thị Pháp Vân, giá 30,5 tỷ.Nhà xây thiết kế theo phong cách hiện đại, hút mắt.Vị trí nhà nằm trên trục đường chính khu đô thị Pháp Vân, cạnh 2 lá phổi xanh lớn nhất thủ đô Hà Nội Hồ Linh Đàm và hồ Yên Sở...Xung quanh nhiều trường học, tiện ích rất nhiều.Vỉa hè trước nhà rộng 4m, đường rộng ô tô đỗ đậu ngày đêm thoải mái.Rất tiện cho kinh doanh nếu gia đình có nhu cầu kinh doanh.Vị trí phù hợp kinh doanh nhà hàng, kinh doanh cafe...Sổ đỏ chính chủ, pháp lý sạch, sẵn sàng giao dịch.            ",300 m²,30.5 tỷ,18 m,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35834105,batdongsan_com_vn_35834105,12 m,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Phố Phạm Tuấn Tài']","
+ Nhà xây khung cột chắc chắn, lại thoáng trước và có khe thoáng sau nên các phòng rất thoáng sáng, nội thất sang trọng, tặng toàn bộ nội thất chủ mới chỉ việc về ở luôn.+ Vị trí hiếm nhà bán ở Phạm Tuấn Tài, nhà nằm trong khu phân lô, bàn cờ, ô tô chạy đỗ thoải mái, khách ở hay kinh doanh đều hợp lý.+ Chủ nhà Chị Hồng chuyển sang Đức ở cùng với con trai và gần con cháu, nay cần bán gấp.+ Nhà thiết kế hợp lý, đầy đủ công năng.+ Sổ đỏ vuông đẹp, đang cất két.+ Giá: 10.5 tỷ, có thương lượng.+ Liên hệ: Em Hương 0862 566 *** Chuyên nhà đẹp.            ",50 m²,10.5 tỷ,,5 tầng,,,Sổ đỏ/ Sổ hồng,26/11/2022,03/12/2022,Tin thường,35958998,batdongsan_com_vn_35958998,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Quan Hoa', 'Đường Cầu Giấy']","
+ Vị trí hiếm nhà bán ở giữa Trung Tâm Quận Cầu Giấy, giao các tuyến phố như: Phạm Văn Đồng, Nguyễn Phong Sắc, Nguyễn Khánh Toàn, Nguyễn Văn Huyên, Tô Hiệu, Khúc Thùa Dụ.. Tiện ích xung không thiếu gì, giao thông đi lại vô cùng thuận tiện.+ Chủ Nhà Chú Tuấn tự xây rất tỉ mỉ nhà vô cùng chắc chắn, nhà thoáng trước và sau nên các phòng thoáng sáng rực rỡ.+ Ngõ trước nhà thông thoáng, ô tô vào nhà, khách về ở hoặc kết hợp kinh danh rất phù hợp.+ Nhà thiết kế hợp lý, đầy đủ công năng.+ Sổ đỏ vuông đẹp, giao dịch luôn.+ Giá: 11 tỷ, có thương lượng.+ Liên hệ: Em Hương 0862 566 *** chuyên nhà đẹp Cầu Giấy.            ",78 m²,11 tỷ,,,,,Sổ đỏ/ Sổ hồng,26/11/2022,03/12/2022,Tin thường,35495958,batdongsan_com_vn_35495958,,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Cổ Nhuế 1', 'Đường Hoàng Quốc Việt']","
+ Vị trí hiếm nhà bán ở Phố Hoàng Quốc Việt, nhà thuộc khu phân lô, tiện ích xung quanh bạt ngàn, giao thông đi lại thuận tiện.+ Chủ nhà xây rất cẩn thận, khung cột chắc chắn, nhà lại thoáng trước và sau nên các phòng vô cùng thoáng sáng. Khách về ở kết hợp kinh doanh rất hợp.+ Trước nhà rộng thoáng, ô tô vào nhà và chạy vòng quanh nhà thoải mái, dân trí cao, hàng xóm toàn Trung Tướng và Đại Tá, an ninh tuyệt vời.+ Nhà thiết kế hợp lý, mỗi tầng 2 phòng, tiện ích công năng đầy đủ.+ Sổ đỏ vuông đẹp, pháp lý chuẩn.+ Giá: 9.2 tỷ, có thương lượng.+ Liên hệ: Em Hương 0862 566 *** chuyên nhà đẹp.            ",48 m²,9.2 tỷ,,,,,Sổ đỏ/ Sổ hồng,25/11/2022,02/12/2022,Tin thường,35713939,batdongsan_com_vn_35713939,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Yên Sở', 'Đường Pháp Vân', 'Dự án Gamuda Gardens']","
Cần bán gấp biệt thự khu đô thị Gamuda Gardens 168m² lô góc, view vườn hoa, vỉa hè rộng, đường rộng thông thoáng đi lại thuận tiện.Nhà xây 4 tầng + tum, gara ô tô rộng, nội thất thiết kế theo phong cách hiện đại hút mắt.Nhà lô góc vị trí đắc địa, phù hợp kinh doanh đa dạng hình: Kinh doanh nhà hàng, kinh doanh cafe, kinh doanh khách sạn...Vỉa hè 4 bên rất tiện cho việc kinh doanh.Nhà nằm trong khu đô thị đẳng cấp bậc nhất Hà Nội...Sổ đỏ chính chủ, pháp lý sạch, sẵn sàng giao dịch.Liên hệ tôi Chung 0977 435 *** để xem nhà.            ",168 m²,25.9 tỷ,18 m,5 tầng,3 phòng,5 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35834237,batdongsan_com_vn_35834237,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Đô', 'Phố Phùng Chí Kiên']","
Phùng Chí Kiên - phân lô ô tô tránh - nhà đẹp full nội thất - 7 tầng thang máy.+ Phố Phùng Chí Kiên toàn các quan chức sinh sống, đầu phố là Tràng An Complex cực vip, hàng xóm xung quanh dân trí cao, an sinh đỉnh.+ Nhà cách mặt phố khoảng 50m, ô tô 7 chỗ vào nhà.+ Diện tích 49m², 7 tầng thang máy, MT 4.2m, sau nhà có khe thoáng 1m đón gió.- Tầng 1: Gara ô tô, chủ nhà hiện đang kinh doanh tại nhà.- Tầng 2: Phòng khách.- Tầng 3,4: 4 phòng ngủ khép kín.- Tầng 5: Bếp, phòng ăn.- Tầng 6: Phòng thờ, sân tập thể dục.- Tầng 7: Sân chill cực đẹp.+ Tặng nội thất.+ Giá 10.8 tỷ.+ Sđcc vuông vắn phân lô.+ Liên hệ 0868 140 *** để xem nhà.            ",49 m²,10.8 tỷ,6 m,7 tầng,4 phòng,8 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,09/12/2022,Tin thường,35880091,batdongsan_com_vn_35880091,4.2 m,Nam,Nam,Đầy đủ
"['Hà Nội', 'Long Biên', 'Phường Thượng Thanh', 'Đường Thượng Thanh']","
- Bán đất lô góc, tặng nhà cấp 4, công năng đầy đủ phố Thượng Thanh, Long Biên. Nhà về ở tạm vẫn tốt, xe ô tô đỗ cách mảnh đất khoảng 3 phút đi bộ, ngõ nông, 3 gác tránh xe máy SH, thoáng, sáng. Cách chợ dân sinh Thượng Thanh, công viên thể dục khoảng 200m, khu vực anh ninh tốt, hạ tầng đồng bộ, quy hoạch ổn định.- Sổ đỏ chính chủ.- Giá: 3,25 tỷ (Thiện chí thương lượng).- Liên hệ: Mr Tuấn 0936 165 ***Miễn TG, QC).            ",50 m²,3.25 tỷ,2.9 m,,,,Sổ đỏ/ Sổ hồng.,29/11/2022,06/12/2022,Tin thường,35986141,batdongsan_com_vn_35986141,11 m,,,
"['Hà Nội', 'Đống Đa', 'Phường Phương Mai', 'Đường Giải Phóng', 'Số 237']","
Chính chủ sổ đứng tên ông nội tôi, cần bán nhà số 237 Giải Phóng phường Phương Mai quận Đống Đa. Ngay cổng trường ĐH Kinh Tế Quốc Dân. Đối diện bệnh viện Tai Mũi Họng bệnh viện Bạch Mai. Diện tích 66m², 8 tầng thông sàn có ô chờ thang máy, MT 6m. Hoàn công đầy đủ trên sổ. Giá 15,5 tỷ. Nhà đang cho thuê, tôi bán kín nên anh chị quan tâm có thể xem vị trí từ xa. Quan tâm liên hệ tôi theo sđt 0868 140 *** ",66 m²,15.5 tỷ,12 m,8 tầng,8 phòng,8 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35889093,batdongsan_com_vn_35889093,6 m,,,Cơ bản
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Tân', 'Đường Hoàng Quốc Việt']","
+ Nhà chủ xây để ở nên thuê kiến trúc thiết kế, tỉ mỉ từng chi tiết, khung cột chắc chắn, lại thoáng trước và có khe thoáng sau nên các phòng rất thoáng.+ Vị trí hiếm nhà bán ở Hoàng Quốc Việt, nối liền các tuyến phố như: Phạm Tuấn Tài, Phạm Văn Đồng, Võ Chí Công, Lạc Long Quân đi đâu cũng thuận tiện.+ Nhà thuộc khu phân lô, bàn cờ, ô tô chạy đỗ thoải mái, khách ở hay kinh doanh văn phòng, spa đều hợp lý.+ Chủ nhà doanh nhân thành đạt, nay đã mua nhà to hơn nên không có nhu cầu ở cần bán đi.+ Nhà thiết kế sang trọng và bố trí phòng rất hợp lý, đầy đủ công năng tiện ích của ngôi nhà.+ Sổ đỏ vuông đẹp, đang cất két.+ Giá: 10.5 tỷ, có thương lượng.+ Liên hệ: Em Hương 0862 566 *** Chuyên nhà đẹp.            ",55 m²,10.5 tỷ,,,,,Sổ đỏ,26/11/2022,03/12/2022,Tin thường,35958278,batdongsan_com_vn_35958278,,,,
