address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số tầng,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Nội thất
"['Hà Nội', 'Long Biên', 'Phường Việt Hưng', 'Đường Kim Quan', 'Ngõ 22']","
Chính chủ bán gấp nhà cấp 4 hai mặt thoáng ngõ 22 Kim Quan, Việt Hưng, Long Biên.+ Diện tích 30m² mặt tiền rộng 3,2m dài 9,5m vuông vắn.+ Đường trước nhà rộng 2m cách ngõ ô tô chỉ 50m.+ Vị trí nằm trong ngõ 22 Kim Quan, xung quanh đông dân về ở, an ninh tốt, bán kính 400m trường học, chợ dân sinh, bệnh viện đa khoa đầy đủ. Mảnh đất đẹp có sẵn nhà cấp 4 mua về ở an cư rất đẹp.+ Sổ đỏ chính chủ - giao dịch thương lượng trục tiếp.+ Giá bán gấp: 2 tỷ 250 triệu (ra lộc khách thiện chí).Liên hệ ngay gặp chính chủ: 0971413456.(Chuyên bán đất đẹp - miễn phí môi giới - Hỗ trợ sang tên vay vốn ngân hàng).            ",30 m²,2.25 tỷ,3.2 m,2 m,Sổ đỏ/ Sổ hồng.,23/11/2022,30/11/2022,Tin Vip 3,35926841,batdongsan_com_vn_35926841,,,,,,
"['Hà Nội', 'Sơn Tây', 'Phường Kim Sơn']","
- Tổng diện tích 3288m² trong đó có 100m² đất ở lâu dài còn lại là đất vườn.- Ranh giới rõ ràng, sổ đỏ chính chủ.- Mô tả trung: Lô đất bằng phẳng, views thoáng mát, tường bao quanh kiên cố, trên đất có nhiều cây ăn quả và cây bóng mát lâu năm, không khí trong lành mát mẻ, an ninh trật tự tốt, xung quanh có nhiều biệt thự nhà vườn.- Thích hợp làm biệt thự nhà vườn, đầu tư sinh lời cao...- Quý khách quan tâm xin vui lòng liên hệ SĐT: 0384 556 *** Mr Binh để được biết thêm thông tin chi tiết.            ",3288 m²,16 tỷ,,5 m,,23/11/2022,30/11/2022,Tin Vip 3,33421148,batdongsan_com_vn_33421148,,,,,,
"['Hà Nội', 'Quốc Oai', 'Xã Phú Mãn', 'Đường Phú Mãn']","
Tôi chính chủ sở hữu 2 lô đất tại Cổ Rùa - Phú Mãn với tổng diện tích 2 lô gần 300m²; mặt tiền 10m cần bán với giá 12tr/m² (có thương lượng nhẹ).Vị trí:- 20m ra sân Golf Hùng Thắng đã được Quy Hoạch của tập đoàn Geleximco.- 68m ra trục chính Phú Mãn được quy hoạch mở rộng 24m.- 860m ra Quốc lộ 21 quy hoạch mở rộng 80m để kết nối 3 đô thị vệ tinh Sơn Tây - Hòa Lạc - Xuân Mai.- Gần trung tâm hành chính xã, Tổ hợp y tế...- Nằm trong vùng Lõi đô thị Vệ tinh Hòa Lạc được quy hoạch là nơi Nghỉ Dưỡng, Sinh Thái. Tức là sau khi Hoà Lạc lên thành phố trong thành phố thì sẽ là đất ở đô thị.Liên hệ chính chủ: 085.369.8686.(Có hợp tác với môi giới).            ",144 m²,1.728 tỷ,5 m,5 m,Sổ đỏ/ Sổ hồng,23/11/2022,30/11/2022,Tin Vip 3,35460958,batdongsan_com_vn_35460958,,,,,,
"['Hà Nội', 'Thanh Oai', 'Xã Cự Khê']","
Hướng Nam ghé Tây - mặt tiền 4,5m, chiều sâu 15 m, DT 67,5m². (Nhà 4 tầng xây thô hoàn thiện mặt ngoài). Đường trước nhà + vỉa hè 10 m - cách 15 m là đường liên xã Cự Khê Mỹ Hưng nối liền với đô thị Thanh Hà rộng 2 xe công tránh nhau thoải mái. Vị trí sát khu đô thị Thanh Hà - gần chợ, gần trường mầm non, trường cấp 1,2,3, trường liên cấp Tuệ Đức.  - cách đường lớn cienco5 khoảng 600m - cách viện 103 và viện k Tân triều 5 km. Pháp lý sổ đỏ sẵn sàng giao dịch. Ai có nhu cầu mua LH SĐT: 0387 011 *** ",67.5 m²,5 tỷ,4.5 m,,,23/11/2022,03/12/2022,Tin Vip 3,35928120,batdongsan_com_vn_35928120,4 tầng,,,,,
"['Hà Nội', 'Sơn Tây', 'Xã Cổ Đông', 'Đường 21']","
Chính chủ bán lô đất trục chính, trung tâm xã Cổ Đông.Đất sau trường Sĩ Quan Lục Quân 1, gần khu Công Nghệ Cao Hòa Lạc, Trường đại học FPT, Trường đại học Quốc Gia, hàng nghìn sinh viên đang về học tập và nhiều dự án lớn khác...Đất gần chợ, trường học, ủy ban, mua để ở, kinh doanh nhỏ, đầu tư đều tốt.Giá 1x triệu/m², sổ đỏ trao tay.Liên hệ xem đất thực tế, giá cả 0945 921 *** ",119 m²,Thỏa thuận,5 m,10 m,Sổ đỏ/ Sổ hồng.,23/11/2022,30/11/2022,Tin Vip 3,35927669,batdongsan_com_vn_35927669,,Nam,,,,
"['Hà Nội', 'Hoài Đức', 'Xã Vân Canh', 'Đường Xuân Phương', 'Dự án CT Number One']","
Chỉ với 1,3 - 1,5 tỷ anh chị đã có thể sở hữu ngay 1 căn hộ có đầy đủ tiện nghi với các diện tích từ 81 - 101m² tại toà chung cư CT Number One, Khu đô thị mới Vân Canh, vị trí đắc địa, đường sá đi lại vô cùng thuận tiện, không có nhiều điểm gây ùn tắc giao thông. Bên cạnh đó, dự án KĐT Vân Canh còn nằm kề các tuyến đường giao thông đã và đang xây dựng như:Đường 70.Đường Trần Hữu Dực.Đường Lê Trọng Tấn kéo dài.Trục đường Hồ Tây Ba Vì (trong quy hoạch 2050 của thủ đô).Tuyến đường Mỹ Đình Xuân Phương.Cách Trung tâm thể thao Mỹ Đình: 4km.Liên hệ trực tiếp bên chủ đầu tư: 0946 887 *** ",81 m²,1.5 tỷ,,,Đang chờ,23/11/2022,03/12/2022,Tin Vip 3,35927647,batdongsan_com_vn_35927647,,Tây - Bắc,Đông - Nam,2 phòng,2 phòng,Thiết bị gắn tường
"['Hà Nội', 'Cầu Giấy', 'Phường Mai Dịch', 'Đường Phạm Văn Đồng', 'Dự án The Nine']","
0986 779 ***) Cần Bán Gấp căn hộ chung cư The Nine, Phường Mai Dịch, Cầu Giấy, Hà Nội. + Tầng 12 căn 11, diện tích tim tường 100,2m², thiết kế 3PN, 2VS, ban công Đông, cửa chính Bắc view thành phố cực đẹp. + Tầng 14 căn 07, diện tích 109,3m², thiết kế 3PN, 2vs, ban công Tây - Bắc, cửa chính Nam, view công viên An Bình cực đẹp.+ Tầng 12 căn 12, diện tích 116.9 m², thiết kế 3PN, 2VS,. Ban công Đông, cửa chính Tây view thành phố Cực Đẹp. + Tầng 11 căn 12A, diện tích 108,6 m, thiết kế 3PN, 2VS. Ban công Đông, cửa chính Tây view thành phố Cực Đẹp.+ Tầng 12 căn 12A, diện tích 109 m, thiết kế 3PN, 2VS. Ban công Đông, cửa chính Tây view thành phố Cực Đẹp. + Tầng 11 căn 06, diện tích 131 m, thiết kế 3PN, 2VS. Ban công Tây Nam, cửa chính Bắc view Nam Từ Liêm, cực kỳ Yên Tĩnh + Nhà mình cần bán gấp với giá 48tr/m (có thương lượng). Liên hệ chính chủ anh Hùng: 0913 651 *** - 0986 779 *** * Nếu thấy tin này hay thì hãy ấn nút "" Chia sẻ "" hoặc "" Yêu cầu liên hệ lại "" để nhận thông tin cụ thể. Xin cảm ơn.            ",100 m²,Thỏa thuận,,,,23/11/2022,03/12/2022,Tin Vip 3,35927552,batdongsan_com_vn_35927552,,,,3 phòng,2 phòng,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Lạc Long Quân', 'Dự án D’. El Dorado']","
Bán căn hộ tây hồ D' El Dorado Tân Hoàng Minh Lạc Long Quân, Tây Hồ view trọn hồ Tây, nhà mới tinh, nội thất lung linh 0989 629 ***Tất cả căn hộ của dự án D'EL Dorado đều được được thiết kế đậm chất cổ điển đồng thời rất khoa học và đẳng cấp, đảm bảo tận dụng tối đa công năng sử dụng phù hợp với nhu cầu từng gia đình. Dự án D'. El Dorado được thiết kế trang trí bởi các họa tiết và tượng phù điêu theo phong cách kiến trúc Châu Âu Tân Cổ Điển nhưng vẫn mang những nét hiện đại, đầy tinh tế.Quy mô dự án: 27 tầng nổi, 4 tầng hầm, tầng 1 - 2 là shophouse liền kề căn hộ, tầng 3 là các tiện ích: Bể bơi trong nhà, gym, spa, siêu thị.Shophouse thông tầng: 50 - 105 m².Tầng 4 đến tầng 26: Căn hộ để ở.+ Căn hộ (Sở hữu 50 năm): Diện tích từ 33m² - 60m².+ Căn hộ (Sở hữu lâu dài): Diện tích từ 71m² - 160m².Tầng 27: 6 căn penthouse diện tích 136m² - 249m² (2 căn mặt hồ có bể bơi trong nhà).Hiện tại, các căn hộ từ 39m² cho đến 109m² sẽ có Giá bán dao động trong khoảng 2 tỷ đến 5,1 tỷ (Đã bao gồm sang tên sổ đỏ hoặc thuế phí sang tên hợp đồng mua bán).Khách hàng vui lòng liên hệ để nhận được tư vấn nhanh và chính xác nhất. Xem nhà trực tiếp từng căn khách hàng yêu cầu.Cơ cấu căn hộ: Diện tích từ 33m² đến 252m² (Thiết kế từ 1 đến 4 phòng ngủ).Mô tả dự án!Với lợi thế vị trí nằm trên số 659A, đường Lạc Long Quân, Phường Xuân La, Tây Hồ, dự án D'EL Dorado hiện đang trở thành điểm đến hàng đầu tại Hà Nội. Không chỉ vậy, hệ thống tiện ích và cộng đồng dân cư ở đây cũng luôn được đánh giá cao, giúp cho những trải nghiệm sống của người dân luôn được đảm bảo.Vị trí căn hộ cho thuê D'EL Dorado có gì đặc biệt?Nằm trên đường Lạc Long Quân, Tây Hồ, dự án D'EL Dorado sở hữu nhiều căn hộ cực kỳ cao cấp, sở hữu vị trí đắc địa số một. Khi đã quá chán nản với sự xô bồ và vội vã của thành thị Hà Nội, một lượng lớn các cư dân của thành phố đã dịch chuyển đến với nguồn nước trong mát, ngọt ngào của các dự án quận Tây Hồ, trong đó D'EL Dorado là điểm nhấn.Từ dự án này, quý khách có thể dễ dàng đến được với các khu vực trọng điểm khác của Hà Nội, kết nối dự án với trung tâm quận Hoàn Kiếm và cầu Nhật Tân cầu Thăng Long đến với sân bay Nội Bài.Tiện ích D'EL Dorado có gì?Cũng nhờ vào vị trí đắc địa như vậy, hệ thống tiện ích ngoại khu của dự án này vô cùng đa dạng. Trong đó bao gồm hệ thống các trường học, siêu thị, trung tâm thương mại, rạp chiếu phim, khu vui chơi Tất cả làm nên sự tiện lợi cho cuộc sống sang trọng của người dân nơi đây.Thở một hơi xuân xanh chiều hồ Tây lộng gió đó dường như là những gì trong mát, ngọt lành nhất mà D'EL Dorado Tây hồ của tập đoàn Tân Hoàng Minh mang lại cho khách hàng.Trực ban D'EL Dorado 0989 629 *** Ms Vân Anh.            ",39 m²,2 tỷ,,,,23/11/2022,03/12/2022,Tin Vip 3,29837407,batdongsan_com_vn_29837407,,,,1 phòng,1 phòng,Nội thất lung linh.
"['Hà Nội', 'Đống Đa', 'Phường Trung Liệt', 'Phố Thái Hà']","
TRUNG TÂM ĐÔNG ĐA ,NHÀ MẶT NGÕ , Ô TÔ ĐỖ CỔNG , SỔ VUÔNG ĐẸPNgõ thẳng tắp, ô tô đỗ cổng.Thông số đẹp 5.25  8.7, sổ vuông đẹp.Nhà mới đẹp 4 tầng thiết kế cầu thang hông. Tầng 1: Khách, bếp, wc, cầu thang, Để xe.Tầng 2: 2 Phòng ngủ, wc, ban công.Tầng 3: 1 phòng ngủ rộng, wc, ban công.Tầng 4: 2 phòng ngủ, chủ bố trí làm phòng thu âm. Phòng thờ. Pháp lý sổ đỏTrước nhà có 1 sân chung khoảng 50m để xe chung của hai nhà.Vị Trí Nằm Trong Lòng Thái Hà , Đứng Đầu Quận Đống Đa Về Xa Hoa , Anh Ninh Tốt , Dân Trí Cao . Gần Bệnh Viện  , Trường Học , Gần Ngã Tư Sở , Ô Chợ Dừa sổ đỏ chính chủ vuông đẹp giá : 5,3 tỷ Có Thương LượngNhanh Tay Alo Em 1 Xuốt Duy Nhất Em Sáu : 0976 461 ***Em  Sáu Cam Kết Giao Đúng Thông Tin Em Sáu Xin Cam Kết  Tư Vấn Pháp Lý Chuẩn , Giúp Anh Chị Mua Nhà Giá Tốt Nhất !            ",46 m²,5.3 tỷ,5.2 m,,,23/11/2022,30/11/2022,Tin Vip 3,35927481,batdongsan_com_vn_35927481,4 tầng,,,5 phòng,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Đại Mỗ', 'Đường Quang Tiến']","
Chính chủ bán 2 căn nhà đẹp 61m² - lô góc - ô tô đỗ cửa - Quang Tiến - Đại Mỗ - Nam Từ Liêm cạnh Vinsmart City.+ Nhà đẹp, khu vực hiếm mặt tiền đường to 3m.+ Ô tô đỗ cửa.+ Tầng 1: Thiết kế thông sàn, WC.+ Tầng 2,3: Mỗi tầng phòng ngủ, WC.+ Tầng 4: Phòng thờ, sân chơi.Sổ đỏ vuông vắn, sẵn sàng giao dịch.Giá: 4, x tỷ (x tiểu học).0963.971.291 E Tùng.            ",61 m²,Thỏa thuận,,,Sổ đỏ.,23/11/2022,03/12/2022,Tin Vip 3,35927082,batdongsan_com_vn_35927082,4 tầng,,,2 phòng,3 phòng,
