address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Nội thất,Hướng ban công
"['Hà Nội', 'Long Biên', 'Phường Việt Hưng']","
+ Diện tích: 96m², mặt tiền và hậu rộng 6m, đường 30m, hướng Tây Bắc.+ Giá bán: Thương lượng ra lộc với chính chủ.+ Tòa nhà xây theo kiểu văn phòng công ty, chủ đầu tư xây để làm trụ sở chính của tập đoàn nên được thiết kế và xây dựng tỉ mỉ, dùng vật liệu, đồ nội ngoại thất rất cao cấp, có hầm để xem, cầu thang máy cao cấp.+ Vị trí: Nằm trên trục đường rộng 30m, vỉa hè rộng, view nhìn trực diện ra hồ điều hòa, vườn hoa, đường bàn cờ đi lại thuận tiện vô cùng, di chuyển qua các tuyến phố Việt Hưng, Hoa Lâm, Vũ Đức Thuận thuận tiện, xung quanh tiện ích trường học, chợ an sinh, TTTM Megamall Long Biên, vị trí đắc địa giáp với Vin Harmony khu thoáng mát trong lành.Liên hệ ngay thì mới còn ạ: 0974 156 ***Cam kết không thu phí người mua, hỗ trợ kiểm tra quy hoạch, thủ tục sang tên, vay ngân hàng.            ",100 m²,Thỏa thuận,6 m,30 m,Tây - Bắc,6 tầng,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,27/11/2022,04/12/2022,Tin thường,35519440,batdongsan_com_vn_35519440,,
"['Hà Nội', 'Hoàng Mai', 'Phường Trần Phú']","
Chính chủ cần tiền, nên cần bán nhà Hoàng Mai.Cách đường ô tô tránh nhau 50m.Nhà sổ đỏ chính chủ riêng biệt, sổ rất vuông đẹp nở hậu, vay được ngân hàng ngay trong ngày.Diện tích: 54m².Số tầng: 03 tầng, khung cột chắc chắn để chờ xây thêm đc 2 tầng thoải mái.Số phòng ngủ: 03 phòng, thoáng mát, không khí lưu thông ngủ dậy rất thoải mái khỏe người. Có thể xây thêm lên tầng đc thêm 3 phòng ngủ nữa.Wc: 02 ở các tầng.Khu bếp: Rộng rãi, hợp lý, thoáng khí, tiện nấu nướng hằng ngày các phòng riêng biệt.Hàng xóm: Thân thiện, Sống tình cảm.Môi trường xung quanh: Nhà gần chợ chỉ mất 1 phút đến chợ, trường học ở gần đưa đón con đi học đi làm chỉ 5 phút, sáng sớm chiều tối đi thể dục quanh khu rất thoải mái và an toàn.Đường vào nhà: Thông thoáng xe máy tránh nhau xe để trong sân nhà ko cần để trong nhà gây mùi và bẩn.Giá bán: 2.5 tỷ (Có thương lượng cho người nhiệt tình thiện chí).Gọi ngay cho tôi: Vũ Văn Tôn 0903 287 *** để xem nhà.(Không làm việc qua trung gian, môi giới).P/S: Vì lý do bảo mật thông tin tránh làm phiền nên hình ảnh thường là thật hoặc có thể chỉ mang tính chất minh họa, ai có nhu cầu liên hệ xem trực tiếp xem nhà ngay trong ngày.            ",54 m²,2.5 tỷ,5.9 m,2 m,,3 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,27/11/2022,04/12/2022,Tin thường,35961639,batdongsan_com_vn_35961639,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mễ Trì', 'Đường Đỗ Đức Dục']","
+ Hiện trạng là đất mặt tiền 4m, không có gì để mô tả.+ Ngõ thông kinh doanh sầm uất, ô tô qua nhà.+ Chủ thiện chí bán giá chốt tuỳ thuộc vào độ thiệt khách, sổ vuông vắn.Liên hệ, kết bạn zalo: 0962 892 *** ",48 m²,Thỏa thuận,4 m,4 m,,,,,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35745573,batdongsan_com_vn_35745573,,
"['Hà Nội', 'Hoàng Mai', 'Phường Tân Mai']","
Chính chủ cần tiền, nên cần bán nhà Hoàng Mai.Cách đường ô tô tránh nhau 50m.Nhà sổ đỏ chính chủ riêng biệt, sổ rất vuông đẹp nở hậu, vay được ngân hàng ngay trong ngày.Diện tích: 54m².Số tầng: 03 tầng, khung cột chắc chắn để chờ xây thêm đc 2 tầng thoải mái.Số phòng ngủ: 03 phòng, thoáng mát, không khí lưu thông ngủ dậy rất thoải mái khỏe người. Có thể xây thêm lên tầng đc thêm 3 phòng ngủ nữa.Wc: 02 ở các tầng.Khu bếp: Rộng rãi, hợp lý, thoáng khí, tiện nấu nướng hằng ngày các phòng riêng biệt.Hàng xóm: Thân thiện, Sống tình cảm.Môi trường xung quanh: Nhà gần chợ chỉ mất 1 phút đến chợ, trường học ở gần đưa đón con đi học đi làm chỉ 5 phút, sáng sớm chiều tối đi thể dục quanh khu rất thoải mái và an toàn.Đường vào nhà: Thông thoáng xe máy tránh nhau xe để trong sân nhà ko cần để trong nhà gây mùi và bẩn.Giá bán: 2.5 tỷ (Có thương lượng cho người nhiệt tình thiện chí).Gọi ngay cho tôi: Vũ Văn Tôn 0903 287 *** để xem nhà.(Không làm việc qua trung gian, môi giới).P/S: Vì lý do bảo mật thông tin tránh làm phiền nên hình ảnh thường là thật hoặc có thể chỉ mang tính chất minh họa, ai có nhu cầu liên hệ xem trực tiếp xem nhà ngay trong ngày.            ",54 m²,2.5 tỷ,5.9 m,2 m,,3 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,27/11/2022,04/12/2022,Tin thường,35961637,batdongsan_com_vn_35961637,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Đỉnh', 'Đường Xuân Đỉnh']","
- Vị trí: Ngõ ô tô thông ra đại sứ quán Hàn Quốc.- Bãi xe ô tô đầu ngõ, trước nhà rộng rãi thoáng sáng.- Khu vực an sinh tốt, sinh khí. Đi bộ ra trưởng học các cấp.- Thiết kế cơ bản thông sàn hiện đại.- Giá chào 4,75 tỷ có thương lượng.- Sổ đỏ pháp lý rõ ràng.- Liên Hệ xem nhà 0911 141 *** ",40 m²,4.75 tỷ,3.5 m,3.5 m,,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,23/11/2022,30/11/2022,Tin thường,35801413,batdongsan_com_vn_35801413,Cơ bản,
"['Hà Nội', 'Hoàng Mai', 'Phường Lĩnh Nam']","
Chính chủ cần tiền, nên cần bán nhà Hoàng Mai.Cách đường ô tô tránh nhau 50m.Nhà sổ đỏ chính chủ riêng biệt, sổ rất vuông đẹp nở hậu, vay được ngân hàng ngay trong ngày.Diện tích: 54m².Số tầng: 03 tầng, khung cột chắc chắn để chờ xây thêm đc 2 tầng thoải mái.Số phòng ngủ: 03 phòng, thoáng mát, không khí lưu thông ngủ dậy rất thoải mái khỏe người. Có thể xây thêm lên tầng đc thêm 3 phòng ngủ nữa.Wc: 02 ở các tầng.Khu bếp: Rộng rãi, hợp lý, thoáng khí, tiện nấu nướng hằng ngày các phòng riêng biệt.Hàng xóm: Thân thiện, Sống tình cảm.Môi trường xung quanh: Nhà gần chợ chỉ mất 1 phút đến chợ, trường học ở gần đưa đón con đi học đi làm chỉ 5 phút, sáng sớm chiều tối đi thể dục quanh khu rất thoải mái và an toàn.Đường vào nhà: Thông thoáng xe máy tránh nhau xe để trong sân nhà ko cần để trong nhà gây mùi và bẩn.Giá bán: 2.5 tỷ (Có thương lượng cho người nhiệt tình thiện chí).Gọi ngay cho tôi: Vũ Văn Tôn 0903 287 *** để xem nhà.(Không làm việc qua trung gian, môi giới).P/S: Vì lý do bảo mật thông tin tránh làm phiền nên hình ảnh thường là thật hoặc có thể chỉ mang tính chất minh họa, ai có nhu cầu liên hệ xem trực tiếp xem nhà ngay trong ngày.            ",54 m²,2.5 tỷ,5.9 m,2 m,,3 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,27/11/2022,04/12/2022,Tin thường,35961634,batdongsan_com_vn_35961634,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Đỉnh', 'Đường Xuân Đỉnh']","
Duy nhất tại Phạm Văn Đồng có nhà thang máy chỉ 4,6 tỷ.- Nhà cách đường oto tránh chỉ 30m, ra đến mặt đường Phạm Văn Đồng chỉ mất 2p.- Khu vực an sinh tốt, gần bệnh viện Nam Thăng Long, chợ Tân Xuân.- Vị trí giao thông thuận lợi, vài bước ra Vành đai 3 đi sân bay..- Nhà xây cực kỳ chắc chắn có thang máy thuận lợi di chuyển sinh hoạt trong gia đình.- Nhà thiết kế full nội thất nên khách chỉ việc sách vali về và ở.- Tổng 6 ngủ.Giá: 4,6 tỷ (bao sang tên).- Sổ đỏ pháp lý rõ ràng.- Liên hệ xem nhà 0911 141 *** ",45 m²,4.6 tỷ,4 m,2 m,,5 tầng,6 phòng,4 phòng,Sổ đỏ/ Sổ hồng,23/11/2022,30/11/2022,Tin thường,35571618,batdongsan_com_vn_35571618,Đầy đủ.,
"['Hà Nội', 'Đống Đa', 'Phường Khương Thượng', 'Đường Tôn Thất Tùng']","
Bán nhà Tôn Thất Tùng 40 m², 4 tầng, ngõ thông, rộng giá 3.85 tỷ. MTG.- Nhà xây chắc chắn, kiên cố. Thiết kế 4 tầng với 4 phòng ngủ rộng.- Ngõ trước nhà rộng, thông thoáng vài chục mét ra đến đường Trường Chinh và Tôn Thất Tùng.- Vị trí trung tâm quận Đống Đa, giao thông thuận tiện, có đầy đủ tiện ích: Trường học, siêu thị, quán ăn, khu vui chơi giải trí.- Sổ đỏ chính chủ, thửa đất đẹp không lỗi phong thủy.Chi tiết vui lòng LH Mr Hoàng 0986 715 *** ",40 m²,3.85 tỷ,,2.8 m,,,4 phòng,,Sổ đỏ,24/11/2022,01/12/2022,Tin thường,35462401,batdongsan_com_vn_35462401,Cao cấp,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Đỉnh', 'Đường Xuân Đỉnh']","
- Chủ cần bán nhanh căn nhà Xuân Đỉnh 5 tầng giá chỉ 3.85 tỷ (có thương lượng).- Vị trí đẹp, ngõ thông gần phố, bãi ô tô gần nhà.- Xuân Đỉnh giá trị đất tăng lên từng ngày, khu vực tương lai phát triển rạng ngời, hưởng trọn tiện ích của NGoại giao đoàn...- Bán kính 150m tiện ích đầy đủ, cơ quan hành chính, trường học và bến xe Nam Thăng Long, Hồ Tây 5p đi xe, sân bay 25 phút.- Khách mua về ở cực sướng.- Nhà đẹp ở ngay.* Sổ đỏ pháp lý rõ ràng.* Nhanh tay Liên hệ xem nhà 0911 141 *** ",32 m²,3.85 tỷ,4.3 m,3 m,,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,23/11/2022,30/11/2022,Tin thường,35331806,batdongsan_com_vn_35331806,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Đỉnh', 'Đường Tân Xuân']","
- Vị trí đẹp siêu thoáng, mặt ngõ thông ô tô vào nhà.- An sinh đỉnh của chóp, đất lành, đi chợ 3 bước chân, bênh viện Nam Thăng Long 100m,... Xung quanh rất nhiều trường học, mầm non, các cấp...- Nhà đang hoàn thiện, chủ xây 5 tầng thiết kế thông sàn hiện đại, tổng 3 ngủ 1 thờ đầy đủ công năng.- NGõ kinh doanh nhỏ.- Chủ thiện chí, Khách thích là vào việc.- Giá chào 4.25 tỷ (thương lượng).- Sổ đỏ pháp lý rõ ràng.- Liên hệ xem đất 0911 141 *** ",30 m²,4.25 tỷ,3.6 m,3.5 m,,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,23/11/2022,30/11/2022,Tin thường,35657126,batdongsan_com_vn_35657126,Đầy đủ,
