address,gen_descrip,Diện tích,Mức giá,Số tầng,Số phòng ngủ,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số toilet,Mặt tiền,Hướng ban công,Đường vào,Hướng nhà
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Phố Trần Quốc Hoàn']","
Mô tả:+ Nhà nằm trong khu phân lô Vip Trần Quốc Hoàn, ngõ ngách thông các ngả, oto ra vào thoải mái, đi hướng nào cũng vào được nhà.+ Giao các tuyến Nguyễn Phong Sắc, Tô Hiệu, Trần Đăng Ninh, Xuân Thủy, Phạm Văn Đồng... Đi lại thuận lợi bằng xe buýt, tầu điện trên cao, bến xe.+ Xung quanh là các trường ĐH lớn: Học viện Báo Chí và Tuyên Truyền, ĐH Sư Phạm, ĐH Quốc Gia HN... Tiện ích đầy đủ.+ Hàng xóm giảng viên, cán bộ nhà nước, an sinh cực đỉnh, an ninh cực tốt.+ Thích hợp vừa ở, vừa kinh doanh văn phòng.+ Nhà xây dựng 6 tầng, khung cột bê tông chắc chắn, thiết kế:- Tầng 1: Gara, bếp, WC.- Tầng 2: Phòng khách rộng, phòng ngủ.- Tầng 3.4: Mỗi tầng 2 phòng, WC.- Tầng 5: 1 phòng rộng, sân phơi, khu tiểu cảnh.- Tầng 6: Sân, chống nóng.+ Sổ vuông như tờ A4.+ Liên hệ ĐT/zalo: Mai Phạm 0335 060 *** ",50 m²,11.6 tỷ,6 tầng,6 phòng,Sổ vuông,"Trang trí nội thất thiết kế hợp lý, nội thất đầy đủ.",01/12/2022,08/12/2022,Tin thường,34758098,batdongsan_com_vn_34758098,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Đô', 'Phố Phùng Chí Kiên']","
+ Vị trí siêu đỉnh ở Phùng Chí Kiên, Cầu Giấy, Hà Nội, nối liền các tuyến phố như: Phạm Tuấn Tài, Trần Cung, Phạm Văn Đồng, Mỹ Đình, Cầu Giấy đi lại vô cùng thuận tiện.+ Nhà thiết kế hiện đại, thang máy nhập khẩu, nhà mới tinh còn mùi sơn, khách về chỉ việc ở ngay.+ Nhà thuộc khu phân lô, gara ôtô, khách về ở hoặc làm văn phòng rất hợp lý.+ Trước nhà thoáng sáng, sạch sẽ, hàng xóm toàn Đại Tá, Thiếu Tá, dân trí tuyệt vời.+ Sổ đỏ vuông đẹp, giao dịch luôn.+ Giá: 9 tỷ, có thương lượng.+ Liên hệ: Em Hương 0862 566 *** chuyên nhà đẹp.            ",45 m²,9 tỷ,,,Sổ đỏ/ Sổ hồng,Full nội thất.,01/12/2022,08/12/2022,Tin thường,35280365,batdongsan_com_vn_35280365,,,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'Đường Trần Hữu Dực']","
Chung cư mặt phố Trần Hữu Dực Mỹ Đình Nam Từ Liêm nhà mới hoàn thiện.Thiết kế 3 ngủ 2 WC.Phòng nào cũng đón ánh sáng chan hoà view nhà thi đấu thể thao, sân vận động quốc gia mỹ đình mặt đường Trần Hữu Dực. Xung quanh tiện ích ko thiếu gì.Nhà mới hoàn thiện đẹp lung linh Phòng nào cũng sẵn điều hoà. Tủ bếp chắc chắn. Wc lắp toàn đồ đẹp Toto xịn sò.- Sổ đỏ lâu dài, chính chủ.- Liên hệ: Mr Vương 0982 678 *** ",120 m²,3.35 tỷ,,3 phòng,Sổ đỏ/ Sổ hồng,Cao cấp ,05/12/2022,12/12/2022,Tin thường,35932006,batdongsan_com_vn_35932006,2 phòng,,,,
"['Hà Nội', 'Hà Đông', 'Phường Hà Cầu', 'Đường Hà Trì']","
Vị trí kinh doanh bất chấp mọi mặt hàng, đường rộng thênh thang, ô tô tải tránh thoải mái, gần ngã 5 Hà Trì, Lê Lợi, Phùng Hưng, Văn Quán, Quang Trung, Trần Phú, Vạn Phúc, Tô Hiệu...Tiện ích xung quanh ngập tràn không thiếu thứ gì, 2p đến chợ Hà Đông, Bưu Điện Hà Đông, Viện 103, trường học các cấp nhiều vô kể.Thiết kế: Khung cột chắc chắn.+ Tầng 1: Kinh doanh.+ Tầng 2,3: Phòng ngủ, wc.+ Tầng 4: Phòng thờ, sân phơi.Sổ chính chủ, sẵn sàng giao dịch.Liên hệ: Hoàng Thuỳ 0869 629 *** để xem nhà.            ",52 m²,4.8 tỷ,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,05/12/2022,12/12/2022,Tin thường,35772935,batdongsan_com_vn_35772935,3 phòng,5.5 m,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Phú Diễn', 'Đường Phú Diễn']","
+ Vị trí đẹp vòng ngoài khu TĐC Phú Diễn, đường rộng, vỉa hè rộng khu an ninh an sinh tốt. Ô tô đỗ ngày đêm, nhà có cây mít sai quả chủ tặng lại khách lấy lộc.+ Giao thông thuận tiện di chuyển bằng xe buýt, tàu điện trên cao, kết nối với các đường Hồ Tùng Mậu, Xuân Thủy, Cầu Diễn... Tiện ích gì cũng có.+ Gần trường học các cấp 1,2,3, cao đẳng, đại học, gần chợ.+ Nhà chủ tự xây với thiết kế tầng 1 để xe và bếp, tầng lửng là phòng khách, tầng 3 - 4 gồm 3 phòng ngủ khép kín và phòng thờ.+ Nhà đón đầu quy hoạch sát đường chính. Phù hợp để ở hoặc làm văn phòng công ty, hướng ĐN mát mẻ.+ Sổ vuông vắn cất tủ sẵn sàng giao dịch.+ Liên hệ Mai Phạm 0335 060 *** ",40 m²,6.1 tỷ,4 tầng,,,,01/12/2022,08/12/2022,Tin thường,35525936,batdongsan_com_vn_35525936,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Đường Nguyễn Tuân', 'Dự án 90 Nguyễn Tuân']","
Tôi có căn chung cư ở 90 Nguyễn Tuân, Thanh Xuân muốn bán lại.- Diện tích 73m² thiết kế 2 phòng ngủ, 2 vệ sinh, 2 ban công, bếp, Pk, phòng nào cũng có cửa sổ thoáng mát.- Diện tích 88m², 3 phòng ngủ, 2 vệ sinh, căn góc các phòng đều có ánh sáng tự nhiên.- Nội thất: Nhà tôi đầy đủ hết nội thất đẹp.Ai có nhu cầu liên hệ trực tiếp với tôi qua số 0963 920 *** tôi tên Hà.            ",73 m²,3.2 tỷ,,2 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ đẹp,04/12/2022,11/12/2022,Tin thường,35370781,batdongsan_com_vn_35370781,2 phòng,,Đông - Nam,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Phú Diễn', 'Đường Phú Diễn']","
+ Nhà nằm vị trí đẹp, cách mặt phố Phú Diễn 15m, cách mặt phố Hồ Tùng Mậu 100m, khách mua về ở luôn.+ Kết nối với các tuyến đường Hồ Tùng Mậu, Cầu Diễn, Nguyễn Văn Giáp, Văn Tiến Dũng, Đức Diễn, Nguyễn Cơ Thạch, Nhổn.+ Đi lại thuận lợi bằng xe bằng xe buýt, tầu điện trên cao, bến xe Mỹ Đình.+ Xung quanh tiện ích ngập tràn ngày đêm không thiếu thứ gì, gần trường học các cấp, bệnh viện, bến xe, trung tâm thương mại...+ Kết cầu 5 tầng, công năng đầy đủ:T1: Khách + bếp + để xe + WC.T2,3: 2PN + WC.T4: 2 phòng rộng.T5: PT + sân phơi.+ Sổ đỏ chính chủ, vuông đẹp.+ Liên hệ Mai Phạm 0335 060 *** ",35 m²,3.9 tỷ,5 tầng,6 phòng,,,01/12/2022,08/12/2022,Tin thường,35525984,batdongsan_com_vn_35525984,,,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Phú Diễn', 'Đường Phú Diễn']","
+ Nhà nằm vị trí đẹp, gần nhà là trường học các cấp từ cấp 1 đến cấp 3 chuẩn quốc gia, chưa kể trong bán kính 2km thì còn gần vô khối trường đại học.+ Giao thông thuận tiện di chuyển bằng xe buýt, tàu điện trên cao, kết nối với các đường Hồ Tùng Mậu, Xuân Thủy, Cầu Diễn, Đức Diễn... Tiện ích vô vàn.+ Thiết kế 7 tầng đẹp lung linh như tranh cực kỳ tinh mỹ, đẹp không tỳ vết.Tầng 1: Phòng khách + bếp + vệ sinh.Tầng 2: 02 phòng ngủ + 1 vệ sinh.Tầng 3, 4, 5: Mỗi tầng 02 phòng ngủ + vệ sinh khép kín.Tầng 6 phòng thờ sân phơi.Tầng 7 là khu giải trí, cà phê trồng cây cảnh.+ Sổ cực vuông vắn, pháp lý chuẩn, chờ giao dịch.Liên hệ: ĐT/Zalo Mai Phạm 0335 060 *** ",65 m²,8.3 tỷ,7 tầng,8 phòng,,,01/12/2022,08/12/2022,Tin thường,35538856,batdongsan_com_vn_35538856,,,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Phú Diễn', 'Đường Phú Diễn']","
+ Vị trí nhà đẹp thuộc khu tái định cư 2.3 ha, vỉa hè rộng 6m, kinh doanh sầm uất, đường trước nhà cực rộng ô tô chạy vòng quanh 3 ô tô tránh thoải mái.+ Gần trường học các cấp mầm non, 1,2,3, CĐ, ĐH (Đại học Tài Nguyên và Môi Trường, công nghiệp) cùng các văn phòng lớn nhỏ vừa ở vừa kết hợp kinh doanh và cho thuê đều tuyệt vời.+ Xung quanh tiện ích bạt ngàn không thiếu thứ gì.+ Giao thông kết nối Cầu Diễn, Hồ Tùng Mậu, Hoàng Quốc Việt, Văn Tiến Dũng.+ Đi lại cực kỳ thuận lợi bằng xe bus, tàu điện ngầm trên cao..+ Thiết kế: 4 tầng, có thể cải tạo thang máy và thêm tầng thoải mái.Tầng 1: Để xe, phòng thờ, phòng bếp.Tầng 2: Phòng khách + phòng ngủ khép kín.Tầng 3: 2 phòng ngủ rộng khép kín.Tầng 4: 2 sân phơi rộng rãi.+ Sổ đỏ vuông, nở hậu.Liên hệ: ĐT/Zalo Mai Phạm 0335 060 *** ",86 m²,17.95 tỷ,4 tầng,,,,01/12/2022,08/12/2022,Tin thường,34580564,batdongsan_com_vn_34580564,,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'đường Mễ Trì', 'Dự án The Manor']","
Cần bán CHCC tại khu CCCC The Manor (Mễ Trì Nam Từ Liêm Hà Nội).Diện tích: 193m².3PN. 2VS. Hệ thống gác xép rộng có thể làm PN hoặc kho để đồ vô cùng hoàn hảo.Nhà view ra phố rất đẹp. Vị trí trung tâm, tiện ích đẳng cấp, TTTM The Garden, bể bơi, gym, cà phê nhà hang tiện lợi, sầm uất.Chủ rất dễ tính và thiện chí bán, giá mong muốn 55tr/m² (có thể TL).            ",193 m²,55 triệu/m²,,,Sổ đỏ/ Sổ hồng,,05/12/2022,12/12/2022,Tin thường,34735998,batdongsan_com_vn_34735998,,,,,
