address,gen_descrip,Diện tích,Mức giá,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng ban công,Số phòng ngủ,Số toilet,Mặt tiền,Đường vào,Số tầng,Nội thất,Hướng nhà
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Cổ Nhuế 1', 'Phố Phạm Tuấn Tài']","
+ Vị trí siêu đẹp ở Phố Phạm Tuấn Tài, giao thông đi lại thuận tiện như: Hoàng Quốc Việt, Phạm Văn Đồng, Nguyễn Văn Huyên, Phạm Tuấn Tài, Cầu Giấy tiện ích xung quanh không thiếu gì.+ Nhà chủ tự xây để ở rất tâm huyết, khung cột bê tông rất chắc chắn, nhà lại có khe thoáng đằng sau nên các phòng thoáng mát, ban ngày ánh sáng ngập tràn các phòng.+ Nhà thuộc khu phân lô, bàn cờ, rộng thênh thang, ô tô đỗ trước cửa vảo nhà thoải mái, dân trí cao, hàng xóm toàn Đại Tướng, Trung tướng, an ninh tốt, khách vừa ở kết hợp kinh doanh hoặc cho thuê rất hợp.+ Nhà thiết kế hợp lý, thang máy nhập khẩu chạy êm ru, tiện ích và công năng đầy đủ.+ Sổ đỏ chính chủ, pháp lý chuẩn.+ Giá: 11.9 tỷ, có thương lượng.+ Liên hệ: Em Hương 0862 566 *** chuyên nhà đẹp.            ",50 m²,11.9 tỷ,Sổ đỏ/ Sổ hồng,23/11/2022,03/12/2022,Tin thường,35743844,batdongsan_com_vn_35743844,,,,,,,,
"['Hà Nội', 'Ba Đình', 'Phường Ngọc Khánh', 'Phố Liễu Giai', 'Dự án Vinhomes Metropolis - Liễu Giai']","
Nhà mình cần bán gấp căn hộ Vinhomes Metropolis 2PN diện tích 81m², thiết kế phòng khách rộng rãi, các phòng sáng tự nhiên và nhìn thẳng ra hồ Tây rất đẹp.Căn hộ thuộc tòa M2 tầng 29 căn số 05.Đây là mẫu 2PN đẹp và đắt giá nhất dự án lúc mua đơn giá 100tr/m² nay cần tiền nên em cần bán nhanh ạ.Nhà vẫn còn mới nguyên, đã có sổ đỏ.Anh chị cô chú quan tâm liên hệ Mr Trung Anh 0945 575 *** xem nhà ạ.Xin cám ơn!            ",81 m²,7.7 tỷ,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,23513778,batdongsan_com_vn_23513778,Đông - Bắc,2 phòng,2 phòng,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Đô', 'Đường Nguyễn Văn Huyên']","
Bán nhà view Hồ Tây gần Hoàng Quốc Việt Hoàng Sâm Cầu Giấy 118m²/thang máy/ gara ôtô/ nhỉnh 17 tỷ. Với nguồn nhà phong phú hàng 1000 căn nhà Hà Nội phố sẽ rất nhanh chóng tìm ra căn nhà ưng ý cho quý khách, làm ơn liên hệ Zalo 0962 108 ***, 0914 962 *** Mr Thông nhà đẹp Hà Nội, (24/24).* Nhà đẹp lung linh, vali ở ngay, sân thể dục, trường công, trường quốc tế như nấm xung quanh, chợ, siêu thị, ngân hàng, sân bay vô cùng tiện lợi, đường 40m, không bao giờ tắc đường, ba phút sang quận khác.* Ba bước Hồ Tây, công viên nghĩa Đô, công viên Bách Thảo, sân bay Nội Bài, Hồ Tùng Mậu, Lê Đức Thọ, Nguyễn cơ Thạch, trần Vỹ, Mai Dịch Cầu Giấy, Trần Thái Tông, Nguyễn Văn Huyên, Chùa Hà, Quan Hoa, Nguyễn Khang, Hoàng Quốc Việt, phố ẩm thực Tô Hiệu, Xuân Thủy, Phạm Tuấn Tài, Phan Văn Trường, Phạm Văn Đồng.* Sổ đỏ hoa hậu, sang tên ngay, hỗ trợ mọi thủ tục tài chính pháp lý. Cam kết không thu bất kỳ chi phí nào, kể cả giao dịch thành công, mong muốn dành cả thanh xuân giúp khách hàng tìm nhà đẹp, cảm ơn cuộc đời!            ",118 m²,Thỏa thuận,Sổ đỏ/ Sổ hồng.,29/11/2022,06/12/2022,Tin thường,34222524,batdongsan_com_vn_34222524,,6 phòng,6 phòng,6 m,10 m,7 tầng,Châu Âu.,
"['Hà Nội', 'Mê Linh', 'Thị trấn Quang Minh', 'Tổ 5']","
- Tổng diện tích 86,8m², full thổ cư, mặt tiền 5,7m.- Đường rộng thông thoáng, ô tô vào tận đất.- Sát khu công nghiệp Quang Minh, chỉ mất 3p đi bộ ra đến khu công nghiệp.- Gần sân bay Nội Bài.- Gần trung tâm thương mại.- Dân cư đông đúc, kinh doanh sầm uất.            ",86.8 m²,Thỏa thuận,Sổ đỏ/ Sổ hồng,25/11/2022,05/12/2022,Tin thường,35945437,batdongsan_com_vn_35945437,,,,5.7 m,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Đô', 'Đường Hoàng Quốc Việt']","
+ Vị trí siêu siêu đẹp ở Phố Hoàng Quốc Việt, nối liền các tuyến phố như: Phùng Chí Kiên, Phạm Văn Đồng, Nguyễn Văn Huyên, Nghĩa Đô, Cầu Giấy giao thông đi lại vô cùng thuận tiện.+ Nhà chủ tự xây để ở nên rất tỉ mỉ và tâm huyết, khung cột bê tông chắc nịch, nhà lại có khe thoáng đằng sau nên các phòng thoáng mát, ban ngày ánh sáng ngập tràn các phòng.+ Nhà thuộc khu phân lô, bàn cờ, ngõ rộng thênh thang, hàng xóm toàn Đại Tá, Trung tướng, khách vừa ở kết hợp kinh doanh hoặc cho thuê rất hợp.+ Nhà thiết kế hợp lý hài hòa, thang máy nhập khẩu, tiện ích và công năng đầy đủ.+ Sổ đỏ chính chủ, pháp lý chuẩn.+ Giá: 10.8 tỷ, có thương lượng.+ Liên hệ: Em Hương 0862 566 *** chuyên nhà đẹp.            ",55 m²,10.8 tỷ,Sổ đỏ/ Sổ hồng,21/11/2022,01/12/2022,Tin thường,35796382,batdongsan_com_vn_35796382,,,,,,7 tầng,,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Đô', 'Phố Phùng Chí Kiên']","
+ Nhà xây được vài năm chủ ở cực kì giữ gìn nên nhà còn rất mới, thang máy nhập khẩu chạy vù vù, nội thất châu âu, sang trọng, nhà 2 thoáng nên các phòng đều thoáng sáng.+ Chủ nhà chị Hoa kinh doanh thành đạt, đã đặt cọc biệt thự Twin Parks bên Long Biên, nên chị Hoa cần bán gấp.+ Vị trí siêu đẹp không có căn thứ 2 ở phố Phùng Chí Kiên, nối liền các tuyến phố như: Hoàng Quốc Việt, Phạm Văn Đồng, Nguyễn Khánh Toàn, Cầu Giấy giao thông đi lại vô cùng thuận tiện.+ Nhà thuộc khu phân lô, trước nhà siêu rộng thoáng, ô tô và chạy vòng quanh nhà, khách về ở kinh doanh rất phù hợp.+ Nhà thiết kế hợp lý, đầy đủ công năng.+ Sổ đỏ vuông đẹp, giao dịch luôn.+ Giá: 11.2 tỷ, có thương lượng.+ Liên hệ: Em Hương 0862 566 *** ",60 m²,11.2 tỷ,Sổ đỏ/ Sổ hồng,26/11/2022,03/12/2022,Tin thường,35557842,batdongsan_com_vn_35557842,,,,,,7 tầng,,
"['Hà Nội', 'Đống Đa', 'Phường Thổ Quan', 'Phố Khâm Thiên']","
Diện tích 46m² / 2tầng 1 tum.Sổ đỏ chính chủ. Mua bán sang tên công chứng ngay, pháp lý rõ ràng.Ngõ xe ba gác đi thoải mái, bước ra ngõ vô vàn tiện ích.Gần chợ, trường học, uỷ ban, các bệnh viện, Lăng Bác, hồ gươm, Hồ Tây, Phố Cổ, Vincom, các ngân hàng... Cách chỉ từ 3phút đến 15phút.Thích hợp cho ở, hoặc đầu tư xây chung cư mini kinh doanh hàng tháng.Đt 0964 780 *** ",46 m²,3.95 tỷ,Sổ chính chủ.,23/11/2022,03/12/2022,Tin thường,35023076,batdongsan_com_vn_35023076,Đông - Nam,,,5 m,,2 tầng,Có.,Đông - Nam
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Đường Trần Thái Tông']","
+ Nhà diện tích 55m², 7 tầng thang máy chạy êm ru, nhà xây được vài năm nên nhà còn rất mới, nhà 3 thoáng nên các phòng đều thoáng sáng tự nhiên.+ Nhà thiết kế hiện đại, khách ở hoặc kết hợp kinh doanh siêu đỉnh, chủ tặng lại nội thất khách chỉ việc mang quần áo về ở.+ Vị trí hiếm nhà bán trong trung tâm quận Cầu Giấy, 8m ra ô tô tránh, 15m ra phố, rất gần trường và các công ty, cơ quan, công viên cầu giấy.+ Sổ đỏ chính chủ, sẵn sàng sang tên.+ Giá: 10.9 tỷ.+ Liên hệ: Em Hương 0862 566 *** ",55 m²,10.9 tỷ,Sổ đỏ,26/11/2022,03/12/2022,Tin thường,34205257,batdongsan_com_vn_34205257,,,,6 m,4 m,,Full nội thất ,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Phố Trần Quốc Hoàn']","
- Vị trí đẹp nhất tại TT Cầu Giấy, dân cư đông đúc, phố kinh doanh sầm uất.- Nhà DT 58m², 2 thoáng nên các phòng thoáng sáng tự nhiên, nội thất toàn gỗ lim nam phi.- Nhà thuộc khu phân lô, gara ô tô 7 chỗ đỗ trong nhà, khách vừa ở và kết hợp kinh doanh siêu VIP.- Ngõ cực thoáng lại thông đi đâu cũng tiện như chợ, công viên, trường học không thiếu gì.- Sổ đỏ chính chủ, giao dịch ngay.- Giá 10.7 tỷ (có thương lượng).- LH: 0862 566 *** Em Hương.            ",58 m²,10.7 tỷ,Sổ đỏ/ Sổ hồng.,26/11/2022,03/12/2022,Tin thường,35317714,batdongsan_com_vn_35317714,,,,,,,,
"['Hà Nội', 'Ba Đình', 'Phường Ngọc Khánh', 'Phố Liễu Giai', '29', 'Vinhomes Metropolis - Liễu Giai']","
LH O945.575.668 Trung Anh.Cần bán căn hộ góc diện tích 110m² thông thủy Vinhomes Metropolis, 29 Liễu Giai, Ba Đình, Hà Nội.Là căn góc số 08 tòa M1, căn hộ có 3 phòng ngủ, 3 ban công, view thoáng mặt Kim Mã nhìn được Hồ Ngọc Khánh, Hồ Giảng Võ, Hồ Thủ Lệ rất đẹp.Căn hộ tầng trung ban công hướng Tây Nam.Nội thất bàn giao chủ đầu tư nguyên bản, nhà mới chưa sử dụng.Giá bán nhanh: 8,75 tỷ.Liên hệ xem nhà trực tiếp: 0945 575 *** Mr Trung.            ",110 m²,8.75 tỷ,Đã có sổ đỏ.,29/11/2022,06/12/2022,Tin thường,26643615,batdongsan_com_vn_26643615,Tây - Nam,3 phòng,2 phòng,,,,Đồ cơ bản CĐT Vinhomes.,
