address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Đường vào,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công
"['Hà Nội', 'Đống Đa', 'Phường Phương Liên', 'Phố Xã Đàn']","
Gia đình cần bán nhà mặt phố Xã Đàn, quận Đống Đa.- Diện tích: 30m².- Mặt tiền 4,5m.- Vị trí cực đẹp gần ngã 7 ô chợ dừa, lô góc 2 mặt thoáng.- Giá 16,3 tỷ.0838801000.            ",30 m²,16.3 tỷ,4.5 m,25/11/2022,05/12/2022,Tin thường,35945485,batdongsan_com_vn_35945485,,,,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Mai', 'Đường Tô Vĩnh Diện']","
Cực hiếm - Tô Vĩnh Diện nhà đẹp, Kia Morning lùi cửa, khu vực phân lô quân đội.- Thiết kế:+ Tầng 1: Để xe + bếp + WC.+ Tầng 2: Phòng khách.+ Tầng 3,4: 4pn + wc.+ Tầng 5: Phòng thờ + sân phơi.- Phân lô quân đội, an ninh tốt, dân trí cao.- Cách ô tô tránh 30m.- Điện đường trường chạm đầy đủ.+ Vị trí đẹp, nằm tại trung tâm quận Thanh Xuân nơi giáp ranh nhiều con phố lớn như: Tôn Thất Tùng, Nguyễn Trãi, Lê Trọng Tấn, Hoàng Văn Thái đi đâu cũng tiện và tiện ích cũng ngập tràn.+ Chỉ mất 5 đi xe là ra đến BV Đại Học Y, Bv Bưu Điện, Bv Bạch Mai, Bv Phòng Không Quân...+ Xung quanh gồm các trường cấp 1 và cấp 2 Khương Mai, Nguyễn Trãi.- Sổ đỏ chính chủ, không lỗi phong thuỷ, không quy hoạch.            ",40 m²,7.4 tỷ,4 m,26/11/2022,03/12/2022,Tin thường,35857982,batdongsan_com_vn_35857982,3 m,5 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Cao cấp,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng', 'Đường Cầu Giấy']","
Đẳng cấp - mặt phố trung tâm Cầu Giấy - Giá rẻ bất ngờ.- Vỉa hè rộng - kinh doanh sầm uất.- Diện tích 195m². Mặt tiền 5.7m.- Hiện trạng nhà cũ, xác định bán đất.. Đang cho thuê 90 triệu/tháng.- Giá chỉ 53 tỷ (có thương lượng).- Sổ đỏ, pháp lý chuẩn.* Mọi chi tiết vui lòng LH em Dương: 0969 862 *** ",195 m²,53 tỷ,5.7 m,26/11/2022,03/12/2022,Tin thường,35643287,batdongsan_com_vn_35643287,40 m,,,,Sổ đỏ/ Sổ hồng,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Mai', 'Đường Nguyễn Viết Xuân']","
BÁN NHÀ CHUYỂN VÀO NAM SINH SỐNGPhố Nguyễn Viết Xuân là con phố đẹp nối từ vành đai 2 Trường Chinh qua Lê Trọng Tấn, đến Nguyễn Ngọc Nại, Nhà nằm trong ngõ  rộng 6m ô tô tránh , cách phố 20 m Nhà hiện đang cho Cty máy tính thuê, 35 triêu/1th Nhà xây kết cấu khung cột , mỗi tầng 3 phòng, công năng sử dụng khác nhau. Có thể cải tạo 6 tầng thang máy .Nhà phù hợp xây tòa VP 8 tầng nổi 1 tầng hầm thì khi đó doanh thu khủng. hàng trăm triệu/1th.Chủ nhà chú Tấn là Đại tá về hưu rất tình cảm và vui tính Sổ vuông vắnLiên hệ xem nhà ngay: Em Thiện - Thanh Xuân  xem nhà- Mua bán nhà đất ThanhXuân thì đến gặp em Thiện            ",150 m²,17.5 tỷ,6 m,26/11/2022,04/12/2022,Tin thường,35962211,batdongsan_com_vn_35962211,6 m,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,
"['Hà Nội', 'Hoài Đức', 'Xã Vân Canh']","
NHÀ LÔ GÓC 3 THOÁNG 42M2 AN TRAI VÂN CANH Ô TÔ ĐỖ GẦN GIÁ 3,45 tỷLiên hệ ngay em: 0978 219 *** để sở hữu căn nhà đẹp như mơ.Lô góc 3 mặt thoáng xây dựng theo phong cách Tân cổ điển.- Vị trí trung tâm, bao quanh là trường mầm non, cấp 1, cấp 2, chợ Vân canh, trung tâm y tế, UBND xã Vân Canh, dân trí cao thân thiện. Giao thông rất thuận tiện cho việc di chuyển các tuyến đường như TL 422B, đường Xuân Phương, Trịnh Văn Bô kéo dài, các khu đô thị như KĐT Vân Canh, Đại Học Công Nghiệp, Cao Đẳng FPT... - Thiết kế đẹp hiện đại- tổng 5 phòng  ngủ phù hợp với gia đình lớn- Tầng 1: PK + Bếp + WC và tiểu cảnh.- Tầng 2+3: Mỗi tầng 2 phòng ngủ, WC và ban công thoáng.- Tầng 4: Phòng thờ + Sân phơi, view thoáng.- Nội thất và thiết bị được chủ nhà hoàn thiện toàn đồ xịn và sang            ",42 m²,3.4 tỷ,,26/11/2022,06/12/2022,Tin thường,35962210,batdongsan_com_vn_35962210,,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,
"['Hà Nội.', 'Nam Từ Liêm', 'Thị trấn Cầu Diễn', 'Đường Nguyễn Cơ Thạch']","
- Bán nhà lô góc mặt ngõ phố Hồ Tùng Mậu, Mai Dịch, Cầu Giấy. DT 35m² xây độc lập 5 tầng lô góc cực đẹp, xây dựng khung bê tông kiên cố chắc chắn, công năng hợp lý.- Tầng 1. Khách bếp, wc phụ.- Tầng 2,3,4. Thiết kế mỗi tầng 1 phòng ngủ rộng vệ sinh khép kín.- Tầng 5. Phòng thờ sân phơi.- Nhà nằm vị trí đẹp cách đường Hồ Tùng Mậu 40m, thuận tiện giao thông, ngõ thẳng không cua, không ngoằn nghèo.- Nội thất cao cấp, tủ bếp, sàn gỗ, cầu thang, cửa gỗ lim nam phi, thiết bị vệ sinh chính hãng, nóng lạnh.- Sổ đỏ chính chủ. Giá 5,4 tỷ thương lượng bao sang tên.- Liên hệ - Em Nam 0338 624 *** ",35 m²,5.4 tỷ,4.5 m,24/11/2022,01/12/2022,Tin thường,35837936,batdongsan_com_vn_35837936,3 m,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,"Nội thất cao cấp, tủ bếp, sàn gỗ, cầu thang, cửa gỗ lim nam phi, thiết bị vệ sinh chính hãng, nóng lạnh.",,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng', 'Dự án ĐTM Dịch Vọng']","
Chủ chuyển chỗ ở, chính chủ nhờ bán. Biệt thự liền kề KĐT Dịch Vọng. 105m² x 5 tầng, mặt tiền 6m.Giá: 31tỷ (còn thương lượng, làm việc trực tiếp chủ nhà).Vỉa hè rộng rãi, oto đỗ cửa. Đối diện chung cư, kinh doanh sầm uất.Ngay gần công viên Cầu Giấy, an sinh cực tốt.Nhà 5 tầng còn mới, nội thất toàn gỗ, có gara, thiết kế 1 tầng 2 phòng, có gara ô tô.- Thửa đất vuông đẹp, sổ pháp lý chuẩn 1 chủ cất két sẵn sàng giao dịch.Liên hệ xem nhà và nhận thông tin chi tiết: 0397 904 *** ",105 m²,31 tỷ,6 m,21/11/2022,28/11/2022,Tin thường,35895922,batdongsan_com_vn_35895922,16 m,5 tầng,5 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,
"['Hà Nội', 'Hà Đông', 'Phường Phúc La', 'Dự án Nam Xa la']","
Do chuyển nhà về gần cơ quan làm việc cho tiện nên cần bán gấp nhà đã đầy đủ đồ chỉ việc về ở tại Khu đô thị Xa La, Hà Đông.- Diện tích: 81m².- Thiết kế căn hộ: 2 phòng ngủ, 2 vệ sinh, bếp + 1 khách + ban công thoáng.- Nội thất để lại: Tủ bếp, giường, tủ, sofa, kệ tivi, tủ giày, nhà đã làm sàn gỗ,... Khách có thể về ở luôn.- Pháp lý: Sổ đỏ chính chủ, pháp lý minh bạch, sẵn sàng giao dịch.- Giá: 1,78 tỷ (có gia lộc mạnh cho khách thiện chí).Căn hộ thuộc tầng trung, view thoáng, dưới chân tòa nhà bạt ngàn tiện ích, cư dân văn minh, thân thiện.Liên hệ xem nhà: Em Thủy 0962 017 *** hoặc Zalo.            ",81 m²,1.78 tỷ,,26/11/2022,03/12/2022,Tin thường,35649046,batdongsan_com_vn_35649046,,,2 phòng,2 phòng,Sổ đỏ,,,
"['Hà Nội', 'Long Biên', 'Phường Sài Đồng', 'Đường Huỳnh Văn Nghệ', 'Dự án Le Grand Jardin Sài Đồng']","
Quỹ căn ngoại giao trực tiếp chủ đầu tư Le Grand Jardin, áp dụng chỉ trong tháng 10 này.* Thông tin căn hộ:- Diện tích thông thủy căn hộ: 107m².- Căn 3 Phòng ngủ thiết kế hiện đại, tối ưu, tất cả các phòng đều lấy ánh sáng tự nhiên, 2 nhà vệ sinh, view bể bơi nội khu yên tĩnh, view trên cao trực tiếp ra hồ Sài Đồng.- Giá chỉ từ 4 tỷ nhận nhà vào tháng 6/2022.* Tại sao nên lựa chọn dự án Le Grand Jardin?- Nằm ở vị trí đắc địa ngay ngã tư Huỳnh Văn Nghệ và Nguyễn Lam, gần kề Vinhomes The Harmony, kết nối trung tâm Hà Nội chỉ 10p qua Vĩnh Tuy và Chương Dương, chỉ 30p di chuyển tới sân bay Nội Bài.- Sở hữu đến 50 tiện ích đẳng cấp:: Gym, spa, siêu thị, bể bơi, công viên dạo bộ, an ninh 2 lớp, vận hành quản lý chuyên nghiệp,+ Gần kề các trường học, bệnh viện và TTTM như: Trường Chu Văn An, VinSchool, Aeon Mall Long Biên, Vincom Long Biên,..- Nhận nhà ở ngay, chính sách bán hàng & thanh toán vô cùng linh hoạt.+ Hỗ trợ vay 0% lãi suất 12 tháng.+ Chiết khấu ngay 6% GTCH.+ Quà tân gia lên tới 3 chỉ vàng.+ Miễn phí trả nợ trước hạn.+ Miễn 18 tháng phí dịch vụ.+ Chiết khấu thêm 2,8 triệu/m cho gói không gian sáng tạo cho căn hộ.* Link đăng ký nhận full chính sách và bảng giá: https://bit.ly/3qs3K0o* Quỹ ngoại giao, giá giao dịch ngay tháng 5/2022:- Căn góc 2PN 63m - 77m giá chỉ từ 2.6 tỷ.- Căn 3PN 83m giá chỉ từ 3.2 tỷ.- Căn góc 3PN 97m giá chỉ từ 3,7 tỷ.- Căn góc 3PN 105m giá chỉ từ 3,9 tỷ.LH PKD để nhận giá và chính sách Mr Dương: 0964 852 *** ",107 m²,4 tỷ,,21/11/2022,28/11/2022,Tin thường,35776311,batdongsan_com_vn_35776311,,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Cơ bản,,
"['Hà Nội', 'Đống Đa', 'Phường Khâm Thiên', 'Phố Khâm Thiên']","
Mô tả:Nhà nằm trung tâm đống đa, ngõ 2 xe máy tránh, gần phố ngõ thông và nông nhiều tiện ích.Đi từ ngõ 1 Khâm Thiên vào đẹp.Nhà thiết kế 4 tầng:+ Tầng 1: Để xe + PK + bếp + vệ sinh.+ Tầng 2: 3 PN và WC.+ Tầng 3: 3 phòng và WC + sân phơi.+ Tầng 4: Tum.Sổ đỏ chính chủ sẵn sàng giao dịch, chủ nhà thiện chí bán.LH em Hùng nhà tốt - xem là chốt: 0946 658 ***Xem nhà đàm phán giá với chính chủ - miễn trung gian - 100% thông tin nhà thật).            ",65 m²,4.75 tỷ,,22/11/2022,29/11/2022,Tin thường,35922429,batdongsan_com_vn_35922429,,4 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,Tây - Nam,
