address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Pháp lý,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Nội thất
"['Hà Nội', 'Ứng Hòa', 'Xã Phương Tú']","
Chính Chủ gửi bán lô đất Phương Tú Ứng Hòa.Diện tích: 120m², MT 6m = hậu.Cách trung tâm thị trấn Vân Đình 2 km ngõ vào đất 4m ô tô đỗ cửa cách trục đường 428 700m.Giá chỉ có 10 tr/m².Liên hệ 0972 342 *** ",120 m²,10 triệu/m²,6 m,4 m,29/11/2022,06/12/2022,Tin thường,34293021,batdongsan_com_vn_34293021,,,,,,
"['Hà Nội', 'Thanh Oai', 'Xã Tam Hưng', 'Đường Quốc lộ 71']","
Đất đấu giá tê quả Tam Hưng Thanh Oai.Diện tích: 75.7 m² (MT: 5 m).Vị trí thuận tiện cách Hà Đông 9km, ngã 3 Bình Đà 500m, gần trường cấp 3, nhà hàng siêu thị, lên trung tâm Hà Đông mất 15 phút.Cách Cienco5 chỉ 1km.Đường vỉa hè 10m.Đất vuông vắn, sổ đỏ chính chủ đẹp không tỳ vết. Chủ cần tiền bán thu hồi vốn 37 tr/m² bán nhanh trong tuần.0972342876.            ",75.7 m²,37 triệu/m²,5 m,11 m,29/11/2022,09/12/2022,Tin thường,35622073,batdongsan_com_vn_35622073,Sổ đỏ/ Sổ hồng,,,,,
"['Hà Nội', 'Thanh Oai', 'Xã Cao Dương']","
Diện tích 83,5m². Mặt tiền 5m.Thông số: Lk2 13.Xung quanh đã xây nhà dân cư phát triển.Cách đường 429 chỉ 200m. Cách đường 21b chỉ 800m.Đường trc đất 7m ô tô tải đi thoải mái.Giá 2xtr/m (bán rẻ nhất khu).0972342876.            ",83.5 m²,24 triệu/m²,5 m,7 m,29/11/2022,06/12/2022,Tin thường,35759613,batdongsan_com_vn_35759613,Sổ đỏ/ Sổ hồng,,,,,
"['Hà Nội', 'Long Biên', 'Phường Thạch Bàn', 'Đường Cổ Linh']","
Chính chủ gửi bán lô đất siêu đẹp tại Thạch Bàn Long Biên Hà Nội.+ Diện tích 32,5 m².+ Mặt tiền 4 mét vuông vắn.+ Đường trước nhà rộng 3,5 mét ngõ thông ô tô 7 chỗ vào nhà.+ Vị trí đắc địa cách trường cấp 3 và mầm non thạch bàn 200 mét.+ Cách chợ cóc 100 mét.+ Cách dự án Garden City 300 mét.+ Xung quanh hàng xóm thân thiện, an ninh tốt.+ Diện tích 32,5 m² mặt tiền 4 mét đường ô tô vào nhà giá 2,65 tỷ cam kết không có lô thứ 2 tại thạch bàn so sánh được.+ Sổ đỏ pháp lý rõ ràng.+ Khách hàng quan tâm nhanh tay liên hệ hoặc gửi tin nhắn qua.+ Khách hàng quan tâm liên hệ 0357 244 *** E Nguyễn Huân.            ",32.5 m²,2.65 tỷ,4 m,3.5 m,29/11/2022,09/12/2022,Tin thường,35986210,batdongsan_com_vn_35986210,Sổ đỏ.,Bắc,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Đại Mỗ', 'Đường Quang Tiến', 'Ngõ 167']","
- ) Toạ lạc ở ngay ngõ 167 đường Quang Tiến, thông từ đường Quang Tiến sang đường Sa Đôi.- ) Giáp ranh tuyến đường chuẩn bị triển khai nối từ nút giao Tố Hữu Vũ Trọng Khánh sang đường 70, tiềm năng giá đất tăng mạnh.- ) Giao thông thuận tiện về mọi ngã đường.1.5km ra Đại Lộ Thăng Long.2km tới trung tâm thương mại Aeon Hà Đông.2.5km ra ngã tư Vạn Phúc.2.5km tới bệnh viện hồng ngọc.3.5km tới thiên đường Bảo Sơn.4km tới sân Vận Động Mỹ Đình.5km tới Big C Thăng Long.--------------Thông số thửa đất trên hình ảnh.Hướng Đông Nam (rất mát).Đường trước nhà rộng 2.5m.10m ra ngõ 167 ô tô tránh.Nhà bên cạnh xây 5 tầng.Cạnh chợ chiều Đại Mỗ.Trường học mầm non, Cấp 1, 2, 3 đều rất gần nhà thuận tiện cho các bé đi học để cha mẹ yên tâm đi làm.--------------* Pháp lý và giá cả:- ) Sổ đỏ chính chủ, chuẩn pháp lý.- ) Thủ thục nhanh chóng, sang tên ngay.- ) Giá bán 4.2 tỷ.- ) Bao tất cả các chi phí sang tên cho khách mua.- ) Hỗ trợ vay vốn ngân hàng bằng chính sổ đỏ căn nhà này: Bidv, Vietcom, Vietin, Mb Bank, Tp Bank, Vp Bank, Techcombank...--------------Gọi ngay 0979 119 *** để được tư vấn và xem đất miễn phí.Xem thêm nhà đất tại website: ngochiep.com--------------Nhiệm vụ của tôi là giúp gia đình bạn có nơi an cư tốt nhất.Cám ơn Anh chị đã dành thời gian xem tin!            ",67 m²,4.2 tỷ,7.9 m,2.5 m,25/11/2022,05/12/2022,Tin thường,35949008,batdongsan_com_vn_35949008,Sổ đỏ/ Sổ hồng,Đông - Nam,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Đường Duy Tân']","
Quá hiếm - tòa nhà văn phòng - 7 tầng - thang máy - full nội thất - 3 thoáng vĩnh viễn - kinh doanh mọi loại hình - khu kinh doanh sầm uất.- Diện tích 65m², 7 tầng có thang máy thiết kế hiện đại thông sàn, cầu thang và nhà vệ sinh ở cuối.+ Tầng: Văn phòng hoặc gara, vệ sinh.+ Tầng 2,3,4: Thông sàn và 2 vệ sinh.+ Tầng 5: 2 phòng ngủ và 2 vệ sinh.+ Tầng 6: Thiết kế bếp và khách thông sàn.+ Tầng 7: Sân thượng.+ Sổ đỏ vuông vắn.- Giá bán: 18 tỷ.- Liên hệ em Vinh xem nhà: 0983 486 ***Mua bán làm việc chính chủ.            ",65 m²,18 tỷ,4.2 m,12 m,28/11/2022,05/12/2022,Tin thường,35959027,batdongsan_com_vn_35959027,,,7 tầng,3 phòng,6 phòng,Đầy đủ 
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Đường Nguyễn Tuân']","
Mặt phố Nguyễn Tuân Quận Thanh Xuân - vỉa hè. Kinh doanh cực đỉnh - tầng hầm - 7T thang máy 33 tỷ.Vị trí nhà mình nằm trên mặt phố Nguyễn Tuân đẹp nhất phố dân trí cao và an ninh cực tốt. Tuyến phố vỉa hè cực rộng, kinh doanh sầm uất, giao thông thuận tiện.Thông ra nhiều tuyến phố lớn như Nguyễn Tuân, Ngụy Như Kon Tum, Nguyễn Huy Tưởng, Lê Văn Lương, Nguyễn Trãi và nhiều toà chung cư cao tầng phù hợp tiện cho thuê văn phòng từng tầng. Doanh thu khoảng 80tr/ tháng.- Tầng 1 là hầm gara ô tô, tầng 2 đến tầng 6 thông sàn cầu thang cuối. Tầng 7 phòng thờ sân phơi.- Sổ đỏ đẹp, sẵn sàng giao dịch.Lh ngay 0812 998 *** A Phi Thường chuyên nhà mặt phố.            ",60 m²,33 tỷ,5.6 m,13 m,29/11/2022,06/12/2022,Tin thường,35919893,batdongsan_com_vn_35919893,Sổ đỏ.,,7 tầng,5 phòng,6 phòng,Tặng nội thất
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Tân', 'Đường Hoàng Quốc Việt']","
+ Nhà chủ xây 7 tầng để ở nên khung cột bê tông chắc nịch, nhà thoáng trước và sau nên ban ngày ánh sáng ngập tràn các phòng.+ Vị trí hiếm nhà bán ở Phố Hoàng Quốc Việt, nối liền các tuyến phố như: Phùng Chí Kiên, Phạm Văn Đồng, Nguyễn Văn Huyên, Nghĩa Đô, Cầu Giấy giao thông đi lại vô cùng thuận tiện, tiện ích xung quanh không thiếu gì.+ Nhà nằm trong thuộc khu phân lô, ngõ rộng thoáng, hàng xóm tri thức khách vừa ở kết hợp kinh doanh hoặc cho thuê rất hợp.+ Nhà thiết kế hợp lý hài hòa, thang máy nhập khẩu, tiện ích và công năng đầy đủ.+ Sổ đỏ chính chủ, pháp lý chuẩn.+ Giá: 10.8 tỷ, có thương lượng.+ Liên hệ: Em Hương 0862 566 *** chuyên nhà đẹp.            ",50 m²,10.8 tỷ,,,21/11/2022,01/12/2022,Tin thường,35797819,batdongsan_com_vn_35797819,Sổ đỏ/ Sổ hồng,,,,,
"['Hà Nội', 'Long Biên', 'Phường Đức Giang', 'Đường Ngô Gia Tự']","
- Bán nhà lô góc phố Ngô Gia Tự, Long Biên. Nhà mới xây được khoảng 4 - 5 năm, vẫn còn mới, xe ô tô đỗ cổng, tặng nội thất, chủ mới chỉ việc xách va ly về ở luôn. Ngõ nông, thẳng, thoáng, sáng, 100m ra đường ô tô tránh, thông sang ngõ 65 Thanh Am, cách chợ dân sinh Thanh Am khoảng 200m, khu vực an ninh tốt, hạ tầng đồng bộ, quy hoạch ổn định.- Sổ đỏ chính chủ.- Giá: 3,2 tỷ (Thiện chí thương lượng).- Liên hệ: Mr Tuấn 0936 165 ***Miễn TG, QC).            ",39 m²,3.2 tỷ,4.2 m,3 m,29/11/2022,06/12/2022,Tin thường,35986194,batdongsan_com_vn_35986194,Sổ đỏ/ Sổ hồng.,,5 tầng,4 phòng,4 phòng,Đầy đủ.
"['Hà Nội', 'Đống Đa', 'Phường Thịnh Quang', 'Phố Thái Thịnh']","
Thông tin chuẩn 100%, nhà mới xây hiện đại, ngõ 3 gác thông tứ phía, lô góc.+ Nhà phố Thái Thịnh, diện tích 35m² x 4 tầng.+ Vị trí rất đẹp, mặt ngõ ba gác thông các hướng, ba bước ra phố.+ Khu dân trí cao, an ninh tốt, hàng xóm xung quanh toàn cán bộ, CNVC.+ Khu vực tiện ích ngập tràn: Gần bãi gửi ô tô, chợ, trường C1,2 chuẩn QG, bệnh viện, công viên...+ Nhà mới xây hiện đại, chắc chắn, các phòng đều thoáng sáng, không khí lưu thông.+ Sổ đỏ chính chủ, sẵn sàng giao dịch, công chứng, sang tên.+ Giá chỉ 4.45 tỷ (có thương lượng với khách thiện chí).Gọi ngay cho tôi: 0966 388 *** Mr Tuấn tư vấn tận tâm, nâng tầm cuộc sống.            ",35 m²,4.45 tỷ,,,29/11/2022,06/12/2022,Tin thường,35975895,batdongsan_com_vn_35975895,Sổ đỏ/ Sổ hồng,,3 tầng,,,Đầy đủ
