address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng ban công,Hướng nhà
"['Hà Nội', 'Hoàn Kiếm', 'Phường Hàng Buồm', 'Đường Đào Duy Từ']","
- Nhà nằm ở vị trí trung tâm, thông thương sầm uất, kinh doanh bất chấp các loại mặt hàng.- Gần các tuyến phố giải trí bậc nhất miền Bắc như Mã Mây, Hàng Buồm, Lương Ngọc Quyến, Đào Duy Từ, Hàng Chĩnh...- Nhà 4 tầng mới xây, cực thoáng, nội thất xịn sò, vài bước chân ra mặt phố.Diện tích 41m², gia chủ xây nhà hết 41m².Đối diện nhà chính còn 12m làm bếp thuộc quyền sở hữu của gia chủ nên có diện tích sử dụng là 53m². Giá bán 14,5 tỷ có thương lượng.Thiết kế:+ Tầng 1: Phòng khách rộng, phụ.+ Tầng 2,3: Mỗi tầng 1 phòng ngủ Master + 1 phụ.+ Tầng 4: 1 phòng ngủ nhỏ, phòng thờ, sân phơi.Nhấc máy gọi ngay em Hòa chuyên nhà đẹp - hiếm quận Hoàn Kiếm.            ",41 m²,14.5 tỷ,4 m,2.2 m,4 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,Nội thất cơ bản.,05/12/2022,15/12/2022,Tin thường,35181917,batdongsan_com_vn_35181917,,
"['Hà Nội', 'Long Biên', 'Phường Gia Thụy', 'Đường Nguyễn Sơn']","
Hiếm! Bán nhà khu vip Nguyễn Sơn, phân lô, ô tô tránh vào nhà, 2 mặt tiền, 3 thoáng, ở hay đầu tư chia lô đều tuyệt vời cả.+ Diện tích: 115m².+ Mặt tiền: 4.7m.- Phố Nguyễn Sơn thuộc một trong vài con phố lâu đời nhất của Quận Long Biên, là phố vip nhất ở mạn trung tâm gần cầu Chương Dương còn có phần trội hơn 3 phố Hoàng Gia ở khu đó là Lâm Hạ, Bồ Đề và Ngọc Lâm. Trung tâm giao thương hàng hoá hàng không, nơi đóng đô của bảo tàng hàng không, cục hàng không, tổng công ty hàng không Việt Nam, công ty quản lý bay...- Hệ thống hạ tầng tốt các cửa hàng dịch vụ đầy đủ như khách sạn nhà hàng, trường học, bệnh viện, siêu thị, chung cư, cafe, gara ô tô, cây xăng...- Nhà thuộc khu víp, khu cán bộ nhân viên hàng không, khu đồ ngoại xách tay sang xịn...- Nhà xây 3.5 tầng chắc chắn, chia làm 2 khối nhà trước sau. Đủ công năng sử dụng cho 2 gia đình.Nhà cũ vẫn sử dụng được chủ xác định bán đất. Đầu tư chia lô đẹp nhà một mặt ngõ ô tô tránh, một mặt morning lùi đít.- Sổ đỏ vuông như bánh chưng cất két sẵn sàng giao dịch.Giá: 16.5 tỷ (có thương lượng với khách thiện chí).Lh: 0948 937 *** A Vũ.            ",115 m²,16.5 tỷ,4.7 m,,3 tầng,,,Sổ đỏ/ Sổ hồng.,,05/12/2022,13/12/2022,Tin thường,34947275,batdongsan_com_vn_34947275,,
"['Hà Nội', 'Thạch Thất', 'Xã Bình Yên', 'Đường ĐT 420']","
Bán đất Hòa Lạc, lô đất hiếm nhất khu với diện tích 70m² vuông vắn, phong thủy tốt đón gió tránh nắng.Sổ đỏ trọn đời, sang tên công chứng trong ngày. Khách hàng làm việc trực tiếp với chính chủ, không qua môi giới.Nằm tại trung tâm xã Bình Yên, ngay gần trục đường quy hoạch Hồ Tây, Ba Vì và trục DT420 nên dễ dàng di chuyển về trung tâm Hà Nội và các tỉnh thành lân cận.* Tiềm năng tăng giá cực lớn khi nằm cạnh hàng loạt hạ tầng khủng:+ Cách khu công nghệ cao Hòa Lạc chỉ 5p đi xe.+ Gần ủy ban nhân dân xã, trường cấp 1, cấp 2 Bình Yên.+ Cách bệnh viện đa khoa huyện Thạch Thất 1,7km.+ Nằm cạnh khu dân cư đông đúc, dân trí cao.Với nhiều lợi thế như và tầm giá chỉ từ 1 tỷ, đây là lô góc đẹp và đáng đầu tư nhất Hòa Lạc thời điểm hiện tại. Anh chị quan tâm nhanh tay xuống tiền kẻo lỡ!Gọi ngay SĐT: 0866 921 ***Chính chủ) để biết thêm thông tin lô đất và đi xem trực tiếp.            ",70 m²,1.3 tỷ,,7 m,,,,Sổ đỏ/ Sổ hồng,,30/11/2022,10/12/2022,Tin thường,33885803,batdongsan_com_vn_33885803,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'Đường Nguyễn Cơ Thạch', 'Dự án Mỹ Đình I']","
Bán căn hộ chung cư B6 khu đô thị Mỹ Đình 1.Cần bán căn hộ chung cư toà nhà B6 khu ĐTM Mỹ Đình 1 - Nam Từ Liêm - Hà Nội.Gần trường mẫu giáo Hoa Anh Đào, tiểu học, trung học Đoàn Thị Điểm, Lê Quý Đôn, Việt Úc... Diện tích 86,2m². 1 phòng khách, 2 phòng ngủ, 1 phòng ăn, bếp, 2 WC.Ban công hướng Đông Nam. Sổ đỏ chính chủ. Căn hộ thiết kế đẹp, đầy đủ nội thất, chỉ việc chuyển đồ về ở luôn.Giá bán chính chủ 2.64 tỷ (có thương lượng).Liên hệ xem nhà và làm việc chính chủ: 0369 123 *** e khoa (app zalo gửi ảnh và video).            ",86.2 m²,2.64 tỷ,,,,2 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,05/12/2022,12/12/2022,Tin thường,36036858,batdongsan_com_vn_36036858,Đông - Nam,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng', 'Đường Cầu Giấy', '302', 'Discovery Complex']","
Do gia đình chuyển công tác, nên cần nhượng lại căn hộ 2 phòng ngủ, chung cư cao cấp Discovery Complex 302 Cầu Giấy.Qúy khách có nhu cầu vui lòng liên hệ trực tiếp, bao hết thuế phí sang tên cho khách, giá cả thương lượng thoải mái, gia lộc cho khách hàng thiện chí.Căn hộ tầng trung thoáng mát, 2 phòng ngủ, 2 vệ sinh, 2 lô gia, căn hộ được thiết kế rất hợp lý tất cả các phòng đều thoáng, kể cả phòng bếp.Nhà rất tiện để sửa thêm 3 phòng ngủ, nếu khách hàng có nhu cầu cần 3 phòng ngủ.Nội thất đã có gần như đủ các thiết bị đồ gỗ liền tường như giường, tủ quần áo, bếp, điều hòa, tủ giày, rèm khách hàng gần như chỉ việc chuyển đến có thể ở được luôn.Căn hộ có diện tích 90,65m² thông thủy, 99,5m² diện tích tim tường.Đã thanh toán 100% giá trị căn hộ, cả 2% phí bảo trì. Dự án đã bàn giao nhà, nhận nhà luôn.Thông tin dự án:- Vị trí: 302 Cầu Giấy, quận Cầu Giấy, Hà Nội (chỉ mất 5 phút đi bộ tới công viên Nghĩa Đô).- Cao 54 tầng, 8 tầng trung tâm thương mại, 5 tầng hầm để xe.- Đại siêu thị lotte.- Trung tâm thương mại hoạt động nhộn nhịp.- Bể bơi 4 mùa rộng 400m².- Tầng 2 của trung tâm thương mại kết nối trực tiếp với ga số 7 tuyến tàu điện trên cao Nhổn - Ga Hà Nội.- Tòa nhà hiện đã hoạt động, cư dân sinh sống ổn định, là nơi đáng sống nhất khu vực Cầu Giấy.Liên hệ xem nhà: C Hương: 098.228.1144.(Miễn trung gian).            ",99.5 m²,4 tỷ,,,,2 phòng,2 phòng,,Đầy đủ,05/12/2022,12/12/2022,Tin thường,35064439,batdongsan_com_vn_35064439,,
"['Hà Nội', 'Thạch Thất', 'Xã Bình Yên', 'Đường 21']","
Gia đình còn 1 lô đất thổ cư vị trí sát UBND, sát Chợ, sát trường Mầm Non, sát trường tiểu học, sát trường trung học cơ sở, gần trường ĐH FPT thành phố Hà Nội.Lô đất thổ cư đã có sổ đỏ riêng biệt, đường vào lô đất rộng thoáng, ô tô ra vào thoải mái.Rất phù hợp mua để lâu dài, để ở hoặc để xây nhà trọ cho sinh viên thuê.Nay gia đình cần tiền nên mong muốn chuyển nhượng lại.Anh chị quan tâm vui lòng liên hệ. Không môi giới, miễn trung gian.            ",65 m²,13 triệu/m²,5 m,10 m,,,,,,05/12/2022,15/12/2022,Tin thường,36036440,batdongsan_com_vn_36036440,,Đông - Nam
"['Hà Nội', 'Thạch Thất', 'Xã Bình Yên', 'Đường 420', 'Thôn Phúc Tiến']","
Chính chủ cần tiền bán gấp lô đất 84.7m² tại xã Bình Yên xung quanh tiện ích đầy đủ.Liên hệ Thùy Dung SĐT & add zalo em để tìm hiểu ạ. Nhận ngay 2 chỉ vàng cho khách liên hệ trong hôm nay.* Vị trí:- Thuộc thôn Phúc Tiến, xã Bình Yên.- Ngay sát khu công nghệ cao, cách khu công nghệ cao Hòa Lạc 5p đi xe.- Giá đầu tư, dễ dàng thanh khoản.* Giao thông.- Cách trường mầm non, trường cấp 1, cấp 2 Bình Yên chỉ 2 phút đi xe.- Gần UBND xã Bình Yên.- Cách đường 420 chỉ 200m.- Đường hai ô tô tránh nhau.- Giao thông kết nối hoàn hảo.- Vị trí đắc địa.* Diện tích:- Đa dạng diện tích 74m² đến 110m².- Sẵn sổ từng lô, công chứng sang tên trong ngày.* Hạ tầng:- Đường trải nhựa, lòng đường vào rộng rãi.- Đường điện cao áp, cống thoát nước, kỹ thuật, cảnh quan sẵn.- Hỗ trợ vay vốn ngân hàng.Liên hệ Thùy Dung SĐT & add zalo em để tìm hiểu ạ. Nhận ngay 2 chỉ vàng cho khách liên hệ trong hôm nay.            ",84.7 m²,16.8 triệu/m²,,6 m,,,,Sổ đỏ/ Sổ hồng,,02/12/2022,09/12/2022,Tin thường,35646910,batdongsan_com_vn_35646910,,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường Lê Trọng Tấn', 'Dự án ICID Complex']","
Chị gái cần tiền nên cần bán lại căn hộ 2PN, 2WC, rộng 67m² tòa cho khách có nhu cầu.- Nội thất cơ bản: Hệ thống tủ bếp full, điều hoà các phòng, nóng lạnh, thiết bị vệ sinh, thiết bị chiếu sáng đầy đủ,..- Sổ hồng chính chủ.            ",67 m²,Thỏa thuận,,,,2 phòng,2 phòng,,,05/12/2022,12/12/2022,Tin thường,36036779,batdongsan_com_vn_36036779,,
"['Hà Nội', 'Cầu Giấy', 'Phường Mai Dịch', 'Đường Phạm Văn Đồng']","
Bán nhà Phạm Văn Đồng, 42m², 5T, 4m, 4.25 tỷ Cầu Giấy.+ Nhà cực đẹp, móng cột chắc chắn, chủ ở cực giữ gìn nên nhà còn như mới.+ Ngõ thông khắp ngả, giao thông thuận tiện, gần ô tô, gần các trường Đại học.+ Chủ tặng lại toàn bộ nội thất hiện đại, tivi, tủ lạnh điều hòa, máy lọc, giường tủ.+ Nhà đẹp như mới, khách chỉ việc về ở đón Tết.+ Sổ vuông đẹp, chủ thiện chí.+ Liên hệ E Hồng để xem nhà 0976 395 *** ",42 m²,4.25 tỷ,4 m,2.5 m,5 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,05/12/2022,12/12/2022,Tin thường,36036539,batdongsan_com_vn_36036539,,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Đô', 'Đường Lạc Long Quân']","
+ Bán nhà Lạc Long Quân, Quận Cầu Giấy - thang máy - ô tô - nhà 35m², 5T, MT 3,8m, giá 7,2 tỷ yêu thương cho khách thiện chí.5m ô tô đỗ, ngõ nông, thẳng tắp.Khu dân cư văn minh sinh sống cực vip, đi bộ Hồ Tây.Nhà vừa ở và làm văn phòng, bán hàng Online, Spa, Nails,..Nhà xây 5 tầng mới, thang máy êm ru, nội thất xịn, đẳng cấp.+ Tầng 1: Thông sàn, thang máy + Kinh doanh hoặc phòng khách, bếp.+ Tầng 2,3,4: Thông sàn, wc.+ Tầng 5: Phòng thờ + sân phơi.Lh 0989 608 ***Địa chỉ: Phố Lạc Long Quân, quận Cầu Giấy, Hà Nội.            ",35 m²,7.2 tỷ,,,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,05/12/2022,12/12/2022,Tin thường,35436090,batdongsan_com_vn_35436090,,
