address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Số tầng,Hướng nhà,Hướng ban công
"['Hà Nội', 'Hà Đông', 'Phường Vạn Phúc', 'Phố Cầu Am', 'Dự án GoldSilk Complex']","
+ Căn hộ chung cư nằm tại Khu vực đang phát triển mạnh, hiếm bán, trung tâm Hà Đông, sầm uất, dân cư đông đúc, mặt phố Vạn Phúc, vài bước ra đường Trần Phú, BigC Hồ Gươm Plaza, Quang Trung, Tố Hữu, Thanh Bình, hưởng trọn tiện ích Làng Việt Kiều Châu Âu, Hoàng Thành Mỗ Lao, Bưu điện Hà Đông, Chợ Hà Đông, trục kết nối Hà Đông - Nam Từ Liêm,...+ Nhà đẹp nhiều tiện ích văn minh. Xung quanh có sân chơi, siêu thị, khu phố sầm uất bậc nhất Quận, khu vực phân lô, đường rộng rãi, thoáng sáng, tiện lợi di chuyển, đi đâu cũng gần.+ Căn hộ thuộc dự án Jasmine Goldsilk Hà Đông, thiết kế 3 phòng ngủ 3 vệ sinh, 2 phòng vệ sinh khép kín, 1 vệ sinh ngoài, phòng khách + bếp rộng.+ Khu Goldsilk gồm 2 toà Tulip và Jasmine tổng 32 tầng có 1 tầng hầm, nhà bán thuộc toà Jasmine nằm ngoài.+ Các phòng đều có thiết kế lan can nên cực thoáng, view cực đẹp nhìn toàn cảnh.+ Pháp lý sạch, chính chủ, sổ đỏ cất két sẵn sàng giao dịch ngay.+ Liên hệ: Mr Hậu Bư 0987 481 ***Tôi mang đến giá trị cho bạn.Ngôi nhà mới chắc chắn sẽ tốt hơn.            ",104 m²,3 tỷ,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất cao cấp,24/11/2022,01/12/2022,Tin thường,35937575,batdongsan_com_vn_35937575,,,,,
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Phố Láng Hạ']","
- Vô cùng hiếm, vị trí siêu đẹp và đẳng cấp trên mặt phố Láng Hạ, trung tâm Đống Đa là trọng điểm thông thương và những Quận lớn khác: Q. Ba Đình, Q. Cầu Giấy. Giá trị triệu đô trên từng mét đất, rất hiếm nhà bán.- Thiết kế móng xây dựng Tòa nhà 10 - 15 tầng, hiện trang đã hoàn thiện đến tầng 3, có ô chờ thang máy, hệ thông chờ PCCC, điện cấp...- Hiện trang đang hoàn thiện để phục vụ cho thuê mặt phố, gia chủ mới về có thể tiếp tục Hợp đồng hoặc xây trên nền móng có sẵn.- Sổ đỏ hoa hậu, vuông, đẹp, nét, chính chủ, pháp lý siêu chuẩn. Giao dịch ngay.- Giá 105 tỷ + Thương lượng tốt với Gia chủ mới thiện chí.- Liên hệ tôi, Lê Tài: 0987 167 *** - Làm việc trực tiếp chủ nhà.- Cam kết giúp anh chị mua được nhà ưng ý với giá tốt nhất.            ",175 m²,105 tỷ,5 phòng,3 phòng,,,22/11/2022,29/11/2022,Tin thường,33589686,batdongsan_com_vn_33589686,9 m,50 m,3 tầng,,
"['Hà Nội', 'Gia Lâm', 'Thị trấn Trâu Quỳ', 'Đường Nguyễn Mậu Tài', 'Dự án Highway 5 Residences Gia Lâm']","
Độc quyền quỹ 3 lô ngoại giao giá siêu tốt tại TQ5. Giá giảm kịch sàn ckhau 12 - 15%. Cơ hội cho các nhà đầu tư bắt đáy thị trường.Hotline: 0968 394 ***Mr Đức - Quản lý dự án).Chính sách chuẩn.+ Hỗ trợ vay vốn lên tới 70% tổng giá bán.+ Lãi suất 0% trong 12 tháng đầu.+ Chiết khấu 15% nếu KH thanh toán sớm.-----+ Giá bán: Từ 101 - 155tr/m² (Giá bán tùy từng trục căn, vị trí).+ Lộ giới đường từ 7 - 12 - 22m.+ Diện tích lô: 75 - 80 - 94m².+ Mặt tiền 5m.+ Xây dựng 5 tầng, hoàn thiện mặt ngoài.+ Dự kiến bàn giao: Quý IV/2022.-----Liên hệ nhận bảng tính giá và tiến độ vào tiền chuẩn.Mr Đức 0968 394 ***QLDA).Email: congduc4@gmail.com. Bấm nút yêu cầu liên hệ lại hoặc lưu tin để tiện liên hệ.Cảm ơn quý vị. Chúc quý vị 1 ngày tốt lành.            ",75 m²,Thỏa thuận,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,,21/11/2022,28/11/2022,Tin thường,34476829,batdongsan_com_vn_34476829,5 m,12 m,5 tầng,Đông - Bắc,Tây - Nam
"['Hà Nội', 'Hà Đông', 'Phường Văn Quán']","
* Bán nhà 5 tầng cực đẹp có 102 tại khu đô thị Văn Quán - Hà Đông.- DT sàn; 55m². Mt: 4,68m. Hướng: Đông Nam.- Đường vào nhà rộng 3,5m. Ô tô nhỏ đỗ cửa.- Trước nhà có sân cực rộng. Cách đường ô tô tránh 10m.- Nhà có thang máy nhập khẩu Hàn Quốc..+ Thiết kế: 6 phòng ngủ, phong cách tân cổ điển, nội thất đầy đủ.+ Gần chợ, trường học cấp 1 - 2 - 3, trường mầm non, siêu thị, khu vui, trường an ninh, trường mật mã, Công an cơ sở 2, hồ Văn Quán...- Giá bán: 9,6 tỷ.. Liên hệ chính chủ; Anh Năm: 0936 341 *** hoặc: 0936 070 *** ",55 m²,9.6 tỷ,6 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ.,27/11/2022,07/12/2022,Tin thường,34864669,batdongsan_com_vn_34864669,,,5 tầng,Đông - Nam,Đông - Nam
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Phố Quan Nhân']","
Gia đình có việc cần giải quyết, Cần Bán Gấp Nhà Phố Quan Nhân Nhân Chính Thanh XuânTrung tâm Thanh Xuân, giao tuyến phố Vũ Trọng Phụng Nhân Hòa Cự Lộc Hoàng Ngân Láng Nguyễn TrãiDân trí cao, đường Quan Nhân mở đường còn đẹp và giá trị hơn Nhà Diện tích 51m  4 Tầng Nhà Xây hơn 10 năm, vẫn ở tốt, sửa chữa sơn bả lại đẹp long lanhCách phố 50m Sổ đỏ chính chủ sang tên ngay(Ảnh nhà minh họa)Giá bán chỉ 4 tỷ quá hấp dẫn Gọi ngay Mr Tuấn Anh 0366 687 *** 0942 472 ***Miễn TG QC            ",51 m²,4 tỷ,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ ,27/11/2022,04/12/2022,Tin thường,35959534,batdongsan_com_vn_35959534,5 m,3 m,4 tầng,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Phú Đô', 'Đường Đình Thôn']","
SIÊU PHẨM ĐÌNH THÔN- Ô TÔ ĐỖ CỬA - 30M NHÀ RA PHỐ - Căn nhà nằm Vị trí cực đẹp , oto đỗ cửa.+ Thiết kế - Tầng 1 : Phòng để xe+ bếp+ vs- Tầng 2,3,4 : Mỗi Tầng 2 phòng + WC.- Tầng 5 : Phòng thờ + Sân Phơi.+Liên hệ e Biên 0919 124 *** se duyên chính chủ.            ",46 m²,6.6 tỷ,6 phòng,6 phòng,"sổ đỏ, sổ hồng",hiện đại,25/11/2022,02/12/2022,Tin thường,35950352,batdongsan_com_vn_35950352,3.8 m,4 m,5 tầng,,
"['Hà Nội', 'Tây Hồ', 'Phường Yên Phụ', 'Đường An Dương']","
Bán nhà An Dương, Tây Hồ, Hà Nội, diện tích 23/27m², sổ đỏ chính chủ.Tầng 1: Bếp + wc.Tầng 2: Phòng ngủ + wc.Tầng 3: Phòng ngủ + wc + ban công.Diện tích 23m², từ tầng 2 đổ lên là 27m².Giá chỉ 2ty050tr            ",23 m²,2 tỷ,2 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,24/11/2022,01/12/2022,Tin thường,35941516,batdongsan_com_vn_35941516,,,3 tầng,,
"['Hà Nội', 'Hoài Đức', 'Dự án Westpoint - Nam đường 32']","
DT 79m², mặt tiền 6m, sâu 13,1m nhà xây thô thiết kế 3 tầng, 1 tum hiện đại.Đặc biệt giá chỉ 5x tỷ, xung quanh đầy đủ các hộ dân sinh sốngPháp lý Hợp đồng mua bán,Khu đô thị nằm ở Trung tâm Huyện Hoài Đức cách Quốc lộ 32 100m.300m ra các khu hành chính Huyện.Hệ thống trường học của thị trấn ngay cạnh.Tiện ích xung quanh đầy đủ.Gọi ngay em Lan 0979 898 *** để xem nhà và chốt cọc            ",79 m²,5.65 tỷ,,,,,22/11/2022,29/11/2022,Tin thường,35756528,batdongsan_com_vn_35756528,6 m,85 m,4 tầng,Tây - Bắc,
"['Hà Nội', 'Đống Đa', 'Phường Trung Liệt', 'Phố Thái Hà']","
- Vị trí nhà nằm trong khu vip quận Đống Đa, đi bộ ra phố Thái Hà, ngõ rộng, ô tô tránh, diện tích nhà lớn, mặt tiền rộng kinh doanh mọi lĩnh vực, làm văn phòng hay ở đều vô cùng hợp lý.- Nhà Biệt thự lô, gia chủ xây để ở nên cực kỳ tỉ mỉ. Nội thất đầu tư có thiết kế, phong cách hiện đại, có gu, có thẩm mỹ, chất lượng thiết bị ngoại nhập, xin và rất tốt.- Nhà diệc tích rộng, móng tốt, có thể xây 9 tầng, có hoàn bản vẽ hoàn công, gia chủ mới có thể cải tạo hoàn toàn yên tâm về chất lượng hoặc ở luôn tùy theo nhu cầu cũng rất hợp lí.- Sổ đỏ chính chủ, đẹp, nét, giao dịch ngay.- Giá 41.5 tỷ + Thương lượng tốt.- Tôi, Lê Tài: (Làm việc trực tiếp chủ nhà).- Tôi sẵn sàng tư vấn tận tâm và giúp khách hàng mua được giá tốt nhất.            ",160 m²,41.5 tỷ,5 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ nội thất,26/11/2022,03/12/2022,Tin thường,34453920,batdongsan_com_vn_34453920,5.5 m,8 m,4 tầng,,
"['Hà Nội', 'Hoàn Kiếm', 'Phường Cửa Đông', 'Phố Đường Thành']","
Bán thửa đất mặt phố Đường Thành, Hoàn Kiếm 365m² x MT 10m, giá 199 tỷ. LH: 0366 051 ***Phố Đường Thành thông Hàng Bông, Hà Trung, Hàng Da, Hàng Điếu, Bát Đàn, hàng xóm TTTM chợ Hàng Da, 3 bước vào phố đi bộ Hoàn Kiếm, vài phút tới Lăng Bác. Tiện ích bạt ngàn không thiếu thứ gì, thửa đất trung tâm của trung tâm quanh năm KD sầm uất ngày đêm, phố xá tấp nập,Mặt phố lớn, vỉa hè rộng, ô tô dừng đỗ thoải mái, cực hiếm nhà bán, vị trí quá đẹp, mặt tiền rộng, cực kỳ phù hợp khách mua đầu tư giữ tiền, đập đi xây mới cả tòa nhà bao gồm tầng hầm, thang máy thì giá trị là quá lớn, chủ sở hữu thể hiện đẳng cấp.Nhà bán hiện trạng, nhiều sổ, giá bán đất, môi giới hỗ trợ nhiệt tình, chuyên nghiệp, sang tên 1 sổ, 1 chủ thì giá trị tăng gấp bội quanh khu Hoàn Kiếm là có 1 không 2.Chủ nhà thiện trí bán, sổ vuông vắn.Giá bán đất 550tr/m².Mời quý vị liên hệ Ms. Quyên 0366 051 *** để được xem nhà và tư vấn cụ thể về căn nhà (miễn trung gian, QC).            ",365 m²,199 tỷ,12 phòng,10 phòng,Sổ đỏ/ Sổ hồng,Bán đất tặng cửa hàng KD sầm uất,24/11/2022,01/12/2022,Tin thường,35943427,batdongsan_com_vn_35943427,10 m,15 m,5 tầng,,
