address,gen_descrip,Diện tích,Mức giá,Số tầng,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Hướng ban công,Số phòng ngủ,Nội thất,Mặt tiền,Đường vào
"['Hà Nội', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Đường Do Nha', 'Tổ 4']","
Do chuyển chỗ ở mới. Tôi chính chủ cần bán lại căn nhà tại Tổ 4, Miêu Nha, Tây Mỗ, Nam Từ Liêm.Dt: 30m² x 4T.Nhà tự xây nên chắc chắn, cẩn thận từng viên gạch.Tường xây 2 lớp chống nóng.Nhà ở có lộc.Móng nhà làm chắc chắn có thể chồng lên 5 - 6 tầng.Nhà full NT.Chủ mới chỉ cần xách quần áo vào là ở được.LH: 0989 876 *** - Chị Yến.            ",30 m²,2.8 tỷ,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng.,24/11/2022,04/12/2022,Tin Vip 3,35859676,batdongsan_com_vn_35859676,,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Nguyễn Duy Trinh', 'Dự án VP5 Linh Đàm']","
Tôi chính chủ cần bán căn hộ chung cư toà vp5 linh đàm gía nhỉnh hơn 1 tỷ, nhận nhà ở ngay.Thông số:Căn hộ 2 ngủ, 2 vệ sinh, ban công đông nam, ấm áp mùa đông, mát mẻ mùa hè.Chung cư vip nhất linh đàm, ban công view hồ linh đàm thoáng, không góc khuất, hồ rộng 80ha, hàng nghìn cây xanh mát mẻ...- Ban công và cửa sổ view hồ, xung quanh đầy đủ tiện ích, bể bơi 4 mùa, siêu thị, nhà hàng, không khí trong lành, thoáng mát, đi bộ 3 bước ra hồ điều hoà, Tiện ích quanh nhà không thiếu thứ gì.- Nhà có đầy đủ nội thất cơ bản, thạch cao, đèn downlingt, đèn chùm phòng khách, tủ bếp, nóng lạnh, có bồn tắm dài, chỉ việc đến ở.- Ban công: ĐN, cửa Chính ĐB.- Pháp lý chuẩn, chính chủ.Gọi ngay em Quân xem nhà 0976 862 *** ",61 m²,1.9 tỷ,,2 phòng,Pháp lý chuẩn,24/11/2022,04/12/2022,Tin Vip 3,35943371,batdongsan_com_vn_35943371,Đông - Bắc,Đông - Nam,2 phòng,Đầy đủ,,
"['Hà Nội', 'Hà Đông', 'Phường Quang Trung', 'Đường Quang Trung', 'Ngõ 8 B56A']","
Chính chủ, cam kết chính chủ!Do chuyển công tác nên mình cần bán gấp nhà tại ngõ 8, B5A6, Quang Trung, Hà Đông.Diện tích 34m² mặt tiền 3,4m, 4 tầng.Giá công khai 4,1 tỷ (có thương lượng cho khách thiện chí mua).- Hướng: Đông Nam.- Phân lô cán bộ, nhà mình xây năm 2019.- Ngõ ba gác ô tô tránh đỗ cách 10m.Mô tả:+ Ngõ 8 Quang trung ô tô tránh thuộc khu phân lô cán bộ gia đình Cty xây dựng khu Nam Hà Tây cũ.+ Nhà rất gần ô tô đỗ cách 10m, ngõ ba gác phi ầm ầm.+ Nhà rất gần mặt phố Quang Trung chỉ 40m là ra ga Tầu điện trên cao. Giao thông thuận lợi đi đâu cũng tiện.+ Nhà dân xây 4tầng, BTCT chịu lực, phong cách kiến trúc hiện đại.- Tầng 1: Phòng khách, bếp, WC.- Tầng 2,3,: Bố trí mỗi tầng 02 phòng ngủ, WC.- Tầng 4: Phòng thờ, sân phơi.+ Trước nhà rộng, sạch, thiết kế hiện đại.+ Hàng xóm thân thiện, dân trí cao.+ Sổ đỏ chính chủ cất két, sẵn sàng giao dịch.Liên hệ: 0943 411 *** ",34 m²,4.1 tỷ,4 tầng,,,22/11/2022,02/12/2022,Tin Vip 3,35833298,batdongsan_com_vn_35833298,Đông - Nam,,,,3.4 m,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Bằng Liệt', 'Dự án Hà Nội Melody Residences']","
Tên dự án: Hà Nội Melody Residences.Vị trí: Khu đô thị Tây Nam Linh Đàm, Hoàng Mai, Hà Nội.Đơn vị phân phối: Hưng Thịnh Land.Liên hệ Phòng kinh doanh CĐT Hưng Thịnh: 0979 355 ***HaNoi Melody Residences là tổ hợp thương mại và căn hộ cao cấp nhất khu đô thị Linh Đàm do tập đoàn Hưng Thịnh làm chủ đầu tư.Hà Nội Melody Linh Đàm gồm 4 tòa tháp chung cư cao 29 tầng được thiết kế hiện đại và tinh tế với hơn 1800 căn hộ cao cấp có diện tích đa dạng từ 67m đến 145m, công năng từ 2 đến 3 phòng ngủ.* Chiết khấu:- Chiết khấu 7% giá trị căn hộ cho khách hàng không vay ngân hàng.- Thanh toán sớm: Chiết khấu 31%. chương trình áp dụng đến 1/12/2022- Giảm 50% phí dịch vụ trong 2 năm.- Ngân hàng hỗ trợ vay 70% giá trị căn hộ, Ân hạn gốc và lãi suất chủ đầu tư hỗ trợ 11% trong 24 tháng.* Căn 2 PN thiết kế:+ Căn hộ gồm: Phòng khách, bếp, 2 PN, 2PVS, 2 ban công logia.+ Diện tích: 67m - 74m - 75m - 87m - 89m.* Căn 3 PN thiết kế:+ Căn hộ gồm: Phòng khách, bếp, 3 PN, 2PVS, 2 ban công logia.+ Diện tích: 120m - 128m - 145m.* Tiện ích nội khu chuẩn quốc tế:Hồ bơi, vườn dạo bộ, khu vui chơi trẻ em.Khu TDTT (tennis, bóng rổ, bơi... ).Khu BBQ ngoài trời.Khu TTTM, nhà trẻ, gym, spa...Phòng lánh nạn, an ninh đảm bảo 24/7...            ",74 m²,2.4 tỷ,,2 phòng,,24/11/2022,01/12/2022,Tin Vip 3,35943069,batdongsan_com_vn_35943069,,,2 phòng,,,
"['Hà Nội', 'Long Biên', 'Dự án Hà Nội Garden Villa (Hà Nội Garden City)']","
Căn hộ shophouse thuộc dự án Hanoi Garden city, phường Thạch Bàn, Quận Long Biên, Hà Nội.Diện tích 108 m².            ",108 m²,13 tỷ,5 tầng,6 phòng,Hợp đồng mua bán,24/11/2022,06/12/2022,Tin Vip 3,35943053,batdongsan_com_vn_35943053,Đông - Nam,Đông - Nam,5 phòng,Xây thô hoàn thiện mặt ngoài.,6 m,7.5 m
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường Tố Hữu', 'Dự án KĐTM Dương Nội']","
Tôi có căn dãy D2 gần hồ Thiên Văn Học và đường Lê Quang Đạo, do thiếu vốn làm ăn nên tôi cần bán lại để duy trì công việc kinh doanh. Nhà sổ đỏ chính chủ không cầm cố ngân hàng. Bán giá 20 tỷ.Liên hệ: 0971 009 *** ",180 m²,20 tỷ,4 tầng,5 phòng,Sổ đỏ/ Sổ hồng,24/11/2022,01/12/2022,Tin Vip 3,35943024,batdongsan_com_vn_35943024,Tây - Bắc,Đông - Bắc,4 phòng,,9 m,12 m
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Dự án Vinhomes Smart City']","
Cần bán gấp chung cư Vinhomes Smart City - Tây Mỗ - Nam Từ Liêm - Hà Nội.Cập nhập quỹ hàng liên tục cho khách hàng có lựa chọn đúng đắn nhất khi mua chung cư Vinhomes Smart City. Tư vấn nhiệt tình, chính xác nhất cho khách hàng khi đang tìm hiểu khu này. Liên hệ em ngay 0967 304 ***Với các diện tích sau - giá hợp lý nhất thị trường từ chủ nhà.1) Căn hộ Studio, diện tích 28 - 30 m².Gía từ 1,2 tỷ - 1,4 tỷ tùy căn và tầng, nội thất.2) Căn hộ 1N + 1, thiết kế 1 ngủ + 1, 1 vệ sinh, ban công.Diện tích: 34 - 48 m, giá giao động từ 1.7 tỷ - 2,1 tỷ, hiện tại đang có nhiều căn tầng cho khách lựa chọn.3) Căn hộ 2 ngủ 1 vệ sinh, diện tích 54 - 55 m².Gía hiện đang giao dịch từ 2.3 tỷ - 2,6 tỷ.4) Căn hộ 2ngủ + 1 2 vệ sinh.Diện tích: 62 - 67 m².Gía giao động: Từ 2,8 tỷ - 3.4 tỷ tùy căn tầng, nội thất.5) căn hộ 3N2W, diện tích 74 - 87 m².Gía giao động từ 3,5 tỷ - 4,2 tỷ.Tiện ích khu đầy đủ.Liện hệ: Em Dung: 0967 304 ***- Cam kết của công ty BĐS chúng tôi:+ KH mua bán đàm phán trực tiếp chủ nhà. Giá được chào là giá chủ nhà đưa ra.+ Liên hệ tư vấn và xem nhà 24/7.+ Miễn phí tư vấn chính xác, nhiệt tình và hiệu quả.+ Miễn phí thủ tục pháp lý.+ Độc quyền nhiều căn vip - đẹp - rẻ.+ Ngoài ra có phân khu lựa chọn khác cho khách hàng đang hót nhất hiện nay.            ",30 m²,1.25 tỷ,,1 phòng,Sổ đỏ/ Sổ hồng,24/11/2022,01/12/2022,Tin Vip 3,35942987,batdongsan_com_vn_35942987,,,1 phòng,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng', 'Phố Doãn Kế Thiện', 'Ngõ 105']","
Doãn Kế Thiện 40m², 7 tầng, mặt tiền 5m, giá 10.7 tỷ.Nhà mới chưa ở 7 tầng thang máy đường trước nhà 15m vỉa hè 4m nội thất đầy đủ - điều hoa âm trần.* Thông tin căn nhà:- Tầng 1: Phòng khách.- Tầng 2 + 3 + 4: Mỗi tầng 1 phòng + vs khép kín.- Tầng 5: Bếp.- Tầng 6: Phòng thờ + sân phơi.- Tầng 7: Tum.Sổ đỏ vuông vắn giao dịch ngay.- Liên hệ: Mr. Trường 0985 279 *** để được tư vấn và xem nhà miễn phí 100%.            ",40 m²,10.7 tỷ,7 tầng,,,24/11/2022,04/12/2022,Tin Vip 3,35939206,batdongsan_com_vn_35939206,,,,,5 m,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường Lê Trọng Tấn']","
Cần bán mảnh đất đẹp độc nhất vô nhị mặt phố Lê Trọng Tấn, quận Hà Đông diện tích 700m², MT 28m. Đất vuông vắn rất đẹp phù hợp nhu cầu mua làm nhà hàng tiệc cưới, tòa building, showroom trưng bày, bệnh viện vị trí đẹp xung quanh đã xây các tòa văn phòng, dân cư đông đúc. Giá bán 169 tỷ có thương lượng. Liên hệ: 0836 118 *** ",700 m²,169 tỷ,,,,24/11/2022,01/12/2022,Tin Vip 3,35942765,batdongsan_com_vn_35942765,,,,,28 m,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Bằng Liệt', 'Dự án Hà Nội Melody Residences']","
Chính sách đến 25/11 dự án Melody Linh Đàm:Khách hàng thanh toán sớm 95%.- Chiết khấu 7% + 3% giáo viên.- Chiết khấu 2% căn ngoại khu.- CS chung: Chiết khấu 24%/năm/số tiền trước hạn = CK 28,8% giá trị căn hộ sau khuyến mại.Khách hàng Thanh toán tiến độ.- Chiếu khấu 7% + 3% giáo viên.- Chiết khấu 2% căn ngoại khu.Khách hàng vay.- Chiếu khấu 4% + 3% giáo viên.- Chiết khấu 2% căn ngoại khu.(Điều kiện: KH ký HĐ đúng hạn và đáp ứng đủ các tiêu chí của CĐT về ký HĐ cùng nhau... ).Liên Hệ: 0988 287 *** ",68 m²,34 triệu/m²,,2 phòng,,24/11/2022,04/12/2022,Tin Vip 3,35942712,batdongsan_com_vn_35942712,Tây - Bắc,Đông - Nam,2 phòng,,,
