address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Nội thất,Hướng ban công
"['Hà Nội', 'Thạch Thất', 'Xã Tiến Xuân', 'Đường Đại lộ Thăng Long', 'Dự án Xanh Villas']","
Bán biệt thự khu đô thị Xanh Villas Hòa Lạc giá tốt. Vị trí trung tâm nhất dự án Tiện ích đầy đủ: Bể bơi, nhà hàng, gym, golf, khu vui chơi trẻ em, bar...Diện tích 292m². Mặt tiền 12m.Xây 3 tầng, hoàn thiện mặt ngoài.Bán giá 12.5 tỷ. (có thỏa thuận với khách có thiện trí mua).Chi tiết liên hệ Em Công. 0978 353 *** - 0946 387 988.AC nhanh tay để sở hữu ngay căn biệt thự đẹp giá rẻ nhất dự án.            ",292 m²,12.5 tỷ,12 m,13 m,Đông - Bắc,3 tầng,5 phòng,4 phòng,Hợp đồng mua bán,29/11/2022,06/12/2022,Tin thường,34652189,batdongsan_com_vn_34652189,,
"['Hà Nội', 'Thạch Thất', 'Xã Tiến Xuân', 'Đường Đại lộ Thăng Long', 'Dự án Xanh Villas']","
Chính chủ cần bán gấp căn biệt thự khu A xanh villas.Diện tích 375m² x 3 tầng,Hướng nhà: Bắc.Vị trí view đẹp, gần vườn hoa, gần khu tiện ích, Cluphouse, cách Suối 50m, đã có nhà xây thô nhận nhà về hoàn thiện luôn.Giá bán: 16.6 tỷ.Liên hệ trực tiếp em Công. 0946 387 *** - 0978 353 889. Để được tư vấn miễn phí.            ",375 m²,16.6 tỷ,18 m,13 m,Bắc,3 tầng,6 phòng,5 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,34778347,batdongsan_com_vn_34778347,,
"['Hà Nội', 'Hoài Đức', 'Xã Vân Canh', 'Đường Đại lộ Thăng Long', 'Dự án An Lạc Green Symphony']","
Vị trí dự án: Mặt đại lộ Ánh Trăng 58m, KĐT An Lạc Green Symphony, Hoài Đức, Hà Nội.Chủ đầu tư: Công ty Cổ phần Tập đoàn Đầu tư An Lạc.Đơn vị thiết kế: Site Architecture Pháp.Đơn vị quản lý vận hành: CBRE.Diện tích khu đất: 6.466m.Mật độ xây dựng: 41.73%.Quy mô dự án: 2 tòa tháp cao 21 tầng + 2 tầng hầm.Số lượng căn hộ: 494 căn hộ.Diện tích căn hộ: 66.42 m² - 94.88m².Hình thức sở hữu: Sổ hồng sở hữu lâu dài.Chính sách mở bán Siêu hấp dẫn cho khách hàng:Ký HĐMB 30%, HTLS 0% 18 tháng cho 65% GTCH.Chiết khấu 7% GTCH cả VAT khi TTTD.Chiết khấu lên tới 11% GTCH cả VAT khi TTS.Liên hệ tư vấn tham quan dự án: 0977 494 *** ",70 m²,Thỏa thuận,,,,,2 phòng,2 phòng,Sổ hồng,29/11/2022,06/12/2022,Tin thường,35983109,batdongsan_com_vn_35983109,,
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Đường Đông Dư', 'Dự án The Zenpark']","
Em Dược PKD DA chung cư Vinhomes Ocean Park SĐT 0984 159 *** xin giới thiệu đến quý khách quỹ căn 2PN + 1 VIP nhất.1) Căn 2PN + 1 - 2WC R1.01xx19, BC Đông Nam, Tây Nam rộng nhất dòng 2PN + 1, view đẹp nhất toà R1.01.- DT 87,3 m².- Thiết kế 1 PK - 2 PN - 2 WC và bếp riêng biệt cực kỳ đẳng cấp.- Giá bán (giá gốc CĐT: 4,3 tỷ).Tặng thêm VC Vinfast 150tr.Tặng voucher nội thất trị giá 100tr.Tặng thêm gói Smart Gold trị giá 30tr.2) Căn 2PN + 1 - 2WC R1.01 căn số 01 23 - View trực diện hồ cá koi thoáng mát.- DT 74,1 m².- Thiết kế 1 PK - 2 PN - 2WC và bếp riêng biệt cực kỳ đẳng cấp.- Giá bán (giá gốc CĐT: 4,1 tỷ).Tặng thêm VC Vinfast 150tr.Tặng voucher nội thất trị giá 100tr.Tặng thêm gói Smart Gold trị giá 30tr.3) Căn 3PN R101 căn số 11 22: Ban công TN - ĐN view thành phố và Vinpearland cực thoáng.- DT 81,5 m².- Thiết kế 1 PK - 3 PN - 2 WC và bếp riêng biệt cực kỳ đẳng cấp.- Giá bán (giá gốc CĐT: 4,6 tỷ).Tặng thêm VC Vinfast 200tr.Tặng voucher nội thất trị giá 150tr.Tặng thêm gói Smart Gold trị giá 30tr.Ngoài ra còn có quỹ căn từ Studio đến 3PN cực Hot, quý anh chị khách hàng quan tâm vui lòng liên hệ 0984 159 *** để lựa chọn căn phù hợp.* Quyền lợi và cam kết khi khách hàng làm việc trực tiếp với PKD:1. Tất cả các căn hộ đều mua trực tiếp từ giá gốc chủ đầu tư.2. Được hỗ trợ tận tình từ khi xem dự án, nhà mẫu đến khi đặt cọc mua nhà, nhận bàn giao, làm sổ đỏ, làm nội thất.3. Tất cả thông tin được cung cấp chính xác, nhanh chóng và đầy đủ nhất trực tiếp từ CĐT.- Bảng giá.- Chính sách, quà tặng siêu khủng cập nhật mới nhất.- Vị trí, thiết kế.- Dòng tiền thanh toán.4. Đưa đón lên xem trực tiếp căn hộ trước khi quyết định mua.            ",87.3 m²,Thỏa thuận,,,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,29/11/2022,06/12/2022,Tin thường,35919949,batdongsan_com_vn_35919949,,
"['Hà Nội', 'Hoài Đức', 'Xã Vân Côn']","
Vị trí phù hợp cho các bác làm việc ở Hà Đông, Hoài Đức, Mỹ Đình, Bắc Từ Liêm, Nam Từ Liêm,...Nhà tại khu vực đông dân cư, khả năng sinh lời cao, phù hợp mua đầu tư, cho thuê hoặc để ở.Nhà sổ đỏ chính chủ, pháp lý đầy đủ.Nhà hoàn thiện nội thất cơ bản chỉ cần dọn về ở.Chất lượng xây dựng: Riêng tường, riêng móng, bảo hành 1 năm.Ngân hàng hỗ trợ vay 60% giá trị.===================================- Dream House An Khánh, Hoài Đức.S= 30m² - 38m², xây 3 tầng.Gần đường 72, ô tô đỗ cách nhà 10m.Gần trường học các cấp, trạm y tế.Cách TT. Quận Hà Đông 10p đi xe.- Dream House La Tinh, Hoài Đức.S= 31m², xây 3 tầng + tum.Gần trường học, chợ.Ô tô đỗ cách nhà 10m.- Dream House Vân Côn, Hoài Đức.S= 40m² - 46m², xây 3 tầng.Cách Đại lộ Thăng Long 500m.Gần trường học các cấp, chợ.Ô tô đỗ các nhà 10m.CFJ Dream House - Hạnh phúc an cư, đầu tư giá trị.- Trụ sở công ty: 20 Miếu Đầm, Mễ Trì, Nam Từ Liêm, Hà Nội.            ",40 m²,Thỏa thuận,,,,3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35860557,batdongsan_com_vn_35860557,Nội thất đầy đủ,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Phạm Hùng', 'Dự án Nam Trung Yên']","
Bán CHCC KĐT Nam Trung Yên, Cầu Giấy, Hà Nội. Căn góc DT 59m². Giá 1.9 tỷ.Căn hộ thiết kế có ánh sáng tự nhiên khắp nơi, view hồ điều hòa, 2PN 1WC, xung quanh thoáng mát. Sổ đỏ chính chủ.Liên hệ xem nhà: 0988 606 *** ",59 m²,1.9 tỷ,,,,,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35741218,batdongsan_com_vn_35741218,,
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Đường Đông Dư', 'Dự án The Zenpark']","
PKD dự án Vinhomes Ocean Park xin giới thiệu Quý khách hàng phân khu The Zen Park - Phân khu cao cấp nhất của dự án.Anh/chị liên hệ hotline: 0984 159 *** để được tư vấn chi tiết về diện tích, giá, chính sách bán hàng.* Phân khu The Zen Park có tiêu chuẩn bàn giao cao cấp nhất dự án Vinhomes Ocean Park.- Phân khu có thiết kế riêng đặc biệt theo phong cách Nhật Bản: Vườn Nhật nội khu với hồ cá koi, cầu gỗ đỏ, đồi tùng la hán, vườn thiền, chòi lục giác.- Số lượng có hạn (4 tòa), an ninh Semi - compound đảm bảo tính riêng tư.- Phân khu duy nhất bàn giao có bảo vệ, quầy lễ tân, lễ tân riêng từng tòa.- Nội thất liền tường được bàn giao là những thương hiệu hàng đầu thế giới: ToTo, Grohe, Grorenje, Hitachi.* Căn hộ 1PN.- Diện tích sử dụng: Từ 41m².- Thiết kế thông minh: Phòng bếp, khách, ban công nối liền trong 1 không gian.- 1 PN với cửa kính tràn viền giúp không gian rộng mở, tầm view không giới hạn.- Giá: Từ 1,65 tỷ.* Quà tặng.- 1 voucher Vinfast trị giá 150 triệu.- 1 gói Smart Homes tiêu chuẩn Gold.* Chiết khấu.- Nhận bàn giao nhà sớm trong vòng 60 ngày kể từ ngày ký HĐMB giảm ngay 220 triệu.- Giảm trừ bảo lãnh ngân hàng: 1,5%.- Không nhận hỗ trợ lãi suất: 10%.- Chiết khấu mua online: 0,5% (vẫn tham quan trực tiếp căn hộ).- Chiết khấu 1%.- Thanh toán sớm chiết khấu 8% trên dòng tiền thanh toán sớm.Quý khách gọi em Dược hỗ trợ tham quan trực tiếp căn hộ dự định mua: 0984 159 ***.            ",41 m²,1.65 tỷ,,,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35919959,batdongsan_com_vn_35919959,,
"['Hà Nội', 'Nam Từ Liêm', 'Thị trấn Cầu Diễn', 'Đường Hồ Tùng Mậu']","
Chính chủ bán gấp nhà phân lô quân đội Z199 lô góc 2 mặt tiền và 1 mặt thoáng sổ 40m² x 6 tầng thang máy ở Phú Diễn, mặt tiền 8m, đường trước nhà rộng 6m ô tô 7 chỗ ra vào nhà thoải mái.Nhà 2 mặt tiền 1 mặt thoáng mới coong, thiết kế siêu đẹp, công năng sử dụng tối ưu.Tầng 1 gara ô tô (2 ô tô) + (5 - 6 chiếc xe máy) + wc.Tầng 2 phòng khách và bếp ăn + WC.Tầng 3 phòng to master + WC.Tầng 4 + 5 mỗi tầng có 2 phòng ngủ khép kín.Tầng 6 phòng thờ + sân phơi.Vị trí rất đẹp nằm ngay mặt ngách gần ngõ, an ninh tốt, dân trí, xung quanh nhà là các gia đình các Bác trong quân đội đang công tác và đã về hưu rất thân thiện và rễ gần.Giao thông đi lại rất thuận tiện, nhà nằm ngay cạnh trường đại học Tài Nguyên Môi Trường, cách đường Quốc Lộ 32 Cầu Diễn 300m.Sổ đỏ 40m², chính chủ giá 9 tỷ có thương lượng.Hình ảnh chuẩn, nét 100%.Lh: Mr Trung 0986 536 *** ",40 m²,9 tỷ,8 m,6 m,Đông,6 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35984865,batdongsan_com_vn_35984865,,Đông - Bắc
"['Hà Nội', 'Gia Lâm', 'Xã Đa Tốn', 'Đường Quốc Lộ 5B', 'Dự án Masteri Water Front']","
Em Dược 0984 159 *** kính gửi quý anh chị căn hộ 1PN + 1 view đại học Vinuni dự án Masteri Water Front nằm trong dự án Vinhomes Ocean Park.1. L26. 1712A: View Đại học Vin Uni.- Diện tích sử dụng: 42,77 m².- Hướng BC: Tây Bắc.- Thiết kế: 1PN, 1 VS.- Giá gốc: 2,7 tỷ, giá thanh toán sớm: 2,3 tỷ, hỗ trợ vay 80% miễn gốc lãi trong 24T.2. L26. 2015A: View đại học Vin Uni.- Diện tích sử dụng: 42,02 m².- Hướng BC: Tây Bắc.- Thiết kế: 1PN, 1 VS.- Giá gốc: 2,7 tỷ, giá thanh toán sớm: 2,35 tỷ, hỗ trợ vay 80% miễn gốc lãi trong 24T.Quý khách hàng có nhu cầu tham quan căn hộ, liên hệ em Dược 0984 159 *** đưa đón trực tiếp ạ.* Quyền lợi và cam kết khi khách hàng làm việc trực tiếp với PKD:1. Tất cả các căn hộ đều mua trực tiếp từ giá gốc chủ đầu tư.2. Được hỗ trợ tận tình từ khi xem dự án, nhà mẫu đến khi đặt cọc mua nhà, nhận bàn giao, làm sổ đỏ, làm nội thất.3. Tất cả thông tin được cung cấp chính xác, nhanh chóng và đầy đủ nhất trực tiếp từ CĐT.- Bảng giá.- Chính sách, quà tặng siêu khủn. G cập nhật mới nhất.- Vị trí, thiết kế.- Dòng tiền thanh toán.4. Đưa đón lên xem trực tiếp căn hộ trước khi quyết định mua.Ngoài ra, CĐT đang có chương trình trải nghiệm tắm biển và thưởng thức BBQ ven hồ hoàn toàn miễn phí. Quý khách hàng có nhu cầu liên hệ Em Dược 0984 159 *** để nhận vé mời ạ.            ",42.77 m²,2.3 tỷ,,,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,29/11/2022,06/12/2022,Tin thường,35919984,batdongsan_com_vn_35919984,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mễ Trì', 'đường Mễ Trì', 'Dự án Golden Palace']","
Bán gấp căn hộ 118m² tại chung cư Golden Palace, giá: 3.5 tỷ liên hệ: 0985 814 *** em Huynh.Thông tin chi tiết căn hộ như sau:+ Căn hộ thiết kế 3PN - 2WC.+ Hướng cửa Nam, ban công Đông.+ Tầng trung view thoáng.+ Nội thất đầy đủ.+ Sổ đỏ chính chủ sẵn sàng giao dịch.Anh chị có nhu cầu liên hệ: 0985 814 *** em Huynh.Xin cảm ơn.            ",118 m²,3.5 tỷ,,,Nam,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,24/11/2022,01/12/2022,Tin thường,34904550,batdongsan_com_vn_34904550,Full.,Đông
