address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Số phòng ngủ,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Số tầng,Số toilet,Pháp lý
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Dự án Văn Khê']","
Tôi không có nhu cầu sử dụng cần bán căn hộ chung cư tại CT6 Văn Khê, La Khê, Hà Đông, Hà Nội.Diện tích 125m² thiết kế 3 phòng ngủ và 2 ban công, phòng khách rộng.Nhà tôi đã làm nội thất đầy đủ như sàn gỗ trần thạch cao, tủ bếp, tủ tường, điều hòa, nóng lạnh, khách về chỉ việc ỏ.Bán giá 2.4 tỷ có thương lượng.Ai có nhu cầu mua xin lh 0982 753 *** ",125 m²,2.4 tỷ,Tây - Bắc,Đông - Nam,3 phòng,"Nội thất gắn tường rồi như tủ bếp, sàn gỗ, trần thạch cao.",25/11/2022,02/12/2022,Tin thường,16683209,batdongsan_com_vn_16683209,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Trung', 'Đường Khương Trung']","
Bán nhà riêng Khương Trung, Thanh Xuân  - Diện tích 66.5m², 4 tầng, mặt tiền 4.6m, giá chào 6.45tỷ - Lô góc 2 thoáng, 7 phòng ngủ - Giá cả làm việc trực tiếp với chủ nhà - Cam kết thông tin chuẩn 100%.Ví trí vô cùng đắc địa, cách mặt phố ô tô tránh chỉ 30m, trước nhà đường ba gác, lô góc 3 mặt tiền, giao thông thuận tiện kết nối nhiều tuyến đường Nguyễn Trãi, Trường Chinh, cách Ngã tư sở 500m. Xung quanh đầy đủ tiện ích từ chợ, bệnh viện, TTTM,... Gần nhà nhà là các trường tiểu học, THCS, THPT, ĐH Thủy Lợi, ĐH Y, ĐH Hà Nội, Công Đoàn,.... Khu vực dân cư đông đúc, tấp nập. Có thể kết hợp ở + kinh doanh hoặc sửa lại thành CCMN với 18 phòng cho thuê.Thiết kế chắc chắn kiên cố mỗi tầng 3 phòng và WC. Diện tích sổ 52.8m² nhưng thực tế là 66.5m². Đã đo đạc và đính chính lại. Vì nhà cần tiền bán gấp nên giá cả vẫn thương lượng.Sổ đỏ chính chủ, giao dịch ngay 0972 365 ***Nghe máy 24/24) và được check QH đầy đủ trước khi giao dịch.            ",66.5 m²,6.45 tỷ,,,7 phòng,Nội thất đầy đủ,30/11/2022,07/12/2022,Tin thường,34318995,batdongsan_com_vn_34318995,4.6 m,3 m,4 tầng,7 phòng,Sổ đỏ/ Sổ hồng
"['Hà Nội', 'Đống Đa', 'Phường Cát Linh', 'Phố Giảng Võ']","
Lô góc - mặt phố vip - vừa ở vừa kinh doanh - giá siêu rẻ.* Mô tả:+ Nhà mặt phố Giảng Võ kinh doanh tấp nập ngày đêm, diện tích 52m², MT 4.2m, xây 4 tầng chắc chắn.- T1: Thông sàn, cho thuê văn phòng.- T2: 2 PN cho thuê văn phòng.- T3: 1 PN + PK + bếp.- T4: Sân phơi.+ Nhà lô góc nên các phòng đều có cửa sổ thông thoáng.+ Khu vực trung tâm, đắt đỏ bậc nhất Hà Nội, đầy đủ tiện ích.+ Sổ đỏ chính chủ.* Liên hệ em Tuấn Anh - SĐT/Zalo: 0866 680 *** để xem nhà ạ.            ",52 m²,10.6 tỷ,,,3 phòng,Nội thất cao cấp,30/11/2022,10/12/2022,Tin thường,35986744,batdongsan_com_vn_35986744,4.2 m,20 m,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mễ Trì', 'Đường Lương Thế Vinh', 'Dự án VOV Mễ Trì']","
Em cần nhượng lại căn 2pn tòa ct1B VOV Mễ Trì.Nhà đã có sổ.Full nội thất như ảnh.Chính chủ, giá thật, ảnh thật.Liên hệ: 0988 310 *** ",68 m²,2.2 tỷ,,,2 phòng,Đầy đủ.,29/11/2022,09/12/2022,Tin thường,35977622,batdongsan_com_vn_35977622,,,,1 phòng,Sổ đỏ/ Sổ hồng.
"['Hà Nội', 'Hoàng Mai', 'Phường Định Công', 'Dự án KĐT Định Công']","
+ Cần bán gấp nhà KĐT Định Công, Hoàng Mai để chuyển ra nước ngoài định cư, cần bán trong năm 2022.+ Nhà thuộc KĐT kiểu mẫu của Hà Nội, nhiều cây xanh... Đất ở rất có lộc, ai đã mua 1 căn, chắc chắn sẽ mua thêm ít nhất 1 hoặc vài căn nữa.+ Sổ đỏ cất két sẵn sàng giao dịch.+ LH Ms Thủy 0961 505 ***Miễn MG và TG.            ",110 m²,15.5 tỷ,,,,,30/11/2022,07/12/2022,Tin thường,35987692,batdongsan_com_vn_35987692,6.5 m,,,,Sổ đỏ.
"['Hà Nội', 'Sóc Sơn', 'Xã Thanh Xuân', 'Đường Thạch Lỗi']","
Mô tả:+ Vị trí đẹp nhất Thạch Lỗi, khu vực buôn bán sầm uất, bán gì cũng được.+ Hiện trạng nhà cấp 4, chủ xác định bán đất.+ Khu vực cực hiếm nhà bán, chủ hiện rất cần tiền, bán bằng mọi giá, chỉ cần khách có thiện chí, là vào việc luôn.+ Giấy tờ đầy đủ, pháp lý sạch, sẵn sàng đợi giao dịch.Giá bán 3, x tỷ.            ",120 m²,3.5 tỷ,Đông - Nam,,,,30/11/2022,07/12/2022,Tin thường,35987594,batdongsan_com_vn_35987594,5 m,8 m,,,"Giấy tờ đủ, pháp lý sạch."
"['Hà Nội', 'Ba Đình', 'Phường Đội Cấn', 'Đường Đội Cấn', '279']","
Vị trí nhà nằm trong ngõ 279 Đội Cấn, giao với ngõ 173 Hoàng Hoa Thám, 158 Ngọc Hà, hoặc đi từ ngõ 209 Đội Cấn vào đều được, xung quanh nhiều tiện ích gần trường, chợ, bệnh viện...+ Nhà do chính chủ tự xây 05 tầng, mặt tiền rộng, đằng trước nhà thoáng, có giếng trời nên phòng nào cũng thoáng, sáng, nhà được bố trí mỗi tầng một phòng khép kín rộng rãi bao gồm 03 phòng ngủ, khách, bếp...+ Chủ nhà hiền lành làm ăn phát đạt, đã mua được nhà mới nên rất thiện trí bán.+ Sổ đỏ vuông vắn, sẵn sàng giao dịch.+ Giá: 5,6 tỷ (Có Thương Lượng).Liên Hệ: Tùng Đất: 0912 142 ***, xem nhà miễn phí.            ",48 m²,5.6 tỷ,,,,,30/11/2022,07/12/2022,Tin thường,35578493,batdongsan_com_vn_35578493,,,,,Sổ đỏ/ Sổ hồng
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Đường Lê Văn Lương', '25', 'BRG Diamond Residence']","
Cần bán căn góc 103m² dự án BRG Diamond Residence 25 Lê Văn Lương giá 5,8 tỷ.Liên hệ: 0865 368 ***+ Căn góc số 05, diện tích 103m 3pn 2wc.+ Chiết khấu lên tới 5%, Nhận bàn giao thô chiết khấu thêm lên tới 6tr/m.+ Thiết kế căn hộ thông minh full nội thất cao cấp nhập khẩu.+ Vị trí nội đô thuận tiện đi đâu cũng dễ làm gì cũng tiện.+ Tòa nhà chung cư cao cấp hiện đại bậc nhất khu vực.Liên hệ: 0865 368 *** ",100 m²,5.8 tỷ,Nam,Đông - Nam,3 phòng,,30/11/2022,07/12/2022,Tin thường,35522385,batdongsan_com_vn_35522385,,,,3 phòng,Sổ đỏ/ Sổ hồng
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Đường Lê Văn Lương', 'Dự án BRG Diamond Residence']","
Bán căn hộ chung cư BRG Diamond Residence 4 phòng ngủ 151m² chỉ từ 9 tỷ. Liên hệ: 0865 368 ***Căn hộ 4 phòng ngủ với 2 ban công và 2 phòng ngủ master rộng + 2 phòng ngủ nhỏ, thiết kế cực kì hợp lý, phòng khách rộng nhất trong các căn tại dự án.Ban công Đông Nam mát mùa Hè, ấm mùa Đông.1 sàn chỉ có 11 căn với 5 thang máy, đảm bảo mật độ vừa phải và riêng tư cho mỗi căn hộ.BRG Lê Văn Lương là dự án hiếm hoi khu vực Thanh Xuân với quỹ căn 4 phòng ngủ cực lớn với diện tích đa dạng từ 145 - 201 m² và có thể đảm bảo tối thiểu mỗi căn hộ 1 chỗ đỗ ô tô.Nhà sẵn sàng bàn giao tháng 12/2022.Giá bán: 11 tỷ chưa bao gồm ưu đãi - Có phương án nhận nhà thô giảm giá 6tr/m².Liên hệ: 0865 368 *** ",150 m²,9 tỷ,Đông - Nam,Đông - Nam,4 phòng,,30/11/2022,07/12/2022,Tin thường,35522117,batdongsan_com_vn_35522117,,,,3 phòng,Hợp đồng mua bán
"['Hà Nội', 'Tây Hồ', 'Phường Quảng An', 'Đường Quảng An']","
Chính chủ bán mặt phố Quảng An - Tây Hồ - 7 tầng thang máy - dòng tiền.Vị trí: Mặt phố Quảng An, Tây Hồ.Diện tích: 220m² x 7 tầng.Mặt tiền: 8,5m.Giá: 134 tỷ (có thương lượng).Hướng: Đông Nam.Liên hệ gặp chính chủ đàm phán giá cả.E Đạt: 0968 883 ***Vị trí đắc địa, đẹp nhất nhì phố.Chủ nhà là Quan chức cấp cao muốn bán kín đáo.AE môi giới xin thôi kẻo chủ nhà lại tăng giá khó mua bán.            ",220 m²,134 tỷ,Đông - Nam,,5 phòng,Đầy đủ,30/11/2022,07/12/2022,Tin thường,35986817,batdongsan_com_vn_35986817,8.5 m,12 m,7 tầng,3 phòng,Sổ đỏ/ Sổ hồng
